Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:17.441000,31.1,69.0,1007.5,False,39.0,189,2.0
0 days 00:01:17.440000,31.1,69.0,1007.5,False,39.0,193,2.2
0 days 00:02:17.439000,31.1,69.0,1007.5,False,39.4,194,2.2
0 days 00:03:17.439000,31.1,69.0,1007.4,False,39.4,196,2.0
0 days 00:04:17.438000,31.1,68.0,1007.4,False,39.3,186,2.0
0 days 00:05:17.453000,31.0,68.0,1007.4,False,39.1,195,2.2
0 days 00:06:17.437000,31.1,68.0,1007.5,False,39.0,178,2.2
0 days 00:07:17.452000,31.1,68.0,1007.4,False,38.9,168,2.5
0 days 00:08:17.482000,31.1,68.0,1007.5,False,38.9,185,2.2
0 days 00:09:17.481000,31.1,69.0,1007.5,False,38.9,184,1.7
0 days 00:10:17.497000,31.1,69.0,1007.4,False,39.2,173,2.2
0 days 00:11:17.496000,31.1,70.0,1007.4,False,39.2,173,1.7
0 days 00:12:17.495000,31.0,70.0,1007.4,False,39.1,196,2.0
0 days 00:13:17.494000,31.0,69.0,1007.4,False,39.1,194,2.5
0 days 00:14:17.494000,31.1,70.0,1007.4,False,39.1,192,2.4
0 days 00:15:17.493000,31.1,69.0,1007.4,False,38.9,188,2.2
0 days 00:16:17.492000,31.0,70.0,1007.4,False,38.9,185,2.2
0 days 00:17:17.492000,31.1,69.0,1007.4,False,39.1,187,2.0
0 days 00:18:17.491000,31.1,69.0,1007.5,False,39.1,193,2.2
0 days 00:19:17.490000,31.1,69.0,1007.4,False,39.0,168,1.7
0 days 00:20:17.490000,31.1,69.0,1007.4,False,38.8,185,2.5
0 days 00:21:17.489000,31.1,68.0,1007.5,False,38.9,193,2.0
0 days 00:22:17.504000,31.2,67.0,1007.5,False,38.9,193,2.4
0 days 00:23:17.519000,31.2,68.0,1007.5,False,38.8,193,2.2
0 days 00:24:17.503000,31.2,68.0,1007.5,False,38.8,176,2.2
0 days 00:25:17.518000,31.3,68.0,1007.5,False,39.1,193,2.0
0 days 00:26:17.533000,31.3,68.0,1007.4,False,39.0,165,2.0
0 days 00:27:17.548000,31.3,67.0,1007.4,False,39.0,179,2.5
0 days 00:28:17.563000,31.2,68.0,1007.4,False,38.6,187,2.5
0 days 00:29:17.578000,31.2,68.0,1007.4,False,38.6,185,2.2
0 days 00:30:17.577000,31.2,69.0,1007.4,False,38.6,174,2.2
