Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:13.606000,SAI,55,,1.0,1.0,0 days 00:16:01.998000,,,0 days 00:00:51.737000,0 days 00:00:42.765000,,0 days 00:17:30.856000,0 days 00:18:13.606000,271.0,250.0,256.0,,False,SOFT,1.0,True,Ferrari,0 days 00:16:01.998000,2023-09-16 13:01:02.637,1,,False,,False,False
0 days 00:19:46.571000,SAI,55,,2.0,1.0,,,0 days 00:00:27.296000,0 days 00:00:39.411000,0 days 00:00:26.258000,0 days 00:18:40.902000,0 days 00:19:20.313000,0 days 00:19:46.571000,311.0,280.0,258.0,302.0,True,SOFT,2.0,True,Ferrari,0 days 00:18:13.606000,2023-09-16 13:03:14.245,1,,False,,False,True
0 days 00:22:28.473000,SAI,55,,3.0,1.0,,,0 days 00:00:45.025000,0 days 00:01:08.058000,0 days 00:00:48.809000,0 days 00:20:31.634000,0 days 00:21:39.664000,0 days 00:22:28.664000,133.0,159.0,149.0,217.0,False,SOFT,3.0,True,Ferrari,0 days 00:19:46.571000,2023-09-16 13:04:47.210,1,,False,,False,False
0 days 00:24:49.134000,SAI,55,,4.0,1.0,,,0 days 00:00:47.129000,0 days 00:00:58.322000,0 days 00:00:35.210000,0 days 00:23:15.602000,0 days 00:24:13.924000,0 days 00:24:49.134000,149.0,130.0,255.0,147.0,False,SOFT,4.0,True,Ferrari,0 days 00:22:28.473000,2023-09-16 13:07:29.112,1,,False,,False,True
0 days 00:26:21.473000,SAI,55,,5.0,1.0,,,0 days 00:00:27.074000,0 days 00:00:39.093000,0 days 00:00:26.172000,0 days 00:25:16.208000,0 days 00:25:55.301000,0 days 00:26:21.473000,315.0,280.0,259.0,302.0,True,SOFT,5.0,True,Ferrari,0 days 00:24:49.134000,2023-09-16 13:09:49.773,1,,False,,False,True
0 days 00:28:21.687000,SAI,55,,6.0,1.0,,0 days 00:28:13.892000,0 days 00:00:34.771000,0 days 00:00:46.520000,0 days 00:00:38.923000,0 days 00:26:56.244000,0 days 00:27:42.764000,0 days 00:28:21.687000,244.0,223.0,,225.0,False,SOFT,6.0,True,Ferrari,0 days 00:26:21.473000,2023-09-16 13:11:22.112,1,,False,,False,False
0 days 00:32:39.237000,SAI,55,,7.0,2.0,0 days 00:30:11.484000,,,0 days 00:00:49.338000,0 days 00:00:56.302000,,0 days 00:31:42.935000,0 days 00:32:39.403000,280.0,260.0,235.0,,False,SOFT,1.0,True,Ferrari,0 days 00:28:21.687000,2023-09-16 13:13:22.326,1,,False,,False,False
0 days 00:34:23.099000,SAI,55,,8.0,2.0,,0 days 00:34:15.229000,0 days 00:00:27.320000,0 days 00:00:38.601000,0 days 00:00:37.941000,0 days 00:33:06.557000,0 days 00:33:45.158000,0 days 00:34:23.099000,315.0,281.0,,297.0,False,SOFT,2.0,True,Ferrari,0 days 00:32:39.237000,2023-09-16 13:17:39.876,125,,False,,False,False
0 days 01:10:43.337000,SAI,55,,9.0,3.0,0 days 01:08:24.178000,,,0 days 00:00:51.079000,0 days 00:00:39.751000,,0 days 01:10:03.613000,0 days 01:10:43.488000,282.0,251.0,258.0,,False,SOFT,3.0,False,Ferrari,0 days 00:34:23.099000,2023-09-16 13:19:23.738,512,,False,,False,False
0 days 01:12:15.230000,SAI,55,,10.0,3.0,,,0 days 00:00:26.989000,0 days 00:00:38.689000,0 days 00:00:26.215000,0 days 01:11:10.326000,0 days 01:11:49.015000,0 days 01:12:15.230000,313.0,280.0,256.0,303.0,True,SOFT,4.0,False,Ferrari,0 days 01:10:43.337000,2023-09-16 13:55:43.976,1,,False,,False,True
