Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:17.890000,29.6,77.0,1009.2,False,34.8,193,1.7
0 days 00:01:17.889000,29.6,77.0,1009.2,False,34.8,193,2.2
0 days 00:02:17.888000,29.6,77.0,1009.2,False,34.8,177,2.4
0 days 00:03:17.902000,29.6,77.0,1009.2,False,34.5,176,2.0
0 days 00:04:17.901000,29.7,78.0,1009.2,False,34.5,167,1.7
0 days 00:05:17.932000,29.7,78.0,1009.2,False,34.8,188,1.7
0 days 00:06:17.946000,29.7,78.0,1009.2,False,34.6,181,1.8
0 days 00:07:17.945000,29.6,78.0,1009.2,False,34.6,169,1.6
0 days 00:08:17.944000,29.6,77.0,1009.4,False,34.7,195,2.0
0 days 00:09:17.943000,29.6,77.0,1009.4,False,34.7,191,1.7
0 days 00:10:17.942000,29.6,77.0,1009.5,False,34.6,161,1.7
0 days 00:11:17.941000,29.6,77.0,1009.4,False,34.6,173,1.6
0 days 00:12:17.940000,29.6,76.0,1009.4,False,34.8,192,1.7
0 days 00:13:17.939000,29.6,76.0,1009.5,False,34.8,193,2.5
0 days 00:14:17.938000,29.5,76.0,1009.5,False,34.5,187,2.7
0 days 00:15:17.968000,29.6,77.0,1009.5,False,34.4,189,2.0
0 days 00:16:17.967000,29.6,77.0,1009.5,False,34.4,177,2.0
0 days 00:17:17.966000,29.7,76.0,1009.5,False,34.8,181,2.0
0 days 00:18:17.965000,29.7,75.0,1009.5,False,35.3,175,2.5
0 days 00:19:17.964000,29.8,75.0,1009.7,False,34.6,161,2.0
0 days 00:20:17.978000,29.7,75.0,1009.5,False,34.6,171,2.0
0 days 00:21:17.977000,29.8,74.0,1009.5,False,34.8,173,1.8
0 days 00:22:17.976000,29.8,75.0,1009.5,False,34.5,166,2.0
0 days 00:23:17.975000,29.8,75.0,1009.5,False,34.3,165,2.0
0 days 00:24:17.974000,29.8,75.0,1009.5,False,34.3,184,2.4
0 days 00:25:17.989000,29.7,75.0,1009.5,False,34.4,187,2.2
0 days 00:26:17.988000,29.7,76.0,1009.5,False,34.4,173,1.8
0 days 00:27:17.987000,29.7,76.0,1009.7,False,34.3,166,2.5
0 days 00:28:17.986000,29.8,76.0,1009.7,False,34.3,162,1.8
0 days 00:29:17.985000,29.7,76.0,1009.7,False,34.3,160,2.2
