Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:25.218000,24.4,53.0,999.7,False,38.2,261,0.6
0 days 00:01:25.217000,24.5,53.0,999.7,False,40.3,331,1.0
0 days 00:02:25.216000,24.5,53.0,999.7,False,40.3,324,0.8
0 days 00:03:25.230000,24.5,54.0,999.5,False,40.2,0,0.6
0 days 00:04:25.229000,24.6,53.0,999.5,False,41.9,202,0.6
0 days 00:05:25.244000,24.7,51.0,999.5,False,42.0,251,1.0
0 days 00:06:25.243000,24.9,52.0,999.5,False,42.0,249,1.2
0 days 00:07:25.257000,25.1,52.0,999.5,False,42.4,0,1.1
0 days 00:08:25.256000,25.1,50.0,999.5,False,42.5,0,0.6
0 days 00:09:25.255000,25.0,49.0,999.5,False,42.4,218,0.8
0 days 00:10:25.254000,25.1,50.0,999.5,False,42.2,224,0.8
0 days 00:11:25.284000,25.1,50.0,999.5,False,42.3,234,1.8
0 days 00:12:25.252000,25.0,51.0,999.5,False,42.0,232,2.0
0 days 00:13:25.251000,24.8,52.0,999.5,False,41.4,237,1.7
0 days 00:14:25.250000,24.7,53.0,999.5,False,41.4,231,0.6
0 days 00:15:25.249000,24.9,51.0,999.5,False,41.7,208,1.7
0 days 00:16:25.263000,25.0,51.0,999.5,False,41.9,0,1.5
0 days 00:17:25.262000,25.0,52.0,999.5,False,41.7,0,1.1
0 days 00:18:25.261000,25.0,51.0,999.5,False,41.7,137,1.2
0 days 00:19:25.260000,25.0,51.0,999.5,False,42.0,30,1.2
0 days 00:20:25.259000,25.0,51.0,999.5,False,42.4,342,1.3
0 days 00:21:25.258000,25.0,52.0,999.4,False,42.4,68,1.2
0 days 00:22:25.257000,25.0,51.0,999.4,False,42.1,30,1.1
0 days 00:23:25.256000,25.1,51.0,999.5,False,42.1,234,0.8
0 days 00:24:25.270000,25.2,52.0,999.5,False,41.8,72,1.0
0 days 00:25:25.285000,25.4,51.0,999.5,False,42.1,296,0.6
0 days 00:26:25.284000,25.5,51.0,999.5,False,42.6,289,1.2
0 days 00:27:25.423000,25.2,51.0,999.5,False,43.0,203,1.2
0 days 00:28:25.281000,25.1,51.0,999.4,False,43.1,218,1.6
0 days 00:29:25.280000,25.1,52.0,999.4,False,42.7,284,1.2
0 days 00:30:25.279000,25.1,51.0,999.5,False,42.6,223,1.3
0 days 00:31:25.278000,25.2,52.0,999.4,False,43.1,0,1.2
0 days 00:32:25.277000,25.2,51.0,999.4,False,43.3,322,1.2
0 days 00:33:25.276000,25.2,51.0,999.4,False,43.1,253,1.1
0 days 00:34:25.291000,25.1,51.0,999.4,False,42.7,206,1.3
0 days 00:35:25.290000,25.0,52.0,999.4,False,42.4,150,1.0
0 days 00:36:25.288000,25.2,54.0,999.4,False,42.3,202,1.2
0 days 00:37:25.287000,25.1,53.0,999.4,False,42.5,190,0.6
0 days 00:38:25.286000,25.1,52.0,999.2,False,42.5,227,1.2
0 days 00:39:25.301000,25.2,53.0,999.4,False,42.4,266,1.5
0 days 00:40:25.284000,25.1,54.0,999.4,False,42.1,206,1.0
0 days 00:41:25.283000,25.0,54.0,999.2,False,42.1,285,1.2
0 days 00:42:25.298000,24.9,54.0,999.2,False,42.1,286,1.0
0 days 00:43:25.281000,24.8,53.0,999.2,False,42.5,64,1.2
0 days 00:44:25.295000,24.7,53.0,999.2,False,42.7,269,1.2
0 days 00:45:25.294000,24.7,51.0,999.4,False,43.2,308,1.0
0 days 00:46:25.293000,24.5,50.0,999.2,False,43.2,185,1.6
0 days 00:47:25.292000,24.6,51.0,999.4,False,43.5,214,1.2
0 days 00:48:25.291000,24.7,51.0,999.4,False,43.0,197,1.5
0 days 00:49:25.306000,24.6,53.0,999.2,False,42.6,198,0.8
0 days 00:50:25.289000,24.7,53.0,999.4,False,42.6,211,1.2
0 days 00:51:25.288000,24.7,52.0,999.2,False,44.0,205,1.2
0 days 00:52:25.287000,24.6,52.0,999.4,False,43.6,206,2.2
0 days 00:53:25.286000,24.6,53.0,999.4,False,43.1,196,1.3
0 days 00:54:25.300000,24.7,52.0,999.2,False,43.2,212,1.6
0 days 00:55:25.299000,24.7,53.0,999.2,False,43.5,337,0.8
0 days 00:56:25.298000,24.7,52.0,999.2,False,43.8,202,1.0
0 days 00:57:25.297000,24.8,51.0,999.4,False,43.4,254,1.1
0 days 00:58:25.296000,24.8,51.0,999.4,False,43.6,189,1.5
0 days 00:59:25.295000,24.8,50.0,999.2,False,43.3,171,2.0
0 days 01:00:25.294000,24.9,51.0,999.4,False,43.4,205,0.8
0 days 01:01:25.293000,24.9,51.0,999.2,False,43.3,191,2.5
0 days 01:02:25.307000,24.9,52.0,999.4,False,43.1,176,2.2
0 days 01:03:25.306000,25.0,52.0,999.4,False,43.1,238,1.2
0 days 01:04:25.305000,25.0,52.0,999.2,False,43.2,239,1.6
0 days 01:05:25.304000,24.9,51.0,999.4,False,43.7,224,2.4
0 days 01:06:25.318000,24.7,52.0,999.4,False,43.3,205,1.7
0 days 01:07:25.302000,24.6,53.0,999.2,False,43.5,26,1.0
0 days 01:08:25.332000,24.6,51.0,999.4,False,43.8,294,1.6
0 days 01:09:25.300000,24.6,52.0,999.2,False,42.8,291,1.2
0 days 01:10:25.298000,24.5,52.0,999.2,False,42.4,284,1.1
0 days 01:11:25.297000,24.6,52.0,999.2,False,42.1,302,1.0
0 days 01:12:25.296000,24.5,50.0,999.2,False,42.1,346,1.2
0 days 01:13:25.311000,24.5,51.0,999.2,False,41.1,75,1.1
0 days 01:14:25.310000,24.5,51.0,999.2,False,40.7,110,1.2
0 days 01:15:25.309000,24.3,52.0,999.2,False,39.6,260,0.8
0 days 01:16:25.308000,24.2,53.0,999.2,False,39.1,229,1.2
0 days 01:17:25.306000,24.2,54.0,999.0,False,38.9,11,1.0
0 days 01:18:25.305000,24.0,54.0,999.2,False,38.1,266,1.1
0 days 01:19:25.304000,23.9,55.0,999.2,False,37.7,259,1.5
0 days 01:20:25.303000,23.9,54.0,999.2,False,37.5,323,1.3
0 days 01:21:25.333000,23.7,55.0,999.2,False,36.7,241,1.2
