Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:52.535000,VER,1,,1.0,1.0,0 days 00:15:57.546000,,,0 days 00:00:37.809000,0 days 00:00:44.065000,,0 days 00:17:08.607000,0 days 00:17:52.591000,211.0,275.0,293.0,231.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:57.546000,2023-06-03 10:31:09.451,1,,False,,False,False
0 days 00:19:06.199000,VER,1,,2.0,1.0,,,0 days 00:00:21.873000,0 days 00:00:29.446000,0 days 00:00:22.345000,0 days 00:18:14.408000,0 days 00:18:43.854000,0 days 00:19:06.199000,287.0,306.0,295.0,324.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:52.535000,2023-06-03 10:33:04.440,1,,False,,False,True
0 days 00:21:37.383000,VER,1,,3.0,1.0,,,0 days 00:00:39.920000,0 days 00:01:03.381000,0 days 00:00:47.856000,0 days 00:19:46.370000,0 days 00:20:49.681000,0 days 00:21:37.383000,114.0,127.0,178.0,190.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:06.199000,2023-06-03 10:34:18.104,1,,False,,False,False
0 days 00:59:30.733000,VER,1,,4.0,1.0,,0 days 00:25:23.661000,0 days 00:00:36.602000,0 days 00:00:43.575000,,0 days 00:22:14.117000,0 days 00:22:57.773000,,195.0,130.0,,220.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:21:37.383000,2023-06-03 10:36:49.288,15,,False,,False,False
0 days 01:01:09.195000,VER,1,,5.0,2.0,0 days 00:59:30.733000,,,0 days 00:00:39.238000,0 days 00:00:28.964000,,0 days 01:00:40.326000,0 days 01:01:09.200000,196.0,230.0,269.0,223.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:59:30.733000,2023-06-03 11:14:42.638,1,,False,,False,False
0 days 01:02:33.295000,VER,1,,6.0,2.0,,,0 days 00:00:24.446000,0 days 00:00:32.944000,0 days 00:00:26.710000,0 days 01:01:33.641000,0 days 01:02:06.585000,0 days 01:02:33.295000,238.0,238.0,271.0,297.0,False,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:01:09.195000,2023-06-03 11:16:21.100,1,,False,,False,True
0 days 01:04:22.593000,VER,1,,7.0,2.0,,0 days 01:04:19.775000,0 days 00:00:32.902000,0 days 00:00:41.226000,0 days 00:00:35.170000,0 days 01:03:06.197000,0 days 01:03:47.423000,0 days 01:04:22.593000,145.0,193.0,,247.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 01:02:33.295000,2023-06-03 11:17:45.200,1,,False,,False,False
0 days 01:06:40.069000,VER,1,,8.0,3.0,0 days 01:04:38.212000,,0 days 00:01:02.134000,0 days 00:00:44.536000,0 days 00:00:30.806000,0 days 01:05:24.727000,0 days 01:06:09.263000,0 days 01:06:40.069000,135.0,211.0,273.0,240.0,False,INTERMEDIATE,4.0,False,Red Bull Racing,0 days 01:04:22.593000,2023-06-03 11:19:34.498,1,,False,,False,False
0 days 01:08:03.341000,VER,1,,9.0,3.0,,,0 days 00:00:23.924000,0 days 00:00:32.663000,0 days 00:00:26.685000,0 days 01:07:03.993000,0 days 01:07:36.656000,0 days 01:08:03.341000,261.0,252.0,269.0,297.0,False,INTERMEDIATE,5.0,False,Red Bull Racing,0 days 01:06:40.069000,2023-06-03 11:21:51.974,1,,False,,False,True
0 days 01:09:42.066000,VER,1,,10.0,3.0,,0 days 01:09:39.238000,0 days 00:00:28.536000,0 days 00:00:36.939000,0 days 00:00:33.250000,0 days 01:08:31.877000,0 days 01:09:08.816000,0 days 01:09:42.066000,167.0,230.0,,270.0,False,INTERMEDIATE,6.0,False,Red Bull Racing,0 days 01:08:03.341000,2023-06-03 11:23:15.246,1,,False,,False,False
0 days 01:13:31.117000,VER,1,,11.0,4.0,0 days 01:11:49.548000,0 days 01:13:28.328000,,0 days 00:00:37.526000,0 days 00:00:34.447000,,0 days 01:12:56.875000,0 days 01:13:31.171000,208.0,197.0,,219.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:09:42.066000,2023-06-03 11:24:53.971,1,,False,,False,False
0 days 01:15:22.253000,VER,1,,12.0,5.0,0 days 01:13:44.937000,,0 days 00:00:46.078000,0 days 00:00:37.591000,0 days 00:00:27.467000,0 days 01:14:17.195000,0 days 01:14:54.786000,0 days 01:15:22.253000,174.0,235.0,240.0,208.0,False,SOFT,2.0,False,Red Bull Racing,0 days 01:13:31.117000,2023-06-03 11:28:43.022,1,,False,,False,False
0 days 01:17:06.183000,VER,1,,13.0,5.0,,,0 days 00:00:26.891000,0 days 00:00:37.025000,0 days 00:00:40.014000,0 days 01:15:49.144000,0 days 01:16:26.169000,0 days 01:17:06.183000,199.0,215.0,98.0,278.0,False,SOFT,3.0,False,Red Bull Racing,0 days 01:15:22.253000,2023-06-03 11:30:34.158,1,,False,,False,True
0 days 01:19:06.982000,VER,1,,14.0,5.0,,0 days 01:19:04.181000,0 days 00:00:53.721000,0 days 00:00:36.100000,0 days 00:00:30.978000,0 days 01:17:59.904000,0 days 01:18:36.004000,0 days 01:19:06.982000,189.0,220.0,,282.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:17:06.183000,2023-06-03 11:32:18.088,1,,False,,False,False
