Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:57.558000,VER,1,,1.0,1.0,0 days 00:16:05.138000,,,0 days 00:00:35.382000,0 days 00:00:30.635000,,0 days 00:17:26.949000,0 days 00:17:57.558000,219.0,262.0,293.0,115.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:16:05.138000,2023-06-03 14:01:05.147,12,,False,,False,False
0 days 00:27:25.360000,VER,1,,2.0,1.0,,0 days 00:19:26.025000,0 days 00:00:21.917000,,,0 days 00:18:19.526000,,,282.0,,,333.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:17:57.558000,2023-06-03 14:02:57.567,125,,False,,False,False
0 days 00:29:01.273000,VER,1,,3.0,2.0,0 days 00:27:25.360000,,,0 days 00:00:37.454000,0 days 00:00:26.008000,,0 days 00:28:35.265000,0 days 00:29:01.437000,231.0,234.0,292.0,213.0,False,SOFT,3.0,False,Red Bull Racing,0 days 00:27:25.360000,2023-06-03 14:12:25.369,1,,False,,False,False
0 days 00:30:14.933000,VER,1,,4.0,2.0,,,0 days 00:00:21.833000,0 days 00:00:29.620000,0 days 00:00:22.207000,0 days 00:29:23.106000,0 days 00:29:52.726000,0 days 00:30:14.933000,284.0,299.0,295.0,329.0,True,SOFT,4.0,False,Red Bull Racing,0 days 00:29:01.273000,2023-06-03 14:14:01.282,1,,False,,False,True
0 days 00:32:20.559000,VER,1,,5.0,2.0,,,0 days 00:00:36.765000,0 days 00:00:57.325000,0 days 00:00:31.536000,0 days 00:30:51.698000,0 days 00:31:49.023000,0 days 00:32:20.559000,138.0,186.0,294.0,181.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:30:14.933000,2023-06-03 14:15:14.942,12,,False,,False,True
0 days 00:33:34.174000,VER,1,,6.0,2.0,,,0 days 00:00:21.840000,0 days 00:00:29.731000,0 days 00:00:22.044000,0 days 00:32:42.399000,0 days 00:33:12.130000,0 days 00:33:34.174000,287.0,298.0,297.0,330.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:32:20.559000,2023-06-03 14:17:20.568,1,,False,,False,True
0 days 00:35:45.950000,VER,1,,7.0,2.0,,,0 days 00:00:35.334000,0 days 00:00:54.715000,0 days 00:00:41.727000,0 days 00:34:09.508000,0 days 00:35:04.223000,0 days 00:35:45.950000,145.0,136.0,126.0,273.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:33:34.174000,2023-06-03 14:18:34.183,1,,False,,False,True
0 days 00:38:00.176000,VER,1,,8.0,2.0,,,0 days 00:00:47.954000,0 days 00:00:59.324000,0 days 00:00:26.948000,0 days 00:36:33.904000,0 days 00:37:33.228000,0 days 00:38:00.176000,120.0,219.0,295.0,145.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:35:45.950000,2023-06-03 14:20:45.959,1,,False,,False,True
0 days 00:39:31.038000,VER,1,,9.0,2.0,,0 days 00:39:28.269000,0 days 00:00:21.924000,0 days 00:00:34.983000,0 days 00:00:33.955000,0 days 00:38:22.100000,0 days 00:38:57.083000,0 days 00:39:31.038000,278.0,244.0,,325.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:38:00.176000,2023-06-03 14:23:00.185,1,,False,,False,False
0 days 00:50:42.695000,VER,1,,10.0,3.0,0 days 00:49:03.181000,,,0 days 00:00:42.651000,0 days 00:00:27.005000,,0 days 00:50:15.695000,0 days 00:50:42.695000,213.0,238.0,292.0,224.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:39:31.038000,2023-06-03 14:24:31.047,1,,False,,False,False
