Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:44.987000,28.6,49.0,995.0,False,39.4,85,3.2
0 days 00:01:44.986000,28.6,50.0,995.2,False,39.3,108,4.0
0 days 00:02:44.984000,28.6,50.0,995.2,False,39.2,87,1.8
0 days 00:03:44.983000,28.6,50.0,995.0,False,39.9,91,3.4
0 days 00:04:44.982000,28.6,50.0,995.0,False,40.0,99,3.0
0 days 00:05:44.981000,28.5,51.0,995.0,False,39.9,137,1.8
0 days 00:06:44.996000,28.5,51.0,995.0,False,39.2,134,2.5
0 days 00:07:45.010000,28.5,49.0,995.0,False,39.2,113,3.5
0 days 00:08:45.009000,28.8,49.0,995.0,False,39.6,97,2.4
0 days 00:09:45.008000,28.8,50.0,995.0,False,39.6,99,3.0
0 days 00:10:45.023000,28.9,45.0,994.9,False,39.6,108,4.0
0 days 00:11:45.037000,29.0,44.0,995.0,False,40.3,111,5.3
0 days 00:12:45.036000,29.0,45.0,994.9,False,40.2,100,5.1
0 days 00:13:45.035000,29.0,46.0,994.9,False,39.9,110,3.5
0 days 00:14:45.034000,29.0,46.0,995.0,False,39.9,132,3.4
0 days 00:15:45.049000,29.0,46.0,994.9,False,40.0,104,3.5
0 days 00:16:45.047000,29.1,45.0,994.9,False,40.0,106,3.4
0 days 00:17:45.062000,29.2,46.0,994.9,False,39.6,111,2.4
0 days 00:18:45.077000,29.1,46.0,994.7,False,39.2,116,3.0
0 days 00:19:45.091000,29.0,47.0,994.9,False,39.9,100,3.2
0 days 00:20:45.121000,28.9,47.0,994.7,False,39.9,97,4.0
0 days 00:21:45.120000,28.7,48.0,994.7,False,39.8,85,3.4
0 days 00:22:45.119000,28.8,48.0,994.7,False,39.8,126,3.4
0 days 00:23:45.118000,28.9,47.0,994.7,False,40.2,101,3.9
0 days 00:24:45.117000,29.0,47.0,994.7,False,39.7,103,3.7
0 days 00:25:45.116000,29.0,47.0,994.5,False,39.2,102,2.5
0 days 00:26:45.115000,29.0,48.0,994.7,False,39.4,97,3.0
0 days 00:27:45.114000,29.0,48.0,994.7,False,39.4,124,3.7
0 days 00:28:45.113000,29.0,48.0,994.5,False,39.6,98,3.7
0 days 00:29:45.127000,29.0,48.0,994.5,False,39.8,111,3.2
0 days 00:30:45.110000,29.2,47.0,994.5,False,39.6,105,4.4
0 days 00:31:45.125000,29.3,45.0,994.5,False,39.7,94,3.5
0 days 00:32:45.124000,29.1,46.0,994.5,False,39.5,101,3.4
0 days 00:33:45.123000,29.0,46.0,994.5,False,39.4,91,2.7
0 days 00:34:45.122000,29.0,47.0,994.5,False,39.4,89,2.2
0 days 00:35:45.136000,29.0,46.0,994.5,False,39.6,139,1.0
0 days 00:36:45.135000,29.0,46.0,994.5,False,40.0,99,2.7
0 days 00:37:45.119000,29.2,46.0,994.5,False,40.0,102,3.4
0 days 00:38:45.133000,29.2,46.0,994.5,False,40.0,109,3.0
0 days 00:39:45.132000,29.2,45.0,994.4,False,40.0,99,2.0
0 days 00:40:45.131000,29.3,44.0,994.4,False,40.3,102,3.2
0 days 00:41:45.130000,29.5,44.0,994.4,False,40.3,102,3.2
0 days 00:42:45.129000,29.6,44.0,994.4,False,40.5,101,4.4
0 days 00:43:45.128000,29.6,44.0,994.4,False,40.9,111,4.4
0 days 00:44:45.127000,29.6,44.0,994.4,False,40.4,107,3.4
0 days 00:45:45.126000,29.5,43.0,994.2,False,40.4,109,4.0
0 days 00:46:45.125000,29.4,43.0,994.4,False,40.2,106,4.0
0 days 00:47:45.139000,29.3,43.0,994.2,False,39.7,101,3.2
0 days 00:48:45.138000,29.2,43.0,994.2,False,39.9,107,3.0
0 days 00:49:45.137000,29.4,44.0,994.2,False,39.9,102,1.7
0 days 00:50:45.136000,29.5,44.0,994.2,False,39.8,96,4.3
0 days 00:51:45.150000,29.5,44.0,994.2,False,39.8,110,3.7
0 days 00:52:45.196000,29.6,44.0,994.2,False,39.6,76,3.5
0 days 00:53:45.179000,29.5,44.0,994.0,False,39.9,86,4.3
0 days 00:54:45.178000,29.5,44.0,994.0,False,40.3,98,4.5
0 days 00:55:45.209000,29.5,43.0,994.2,False,40.3,100,5.3
0 days 00:56:45.208000,29.6,43.0,994.2,False,41.0,98,4.0
0 days 00:57:45.206000,29.7,44.0,994.0,False,40.2,127,1.7
0 days 00:58:45.221000,29.7,43.0,994.2,False,39.8,92,1.6
0 days 00:59:45.220000,29.7,43.0,994.0,False,40.2,102,2.2
0 days 01:00:45.234000,29.6,42.0,994.0,False,41.1,112,3.7
0 days 01:01:45.233000,29.8,42.0,994.0,False,40.9,132,3.5
0 days 01:02:45.232000,29.9,42.0,994.0,False,40.8,103,2.9
0 days 01:03:45.247000,29.9,42.0,994.0,False,40.9,100,2.5
0 days 01:04:45.261000,29.8,42.0,993.9,False,40.8,109,3.0
0 days 01:05:45.276000,29.9,42.0,994.0,False,40.8,111,2.2
0 days 01:06:45.322000,29.9,41.0,994.0,False,40.7,95,2.9
0 days 01:07:45.274000,29.9,42.0,994.0,False,40.7,99,3.2
0 days 01:08:45.273000,29.9,41.0,994.0,False,40.7,96,4.0
0 days 01:09:45.272000,29.9,42.0,993.9,False,40.6,107,4.0
0 days 01:10:45.271000,30.0,43.0,993.9,False,40.5,100,2.5
0 days 01:11:45.269000,30.0,43.0,994.0,False,40.6,100,3.9
0 days 01:12:45.268000,30.0,42.0,994.0,False,40.5,97,3.7
0 days 01:13:45.267000,30.0,41.0,993.9,False,41.0,102,3.2
0 days 01:14:45.266000,30.0,40.0,993.9,False,40.5,123,4.1
0 days 01:15:45.281000,30.0,41.0,993.7,False,41.1,118,3.4
0 days 01:16:45.280000,30.0,41.0,993.7,False,41.1,102,2.4
0 days 01:17:45.279000,30.0,41.0,993.7,False,40.3,105,3.5
0 days 01:18:45.278000,30.0,41.0,993.9,False,40.4,107,3.2
0 days 01:19:45.323000,30.1,41.0,993.7,False,40.5,114,4.4
0 days 01:20:45.385000,30.0,41.0,993.7,False,40.7,92,3.4
0 days 01:21:45.274000,30.0,42.0,993.5,False,40.0,76,3.5
0 days 01:22:45.273000,30.0,42.0,993.7,False,40.8,82,3.5
0 days 01:23:45.272000,30.3,41.0,993.7,False,41.5,88,1.1
0 days 01:24:45.287000,30.4,40.0,993.5,False,41.5,324,1.5
0 days 01:25:45.286000,30.4,39.0,993.5,False,41.5,85,1.5
0 days 01:26:45.285000,30.4,39.0,993.5,False,41.3,113,3.4
0 days 01:27:45.284000,30.4,39.0,993.5,False,41.5,101,2.5
0 days 01:28:45.267000,30.3,39.0,993.5,False,41.6,103,2.2
0 days 01:29:45.281000,30.5,38.0,993.5,False,41.5,95,3.2
0 days 01:30:45.280000,30.4,38.0,993.5,False,41.5,103,1.8
0 days 01:31:45.295000,30.4,38.0,993.5,False,41.5,72,2.9
0 days 01:32:45.278000,30.5,39.0,993.2,False,41.8,85,5.0
0 days 01:33:45.340000,30.3,40.0,993.5,False,41.5,91,6.6
0 days 01:34:45.292000,30.2,40.0,993.5,False,41.6,106,4.3
0 days 01:35:45.291000,30.2,40.0,993.5,False,41.6,86,3.5
0 days 01:36:45.290000,30.1,40.0,993.5,False,41.3,94,2.7
0 days 01:37:45.288000,30.1,40.0,993.5,False,41.3,343,2.2
0 days 01:38:45.287000,30.2,39.0,993.5,False,40.9,143,2.4
0 days 01:39:45.318000,30.2,39.0,993.4,False,41.3,101,2.5
0 days 01:40:45.285000,30.3,39.0,993.4,False,41.4,102,2.2
0 days 01:41:45.284000,30.3,39.0,993.4,False,41.4,330,2.5
0 days 01:42:45.299000,30.4,38.0,993.4,False,42.0,103,1.3
0 days 01:43:45.376000,30.7,37.0,993.2,False,42.0,93,3.7
0 days 01:44:45.390000,30.7,37.0,993.4,False,41.6,101,4.5
0 days 01:45:45.342000,30.5,38.0,993.4,False,41.3,112,4.0
0 days 01:46:45.357000,30.4,38.0,993.2,False,41.2,104,4.0
0 days 01:47:45.356000,30.4,39.0,993.2,False,41.0,99,4.0
0 days 01:48:45.386000,30.4,38.0,993.2,False,41.3,108,4.0
0 days 01:49:45.369000,30.5,37.0,993.2,False,41.4,93,5.3
0 days 01:50:45.384000,30.5,37.0,993.2,False,41.4,90,4.5
0 days 01:51:45.398000,30.5,37.0,993.2,False,41.2,80,5.3
0 days 01:52:45.397000,30.4,37.0,993.2,False,41.0,92,4.8
0 days 01:53:45.412000,30.2,38.0,993.2,False,41.0,67,4.0
0 days 01:54:45.411000,30.1,38.0,993.2,False,41.0,106,3.0
0 days 01:55:45.425000,30.3,38.0,993.2,False,41.2,93,2.4
0 days 01:56:45.424000,30.4,37.0,993.0,False,41.0,124,4.1
0 days 01:57:45.423000,30.6,37.0,993.0,False,41.6,68,3.2
0 days 01:58:45.422000,30.7,37.0,993.0,False,41.6,91,6.1
0 days 01:59:45.437000,30.5,38.0,993.2,False,41.8,84,6.0
0 days 02:00:45.467000,30.5,38.0,993.2,False,41.5,109,4.9
0 days 02:01:45.466000,30.5,38.0,993.2,False,41.1,97,3.7
0 days 02:02:45.480000,30.4,39.0,993.2,False,41.3,93,5.0
0 days 02:03:45.479000,30.5,39.0,993.0,False,41.6,78,4.9
0 days 02:04:45.478000,30.6,38.0,993.0,False,41.6,73,4.5
0 days 02:05:45.477000,30.5,38.0,993.0,False,41.5,90,5.0
0 days 02:06:45.476000,30.4,39.0,993.2,False,41.4,74,4.9
0 days 02:07:45.475000,30.4,39.0,993.0,False,41.4,85,4.5
0 days 02:08:45.490000,30.2,39.0,993.0,False,41.2,95,3.4
0 days 02:09:45.489000,30.3,39.0,993.0,False,41.0,97,1.7
0 days 02:10:45.503000,30.4,39.0,993.0,False,41.0,96,2.5
0 days 02:11:45.518000,30.5,39.0,993.0,False,41.4,93,2.5
0 days 02:12:45.532000,30.7,39.0,992.9,False,41.5,51,1.2
0 days 02:13:45.531000,30.8,38.0,992.9,False,41.9,97,2.4
0 days 02:14:45.530000,31.0,38.0,993.0,False,42.2,107,3.7
0 days 02:15:45.529000,30.9,38.0,993.0,False,42.1,98,4.0
0 days 02:16:45.528000,30.9,38.0,993.0,False,41.8,105,5.0
0 days 02:17:45.527000,30.8,39.0,993.0,False,41.7,109,4.6
0 days 02:18:45.541000,30.6,39.0,993.0,False,40.7,93,3.4
0 days 02:19:45.540000,30.5,39.0,993.0,False,40.7,134,5.0
0 days 02:20:45.539000,30.6,39.0,993.0,False,41.3,125,1.7
0 days 02:21:45.538000,30.8,38.0,993.0,False,41.3,357,1.5
0 days 02:22:45.553000,30.9,38.0,993.0,False,41.3,84,1.6
0 days 02:23:45.552000,31.0,38.0,993.0,False,41.7,99,3.2
0 days 02:24:45.551000,31.0,38.0,992.9,False,41.6,98,3.9
