Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:36:28.071000,VER,1,,1.0,1.0,0 days 00:34:37.646000,,,0 days 00:00:47.341000,0 days 00:00:40.445000,,0 days 00:35:47.626000,0 days 00:36:28.161000,265.0,226.0,223.0,229.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:34:37.646000,2024-12-07 10:49:47.600,1,,False,,False,False
0 days 00:37:53.056000,VER,1,,2.0,1.0,,,0 days 00:00:17.321000,0 days 00:00:36.377000,0 days 00:00:31.287000,0 days 00:36:45.392000,0 days 00:37:21.769000,0 days 00:37:53.056000,289.0,325.0,214.0,329.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:36:28.071000,2024-12-07 10:51:38.025,1,,False,,False,True
0 days 00:40:37.435000,VER,1,,3.0,1.0,,,0 days 00:00:32.990000,0 days 00:01:10.019000,0 days 00:01:01.531000,0 days 00:38:26.195000,0 days 00:39:36.023000,0 days 00:40:37.629000,133.0,146.0,150.0,137.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:37:53.056000,2024-12-07 10:53:03.010,1,,False,,False,False
0 days 00:42:57.953000,VER,1,,4.0,1.0,,,0 days 00:00:29.785000,0 days 00:00:54.904000,0 days 00:00:55.829000,0 days 00:41:07.220000,0 days 00:42:02.124000,0 days 00:42:57.953000,166.0,228.0,220.0,218.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:40:37.435000,2024-12-07 10:55:47.389,1,,False,,False,True
0 days 00:44:40.562000,VER,1,,5.0,1.0,,,0 days 00:00:17.480000,0 days 00:00:42.852000,0 days 00:00:42.277000,0 days 00:43:15.433000,0 days 00:43:58.285000,0 days 00:44:40.562000,288.0,193.0,224.0,328.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:42:57.953000,2024-12-07 10:58:07.907,1,,False,,False,True
0 days 00:46:05.295000,VER,1,,6.0,1.0,,,0 days 00:00:17.354000,0 days 00:00:36.309000,0 days 00:00:31.070000,0 days 00:44:57.916000,0 days 00:45:34.225000,0 days 00:46:05.295000,,325.0,216.0,330.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:44:40.562000,2024-12-07 10:59:50.516,1,,False,,False,True
0 days 00:48:32.838000,VER,1,,7.0,1.0,,,0 days 00:00:27.510000,0 days 00:01:08.521000,0 days 00:00:51.512000,0 days 00:46:32.805000,0 days 00:47:41.326000,0 days 00:48:32.838000,130.0,183.0,157.0,146.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:46:05.295000,2024-12-07 11:01:15.249,1,,False,,False,True
0 days 00:50:32.642000,VER,1,,8.0,1.0,,,0 days 00:00:27.575000,0 days 00:00:49.738000,0 days 00:00:42.491000,0 days 00:49:00.413000,0 days 00:49:50.151000,0 days 00:50:32.642000,200.0,228.0,223.0,227.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:48:32.838000,2024-12-07 11:03:42.792,1,,False,,False,True
0 days 00:52:07.656000,VER,1,,9.0,1.0,,0 days 00:52:06.577000,0 days 00:00:17.291000,0 days 00:00:40.979000,0 days 00:00:36.744000,0 days 00:50:49.933000,0 days 00:51:30.912000,0 days 00:52:07.656000,290.0,259.0,,253.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:50:32.642000,2024-12-07 11:05:42.596,1,,False,,False,False
0 days 01:03:26.086000,VER,1,,10.0,2.0,0 days 01:01:03.153000,,,0 days 00:00:52.604000,0 days 00:00:46.530000,,0 days 01:02:39.813000,0 days 01:03:26.299000,162.0,198.0,223.0,199.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:52:07.656000,2024-12-07 11:07:17.610,1,,False,,False,False
0 days 01:04:49.930000,VER,1,,11.0,2.0,,,0 days 00:00:17.206000,0 days 00:00:36.156000,0 days 00:00:30.482000,0 days 01:03:43.292000,0 days 01:04:19.448000,0 days 01:04:49.930000,288.0,326.0,218.0,330.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:26.086000,2024-12-07 11:18:36.040,1,,False,,False,True
0 days 01:07:28.654000,VER,1,,12.0,2.0,,0 days 01:07:27.514000,0 days 00:00:32.378000,0 days 00:01:11.973000,0 days 00:00:54.227000,0 days 01:05:23.230000,0 days 01:06:34.596000,0 days 01:07:28.654000,145.0,155.0,,114.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:04:49.930000,2024-12-07 11:19:59.884,1,,False,,False,False
0 days 01:09:52.310000,VER,1,,13.0,3.0,0 days 01:07:43.691000,,0 days 00:00:42.692000,0 days 00:00:55.084000,0 days 00:00:45.880000,0 days 01:08:11.346000,0 days 01:09:06.430000,0 days 01:09:52.310000,159.0,199.0,225.0,179.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:07:28.654000,2024-12-07 11:22:38.608,1,,False,,False,False
0 days 01:11:29.709000,VER,1,,14.0,3.0,,0 days 01:11:28.507000,0 days 00:00:17.293000,0 days 00:00:36.241000,0 days 00:00:43.865000,0 days 01:10:09.603000,0 days 01:10:45.844000,0 days 01:11:29.709000,290.0,326.0,,330.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:09:52.310000,2024-12-07 11:25:02.264,1,,False,,False,False
0 days 01:15:07.695000,VER,1,,15.0,4.0,0 days 01:13:25.116000,,,0 days 00:00:45.356000,0 days 00:00:34.017000,,0 days 01:14:33.810000,0 days 01:15:07.761000,180.0,282.0,180.0,231.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:11:29.709000,2024-12-07 11:26:39.663,1,,False,,False,False
0 days 01:16:57.251000,VER,1,,16.0,4.0,,,0 days 00:00:23.516000,0 days 00:00:41.168000,0 days 00:00:44.872000,0 days 01:15:31.211000,0 days 01:16:12.379000,0 days 01:16:57.251000,201.0,257.0,84.0,246.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:15:07.695000,2024-12-07 11:30:17.649,1,,False,,False,True
0 days 01:18:51.421000,VER,1,,17.0,4.0,,0 days 01:18:50.218000,0 days 00:00:38.530000,0 days 00:00:39.569000,0 days 00:00:36.071000,0 days 01:17:35.781000,0 days 01:18:15.350000,0 days 01:18:51.421000,269.0,283.0,,269.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:16:57.251000,2024-12-07 11:32:07.205,1,,False,,False,False
0 days 00:33:39.577000,NOR,4,,1.0,1.0,0 days 00:31:45.040000,,,0 days 00:00:47.671000,0 days 00:00:40.664000,,0 days 00:32:59.037000,0 days 00:33:39.688000,260.0,257.0,220.0,283.0,False,SOFT,1.0,True,McLaren,0 days 00:31:45.040000,2024-12-07 10:46:54.994,1,,False,,False,False
0 days 00:35:04.389000,NOR,4,,2.0,1.0,,,0 days 00:00:17.351000,0 days 00:00:36.765000,0 days 00:00:30.696000,0 days 00:33:56.928000,0 days 00:34:33.693000,0 days 00:35:04.389000,284.0,315.0,202.0,319.0,True,SOFT,2.0,True,McLaren,0 days 00:33:39.577000,2024-12-07 10:48:49.531,1,,False,,False,True
0 days 00:37:09.107000,NOR,4,,3.0,1.0,,0 days 00:37:07.969000,0 days 00:00:27.300000,0 days 00:00:50.636000,0 days 00:00:46.782000,0 days 00:35:31.689000,0 days 00:36:22.325000,0 days 00:37:09.107000,216.0,180.0,,221.0,False,SOFT,3.0,True,McLaren,0 days 00:35:04.389000,2024-12-07 10:50:14.343,1,,False,,False,False
0 days 00:43:08.030000,NOR,4,,4.0,2.0,0 days 00:40:50.096000,,,0 days 00:00:54.018000,0 days 00:00:57.699000,,0 days 00:42:10.605000,0 days 00:43:08.030000,197.0,174.0,223.0,186.0,False,SOFT,4.0,False,McLaren,0 days 00:37:09.107000,2024-12-07 10:52:19.061,1,,False,,False,False
0 days 00:45:01.492000,NOR,4,,5.0,2.0,,,0 days 00:00:21.670000,0 days 00:00:47.996000,0 days 00:00:43.796000,0 days 00:43:29.700000,0 days 00:44:17.696000,0 days 00:45:01.492000,221.0,236.0,222.0,200.0,False,SOFT,5.0,False,McLaren,0 days 00:43:08.030000,2024-12-07 10:58:17.984,1,,False,,False,True
0 days 00:46:54.767000,NOR,4,,6.0,2.0,,,0 days 00:00:17.346000,0 days 00:00:48.799000,0 days 00:00:47.130000,0 days 00:45:18.838000,0 days 00:46:07.637000,0 days 00:46:54.767000,283.0,175.0,220.0,224.0,False,SOFT,6.0,False,McLaren,0 days 00:45:01.492000,2024-12-07 11:00:11.446,1,,False,,False,True
0 days 00:48:26.614000,NOR,4,,7.0,2.0,,0 days 00:48:25.408000,0 days 00:00:18.098000,0 days 00:00:36.736000,0 days 00:00:37.013000,0 days 00:47:12.865000,0 days 00:47:49.601000,0 days 00:48:26.614000,284.0,319.0,,322.0,False,SOFT,7.0,False,McLaren,0 days 00:46:54.767000,2024-12-07 11:02:04.721,1,,False,,False,False
0 days 01:02:56.248000,NOR,4,,8.0,3.0,0 days 01:00:46.693000,,,0 days 00:00:52.505000,0 days 00:00:45.553000,,0 days 01:02:10.897000,0 days 01:02:56.468000,185.0,209.0,224.0,232.0,False,SOFT,1.0,True,McLaren,0 days 00:48:26.614000,2024-12-07 11:03:36.568,1,,False,,False,False
0 days 01:04:19.874000,NOR,4,,9.0,3.0,,,0 days 00:00:17.090000,0 days 00:00:36.227000,0 days 00:00:30.309000,0 days 01:03:13.338000,0 days 01:03:49.565000,0 days 01:04:19.874000,286.0,324.0,218.0,323.0,True,SOFT,2.0,True,McLaren,0 days 01:02:56.248000,2024-12-07 11:18:06.202,1,,False,,False,True
0 days 01:06:40.695000,NOR,4,,10.0,3.0,,0 days 01:06:39.539000,0 days 00:00:23.091000,0 days 00:01:07.352000,0 days 00:00:50.378000,0 days 01:04:42.965000,0 days 01:05:50.317000,0 days 01:06:40.695000,170.0,136.0,,120.0,False,SOFT,3.0,True,McLaren,0 days 01:04:19.874000,2024-12-07 11:19:29.828,1,,False,,False,False
0 days 01:09:24.497000,NOR,4,,11.0,4.0,0 days 01:07:12.358000,,0 days 00:01:00.157000,0 days 00:00:54.673000,0 days 00:00:48.862000,0 days 01:07:41.073000,0 days 01:08:35.745000,0 days 01:09:24.497000,182.0,220.0,225.0,151.0,False,SOFT,4.0,False,McLaren,0 days 01:06:40.695000,2024-12-07 11:21:50.649,1,,False,,False,False
0 days 01:10:58.142000,NOR,4,,12.0,4.0,,0 days 01:10:57.022000,0 days 00:00:17.327000,0 days 00:00:36.262000,0 days 00:00:40.056000,0 days 01:09:41.824000,0 days 01:10:18.086000,0 days 01:10:58.142000,287.0,320.0,,324.0,False,SOFT,5.0,False,McLaren,0 days 01:09:24.497000,2024-12-07 11:24:34.451,1,,False,,False,False
0 days 01:16:10.189000,NOR,4,,13.0,5.0,0 days 01:14:30.971000,,,0 days 00:00:42.012000,0 days 00:00:36.429000,,0 days 01:15:33.961000,0 days 01:16:10.264000,243.0,282.0,177.0,244.0,False,SOFT,6.0,False,McLaren,0 days 01:10:58.142000,2024-12-07 11:26:08.096,1,,False,,False,False
0 days 01:18:11.121000,NOR,4,,14.0,5.0,,,0 days 00:00:22.911000,0 days 00:00:45.446000,0 days 00:00:52.575000,0 days 01:16:33.100000,0 days 01:17:18.546000,0 days 01:18:11.121000,209.0,203.0,42.0,208.0,False,SOFT,7.0,False,McLaren,0 days 01:16:10.189000,2024-12-07 11:31:20.143,1,,False,,False,True
0 days 01:20:24.277000,NOR,4,,15.0,5.0,,0 days 01:20:23.164000,0 days 00:00:52.747000,0 days 00:00:44.305000,0 days 00:00:36.104000,0 days 01:19:03.868000,0 days 01:19:48.173000,0 days 01:20:24.277000,271.0,238.0,,230.0,False,SOFT,8.0,False,McLaren,0 days 01:18:11.121000,2024-12-07 11:33:21.075,1,,False,,False,False
0 days 00:22:30.279000,GAS,10,,1.0,1.0,0 days 00:20:35.426000,,,0 days 00:00:47.389000,0 days 00:00:42.148000,,0 days 00:21:48.354000,0 days 00:22:30.333000,218.0,213.0,217.0,240.0,False,SOFT,1.0,True,Alpine,0 days 00:20:35.426000,2024-12-07 10:35:45.380,1,,False,,False,False
0 days 00:23:56.319000,GAS,10,,2.0,1.0,,,0 days 00:00:17.682000,0 days 00:00:37.080000,0 days 00:00:31.278000,0 days 00:22:47.961000,0 days 00:23:25.041000,0 days 00:23:56.319000,284.0,317.0,214.0,320.0,True,SOFT,2.0,True,Alpine,0 days 00:22:30.279000,2024-12-07 10:37:40.233,1,,False,,False,True
0 days 00:26:15.058000,GAS,10,,3.0,1.0,,0 days 00:26:13.964000,0 days 00:00:28.807000,0 days 00:00:57.475000,0 days 00:00:52.457000,0 days 00:24:25.126000,0 days 00:25:22.601000,0 days 00:26:15.058000,156.0,237.0,,188.0,False,SOFT,3.0,True,Alpine,0 days 00:23:56.319000,2024-12-07 10:39:06.273,1,,False,,False,False
0 days 00:35:33.457000,GAS,10,,4.0,2.0,0 days 00:33:29.893000,,,0 days 00:00:49.019000,0 days 00:00:48.864000,,0 days 00:34:44.765000,0 days 00:35:33.457000,171.0,195.0,218.0,240.0,False,SOFT,4.0,False,Alpine,0 days 00:26:15.058000,2024-12-07 10:41:25.012,1,,False,,False,False
0 days 00:36:58.828000,GAS,10,,5.0,2.0,,,0 days 00:00:17.614000,0 days 00:00:36.746000,0 days 00:00:31.011000,0 days 00:35:51.071000,0 days 00:36:27.817000,0 days 00:36:58.828000,284.0,321.0,216.0,324.0,True,SOFT,5.0,False,Alpine,0 days 00:35:33.457000,2024-12-07 10:50:43.411,1,,False,,False,True
0 days 00:39:17.253000,GAS,10,,6.0,2.0,,0 days 00:39:16.138000,0 days 00:00:25.954000,0 days 00:01:00.139000,0 days 00:00:52.332000,0 days 00:37:24.782000,0 days 00:38:24.921000,0 days 00:39:17.253000,156.0,232.0,,189.0,False,SOFT,6.0,False,Alpine,0 days 00:36:58.828000,2024-12-07 10:52:08.782,1,,False,,False,False
0 days 00:47:55.744000,GAS,10,,7.0,3.0,0 days 00:45:50.610000,,,0 days 00:00:50.356000,0 days 00:00:41.394000,,0 days 00:47:14.510000,0 days 00:47:55.762000,129.0,293.0,221.0,240.0,False,SOFT,7.0,False,Alpine,0 days 00:39:17.253000,2024-12-07 10:54:27.207,1,,False,,False,False
0 days 00:49:20.771000,GAS,10,,8.0,3.0,,,0 days 00:00:17.394000,0 days 00:00:36.703000,0 days 00:00:30.930000,0 days 00:48:13.138000,0 days 00:48:49.841000,0 days 00:49:20.771000,286.0,323.0,218.0,326.0,True,SOFT,8.0,False,Alpine,0 days 00:47:55.744000,2024-12-07 11:03:05.698,1,,False,,False,True
0 days 00:51:22.626000,GAS,10,,9.0,3.0,,0 days 00:51:21.435000,0 days 00:00:22.035000,0 days 00:00:56.035000,0 days 00:00:43.785000,0 days 00:49:42.806000,0 days 00:50:38.841000,0 days 00:51:22.626000,257.0,238.0,,201.0,False,SOFT,9.0,False,Alpine,0 days 00:49:20.771000,2024-12-07 11:04:30.725,1,,False,,False,False
0 days 01:01:29.942000,GAS,10,,10.0,4.0,0 days 00:59:25.689000,,,0 days 00:00:53.893000,0 days 00:00:41.918000,,0 days 01:00:48.172000,0 days 01:01:30.046000,194.0,244.0,222.0,239.0,False,SOFT,1.0,True,Alpine,0 days 00:51:22.626000,2024-12-07 11:06:32.580,1,,False,,False,False
