Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:28.281000,28.0,60.0,1016.8,False,41.5,285,2.6
0 days 00:01:28.281000,27.9,60.0,1016.7,False,41.4,286,2.6
0 days 00:02:28.282000,28.0,60.0,1016.8,False,41.2,295,2.3
0 days 00:03:28.282000,27.9,60.0,1016.7,False,41.3,292,2.0
0 days 00:04:28.286000,27.9,60.0,1016.7,False,41.3,282,3.0
0 days 00:05:28.279000,27.9,60.0,1016.7,False,41.3,284,2.3
0 days 00:06:28.287000,27.9,60.0,1016.7,False,41.2,306,2.8
0 days 00:07:28.288000,27.9,60.0,1016.5,False,41.2,281,2.3
0 days 00:08:28.287000,28.0,61.0,1016.7,False,41.3,259,1.9
0 days 00:09:28.285000,28.0,60.0,1016.6,False,41.6,288,2.2
0 days 00:10:28.287000,28.0,60.0,1016.6,False,41.3,283,2.8
0 days 00:11:28.287000,28.0,60.0,1016.6,False,41.3,275,2.4
0 days 00:12:28.288000,27.9,60.0,1016.6,False,41.1,244,2.2
0 days 00:13:28.288000,27.9,60.0,1016.7,False,40.8,280,2.2
0 days 00:14:28.294000,27.9,61.0,1016.6,False,41.0,310,3.1
0 days 00:15:28.289000,28.0,61.0,1016.6,False,41.4,322,3.4
0 days 00:16:28.289000,27.9,61.0,1016.5,False,41.4,281,2.5
0 days 00:17:28.287000,27.9,62.0,1016.5,False,41.6,298,2.2
0 days 00:18:28.288000,27.9,61.0,1016.6,False,41.4,319,2.1
0 days 00:19:28.289000,27.9,61.0,1016.5,False,41.5,18,2.4
0 days 00:20:28.291000,27.9,62.0,1016.5,False,41.5,308,1.9
0 days 00:21:28.294000,28.0,61.0,1016.5,False,41.2,266,1.3
0 days 00:22:28.290000,28.0,60.0,1016.6,False,41.1,277,2.7
0 days 00:23:28.290000,28.0,60.0,1016.5,False,41.1,313,2.1
0 days 00:24:28.292000,28.0,60.0,1016.6,False,41.1,317,3.1
0 days 00:25:28.296000,27.9,62.0,1016.6,False,41.0,286,2.1
0 days 00:26:28.290000,28.0,62.0,1016.6,False,41.0,286,2.1
0 days 00:27:28.307000,28.0,61.0,1016.6,False,41.1,0,2.3
0 days 00:28:28.292000,28.0,61.0,1016.6,False,41.1,319,2.0
0 days 00:29:28.296000,28.0,61.0,1016.6,False,41.1,304,1.7
0 days 00:30:28.305000,28.0,61.0,1016.6,False,41.2,4,1.9
0 days 00:31:28.306000,28.0,60.0,1016.6,False,41.1,288,3.3
0 days 00:32:28.306000,27.9,61.0,1016.6,False,41.0,304,1.6
0 days 00:33:28.302000,27.9,61.0,1016.7,False,40.9,17,1.9
0 days 00:34:28.305000,27.8,61.0,1016.5,False,40.7,246,2.4
0 days 00:35:28.308000,27.9,61.0,1016.5,False,40.6,301,2.2
0 days 00:36:28.294000,27.8,62.0,1016.5,False,40.7,346,2.2
0 days 00:37:28.287000,27.9,61.0,1016.6,False,41.0,262,2.4
0 days 00:38:28.309000,27.9,61.0,1016.5,False,41.0,261,1.5
0 days 00:39:28.309000,27.9,61.0,1016.5,False,40.7,294,2.6
0 days 00:40:28.308000,28.0,61.0,1016.6,False,40.5,290,2.1
0 days 00:41:28.311000,28.0,61.0,1016.6,False,40.4,269,2.2
0 days 00:42:28.310000,27.9,61.0,1016.6,False,40.4,269,2.2
0 days 00:43:28.300000,27.9,61.0,1016.5,False,39.9,269,2.2
0 days 00:44:28.311000,27.9,61.0,1016.5,False,39.8,209,2.5
0 days 00:45:28.310000,27.9,61.0,1016.5,False,39.7,295,2.8
0 days 00:46:28.315000,27.9,61.0,1016.5,False,39.7,295,2.8
0 days 00:47:28.319000,28.0,61.0,1016.6,False,39.6,293,2.3
0 days 00:48:28.312000,27.9,61.0,1016.5,False,39.6,293,2.3
0 days 00:49:28.311000,28.0,61.0,1016.6,False,39.8,288,1.5
0 days 00:50:28.335000,27.9,61.0,1016.5,False,39.9,281,1.9
0 days 00:51:28.350000,28.0,61.0,1016.6,False,40.2,287,1.8
0 days 00:52:28.365000,28.0,61.0,1016.6,False,40.0,311,1.8
0 days 00:53:28.363000,28.0,61.0,1016.5,False,39.8,277,0.9
0 days 00:54:28.374000,28.0,60.0,1016.6,False,39.7,270,1.3
0 days 00:55:28.366000,28.0,60.0,1016.7,False,39.7,324,2.4
0 days 00:56:28.360000,28.0,60.0,1016.6,False,39.7,164,1.8
0 days 00:57:28.372000,28.0,61.0,1016.7,False,39.4,283,2.4
0 days 00:58:28.370000,28.0,60.0,1016.7,False,39.4,291,2.2
0 days 00:59:28.375000,27.9,60.0,1016.7,False,39.4,356,3.0
0 days 01:00:28.429000,27.9,61.0,1016.7,False,39.2,283,1.9
0 days 01:01:28.378000,27.9,61.0,1016.7,False,39.0,302,2.8
0 days 01:02:28.377000,27.8,61.0,1016.6,False,39.2,258,2.8
0 days 01:03:28.377000,27.8,61.0,1016.6,False,39.2,353,1.4
0 days 01:04:28.400000,27.8,61.0,1016.7,False,39.4,285,1.2
0 days 01:05:28.400000,27.8,61.0,1016.7,False,39.4,268,2.1
0 days 01:06:28.415000,27.8,60.0,1016.6,False,39.4,270,2.1
0 days 01:07:28.430000,27.8,60.0,1016.6,False,39.6,280,1.9
0 days 01:08:28.428000,27.8,60.0,1016.6,False,39.5,329,2.1
0 days 01:09:28.449000,27.8,60.0,1016.6,False,39.3,287,2.4
0 days 01:10:28.443000,27.7,60.0,1016.6,False,39.3,306,2.8
0 days 01:11:28.439000,27.8,60.0,1016.6,False,39.1,304,2.1
0 days 01:12:28.455000,27.8,60.0,1016.6,False,39.2,290,2.4
0 days 01:13:28.464000,27.8,59.0,1016.6,False,38.8,23,2.4
0 days 01:14:28.453000,27.8,60.0,1016.6,False,38.7,299,3.0
0 days 01:15:28.464000,27.8,59.0,1016.7,False,38.7,294,2.4
0 days 01:16:28.456000,27.7,60.0,1016.7,False,38.8,294,2.1
0 days 01:17:28.474000,27.7,60.0,1016.7,False,38.6,243,2.1
0 days 01:18:28.469000,27.7,60.0,1016.7,False,38.4,276,1.8
0 days 01:19:28.473000,27.8,60.0,1016.7,False,38.4,276,1.8
0 days 01:20:28.466000,27.8,59.0,1016.7,False,38.1,258,1.6
