Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:56.823000,27.8,42.0,1017.3,False,37.2,292,1.0
0 days 00:01:56.821000,27.8,43.0,1017.3,False,37.1,304,2.7
0 days 00:02:56.825000,27.7,43.0,1017.2,False,36.8,324,2.5
0 days 00:03:56.841000,27.7,43.0,1017.2,False,36.8,277,2.0
0 days 00:04:56.854000,27.6,44.0,1017.2,False,36.7,308,1.7
0 days 00:05:56.858000,27.6,44.0,1017.1,False,36.2,103,2.4
0 days 00:06:56.857000,27.6,44.0,1017.3,False,36.1,315,2.1
0 days 00:07:56.858000,27.6,44.0,1017.0,False,36.1,287,2.4
0 days 00:08:56.862000,27.6,44.0,1017.1,False,36.1,310,1.0
0 days 00:09:56.873000,27.7,43.0,1017.0,False,36.1,109,2.5
0 days 00:10:56.875000,27.8,43.0,1017.1,False,35.5,266,2.1
0 days 00:11:56.875000,27.7,43.0,1017.2,False,35.5,314,1.7
0 days 00:12:56.892000,27.6,44.0,1017.1,False,35.5,319,1.8
0 days 00:13:56.909000,27.5,44.0,1017.1,False,35.1,320,1.3
0 days 00:14:56.913000,27.6,44.0,1017.1,False,33.2,317,2.3
0 days 00:15:56.926000,27.5,45.0,1017.1,False,33.1,0,1.8
0 days 00:16:56.946000,27.5,45.0,1017.1,False,33.1,294,1.6
0 days 00:17:56.949000,27.5,45.0,1017.1,False,33.8,0,1.4
0 days 00:18:56.954000,27.5,46.0,1017.1,False,34.5,311,2.9
0 days 00:19:56.946000,27.4,46.0,1017.1,False,34.5,315,2.3
0 days 00:20:56.947000,27.4,47.0,1017.1,False,34.6,287,2.1
0 days 00:21:56.946000,27.4,47.0,1017.0,False,34.6,296,1.0
0 days 00:22:56.962000,27.5,47.0,1017.0,False,33.8,203,1.5
0 days 00:23:56.962000,27.5,46.0,1017.1,False,33.9,297,1.5
0 days 00:24:56.979000,27.5,45.0,1017.0,False,33.9,309,0.9
0 days 00:25:56.994000,27.5,45.0,1017.1,False,34.0,177,1.9
0 days 00:26:57.003000,27.5,45.0,1017.0,False,34.1,122,1.0
0 days 00:27:56.998000,27.5,44.0,1017.0,False,34.5,108,2.1
0 days 00:28:57.017000,27.5,44.0,1017.0,False,34.2,125,2.2
0 days 00:29:57.013000,27.4,44.0,1017.1,False,32.0,110,1.9
0 days 00:30:57.031000,27.4,45.0,1017.0,False,31.8,110,3.5
0 days 00:31:57.031000,27.3,45.0,1017.0,False,32.5,113,3.6
0 days 00:32:57.032000,27.3,46.0,1017.1,False,32.5,115,2.8
0 days 00:33:57.038000,27.2,46.0,1017.1,False,31.2,107,2.9
0 days 00:34:57.020000,27.3,46.0,1017.1,False,30.9,44,1.7
0 days 00:35:57.036000,27.3,46.0,1017.1,False,31.3,110,1.9
0 days 00:36:57.035000,27.3,45.0,1017.0,False,31.2,30,2.7
0 days 00:37:57.035000,27.2,45.0,1017.0,False,30.8,111,2.2
0 days 00:38:57.034000,27.2,46.0,1017.1,False,31.8,96,1.0
0 days 00:39:57.038000,27.1,45.0,1017.1,False,33.9,0,0.6
0 days 00:40:57.037000,27.2,45.0,1017.0,False,34.0,125,1.1
0 days 00:41:57.037000,27.3,45.0,1017.0,False,32.6,111,2.0
0 days 00:42:57.038000,27.2,45.0,1016.9,False,32.2,100,3.6
0 days 00:43:57.053000,27.2,46.0,1017.1,False,33.1,110,3.2
0 days 00:44:57.054000,27.1,47.0,1017.1,False,33.7,110,1.3
0 days 00:45:57.070000,27.1,47.0,1017.1,False,33.0,117,2.2
0 days 00:46:57.087000,27.1,47.0,1017.1,False,33.0,116,1.4
0 days 00:47:57.103000,27.1,47.0,1017.1,False,33.0,87,1.8
0 days 00:48:57.124000,27.1,47.0,1017.1,False,32.8,99,1.0
0 days 00:49:57.135000,27.1,47.0,1017.1,False,32.8,122,1.3
0 days 00:50:57.135000,27.1,47.0,1017.1,False,32.7,97,1.9
0 days 00:51:57.139000,27.0,47.0,1017.1,False,32.7,97,1.8
0 days 00:52:57.137000,27.0,47.0,1017.1,False,32.1,134,2.6
0 days 00:53:57.144000,27.1,48.0,1017.3,False,32.0,110,2.6
0 days 00:54:57.157000,27.0,49.0,1017.3,False,32.0,103,1.8
0 days 00:55:57.157000,27.0,49.0,1017.1,False,32.1,104,2.3
0 days 00:56:57.160000,27.0,49.0,1017.2,False,32.1,117,2.0
0 days 00:57:57.161000,27.0,49.0,1017.2,False,32.2,54,1.5
0 days 00:58:57.178000,27.0,49.0,1017.2,False,32.2,111,1.3
0 days 00:59:57.175000,26.9,49.0,1017.2,False,31.8,91,2.0
0 days 01:00:57.180000,27.0,49.0,1017.2,False,31.8,112,1.4
0 days 01:01:57.199000,26.9,49.0,1017.3,False,31.8,115,2.6
0 days 01:02:57.167000,26.9,50.0,1017.2,False,31.9,0,1.4
0 days 01:03:57.181000,26.9,50.0,1017.3,False,31.7,112,0.8
0 days 01:04:57.184000,26.8,50.0,1017.4,False,31.8,113,1.2
0 days 01:05:57.187000,26.9,50.0,1017.4,False,31.8,277,1.7
0 days 01:06:57.187000,26.8,50.0,1017.3,False,31.8,0,0.9
0 days 01:07:57.186000,26.9,51.0,1017.3,False,31.9,117,1.3
0 days 01:08:57.182000,26.9,51.0,1017.4,False,31.5,277,1.8
0 days 01:09:57.189000,26.8,51.0,1017.4,False,31.6,96,1.4
0 days 01:10:57.181000,26.8,51.0,1017.4,False,31.7,116,1.7
0 days 01:11:57.189000,26.9,51.0,1017.4,False,31.7,113,1.4
0 days 01:12:57.180000,26.9,51.0,1017.4,False,31.2,126,2.0
0 days 01:13:57.187000,26.8,51.0,1017.4,False,31.5,250,2.1
0 days 01:14:57.188000,26.8,52.0,1017.4,False,31.6,278,1.7
0 days 01:15:57.191000,26.8,52.0,1017.4,False,31.6,112,1.5
0 days 01:16:57.191000,26.8,52.0,1017.5,False,31.5,99,2.5
0 days 01:17:57.267000,26.8,51.0,1017.5,False,31.3,129,1.8
0 days 01:18:57.273000,26.8,52.0,1017.4,False,31.3,110,1.6
0 days 01:19:57.284000,26.8,52.0,1017.4,False,31.3,110,1.6
0 days 01:20:57.290000,26.7,52.0,1017.4,False,31.3,112,2.2
0 days 01:21:57.304000,26.7,52.0,1017.5,False,31.2,276,1.8
0 days 01:22:57.327000,26.6,52.0,1017.5,False,31.2,122,1.1
0 days 01:23:57.319000,26.7,52.0,1017.4,False,31.3,129,1.0
0 days 01:24:57.323000,26.7,52.0,1017.4,False,31.3,173,1.6
0 days 01:25:57.317000,26.6,52.0,1017.5,False,31.4,107,1.1
0 days 01:26:57.319000,26.7,52.0,1017.5,False,31.3,226,1.3
0 days 01:27:57.326000,26.6,53.0,1017.5,False,31.2,0,1.5
0 days 01:28:57.320000,26.6,53.0,1017.5,False,31.3,117,1.1
0 days 01:29:57.323000,26.6,53.0,1017.5,False,31.0,108,2.2
0 days 01:30:57.327000,26.5,53.0,1017.5,False,31.0,111,1.4
0 days 01:31:57.323000,26.6,53.0,1017.5,False,31.1,106,1.6
0 days 01:32:57.327000,26.5,53.0,1017.6,False,31.1,104,1.8
0 days 01:33:57.329000,26.5,54.0,1017.6,False,30.9,44,0.8
0 days 01:34:57.332000,26.5,54.0,1017.6,False,30.9,110,1.0
0 days 01:35:57.335000,26.5,54.0,1017.5,False,30.9,110,1.3
0 days 01:36:57.329000,26.5,54.0,1017.6,False,30.8,111,1.8
0 days 01:37:57.328000,26.4,55.0,1017.7,False,30.8,122,1.7
0 days 01:38:57.327000,26.4,55.0,1017.7,False,30.7,112,1.2
0 days 01:39:57.334000,26.4,55.0,1017.6,False,30.8,102,1.4
0 days 01:40:57.332000,26.4,55.0,1017.6,False,30.8,118,1.7
0 days 01:41:57.338000,26.4,56.0,1017.7,False,30.8,110,2.8
0 days 01:42:57.344000,26.4,56.0,1017.6,False,30.6,111,2.1
0 days 01:43:57.333000,26.4,56.0,1017.7,False,30.5,103,1.8
0 days 01:44:57.330000,26.4,56.0,1017.6,False,30.5,111,2.6
0 days 01:45:57.335000,26.3,57.0,1017.6,False,30.5,105,3.0
0 days 01:46:57.333000,26.3,57.0,1017.7,False,30.6,141,1.8
0 days 01:47:57.335000,26.3,57.0,1017.7,False,30.4,145,1.2
0 days 01:48:57.340000,26.3,57.0,1017.6,False,30.3,74,2.5
0 days 01:49:57.336000,26.3,57.0,1017.8,False,30.4,106,2.4
0 days 01:50:57.344000,26.3,57.0,1017.8,False,30.3,132,1.7
0 days 01:51:57.344000,26.3,58.0,1017.7,False,30.3,112,2.0
0 days 01:52:57.337000,26.3,58.0,1017.7,False,30.3,109,2.1
0 days 01:53:57.337000,26.2,58.0,1017.7,False,30.4,98,1.7
0 days 01:54:57.361000,26.2,58.0,1017.7,False,30.1,114,1.1
0 days 01:55:57.354000,26.2,58.0,1017.8,False,30.2,104,3.3
0 days 01:56:57.361000,26.1,58.0,1017.8,False,30.2,107,2.3
0 days 01:57:57.359000,26.1,58.0,1017.8,False,30.1,65,1.9
0 days 01:58:57.372000,26.2,58.0,1017.8,False,30.2,94,0.8
0 days 01:59:57.386000,26.1,58.0,1017.7,False,30.0,117,1.9
0 days 02:00:57.390000,26.1,58.0,1017.6,False,30.1,113,2.1
0 days 02:01:57.389000,26.1,58.0,1017.8,False,30.1,196,1.7
0 days 02:02:57.392000,26.1,58.0,1017.8,False,30.1,116,1.5
0 days 02:03:57.408000,26.1,58.0,1017.8,False,30.0,111,2.4
0 days 02:04:57.417000,26.1,58.0,1017.7,False,30.0,115,3.2
0 days 02:05:57.430000,26.0,58.0,1017.8,False,29.8,113,3.0
0 days 02:06:57.443000,26.0,59.0,1017.8,False,29.7,111,2.2
0 days 02:07:57.448000,26.0,59.0,1017.8,False,29.7,111,1.6
0 days 02:08:57.445000,26.0,59.0,1017.9,False,29.7,0,2.5
0 days 02:09:57.450000,26.0,59.0,1017.8,False,29.6,111,1.7
0 days 02:10:57.465000,26.0,59.0,1017.9,False,29.5,74,2.1
0 days 02:11:57.462000,26.0,59.0,1017.9,False,29.6,109,2.1
0 days 02:12:57.462000,26.0,59.0,1017.9,False,29.4,142,2.0
0 days 02:13:57.487000,25.9,59.0,1017.9,False,29.4,109,2.8
0 days 02:14:57.480000,25.9,59.0,1017.9,False,29.4,82,3.0
0 days 02:15:57.484000,25.9,59.0,1018.0,False,29.4,113,2.7
0 days 02:16:57.495000,25.9,60.0,1017.8,False,29.4,116,2.9
0 days 02:17:57.488000,25.9,60.0,1017.8,False,29.3,109,2.0
0 days 02:18:57.481000,25.9,60.0,1017.9,False,29.3,117,3.2
0 days 02:19:57.482000,25.9,60.0,1018.0,False,29.4,106,2.4
0 days 02:20:57.493000,25.9,60.0,1018.0,False,29.4,110,2.1
0 days 02:21:57.491000,25.9,60.0,1018.0,False,29.4,104,2.4
0 days 02:22:57.487000,25.9,60.0,1018.0,False,29.3,111,1.9
0 days 02:23:57.512000,25.9,60.0,1018.0,False,29.3,122,2.6
0 days 02:24:57.504000,25.9,60.0,1018.0,False,29.4,84,2.4
0 days 02:25:57.504000,25.8,60.0,1018.0,False,29.4,34,1.2
0 days 02:26:57.518000,25.8,60.0,1018.0,False,29.1,116,1.2
0 days 02:27:57.568000,25.8,60.0,1018.0,False,29.1,116,1.2
