Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:03.387000,VER,1,,1.0,1.0,0 days 00:15:31.575000,,,0 days 00:00:39.467000,0 days 00:00:21.879000,,0 days 00:16:41.687000,0 days 00:17:03.424000,273.0,225.0,288.0,213.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:31.575000,2024-06-28 14:34:48.698,1,,False,,False,False
0 days 00:18:09.077000,VER,1,,2.0,1.0,,,0 days 00:00:16.567000,0 days 00:00:29.531000,0 days 00:00:19.592000,0 days 00:17:19.954000,0 days 00:17:49.485000,0 days 00:18:09.077000,323.0,245.0,288.0,319.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:03.387000,2024-06-28 14:36:20.510,1,,False,,False,True
0 days 00:19:42.850000,VER,1,,3.0,1.0,,,0 days 00:00:26.087000,0 days 00:00:38.472000,0 days 00:00:29.214000,0 days 00:18:35.164000,0 days 00:19:13.636000,0 days 00:19:42.850000,183.0,218.0,132.0,265.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:09.077000,2024-06-28 14:37:26.200,1,,False,,False,True
0 days 00:21:12.067000,VER,1,,4.0,1.0,,,0 days 00:00:29.550000,0 days 00:00:37.344000,0 days 00:00:22.323000,0 days 00:20:12.400000,0 days 00:20:49.744000,0 days 00:21:12.067000,214.0,199.0,288.0,261.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:19:42.850000,2024-06-28 14:38:59.973,1,,False,,False,True
0 days 00:22:58.928000,VER,1,,5.0,1.0,,0 days 00:22:35.238000,0 days 00:00:16.561000,0 days 00:00:38.197000,0 days 00:00:52.103000,0 days 00:21:28.628000,0 days 00:22:06.825000,0 days 00:22:58.928000,323.0,177.0,,187.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:21:12.067000,2024-06-28 14:40:29.190,1,,False,,False,False
0 days 00:31:24.830000,VER,1,,6.0,2.0,0 days 00:29:58.644000,,,0 days 00:00:38.637000,0 days 00:00:22.386000,,0 days 00:31:02.607000,0 days 00:31:25.001000,219.0,212.0,287.0,234.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:22:58.928000,2024-06-28 14:42:16.051,12,,False,,False,False
0 days 00:32:30.016000,VER,1,,7.0,2.0,,,0 days 00:00:16.577000,0 days 00:00:29.152000,0 days 00:00:19.457000,0 days 00:31:41.407000,0 days 00:32:10.559000,0 days 00:32:30.016000,322.0,249.0,282.0,318.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:31:24.830000,2024-06-28 14:50:41.953,1,,False,,False,True
0 days 00:34:01.112000,VER,1,,8.0,2.0,,0 days 00:33:57.700000,0 days 00:00:21.848000,0 days 00:00:38.479000,0 days 00:00:30.769000,0 days 00:32:51.864000,0 days 00:33:30.343000,0 days 00:34:01.112000,198.0,184.0,,219.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:32:30.016000,2024-06-28 14:51:47.139,1,,False,,False,False
0 days 00:54:26.184000,VER,1,,9.0,3.0,0 days 00:52:57.835000,,,0 days 00:00:35.364000,0 days 00:00:23.986000,,0 days 00:54:02.198000,0 days 00:54:26.262000,247.0,216.0,290.0,289.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:34:01.112000,2024-06-28 14:53:18.235,1,,False,,False,False
0 days 00:55:30.870000,VER,1,,10.0,3.0,,,0 days 00:00:16.332000,0 days 00:00:28.950000,0 days 00:00:19.404000,0 days 00:54:42.516000,0 days 00:55:11.466000,0 days 00:55:30.870000,323.0,249.0,287.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:54:26.184000,2024-06-28 15:13:43.307,1,,False,,False,True
0 days 00:57:03.717000,VER,1,,11.0,3.0,,0 days 00:56:58.975000,0 days 00:00:20.839000,0 days 00:00:37.801000,0 days 00:00:34.207000,0 days 00:55:51.709000,0 days 00:56:29.510000,0 days 00:57:03.717000,209.0,148.0,,228.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:55:30.870000,2024-06-28 15:14:47.993,1,,False,,False,False
0 days 00:15:48.561000,PIA,81,,1.0,1.0,0 days 00:14:11.940000,,,0 days 00:00:36.640000,0 days 00:00:30.927000,,0 days 00:15:17.712000,0 days 00:15:48.561000,284.0,169.0,285.0,288.0,False,MEDIUM,1.0,True,McLaren,0 days 00:14:11.940000,2024-06-28 14:33:29.063,1,,False,,False,False
0 days 00:16:54.850000,PIA,81,,2.0,1.0,,,0 days 00:00:16.707000,0 days 00:00:29.536000,0 days 00:00:20.046000,0 days 00:16:05.268000,0 days 00:16:34.804000,0 days 00:16:54.850000,321.0,244.0,285.0,314.0,True,MEDIUM,2.0,True,McLaren,0 days 00:15:48.561000,2024-06-28 14:35:05.684,1,,False,,False,True
0 days 00:18:27.609000,PIA,81,,3.0,1.0,,,0 days 00:00:25.932000,0 days 00:00:39.702000,0 days 00:00:27.125000,0 days 00:17:20.782000,0 days 00:18:00.484000,0 days 00:18:27.609000,178.0,198.0,241.0,237.0,False,MEDIUM,3.0,True,McLaren,0 days 00:16:54.850000,2024-06-28 14:36:11.973,1,,False,,False,True
