Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:02.170000,27.3,42.0,940.3,False,41.9,134,0.8
0 days 00:02:02.175000,27.2,42.0,940.3,False,41.0,348,0.6
0 days 00:03:02.174000,27.2,43.0,940.3,False,40.7,0,0.5
0 days 00:04:02.171000,27.3,44.0,940.3,False,40.7,314,0.6
0 days 00:05:02.179000,27.4,43.0,940.3,False,42.5,13,0.7
0 days 00:06:02.180000,27.5,43.0,940.3,False,43.0,346,0.7
0 days 00:07:02.173000,27.5,42.0,940.3,False,43.7,333,1.3
0 days 00:08:02.175000,27.5,42.0,940.3,False,43.1,98,1.0
0 days 00:09:02.175000,27.5,42.0,940.3,False,43.2,55,0.8
0 days 00:10:02.170000,27.4,41.0,940.3,False,43.9,86,0.8
0 days 00:11:02.181000,27.4,41.0,940.2,False,43.8,100,1.0
0 days 00:12:02.175000,27.4,42.0,940.3,False,42.8,96,1.2
0 days 00:13:02.200000,27.3,42.0,940.2,False,42.8,95,1.3
0 days 00:14:02.198000,27.3,42.0,940.1,False,43.0,99,2.4
0 days 00:15:02.218000,27.3,42.0,940.2,False,43.0,117,1.8
0 days 00:16:02.217000,27.4,43.0,940.3,False,42.5,123,1.5
0 days 00:17:02.235000,27.4,42.0,940.2,False,42.9,92,1.0
0 days 00:18:02.220000,27.5,42.0,940.2,False,43.2,94,1.5
0 days 00:19:02.274000,27.6,42.0,940.2,False,43.3,90,1.2
0 days 00:20:02.230000,27.7,42.0,940.2,False,43.3,97,2.1
0 days 00:21:02.305000,27.7,42.0,940.3,False,42.4,80,2.2
0 days 00:22:02.246000,27.5,42.0,940.2,False,41.3,69,1.3
0 days 00:23:02.265000,27.4,42.0,940.2,False,41.1,0,0.4
0 days 00:24:02.271000,27.4,43.0,940.2,False,41.7,122,1.6
0 days 00:25:02.279000,27.6,43.0,940.2,False,42.8,73,1.3
0 days 00:26:02.282000,27.6,42.0,940.2,False,43.0,0,0.5
0 days 00:27:02.282000,27.6,42.0,940.1,False,43.2,50,0.0
0 days 00:28:02.280000,27.7,41.0,940.2,False,42.7,0,0.7
0 days 00:29:02.287000,27.6,41.0,940.1,False,42.7,270,0.6
0 days 00:30:02.277000,27.6,42.0,940.1,False,43.4,294,0.8
0 days 00:31:02.281000,27.6,41.0,940.1,False,43.4,295,1.5
0 days 00:32:02.293000,27.6,41.0,940.2,False,42.7,4,1.3
0 days 00:33:02.280000,27.5,41.0,940.1,False,42.5,0,0.7
0 days 00:34:02.292000,27.6,42.0,940.2,False,42.6,4,0.4
0 days 00:35:02.286000,27.8,42.0,940.2,False,42.6,140,0.6
0 days 00:36:02.281000,27.9,42.0,940.2,False,43.8,136,1.3
0 days 00:37:02.327000,28.0,41.0,940.1,False,43.8,28,0.6
0 days 00:38:02.291000,27.9,40.0,940.1,False,43.7,256,0.8
0 days 00:39:02.304000,28.0,40.0,940.0,False,43.6,153,0.7
0 days 00:40:02.301000,28.0,41.0,940.1,False,43.6,136,0.3
0 days 00:41:02.310000,28.1,40.0,940.0,False,43.6,55,0.8
0 days 00:42:02.318000,28.0,40.0,940.1,False,43.7,339,0.8
0 days 00:43:02.325000,28.0,40.0,940.1,False,43.9,21,0.3
0 days 00:44:02.325000,27.9,39.0,940.1,False,43.6,319,0.9
0 days 00:45:02.341000,27.8,39.0,940.1,False,43.2,267,0.9
0 days 00:46:02.327000,27.8,40.0,940.2,False,43.2,260,1.0
0 days 00:47:02.325000,27.9,40.0,940.1,False,43.2,318,1.0
0 days 00:48:02.329000,27.9,40.0,940.1,False,43.3,255,1.1
0 days 00:49:02.334000,27.9,41.0,940.2,False,43.4,230,0.8
0 days 00:50:02.325000,27.8,41.0,940.2,False,43.3,312,0.5
0 days 00:51:02.339000,27.9,40.0,940.1,False,43.3,144,1.1
0 days 00:52:02.333000,28.0,39.0,940.2,False,43.4,111,0.8
0 days 00:53:02.328000,28.0,39.0,940.1,False,43.2,142,0.5
0 days 00:54:02.339000,28.0,39.0,940.1,False,43.3,109,0.9
0 days 00:55:02.371000,28.0,39.0,940.2,False,43.2,83,1.3
0 days 00:56:02.374000,28.0,39.0,940.2,False,43.0,40,1.9
0 days 00:57:02.366000,27.9,40.0,940.2,False,43.0,39,0.9
0 days 00:58:02.401000,27.9,40.0,940.2,False,42.7,118,0.7
