Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:49:41.953000,VER,1,,1.0,1.0,,,,0 days 00:00:31.187000,0 days 00:00:21.081000,,0 days 00:49:20.899000,0 days 00:49:42.142000,297.0,234.0,273.0,293.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:48:29.599000,2024-06-29 10:06:04.325,1,1.0,False,,False,False
0 days 00:50:51.075000,VER,1,,2.0,1.0,,,0 days 00:00:17.572000,0 days 00:00:30.882000,0 days 00:00:20.668000,0 days 00:49:59.549000,0 days 00:50:30.431000,0 days 00:50:51.099000,292.0,237.0,274.0,295.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:49:41.953000,2024-06-29 10:07:16.679,1,1.0,False,,False,True
0 days 00:52:00.376000,VER,1,,3.0,1.0,,,0 days 00:00:17.517000,0 days 00:00:31.251000,0 days 00:00:20.533000,0 days 00:51:08.616000,0 days 00:51:39.867000,0 days 00:52:00.400000,290.0,238.0,275.0,302.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:50:51.075000,2024-06-29 10:08:25.801,1,1.0,False,,False,True
0 days 00:53:09.472000,VER,1,,4.0,1.0,,,0 days 00:00:17.484000,0 days 00:00:31.039000,0 days 00:00:20.573000,0 days 00:52:17.884000,0 days 00:52:48.923000,0 days 00:53:09.496000,288.0,240.0,275.0,290.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:52:00.376000,2024-06-29 10:09:35.102,1,1.0,False,,False,True
0 days 00:54:19.374000,VER,1,,5.0,1.0,,,0 days 00:00:17.481000,0 days 00:00:31.940000,0 days 00:00:20.481000,0 days 00:53:26.977000,0 days 00:53:58.917000,0 days 00:54:19.398000,287.0,234.0,275.0,314.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:53:09.472000,2024-06-29 10:10:44.198,1,1.0,False,,False,True
0 days 00:55:28.433000,VER,1,,6.0,1.0,,,0 days 00:00:17.560000,0 days 00:00:30.861000,0 days 00:00:20.638000,0 days 00:54:36.958000,0 days 00:55:07.819000,0 days 00:55:28.457000,,237.0,273.0,291.0,True,MEDIUM,11.0,False,Red Bull Racing,0 days 00:54:19.374000,2024-06-29 10:11:54.100,1,1.0,False,,False,True
0 days 00:56:37.495000,VER,1,,7.0,1.0,,,0 days 00:00:17.531000,0 days 00:00:30.873000,0 days 00:00:20.658000,0 days 00:55:45.988000,0 days 00:56:16.861000,0 days 00:56:37.519000,293.0,238.0,273.0,297.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:55:28.433000,2024-06-29 10:13:03.159,1,1.0,False,,False,True
0 days 00:57:46.508000,VER,1,,8.0,1.0,,,0 days 00:00:17.665000,0 days 00:00:30.793000,0 days 00:00:20.555000,0 days 00:56:55.184000,0 days 00:57:25.977000,0 days 00:57:46.532000,288.0,239.0,274.0,293.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 00:56:37.495000,2024-06-29 10:14:12.221,1,1.0,False,,False,True
0 days 00:58:55.567000,VER,1,,9.0,1.0,,,0 days 00:00:17.591000,0 days 00:00:30.845000,0 days 00:00:20.623000,0 days 00:58:04.123000,0 days 00:58:34.968000,0 days 00:58:55.591000,291.0,235.0,274.0,296.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 00:57:46.508000,2024-06-29 10:15:21.234,1,1.0,False,,False,True
0 days 01:00:04.733000,VER,1,,10.0,1.0,,,0 days 00:00:17.618000,0 days 00:00:30.870000,0 days 00:00:20.678000,0 days 00:59:13.209000,0 days 00:59:44.079000,0 days 01:00:04.757000,288.0,236.0,274.0,294.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 00:58:55.567000,2024-06-29 10:16:30.293,1,1.0,False,,False,True
