Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:48.754000,26.1,54.0,941.7,False,39.0,114,0.7
0 days 00:01:48.724000,26.1,54.0,941.8,False,38.9,0,0.0
0 days 00:02:48.717000,26.3,54.0,941.7,False,38.8,260,0.3
0 days 00:03:48.731000,26.4,54.0,941.7,False,39.0,330,0.5
0 days 00:04:48.721000,26.5,54.0,941.7,False,40.3,305,1.1
0 days 00:05:48.734000,26.6,54.0,941.7,False,40.3,8,0.5
0 days 00:06:48.730000,26.6,53.0,941.8,False,40.4,280,0.4
0 days 00:07:48.729000,26.7,54.0,941.7,False,40.7,305,0.7
0 days 00:08:48.756000,26.8,53.0,941.7,False,40.3,301,1.0
0 days 00:09:48.769000,26.8,54.0,941.6,False,40.3,31,0.9
0 days 00:10:48.811000,26.8,54.0,941.6,False,40.7,262,0.8
0 days 00:11:48.784000,26.9,54.0,941.6,False,40.7,276,1.1
0 days 00:12:48.770000,27.0,54.0,941.6,False,39.7,13,0.6
0 days 00:13:48.787000,27.0,55.0,941.6,False,40.2,293,0.4
0 days 00:14:48.787000,26.9,55.0,941.6,False,40.5,0,0.9
0 days 00:15:48.794000,27.0,54.0,941.7,False,40.6,19,0.5
0 days 00:16:48.813000,27.1,53.0,941.5,False,41.1,0,1.2
0 days 00:17:48.825000,27.3,53.0,941.5,False,41.4,306,0.4
0 days 00:18:48.813000,27.3,53.0,941.6,False,41.4,291,1.1
0 days 00:19:48.841000,27.3,52.0,941.6,False,40.9,303,1.0
0 days 00:20:48.844000,27.4,54.0,941.5,False,40.9,327,1.3
0 days 00:21:48.858000,27.5,54.0,941.5,False,41.4,210,0.9
0 days 00:22:48.868000,27.5,54.0,941.6,False,41.4,322,0.3
0 days 00:23:48.867000,27.5,52.0,941.5,False,41.7,193,0.8
0 days 00:24:48.870000,27.5,50.0,941.6,False,42.1,266,1.1
0 days 00:25:48.857000,27.6,48.0,941.6,False,42.4,286,0.7
0 days 00:26:48.863000,27.8,48.0,941.6,False,42.4,275,1.2
0 days 00:27:48.879000,27.8,46.0,941.6,False,42.4,279,1.7
0 days 00:28:48.896000,27.8,46.0,941.5,False,42.5,272,1.3
0 days 00:29:48.918000,27.8,45.0,941.5,False,42.7,266,0.6
0 days 00:30:48.911000,27.9,45.0,941.5,False,42.7,281,1.0
0 days 00:31:48.907000,27.9,46.0,941.5,False,42.4,294,1.4
0 days 00:32:48.921000,28.0,46.0,941.5,False,42.4,271,1.1
0 days 00:33:48.907000,28.0,46.0,941.5,False,42.3,289,1.3
0 days 00:34:48.937000,28.0,47.0,941.5,False,42.3,278,1.3
0 days 00:35:48.922000,28.0,47.0,941.4,False,43.0,276,1.1
0 days 00:36:48.934000,28.1,47.0,941.4,False,42.6,285,1.4
0 days 00:37:48.963000,28.2,49.0,941.4,False,42.6,282,1.8
0 days 00:38:48.958000,28.3,47.0,941.3,False,42.9,0,0.8
0 days 00:39:48.975000,28.4,48.0,941.5,False,42.8,282,1.1
0 days 00:40:48.966000,28.4,47.0,941.4,False,43.1,276,1.2
0 days 00:41:48.976000,28.4,47.0,941.4,False,42.8,205,1.0
0 days 00:42:48.973000,28.4,46.0,941.4,False,42.5,0,0.6
0 days 00:43:48.965000,28.3,48.0,941.4,False,42.5,345,0.0
0 days 00:44:48.971000,28.4,48.0,941.3,False,43.2,19,0.5
0 days 00:45:48.982000,28.5,47.0,941.3,False,43.1,300,1.0
0 days 00:46:48.974000,28.5,47.0,941.3,False,43.1,2,1.2
0 days 00:47:48.974000,28.6,47.0,941.2,False,43.1,261,0.9
0 days 00:48:49.002000,28.5,46.0,941.3,False,43.7,288,0.7
0 days 00:49:48.991000,28.7,45.0,941.3,False,43.5,255,2.0
0 days 00:50:48.997000,28.7,46.0,941.3,False,43.0,237,1.3
0 days 00:51:49.003000,28.9,45.0,941.3,False,43.4,10,0.7
0 days 00:52:49.014000,29.0,46.0,941.1,False,44.4,151,1.4
0 days 00:53:49.015000,29.0,45.0,941.1,False,44.4,191,1.7
0 days 00:54:49.013000,29.0,45.0,941.1,False,44.1,241,1.0
0 days 00:55:49.029000,29.0,45.0,941.2,False,44.5,87,0.9
0 days 00:56:49.015000,29.0,44.0,941.2,False,44.5,0,0.5
0 days 00:57:49.005000,29.0,43.0,941.1,False,44.7,125,1.3
0 days 00:58:49.020000,29.0,42.0,941.1,False,44.3,35,0.8
0 days 00:59:49.018000,29.0,42.0,941.0,False,44.4,109,1.2
0 days 01:00:49.010000,29.2,43.0,941.1,False,44.7,126,1.9
0 days 01:01:48.998000,29.3,42.0,941.1,False,44.8,92,1.3
0 days 01:02:49.013000,29.5,41.0,941.1,False,44.8,114,1.5
0 days 01:03:49.021000,29.4,41.0,941.1,False,44.8,100,1.7
0 days 01:04:49.013000,29.4,41.0,941.1,False,45.1,95,2.5
0 days 01:05:49.021000,29.4,41.0,941.0,False,44.6,81,1.4
0 days 01:06:49.025000,29.3,41.0,941.2,False,44.5,124,0.9
0 days 01:07:49.021000,29.4,42.0,941.2,False,44.3,311,1.2
0 days 01:08:49.016000,29.4,41.0,941.1,False,43.9,196,1.1
0 days 01:09:49.019000,29.4,42.0,941.1,False,43.9,190,1.0
0 days 01:10:49.105000,29.5,41.0,941.1,False,44.7,341,1.2
0 days 01:11:49.091000,29.6,41.0,941.1,False,44.7,42,1.0
0 days 01:12:49.121000,29.6,41.0,941.0,False,44.5,36,1.2
0 days 01:13:49.126000,29.5,42.0,940.9,False,45.2,119,1.5
0 days 01:14:49.130000,29.5,42.0,941.1,False,45.4,273,2.0
0 days 01:15:49.153000,29.5,41.0,941.0,False,45.5,148,1.7
0 days 01:16:49.155000,29.5,40.0,941.0,False,45.4,40,1.5
0 days 01:17:49.156000,29.6,41.0,940.9,False,45.5,178,0.6
