Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:10.951000,28.9,33.0,1015.1,False,41.2,62,1.6
0 days 00:01:10.950000,28.7,32.0,1015.1,False,40.9,94,1.8
0 days 00:02:10.950000,28.8,31.0,1015.1,False,40.6,85,1.8
0 days 00:03:10.952000,28.7,30.0,1015.0,False,40.0,80,2.5
0 days 00:04:10.952000,28.6,30.0,1015.1,False,39.8,115,2.6
0 days 00:05:10.954000,28.5,29.0,1015.2,False,39.5,42,1.9
0 days 00:06:10.955000,28.4,29.0,1015.0,False,39.2,96,1.6
0 days 00:07:10.955000,28.5,30.0,1015.0,False,39.1,171,0.8
0 days 00:08:10.958000,28.6,30.0,1015.0,False,39.1,57,1.3
0 days 00:09:10.963000,28.6,29.0,1015.0,False,39.1,97,0.6
0 days 00:10:10.957000,28.7,30.0,1015.1,False,39.3,80,0.7
0 days 00:11:10.957000,28.8,30.0,1014.9,False,39.1,86,1.2
0 days 00:12:10.958000,28.9,29.0,1015.1,False,38.8,54,1.4
0 days 00:13:10.958000,29.0,31.0,1015.0,False,38.4,82,1.2
0 days 00:14:10.959000,28.8,31.0,1015.0,False,38.5,97,1.5
0 days 00:15:10.960000,28.7,31.0,1014.9,False,38.9,85,1.6
0 days 00:16:10.961000,28.8,31.0,1014.9,False,38.4,112,2.3
0 days 00:17:10.961000,28.8,31.0,1014.9,False,38.1,101,1.9
0 days 00:18:10.963000,28.8,30.0,1014.9,False,38.0,141,2.0
0 days 00:19:10.963000,28.8,30.0,1014.9,False,38.0,100,0.8
0 days 00:20:10.964000,28.9,30.0,1014.8,False,38.1,96,1.1
0 days 00:21:10.965000,29.0,29.0,1015.0,False,38.0,85,0.8
0 days 00:22:10.965000,29.2,29.0,1015.0,False,37.6,0,1.0
0 days 00:23:10.959000,29.0,29.0,1014.9,False,37.6,197,0.9
0 days 00:24:10.967000,29.0,28.0,1014.9,False,37.5,57,1.1
0 days 00:25:10.969000,29.1,28.0,1015.0,False,37.2,0,0.9
0 days 00:26:10.969000,29.1,29.0,1015.1,False,37.1,39,1.4
0 days 00:27:10.969000,29.1,27.0,1015.0,False,37.2,84,2.0
0 days 00:28:10.971000,29.0,28.0,1015.0,False,36.8,33,1.2
0 days 00:29:10.975000,28.8,28.0,1015.0,False,36.8,180,1.3
0 days 00:30:10.979000,28.7,28.0,1015.0,False,37.0,16,0.6
0 days 00:31:10.973000,28.8,28.0,1015.0,False,37.0,102,0.9
0 days 00:32:10.976000,28.8,29.0,1015.0,False,36.7,54,0.9
0 days 00:33:10.974000,28.7,29.0,1014.9,False,36.8,121,0.6
0 days 00:34:10.976000,28.8,28.0,1014.9,False,36.9,358,1.2
0 days 00:35:10.976000,28.9,29.0,1015.0,False,36.6,91,1.8
0 days 00:36:10.983000,28.9,29.0,1015.0,False,36.1,74,2.0
0 days 00:37:10.976000,28.8,29.0,1015.0,False,36.1,97,1.9
0 days 00:38:10.979000,28.6,29.0,1015.0,False,36.1,87,1.6
0 days 00:39:10.978000,28.5,30.0,1015.1,False,36.0,98,1.2
0 days 00:40:10.980000,28.5,30.0,1015.1,False,36.0,55,1.4
0 days 00:41:10.978000,28.8,30.0,1015.0,False,36.3,177,1.0
0 days 00:42:10.979000,28.9,30.0,1015.1,False,36.3,79,1.1
0 days 00:43:10.980000,28.9,30.0,1015.1,False,36.0,73,1.2
0 days 00:44:10.984000,28.8,31.0,1015.1,False,36.0,49,0.9
0 days 00:45:10.981000,28.8,31.0,1015.1,False,35.8,39,1.5
0 days 00:46:10.982000,28.7,31.0,1015.2,False,35.5,160,1.0
0 days 00:47:10.984000,28.6,31.0,1015.1,False,35.4,66,1.8
0 days 00:48:10.984000,28.5,32.0,1015.2,False,35.4,82,1.5
0 days 00:49:10.985000,28.5,32.0,1015.1,False,35.4,114,1.9
0 days 00:50:10.986000,28.5,32.0,1015.2,False,35.4,65,1.6
0 days 00:51:10.987000,28.6,32.0,1015.2,False,35.2,100,1.3
0 days 00:52:10.987000,28.5,32.0,1015.2,False,35.2,88,0.9
0 days 00:53:10.988000,28.5,32.0,1015.1,False,35.2,0,0.0
0 days 00:54:11,28.6,32.0,1015.1,False,35.4,58,0.9
0 days 00:55:10.990000,28.5,32.0,1015.2,False,35.1,61,0.9
0 days 00:56:10.992000,28.4,33.0,1015.1,False,34.9,71,1.9
0 days 00:57:10.993000,28.3,34.0,1015.1,False,34.8,86,1.5
0 days 00:58:10.992000,28.3,33.0,1015.1,False,34.9,106,1.9
0 days 00:59:10.992000,28.2,33.0,1015.2,False,34.9,86,1.4
0 days 01:00:10.993000,28.3,33.0,1015.0,False,34.8,38,2.0
0 days 01:01:10.995000,28.2,35.0,1015.1,False,34.5,335,0.7
0 days 01:02:10.995000,28.1,35.0,1015.1,False,34.5,109,0.8
0 days 01:03:10.996000,28.1,35.0,1015.1,False,34.8,51,0.9
0 days 01:04:10.996000,28.1,35.0,1015.2,False,34.6,145,0.9
0 days 01:05:10.998000,28.2,36.0,1015.1,False,34.5,234,0.9
0 days 01:06:10.998000,28.2,39.0,1015.2,False,34.3,2,1.7
0 days 01:07:10.999000,28.2,39.0,1015.2,False,34.1,79,0.7
0 days 01:08:10.999000,28.2,40.0,1015.2,False,34.2,58,1.0
0 days 01:09:11,28.1,41.0,1015.2,False,34.2,52,0.6
0 days 01:10:11.002000,28.1,41.0,1015.2,False,34.2,80,0.4
0 days 01:11:11.002000,28.0,41.0,1015.2,False,34.3,332,0.5
0 days 01:12:11.003000,28.1,42.0,1015.1,False,34.2,283,0.8
0 days 01:13:11.007000,28.2,43.0,1015.2,False,33.9,266,0.9
0 days 01:14:11.005000,28.1,44.0,1015.2,False,33.6,321,1.1
0 days 01:15:11.004000,28.0,45.0,1015.3,False,33.6,273,0.7
0 days 01:16:11.013000,27.8,45.0,1015.2,False,33.4,99,0.7
0 days 01:17:11.005000,27.8,46.0,1015.1,False,33.4,270,0.9
0 days 01:18:11.006000,27.6,46.0,1015.1,False,33.4,252,1.0
0 days 01:19:11.007000,27.5,46.0,1015.2,False,33.4,327,0.6
0 days 01:20:11.007000,27.5,47.0,1015.2,False,33.5,271,0.9
0 days 01:21:11.008000,27.5,47.0,1015.2,False,32.9,299,0.6
