Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:25.827000,VER,1,,1.0,1.0,0 days 00:15:15.455000,0 days 00:17:24.560000,,0 days 00:00:48.526000,0 days 00:00:32.580000,,0 days 00:16:53.449000,0 days 00:17:25.827000,178.0,210.0,,295.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:15.455000,2024-09-14 08:30:50.043,1,,False,,False,False
0 days 00:40:57.867000,VER,1,,2.0,2.0,0 days 00:38:54.676000,,,0 days 00:00:47.514000,0 days 00:00:26.558000,,0 days 00:40:31.408000,0 days 00:40:57.980000,195.0,223.0,337.0,301.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:38:54.676000,2024-09-14 08:54:29.264,1,,False,,False,False
0 days 00:42:43.076000,VER,1,,3.0,2.0,,,0 days 00:00:37.481000,0 days 00:00:42.449000,0 days 00:00:25.279000,0 days 00:41:35.348000,0 days 00:42:17.797000,0 days 00:42:43.076000,216.0,241.0,336.0,314.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:40:57.867000,2024-09-14 08:56:32.455,1,,False,,False,True
0 days 00:45:29.933000,VER,1,,4.0,2.0,,,0 days 00:00:55.980000,0 days 00:01:09.500000,0 days 00:00:41.356000,0 days 00:43:39.278000,0 days 00:44:48.757000,0 days 00:45:29.933000,112.0,132.0,209.0,184.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:42:43.076000,2024-09-14 08:58:17.664,1,,False,,False,False
0 days 00:55:48.231000,VER,1,,5.0,2.0,,0 days 00:48:15.277000,0 days 00:00:53.167000,,,0 days 00:46:23.209000,,,153.0,,,,False,SOFT,4.0,True,Red Bull Racing,0 days 00:45:29.933000,2024-09-14 09:01:04.521,125,,False,,False,False
0 days 00:57:43.022000,VER,1,,6.0,3.0,0 days 00:55:48.231000,,,0 days 00:00:49.797000,0 days 00:00:26.275000,,0 days 00:57:16.913000,0 days 00:57:43.096000,202.0,166.0,340.0,303.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:55:48.231000,2024-09-14 09:11:22.819,12,,False,,False,False
0 days 00:59:26.606000,VER,1,,7.0,3.0,,,0 days 00:00:36.776000,0 days 00:00:41.698000,0 days 00:00:25.110000,0 days 00:58:19.798000,0 days 00:59:01.496000,0 days 00:59:26.606000,209.0,240.0,339.0,316.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:57:43.022000,2024-09-14 09:13:17.610,1,,False,,False,True
0 days 01:01:22.509000,VER,1,,8.0,3.0,,0 days 01:01:21.120000,0 days 00:00:39.849000,0 days 00:00:44.502000,0 days 00:00:31.552000,0 days 01:00:06.455000,0 days 01:00:50.957000,0 days 01:01:22.509000,204.0,212.0,,292.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:59:26.606000,2024-09-14 09:15:01.194,1,,False,,False,False
0 days 01:05:12.556000,VER,1,,9.0,4.0,0 days 01:03:17.460000,,,0 days 00:00:51.824000,0 days 00:00:26.105000,,0 days 01:04:46.718000,0 days 01:05:12.600000,188.0,214.0,340.0,304.0,False,SOFT,2.0,False,Red Bull Racing,0 days 01:01:22.509000,2024-09-14 09:16:57.097,12,,False,,False,False
0 days 01:07:28.493000,VER,1,,10.0,4.0,,,0 days 00:00:45.527000,0 days 00:01:03.109000,0 days 00:00:27.301000,0 days 01:05:58.083000,0 days 01:07:01.192000,0 days 01:07:28.493000,116.0,99.0,339.0,303.0,False,SOFT,3.0,False,Red Bull Racing,0 days 01:05:12.556000,2024-09-14 09:20:47.144,12,,False,,False,True
0 days 01:09:11.357000,VER,1,,11.0,4.0,,,0 days 00:00:36.312000,0 days 00:00:41.441000,0 days 00:00:25.111000,0 days 01:08:04.805000,0 days 01:08:46.246000,0 days 01:09:11.357000,223.0,236.0,338.0,316.0,True,SOFT,4.0,False,Red Bull Racing,0 days 01:07:28.493000,2024-09-14 09:23:03.081,1,,False,,False,True
0 days 01:11:51.493000,VER,1,,12.0,4.0,,,0 days 00:00:58.220000,0 days 00:01:05.963000,0 days 00:00:35.868000,0 days 01:10:09.750000,0 days 01:11:15.756000,0 days 01:11:51.557000,92.0,130.0,219.0,208.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:09:11.357000,2024-09-14 09:24:45.945,1,,False,,False,False
0 days 01:13:54.998000,VER,1,,13.0,4.0,,,0 days 00:00:47.963000,0 days 00:00:49.114000,0 days 00:00:26.428000,0 days 01:12:39.456000,0 days 01:13:28.570000,0 days 01:13:54.998000,158.0,208.0,338.0,302.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:11:51.493000,2024-09-14 09:27:26.081,12,,False,,False,True
0 days 01:15:37.860000,VER,1,,14.0,4.0,,,0 days 00:00:36.317000,0 days 00:00:41.465000,0 days 00:00:25.080000,0 days 01:14:31.315000,0 days 01:15:12.780000,0 days 01:15:37.860000,229.0,244.0,337.0,315.0,True,SOFT,7.0,False,Red Bull Racing,0 days 01:13:54.998000,2024-09-14 09:29:29.586,1,,False,,False,True
0 days 01:17:58.353000,VER,1,,15.0,4.0,,,0 days 00:00:47.133000,0 days 00:00:51.118000,0 days 00:00:42.242000,0 days 01:16:24.993000,0 days 01:17:16.111000,0 days 01:17:58.353000,182.0,170.0,60.0,283.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:15:37.860000,2024-09-14 09:31:12.448,1,,False,,False,True
0 days 01:20:20.718000,VER,1,,16.0,4.0,,0 days 01:20:19.385000,0 days 00:01:03.694000,0 days 00:00:47.123000,0 days 00:00:31.548000,0 days 01:19:02.047000,0 days 01:19:49.170000,0 days 01:20:20.718000,197.0,195.0,,292.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:17:58.353000,2024-09-14 09:33:32.941,1,,False,,False,False
0 days 00:39:23.373000,GAS,10,,1.0,1.0,0 days 00:27:37.418000,0 days 00:29:53.087000,,0 days 00:00:49.400000,,,0 days 00:29:07.345000,,177.0,118.0,,,False,SOFT,1.0,True,Alpine,0 days 00:27:37.418000,2024-09-14 08:43:12.006,125,,False,,False,False
