Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:01.731000,LEC,16,,1.0,1.0,0 days 00:14:48.249000,,,0 days 00:00:53.737000,0 days 00:00:26.509000,,0 days 00:16:35.337000,0 days 00:17:01.731000,168.0,188.0,340.0,302.0,False,SOFT,1.0,True,Ferrari,0 days 00:14:48.249000,2024-09-14 12:01:53.799,1,,False,,False,False
0 days 00:18:45.326000,LEC,16,,2.0,1.0,,,0 days 00:00:36.853000,0 days 00:00:41.715000,0 days 00:00:25.027000,0 days 00:17:38.584000,0 days 00:18:20.299000,0 days 00:18:45.326000,214.0,233.0,335.0,315.0,True,SOFT,2.0,True,Ferrari,0 days 00:17:01.731000,2024-09-14 12:04:07.281,1,,False,,False,True
0 days 00:20:59.893000,LEC,16,,3.0,1.0,,,0 days 00:00:51.584000,0 days 00:00:56.573000,0 days 00:00:26.410000,0 days 00:19:36.910000,0 days 00:20:33.483000,0 days 00:20:59.893000,154.0,159.0,342.0,303.0,False,SOFT,3.0,True,Ferrari,0 days 00:18:45.326000,2024-09-14 12:05:50.876,1,,False,,False,True
0 days 00:23:09.315000,LEC,16,,4.0,1.0,,,0 days 00:00:46.328000,0 days 00:00:56.321000,0 days 00:00:26.773000,0 days 00:21:46.221000,0 days 00:22:42.542000,0 days 00:23:09.315000,146.0,168.0,338.0,302.0,False,SOFT,4.0,True,Ferrari,0 days 00:20:59.893000,2024-09-14 12:08:05.443,12,,True,DOUBLE YELLOW AT TURN 1,False,True
0 days 00:24:52.090000,LEC,16,,5.0,1.0,,,0 days 00:00:36.162000,0 days 00:00:41.601000,0 days 00:00:25.012000,0 days 00:23:45.477000,0 days 00:24:27.078000,0 days 00:24:52.090000,221.0,233.0,337.0,317.0,True,SOFT,5.0,True,Ferrari,0 days 00:23:09.315000,2024-09-14 12:10:14.865,12,,False,,False,True
0 days 00:27:12.442000,LEC,16,,6.0,1.0,,0 days 00:27:11.151000,0 days 00:00:50.579000,0 days 00:00:54.448000,0 days 00:00:35.325000,0 days 00:25:42.669000,0 days 00:26:37.117000,0 days 00:27:12.442000,137.0,178.0,,284.0,False,SOFT,6.0,True,Ferrari,0 days 00:24:52.090000,2024-09-14 12:11:57.640,1,,False,,False,False
0 days 00:39:49.931000,LEC,16,,7.0,2.0,0 days 00:37:57.961000,,,0 days 00:00:46.343000,0 days 00:00:26.513000,,0 days 00:39:23.432000,0 days 00:39:50.176000,193.0,203.0,331.0,296.0,False,SOFT,7.0,False,Ferrari,0 days 00:27:12.442000,2024-09-14 12:14:17.992,12,,False,,False,False
0 days 00:41:33.353000,LEC,16,,8.0,2.0,,,0 days 00:00:36.513000,0 days 00:00:41.906000,0 days 00:00:25.003000,0 days 00:40:26.444000,0 days 00:41:08.350000,0 days 00:41:33.353000,218.0,227.0,336.0,317.0,True,SOFT,8.0,False,Ferrari,0 days 00:39:49.931000,2024-09-14 12:26:55.481,1,,False,,False,True
0 days 00:43:36.333000,LEC,16,,9.0,2.0,,0 days 00:43:33.769000,0 days 00:00:41.970000,0 days 00:00:46.601000,0 days 00:00:34.409000,0 days 00:42:15.323000,0 days 00:43:01.924000,0 days 00:43:36.333000,181.0,206.0,,290.0,False,SOFT,9.0,False,Ferrari,0 days 00:41:33.353000,2024-09-14 12:28:38.903,1,,False,,False,False
0 days 00:46:27.860000,LEC,16,,10.0,3.0,0 days 00:44:31.610000,,0 days 00:01:36.422000,0 days 00:00:48.732000,0 days 00:00:26.401000,0 days 00:45:12.743000,0 days 00:46:01.592000,0 days 00:46:28.066000,188.0,206.0,333.0,298.0,False,SOFT,1.0,True,Ferrari,0 days 00:43:36.333000,2024-09-14 12:30:41.883,1,,False,,False,False
