Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:49.898000,20.6,30.0,1017.6,False,35.2,62,2.6
0 days 00:01:49.895000,20.6,30.0,1017.7,False,35.1,83,3.4
0 days 00:02:49.949000,20.6,30.0,1017.6,False,35.0,61,2.8
0 days 00:03:49.895000,20.5,30.0,1017.7,False,34.9,37,2.9
0 days 00:04:49.895000,20.5,31.0,1017.7,False,34.8,44,3.7
0 days 00:05:49.899000,20.5,31.0,1017.4,False,34.3,45,2.2
0 days 00:06:49.909000,20.5,31.0,1017.5,False,34.3,41,3.7
0 days 00:07:49.904000,20.5,31.0,1017.5,False,34.3,49,3.3
0 days 00:08:49.905000,20.5,32.0,1017.6,False,34.3,67,2.9
0 days 00:09:49.904000,20.5,32.0,1017.6,False,34.3,55,2.7
0 days 00:10:49.903000,20.4,32.0,1017.6,False,34.1,55,2.8
0 days 00:11:49.900000,20.4,33.0,1017.6,False,34.0,60,2.8
0 days 00:12:49.907000,20.4,33.0,1017.6,False,33.7,42,2.3
0 days 00:13:49.907000,20.4,33.0,1017.6,False,34.1,65,2.8
0 days 00:14:49.903000,20.5,33.0,1017.5,False,33.9,62,2.6
0 days 00:15:49.901000,20.5,33.0,1017.5,False,34.0,82,3.4
0 days 00:16:49.911000,20.4,33.0,1017.6,False,34.0,78,1.9
0 days 00:17:49.911000,20.4,33.0,1017.6,False,34.0,51,2.3
0 days 00:18:49.900000,20.4,33.0,1017.5,False,34.1,61,2.5
0 days 00:19:49.896000,20.5,33.0,1017.6,False,33.9,57,2.7
0 days 00:20:49.911000,20.4,33.0,1017.6,False,33.7,46,3.2
0 days 00:21:49.901000,20.4,34.0,1017.6,False,33.6,52,2.6
0 days 00:22:49.914000,20.4,33.0,1017.6,False,33.4,61,3.0
0 days 00:23:49.917000,20.4,32.0,1017.6,False,33.3,52,2.7
0 days 00:24:49.907000,20.5,33.0,1017.6,False,33.1,49,3.5
0 days 00:25:49.906000,20.5,33.0,1017.6,False,33.0,45,3.2
0 days 00:26:49.917000,20.4,34.0,1017.7,False,32.8,48,4.0
0 days 00:27:49.915000,20.3,35.0,1017.6,False,32.8,64,3.0
0 days 00:28:49.920000,20.3,35.0,1017.6,False,32.7,53,3.5
0 days 00:29:49.897000,20.3,35.0,1017.6,False,32.7,43,3.1
0 days 00:30:49.919000,20.3,33.0,1017.6,False,32.7,64,4.0
0 days 00:31:49.914000,20.3,33.0,1017.7,False,32.2,51,3.6
0 days 00:32:49.919000,20.2,35.0,1017.8,False,32.2,48,3.0
0 days 00:33:49.922000,20.3,35.0,1017.6,False,32.3,43,1.8
0 days 00:34:49.922000,20.2,35.0,1017.7,False,32.4,28,3.4
0 days 00:35:49.923000,20.3,36.0,1017.7,False,32.4,41,2.3
0 days 00:36:49.923000,20.3,36.0,1017.6,False,32.3,53,3.5
0 days 00:37:49.932000,20.3,36.0,1017.7,False,32.2,75,2.6
0 days 00:38:49.924000,20.3,36.0,1017.8,False,32.1,60,3.4
0 days 00:39:49.923000,20.3,36.0,1017.7,False,31.9,45,2.9
0 days 00:40:49.926000,20.2,36.0,1017.7,False,31.9,46,2.4
0 days 00:41:49.956000,20.3,36.0,1017.8,False,31.9,41,2.8
0 days 00:42:49.958000,20.4,36.0,1017.7,False,32.3,42,1.8
0 days 00:43:49.981000,20.4,37.0,1017.7,False,32.0,47,2.3
0 days 00:44:50.001000,20.4,37.0,1017.7,False,31.9,57,2.6
0 days 00:45:50.013000,20.3,37.0,1017.8,False,31.9,70,1.8
