Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:24.518000,VER,1,,1.0,1.0,0 days 00:13:02.739000,,,0 days 00:01:07.849000,0 days 00:00:34.627000,,0 days 00:14:50.083000,0 days 00:15:24.648000,210.0,157.0,228.0,161.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:13:02.739000,2024-07-26 15:00:34.406,1,,False,,False,False
0 days 00:17:07.974000,VER,1,,2.0,1.0,,,0 days 00:00:30.475000,0 days 00:00:44.695000,0 days 00:00:28.286000,0 days 00:15:54.993000,0 days 00:16:39.688000,0 days 00:17:07.974000,338.0,209.0,222.0,311.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:15:24.518000,2024-07-26 15:02:56.185,1,,False,,False,True
0 days 00:20:06.161000,VER,1,,3.0,1.0,,0 days 00:20:01.875000,0 days 00:00:56.334000,0 days 00:01:14.307000,0 days 00:00:47.433000,0 days 00:18:04.421000,0 days 00:19:18.787000,0 days 00:20:06.205000,161.0,139.0,,153.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:17:07.974000,2024-07-26 15:04:39.641,1,,False,,False,False
0 days 00:23:01.219000,VER,1,,4.0,2.0,0 days 00:20:25.750000,,0 days 00:01:01.900000,0 days 00:01:12.706000,0 days 00:00:40.633000,0 days 00:21:08.136000,0 days 00:22:20.838000,0 days 00:23:01.410000,175.0,157.0,229.0,178.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:20:06.161000,2024-07-26 15:07:37.828,1,,False,,False,False
0 days 00:24:44.558000,VER,1,,5.0,2.0,,,0 days 00:00:30.373000,0 days 00:00:44.549000,0 days 00:00:28.417000,0 days 00:23:31.592000,0 days 00:24:16.141000,0 days 00:24:44.558000,337.0,204.0,223.0,311.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:23:01.219000,2024-07-26 15:10:32.886,1,,False,,False,True
0 days 00:27:09.036000,VER,1,,6.0,2.0,,0 days 00:27:04.998000,0 days 00:00:37.352000,0 days 00:00:55.900000,0 days 00:00:51.226000,0 days 00:25:21.910000,0 days 00:26:17.810000,0 days 00:27:09.036000,244.0,188.0,,214.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:24:44.558000,2024-07-26 15:12:16.225,1,,False,,False,False
0 days 00:36:26.258000,VER,1,,7.0,3.0,0 days 00:33:53.250000,,,0 days 00:01:12.909000,0 days 00:00:37.679000,,0 days 00:35:48.767000,0 days 00:36:26.336000,189.0,150.0,226.0,182.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:27:09.036000,2024-07-26 15:14:40.703,1,,False,,False,False
0 days 00:38:08.735000,VER,1,,8.0,3.0,,,0 days 00:00:30.281000,0 days 00:00:43.904000,0 days 00:00:28.292000,0 days 00:36:56.539000,0 days 00:37:40.443000,0 days 00:38:08.735000,337.0,208.0,222.0,312.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:36:26.258000,2024-07-26 15:23:57.925,1,,False,,False,True
0 days 00:40:29.294000,VER,1,,9.0,3.0,,0 days 00:40:25.227000,0 days 00:00:40.865000,0 days 00:00:59.699000,0 days 00:00:39.995000,0 days 00:38:49.600000,0 days 00:39:49.299000,0 days 00:40:29.294000,162.0,171.0,,221.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:38:08.735000,2024-07-26 15:25:40.402,1,,False,,False,False
0 days 00:48:19.046000,VER,1,,10.0,4.0,0 days 00:46:29.880000,,,0 days 00:00:50.918000,0 days 00:00:29.596000,,0 days 00:47:49.600000,0 days 00:48:19.152000,195.0,193.0,214.0,292.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:40:29.294000,2024-07-26 15:28:00.961,1,,False,,False,False
