Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:14.052000,21.0,52.0,978.1,False,42.1,217,0.5
0 days 00:01:14.050000,20.6,53.0,978.0,False,42.1,0,1.1
0 days 00:02:14.047000,20.6,52.0,978.0,False,42.2,284,0.7
0 days 00:03:14.053000,20.7,51.0,978.1,False,42.0,244,1.4
0 days 00:04:14.057000,20.7,51.0,978.1,False,41.1,13,1.2
0 days 00:05:14.062000,20.6,51.0,978.1,False,41.1,328,1.5
0 days 00:06:14.052000,20.8,50.0,978.1,False,40.5,21,1.8
0 days 00:07:14.075000,20.9,50.0,978.1,False,39.9,328,1.3
0 days 00:08:14.092000,20.9,51.0,978.2,False,40.1,314,1.3
0 days 00:09:14.123000,20.9,51.0,978.1,False,40.5,285,0.9
0 days 00:10:14.108000,21.0,51.0,978.2,False,40.9,203,1.2
0 days 00:11:14.106000,20.9,50.0,978.1,False,41.5,204,0.9
0 days 00:12:14.098000,20.8,51.0,978.0,False,41.5,177,0.9
0 days 00:13:14.124000,20.8,51.0,978.1,False,41.5,127,0.9
0 days 00:14:14.127000,20.9,51.0,978.0,False,41.8,152,1.4
0 days 00:15:14.146000,21.0,50.0,978.1,False,41.9,219,1.4
0 days 00:16:14.145000,21.0,53.0,978.1,False,41.9,349,1.2
0 days 00:17:14.141000,21.0,50.0,978.1,False,42.3,4,2.6
0 days 00:18:14.143000,21.1,49.0,978.2,False,42.4,345,2.4
0 days 00:19:14.145000,21.2,50.0,978.2,False,42.3,12,1.7
0 days 00:20:14.150000,21.3,51.0,978.2,False,42.4,15,1.0
0 days 00:21:14.146000,21.5,51.0,978.2,False,42.4,355,1.2
0 days 00:22:14.152000,21.4,50.0,978.2,False,42.3,345,0.8
0 days 00:23:14.145000,21.4,51.0,978.2,False,42.3,4,1.5
0 days 00:24:14.150000,21.4,52.0,978.1,False,42.4,258,0.8
0 days 00:25:14.150000,21.3,51.0,978.1,False,42.6,267,0.7
0 days 00:26:14.145000,21.2,52.0,978.1,False,42.6,6,1.8
0 days 00:27:14.149000,21.2,50.0,978.2,False,42.6,30,2.3
0 days 00:28:14.155000,21.0,51.0,978.2,False,42.6,358,1.3
0 days 00:29:14.156000,20.9,50.0,978.2,False,42.2,319,2.0
0 days 00:30:14.156000,20.7,51.0,978.2,False,40.1,19,1.7
0 days 00:31:14.159000,20.6,51.0,978.2,False,39.4,279,2.5
0 days 00:32:14.151000,20.6,52.0,978.2,False,39.7,223,0.8
0 days 00:33:14.161000,20.8,53.0,978.1,False,40.9,1,0.9
0 days 00:34:14.162000,21.0,51.0,978.3,False,41.6,348,0.9
0 days 00:35:14.165000,21.0,50.0,978.2,False,41.2,19,2.2
0 days 00:36:14.162000,21.0,51.0,978.3,False,40.2,22,1.6
0 days 00:37:14.165000,20.8,52.0,978.2,False,39.8,20,2.1
0 days 00:38:14.157000,20.7,52.0,978.1,False,39.1,329,2.0
0 days 00:39:14.167000,20.7,51.0,978.2,False,38.2,17,2.6
0 days 00:40:14.162000,20.8,51.0,978.2,False,38.0,352,2.3
