Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:37.548000,VER,1,,1.0,1.0,0 days 00:18:06.407000,,,0 days 00:00:54.521000,0 days 00:00:17.552000,,0 days 00:19:20.244000,0 days 00:19:37.712000,287.0,216.0,318.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:18:06.407000,2024-11-01 14:33:07.407,1,,False,,False,False
0 days 00:20:51.363000,VER,1,,2.0,1.0,,,0 days 00:00:18.862000,0 days 00:00:37.855000,0 days 00:00:17.098000,0 days 00:19:56.410000,0 days 00:20:34.265000,0 days 00:20:51.363000,321.0,258.0,321.0,326.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:19:37.548000,2024-11-01 14:34:38.548,1,,False,,False,True
0 days 00:22:51.603000,VER,1,,3.0,1.0,,,0 days 00:00:33.330000,0 days 00:01:08.774000,0 days 00:00:18.136000,0 days 00:21:24.693000,0 days 00:22:33.467000,0 days 00:22:51.603000,136.0,187.0,320.0,245.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:51.363000,2024-11-01 14:35:52.363,1,,False,,False,True
0 days 00:24:04.352000,VER,1,,4.0,1.0,,,0 days 00:00:18.652000,0 days 00:00:37.224000,0 days 00:00:16.873000,0 days 00:23:10.255000,0 days 00:23:47.479000,0 days 00:24:04.352000,321.0,262.0,322.0,327.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:22:51.603000,2024-11-01 14:37:52.603,1,,False,,False,True
0 days 00:26:05.857000,VER,1,,5.0,1.0,,0 days 00:26:02.879000,0 days 00:00:30.690000,0 days 00:01:04.750000,0 days 00:00:26.065000,0 days 00:24:35.042000,0 days 00:25:39.792000,0 days 00:26:05.857000,166.0,151.0,,252.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:24:04.352000,2024-11-01 14:39:05.352,1,,False,,False,False
0 days 00:28:15.906000,VER,1,,6.0,2.0,0 days 00:26:28.505000,,0 days 00:00:47.240000,0 days 00:01:04.957000,0 days 00:00:17.852000,0 days 00:26:53.097000,0 days 00:27:58.054000,0 days 00:28:15.906000,184.0,112.0,323.0,,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:26:05.857000,2024-11-01 14:41:06.857,1,,False,,False,False
0 days 00:29:46.418000,VER,1,,7.0,2.0,,,0 days 00:00:18.625000,0 days 00:00:54.243000,0 days 00:00:17.644000,0 days 00:28:34.531000,0 days 00:29:28.774000,0 days 00:29:46.418000,324.0,222.0,324.0,331.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:28:15.906000,2024-11-01 14:43:16.906,1,,False,,False,True
0 days 00:30:58.130000,VER,1,,8.0,2.0,,,0 days 00:00:18.357000,0 days 00:00:36.790000,0 days 00:00:16.565000,0 days 00:30:04.775000,0 days 00:30:41.565000,0 days 00:30:58.130000,,263.0,322.0,332.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:29:46.418000,2024-11-01 14:44:47.418,1,,False,,False,True
0 days 00:32:34.015000,VER,1,,9.0,2.0,,0 days 00:32:31.082000,0 days 00:00:29.391000,0 days 00:00:44.128000,0 days 00:00:22.366000,0 days 00:31:27.521000,0 days 00:32:11.649000,0 days 00:32:34.015000,238.0,215.0,,242.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:30:58.130000,2024-11-01 14:45:59.130,1,,False,,False,False
0 days 00:41:26.160000,VER,1,,10.0,3.0,0 days 00:39:40.368000,,,0 days 00:00:40.353000,0 days 00:00:19.975000,,0 days 00:41:06.408000,0 days 00:41:26.198000,266.0,233.0,305.0,,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:32:34.015000,2024-11-01 14:47:35.015,1,,False,,False,False
0 days 00:42:41.966000,VER,1,,11.0,3.0,,,0 days 00:00:19.395000,0 days 00:00:39.158000,0 days 00:00:17.253000,0 days 00:41:45.555000,0 days 00:42:24.713000,0 days 00:42:41.966000,307.0,243.0,306.0,297.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:41:26.160000,2024-11-01 14:56:27.160,1,,False,,False,True
0 days 00:43:57.740000,VER,1,,12.0,3.0,,,0 days 00:00:19.333000,0 days 00:00:39.033000,0 days 00:00:17.408000,0 days 00:43:01.299000,0 days 00:43:40.332000,0 days 00:43:57.740000,308.0,239.0,305.0,292.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:42:41.966000,2024-11-01 14:57:42.966,1,,False,,False,True
0 days 00:45:13.565000,VER,1,,13.0,3.0,,,0 days 00:00:19.332000,0 days 00:00:39.244000,0 days 00:00:17.249000,0 days 00:44:17.072000,0 days 00:44:56.316000,0 days 00:45:13.565000,306.0,241.0,305.0,291.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:43:57.740000,2024-11-01 14:58:58.740,1,,False,,False,True
0 days 00:46:29.368000,VER,1,,14.0,3.0,,,0 days 00:00:19.433000,0 days 00:00:39.085000,0 days 00:00:17.285000,0 days 00:45:32.998000,0 days 00:46:12.083000,0 days 00:46:29.368000,305.0,241.0,306.0,293.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 00:45:13.565000,2024-11-01 15:00:14.565,1,,False,,False,True
0 days 00:47:45.292000,VER,1,,15.0,3.0,,,0 days 00:00:19.388000,0 days 00:00:39.168000,0 days 00:00:17.368000,0 days 00:46:48.756000,0 days 00:47:27.924000,0 days 00:47:45.292000,307.0,238.0,308.0,287.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 00:46:29.368000,2024-11-01 15:01:30.368,1,,False,,False,True
0 days 00:49:01.257000,VER,1,,16.0,3.0,,,0 days 00:00:19.299000,0 days 00:00:39.284000,0 days 00:00:17.382000,0 days 00:48:04.591000,0 days 00:48:43.875000,0 days 00:49:01.257000,309.0,239.0,309.0,298.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 00:47:45.292000,2024-11-01 15:02:46.292,1,,False,,False,True
0 days 00:50:17.329000,VER,1,,17.0,3.0,,,0 days 00:00:19.344000,0 days 00:00:39.304000,0 days 00:00:17.424000,0 days 00:49:20.601000,0 days 00:49:59.905000,0 days 00:50:17.329000,310.0,240.0,307.0,294.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 00:49:01.257000,2024-11-01 15:04:02.257,1,,False,,False,True
