Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:16:47.425000,NOR,4,,1.0,1.0,0 days 00:15:05.537000,,,0 days 00:00:51.738000,0 days 00:00:20.664000,,0 days 00:16:26.889000,0 days 00:16:47.425000,239.0,183.0,283.0,,False,WET,1.0,True,McLaren,0 days 00:15:05.537000,2024-11-03 10:30:07.652,1,,False,,False,False
0 days 00:18:19.033000,NOR,4,,2.0,1.0,,,0 days 00:00:23.126000,0 days 00:00:48.438000,0 days 00:00:20.044000,0 days 00:17:10.551000,0 days 00:17:58.989000,0 days 00:18:19.033000,273.0,200.0,292.0,232.0,True,WET,2.0,True,McLaren,0 days 00:16:47.425000,2024-11-03 10:31:49.540,12,,False,,False,True
0 days 00:19:56.979000,NOR,4,,3.0,1.0,,,0 days 00:00:23.092000,0 days 00:00:54.037000,0 days 00:00:20.817000,0 days 00:18:42.125000,0 days 00:19:36.162000,0 days 00:19:56.979000,276.0,135.0,295.0,,False,WET,3.0,True,McLaren,0 days 00:18:19.033000,2024-11-03 10:33:21.148,12,,False,,False,True
0 days 00:21:43.326000,NOR,4,,4.0,1.0,,,0 days 00:00:26.935000,0 days 00:00:57.028000,0 days 00:00:22.384000,0 days 00:20:23.914000,0 days 00:21:20.942000,0 days 00:21:43.326000,247.0,60.0,299.0,255.0,False,WET,4.0,True,McLaren,0 days 00:19:56.979000,2024-11-03 10:34:59.094,12,,True,TRACK LIMITS AT TURN 2 LAP 5 7:35:10,False,True
0 days 00:23:14.958000,NOR,4,,5.0,1.0,,,0 days 00:00:23.847000,0 days 00:00:48.449000,0 days 00:00:19.336000,0 days 00:22:07.173000,0 days 00:22:55.622000,0 days 00:23:14.958000,281.0,204.0,301.0,235.0,False,WET,5.0,True,McLaren,0 days 00:21:43.326000,2024-11-03 10:36:45.441,1,,False,,False,True
0 days 00:32:08.629000,NOR,4,,6.0,1.0,,0 days 00:25:01.940000,0 days 00:00:23.667000,,,0 days 00:23:38.749000,,,277.0,,,244.0,False,WET,6.0,True,McLaren,0 days 00:23:14.958000,2024-11-03 10:38:17.073,125,,False,,False,False
0 days 00:33:47.611000,NOR,4,,7.0,2.0,0 days 00:32:08.629000,,,0 days 00:00:50.835000,0 days 00:00:20.667000,,0 days 00:33:27.092000,0 days 00:33:47.950000,248.0,180.0,289.0,,False,WET,1.0,True,McLaren,0 days 00:32:08.629000,2024-11-03 10:47:10.744,1,,False,,False,False
0 days 00:35:18.893000,NOR,4,,8.0,2.0,,,0 days 00:00:23.330000,0 days 00:00:48.276000,0 days 00:00:19.676000,0 days 00:34:10.941000,0 days 00:34:59.217000,0 days 00:35:18.893000,285.0,204.0,296.0,227.0,True,WET,2.0,True,McLaren,0 days 00:33:47.611000,2024-11-03 10:48:49.726,1,,False,,False,True
0 days 00:36:58.726000,NOR,4,,9.0,2.0,,,0 days 00:00:24.269000,0 days 00:00:52.034000,0 days 00:00:23.530000,0 days 00:35:43.162000,0 days 00:36:35.196000,0 days 00:36:58.726000,247.0,164.0,293.0,231.0,False,WET,3.0,True,McLaren,0 days 00:35:18.893000,2024-11-03 10:50:21.008,1,,False,,False,True
0 days 00:38:46.024000,NOR,4,,10.0,2.0,,,0 days 00:00:23.870000,0 days 00:00:57.709000,0 days 00:00:25.719000,0 days 00:37:22.596000,0 days 00:38:20.305000,0 days 00:38:46.024000,280.0,87.0,295.0,234.0,False,WET,4.0,True,McLaren,0 days 00:36:58.726000,2024-11-03 10:52:00.841,12,,True,DOUBLE YELLOW AT TURN 12,False,True
0 days 00:40:17.357000,NOR,4,,11.0,2.0,,,0 days 00:00:23.545000,0 days 00:00:48.464000,0 days 00:00:19.324000,0 days 00:39:09.569000,0 days 00:39:58.033000,0 days 00:40:17.357000,283.0,214.0,301.0,228.0,False,WET,5.0,True,McLaren,0 days 00:38:46.024000,2024-11-03 10:53:48.139,1,,False,,False,True
0 days 00:41:48.301000,NOR,4,,12.0,2.0,,,0 days 00:00:23.804000,0 days 00:00:48.039000,0 days 00:00:19.101000,0 days 00:40:41.161000,0 days 00:41:29.200000,0 days 00:41:48.301000,290.0,210.0,299.0,231.0,True,WET,6.0,True,McLaren,0 days 00:40:17.357000,2024-11-03 10:55:19.472,1,,False,,False,True
0 days 00:43:44.001000,NOR,4,,13.0,2.0,,0 days 00:43:41.080000,0 days 00:00:29.356000,0 days 00:00:56.075000,0 days 00:00:30.269000,0 days 00:42:17.657000,0 days 00:43:13.732000,0 days 00:43:44.001000,178.0,158.0,,220.0,False,WET,7.0,True,McLaren,0 days 00:41:48.301000,2024-11-03 10:56:50.416,1,,False,,False,False
