Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:35.097000,NOR,4,,1.0,1.0,0 days 00:16:28.622000,,,0 days 00:00:40.836000,0 days 00:00:17.032000,,0 days 00:18:18.236000,0 days 00:18:35.248000,236.0,233.0,322.0,,False,MEDIUM,1.0,True,McLaren,0 days 00:16:28.622000,2024-11-01 18:31:28.631,1,,False,,False,False
0 days 00:19:45.769000,NOR,4,,2.0,1.0,,,0 days 00:00:18.312000,0 days 00:00:35.964000,0 days 00:00:16.396000,0 days 00:18:53.409000,0 days 00:19:29.373000,0 days 00:19:45.769000,328.0,266.0,324.0,327.0,True,MEDIUM,2.0,True,McLaren,0 days 00:18:35.097000,2024-11-01 18:33:35.106,1,,False,,False,True
0 days 00:21:25.998000,NOR,4,,3.0,1.0,,0 days 00:21:23.109000,0 days 00:00:30.583000,0 days 00:00:46.103000,0 days 00:00:23.543000,0 days 00:20:16.352000,0 days 00:21:02.455000,0 days 00:21:25.998000,229.0,191.0,,271.0,False,MEDIUM,3.0,True,McLaren,0 days 00:19:45.769000,2024-11-01 18:34:45.778,1,,False,,False,False
0 days 00:26:43.366000,NOR,4,,4.0,2.0,0 days 00:24:18.730000,,,0 days 00:00:48.111000,0 days 00:00:17.217000,,0 days 00:26:26.149000,0 days 00:26:43.586000,237.0,154.0,325.0,,False,MEDIUM,4.0,False,McLaren,0 days 00:21:25.998000,2024-11-01 18:36:26.007,1,,False,,False,False
0 days 00:27:52.843000,NOR,4,,5.0,2.0,,,0 days 00:00:18.031000,0 days 00:00:35.283000,0 days 00:00:16.163000,0 days 00:27:01.397000,0 days 00:27:36.680000,0 days 00:27:52.843000,328.0,267.0,323.0,329.0,True,MEDIUM,5.0,False,McLaren,0 days 00:26:43.366000,2024-11-01 18:41:43.375,1,,False,,False,True
0 days 00:29:25.774000,NOR,4,,6.0,2.0,,0 days 00:29:22.769000,0 days 00:00:22.150000,0 days 00:00:44.786000,0 days 00:00:25.995000,0 days 00:28:14.993000,0 days 00:28:59.779000,0 days 00:29:25.774000,229.0,178.0,,251.0,False,MEDIUM,6.0,False,McLaren,0 days 00:27:52.843000,2024-11-01 18:42:52.852,1,,False,,False,False
0 days 00:36:06.893000,NOR,4,,7.0,3.0,0 days 00:34:26.200000,,,0 days 00:00:49.147000,0 days 00:00:16.941000,,0 days 00:35:49.952000,0 days 00:36:06.999000,264.0,221.0,322.0,,False,MEDIUM,1.0,True,McLaren,0 days 00:29:25.774000,2024-11-01 18:44:25.783,1,,False,,False,False
0 days 00:37:15.956000,NOR,4,,8.0,3.0,,,0 days 00:00:17.994000,0 days 00:00:34.991000,0 days 00:00:16.078000,0 days 00:36:24.887000,0 days 00:36:59.878000,0 days 00:37:15.956000,328.0,268.0,320.0,326.0,True,MEDIUM,2.0,True,McLaren,0 days 00:36:06.893000,2024-11-01 18:51:06.902,1,,False,,False,True
0 days 00:38:48.792000,NOR,4,,9.0,3.0,,0 days 00:38:45.813000,0 days 00:00:21.681000,0 days 00:00:47.342000,0 days 00:00:23.813000,0 days 00:37:37.637000,0 days 00:38:24.979000,0 days 00:38:48.792000,231.0,199.0,,274.0,False,MEDIUM,3.0,True,McLaren,0 days 00:37:15.956000,2024-11-01 18:52:15.965,1,,False,,False,False
0 days 00:52:39.505000,NOR,4,,10.0,4.0,0 days 00:51:16.402000,,,0 days 00:00:39.028000,0 days 00:00:17.018000,,0 days 00:52:22.573000,0 days 00:52:39.557000,265.0,200.0,320.0,,False,SOFT,1.0,True,McLaren,0 days 00:38:48.792000,2024-11-01 18:53:48.801,1,,False,,False,False
0 days 00:53:48.433000,NOR,4,,11.0,4.0,,,0 days 00:00:17.793000,0 days 00:00:35.006000,0 days 00:00:16.129000,0 days 00:52:57.298000,0 days 00:53:32.304000,0 days 00:53:48.433000,327.0,269.0,322.0,325.0,True,SOFT,2.0,True,McLaren,0 days 00:52:39.505000,2024-11-01 19:07:39.514,1,,False,,False,True
0 days 00:55:27.030000,NOR,4,,12.0,4.0,,0 days 00:55:23.990000,0 days 00:00:26.156000,0 days 00:00:47.986000,0 days 00:00:24.455000,0 days 00:54:14.589000,0 days 00:55:02.575000,0 days 00:55:27.030000,190.0,165.0,,259.0,False,SOFT,3.0,True,McLaren,0 days 00:53:48.433000,2024-11-01 19:08:48.442,1,,False,,False,False
0 days 00:57:49.222000,NOR,4,,13.0,5.0,0 days 00:55:56.717000,,0 days 00:01:18.755000,0 days 00:00:46.600000,0 days 00:00:16.837000,0 days 00:56:45.785000,0 days 00:57:32.385000,0 days 00:57:49.222000,130.0,240.0,322.0,,False,SOFT,4.0,False,McLaren,0 days 00:55:27.030000,2024-11-01 19:10:27.039,1,,False,,False,False
0 days 00:59:06.322000,NOR,4,,14.0,5.0,,0 days 00:59:02.678000,0 days 00:00:17.896000,0 days 00:00:35.111000,0 days 00:00:24.093000,0 days 00:58:07.118000,0 days 00:58:42.229000,0 days 00:59:06.322000,328.0,266.0,,325.0,False,SOFT,5.0,False,McLaren,0 days 00:57:49.222000,2024-11-01 19:12:49.231,1,,False,,False,False
0 days 00:17:59.930000,RUS,63,,1.0,1.0,0 days 00:16:13.147000,,,0 days 00:00:47.991000,0 days 00:00:17.061000,,0 days 00:17:42.869000,0 days 00:17:59.994000,260.0,246.0,324.0,,False,MEDIUM,1.0,True,Mercedes,0 days 00:16:13.147000,2024-11-01 18:31:13.156,1,,False,,False,False
0 days 00:19:10.800000,RUS,63,,2.0,1.0,,,0 days 00:00:18.355000,0 days 00:00:36.111000,0 days 00:00:16.404000,0 days 00:18:18.285000,0 days 00:18:54.396000,0 days 00:19:10.800000,327.0,266.0,324.0,328.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:17:59.930000,2024-11-01 18:32:59.939,1,,False,,False,True
0 days 00:20:52.575000,RUS,63,,3.0,1.0,,0 days 00:20:49.506000,0 days 00:00:26.577000,0 days 00:00:52.137000,0 days 00:00:23.061000,0 days 00:19:37.377000,0 days 00:20:29.514000,0 days 00:20:52.575000,253.0,231.0,,240.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:19:10.800000,2024-11-01 18:34:10.809,1,,False,,False,False
0 days 00:24:32.792000,RUS,63,,4.0,2.0,0 days 00:23:10.804000,,,0 days 00:00:44.399000,0 days 00:00:17.082000,,0 days 00:24:15.769000,0 days 00:24:33.069000,251.0,243.0,318.0,,False,MEDIUM,4.0,False,Mercedes,0 days 00:20:52.575000,2024-11-01 18:35:52.584,1,,False,,False,False
0 days 00:25:43.271000,RUS,63,,5.0,2.0,,,0 days 00:00:18.233000,0 days 00:00:35.824000,0 days 00:00:16.422000,0 days 00:24:51.025000,0 days 00:25:26.849000,0 days 00:25:43.271000,328.0,268.0,319.0,323.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:24:32.792000,2024-11-01 18:39:32.801,1,,False,,False,True
0 days 00:27:31.307000,RUS,63,,6.0,2.0,,0 days 00:27:28.448000,0 days 00:00:28.350000,0 days 00:00:54.367000,0 days 00:00:25.319000,0 days 00:26:11.621000,0 days 00:27:05.988000,0 days 00:27:31.307000,189.0,108.0,,161.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:25:43.271000,2024-11-01 18:40:43.280,1,,False,,False,False
0 days 00:35:18.212000,RUS,63,,7.0,3.0,0 days 00:34:03.412000,,,0 days 00:00:39.107000,0 days 00:00:16.933000,,0 days 00:35:01.307000,0 days 00:35:18.212000,288.0,253.0,319.0,,False,MEDIUM,1.0,True,Mercedes,0 days 00:27:31.307000,2024-11-01 18:42:31.316,1,,False,,False,False
0 days 00:36:27.895000,RUS,63,,8.0,3.0,,,0 days 00:00:18.126000,0 days 00:00:35.364000,0 days 00:00:16.193000,0 days 00:35:36.338000,0 days 00:36:11.702000,0 days 00:36:27.895000,326.0,268.0,323.0,322.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:35:18.212000,2024-11-01 18:50:18.221,1,,False,,False,True
0 days 00:38:06.313000,RUS,63,,9.0,3.0,,0 days 00:38:03.033000,0 days 00:00:24.400000,0 days 00:00:49.786000,0 days 00:00:24.232000,0 days 00:36:52.295000,0 days 00:37:42.081000,0 days 00:38:06.313000,249.0,192.0,,266.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:36:27.895000,2024-11-01 18:51:27.904,1,,False,,False,False
0 days 00:42:39.327000,RUS,63,,10.0,4.0,0 days 00:41:02.914000,,,0 days 00:00:45.307000,0 days 00:00:17.111000,,0 days 00:42:22.216000,0 days 00:42:39.598000,255.0,233.0,321.0,,False,MEDIUM,4.0,False,Mercedes,0 days 00:38:06.313000,2024-11-01 18:53:06.322,1,,False,,False,False
0 days 00:43:49.196000,RUS,63,,11.0,4.0,,,0 days 00:00:18.080000,0 days 00:00:35.580000,0 days 00:00:16.209000,0 days 00:42:57.407000,0 days 00:43:32.987000,0 days 00:43:49.196000,326.0,269.0,325.0,326.0,False,MEDIUM,5.0,False,Mercedes,0 days 00:42:39.327000,2024-11-01 18:57:39.336,1,,False,,False,True
0 days 00:45:28.808000,RUS,63,,12.0,4.0,,0 days 00:45:25.857000,0 days 00:00:27.880000,0 days 00:00:47.297000,0 days 00:00:24.435000,0 days 00:44:17.076000,0 days 00:45:04.373000,0 days 00:45:28.808000,237.0,211.0,,230.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:43:49.196000,2024-11-01 18:58:49.205,1,,False,,False,False
0 days 00:58:19.099000,RUS,63,,13.0,5.0,0 days 00:56:45.060000,,,0 days 00:00:48.395000,0 days 00:00:16.938000,,0 days 00:58:02.217000,0 days 00:58:19.312000,283.0,246.0,321.0,,False,SOFT,1.0,True,Mercedes,0 days 00:45:28.808000,2024-11-01 19:00:28.817,1,,False,,False,False
0 days 00:59:28.542000,RUS,63,,14.0,5.0,,,0 days 00:00:17.970000,0 days 00:00:35.236000,0 days 00:00:16.237000,0 days 00:58:37.069000,0 days 00:59:12.305000,0 days 00:59:28.542000,327.0,269.0,322.0,325.0,True,SOFT,2.0,True,Mercedes,0 days 00:58:19.099000,2024-11-01 19:13:19.108,1,,False,,False,True
0 days 01:01:13.178000,RUS,63,,15.0,5.0,,0 days 01:01:13.178000,0 days 00:00:29.678000,0 days 00:00:49.294000,,0 days 00:59:58.298000,0 days 01:00:47.549000,,191.0,204.0,,235.0,False,SOFT,3.0,True,Mercedes,0 days 00:59:28.542000,2024-11-01 19:14:28.551,1,,False,,False,False
