Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:05.721000,22.3,71.0,926.5,False,45.8,165,1.4
0 days 00:01:05.731000,22.4,71.0,926.4,False,45.8,184,1.6
0 days 00:02:05.744000,22.4,72.0,926.5,False,46.2,199,2.4
0 days 00:03:05.747000,22.3,73.0,926.5,False,46.2,182,1.9
0 days 00:04:05.758000,22.3,73.0,926.4,False,46.1,208,1.3
0 days 00:05:05.764000,22.3,73.0,926.6,False,44.8,188,1.5
0 days 00:06:05.762000,22.2,74.0,926.5,False,44.0,151,1.5
0 days 00:07:05.769000,22.1,74.0,926.5,False,43.3,190,1.8
0 days 00:08:05.776000,22.0,75.0,926.6,False,43.2,165,1.6
0 days 00:09:05.795000,22.2,74.0,926.6,False,42.7,182,1.4
0 days 00:10:05.802000,22.0,75.0,926.6,False,42.1,196,2.3
0 days 00:11:05.807000,21.9,75.0,926.6,False,42.0,234,1.9
0 days 00:12:05.807000,21.9,75.0,926.8,False,41.9,188,1.5
0 days 00:13:05.824000,21.9,74.0,926.7,False,41.4,192,2.2
0 days 00:14:05.818000,21.9,75.0,926.7,False,41.2,207,2.1
0 days 00:15:05.829000,21.8,75.0,926.8,False,40.4,187,2.6
0 days 00:16:05.847000,21.7,76.0,926.8,False,39.6,178,2.2
0 days 00:17:05.859000,21.6,77.0,926.7,False,39.9,190,2.3
0 days 00:18:05.849000,21.5,77.0,926.7,False,40.7,164,2.3
0 days 00:19:05.864000,21.6,77.0,926.7,False,40.8,184,1.9
0 days 00:20:05.864000,21.5,76.0,926.8,False,40.2,202,2.3
0 days 00:21:05.880000,21.5,77.0,926.8,False,40.2,196,1.5
0 days 00:22:05.898000,21.5,76.0,926.7,False,39.8,149,2.0
0 days 00:23:05.909000,21.3,77.0,926.8,False,39.4,233,2.3
0 days 00:24:05.911000,21.3,78.0,926.8,False,39.8,218,2.0
0 days 00:25:05.910000,21.2,78.0,926.9,False,39.8,188,2.2
0 days 00:26:05.904000,21.1,78.0,926.9,False,39.3,214,1.4
0 days 00:27:06.016000,21.2,78.0,927.0,False,38.8,219,2.3
0 days 00:28:06.026000,21.2,77.0,926.9,False,38.8,171,2.1
0 days 00:29:06.028000,21.2,78.0,926.9,False,38.7,200,3.2
0 days 00:30:06.026000,21.2,78.0,926.9,False,38.7,194,2.2
0 days 00:31:06.027000,21.3,79.0,926.9,False,38.2,187,2.6
0 days 00:32:06.027000,21.2,80.0,926.8,False,38.2,178,2.5
0 days 00:33:06.028000,21.2,79.0,926.8,False,38.1,156,1.5
0 days 00:34:06.033000,21.1,79.0,926.9,False,38.1,179,1.8
0 days 00:35:06.029000,21.1,78.0,926.9,False,38.0,186,2.5
0 days 00:36:06.028000,21.1,80.0,926.7,False,37.6,187,1.8
0 days 00:37:06.028000,21.1,80.0,926.8,False,37.6,169,1.8
0 days 00:38:06.028000,21.1,79.0,926.7,False,37.4,175,2.2
0 days 00:39:06.029000,21.0,80.0,926.7,False,37.1,183,2.3
0 days 00:40:06.028000,20.9,80.0,926.6,False,38.1,180,2.3
0 days 00:41:06.029000,20.8,81.0,926.6,False,38.1,175,2.3
0 days 00:42:06.040000,20.8,81.0,926.6,False,37.8,198,2.1
0 days 00:43:06.030000,20.7,81.0,926.6,False,37.7,189,1.9
0 days 00:44:06.035000,20.7,81.0,926.7,False,37.6,176,2.0
0 days 00:45:06.025000,20.6,81.0,926.6,False,37.6,199,2.5
0 days 00:46:06.034000,20.6,81.0,926.6,False,37.8,187,2.2
0 days 00:47:06.039000,20.7,81.0,926.7,False,37.4,200,1.9
0 days 00:48:06.031000,20.7,81.0,926.6,False,37.4,182,2.1
0 days 00:49:06.031000,20.8,82.0,926.6,False,36.7,194,2.6
0 days 00:50:06.034000,20.7,82.0,926.5,False,37.1,192,2.1
0 days 00:51:06.036000,20.7,82.0,926.6,False,36.3,205,2.9
0 days 00:52:06.038000,20.6,82.0,926.5,False,36.3,194,2.4
0 days 00:53:06.056000,20.5,83.0,926.5,False,36.7,182,2.5
0 days 00:54:06.036000,20.5,83.0,926.5,False,36.7,181,2.2
0 days 00:55:06.040000,20.5,83.0,926.5,False,36.6,189,2.3
0 days 00:56:06.042000,20.5,83.0,926.5,False,37.4,196,2.3
0 days 00:57:06.051000,20.4,83.0,926.6,False,37.4,220,1.3
0 days 00:58:06.057000,20.4,82.0,926.6,False,37.2,201,2.3
0 days 00:59:06.051000,20.4,82.0,926.5,False,37.1,214,2.1
0 days 01:00:06.053000,20.4,82.0,926.6,False,37.1,203,2.0
0 days 01:01:06.047000,20.3,82.0,926.6,False,37.1,178,1.9
