Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:28.333000,27.1,53.0,928.5,False,39.0,36,2.2
0 days 00:01:28.338000,27.2,53.0,928.5,False,39.0,18,1.8
0 days 00:02:28.334000,27.1,52.0,928.6,False,40.0,9,1.7
0 days 00:03:28.334000,27.3,52.0,928.6,False,40.2,34,1.5
0 days 00:04:28.336000,27.2,52.0,928.6,False,40.4,85,1.5
0 days 00:05:28.337000,27.1,52.0,928.6,False,40.7,33,0.7
0 days 00:06:28.341000,27.1,51.0,928.5,False,40.7,46,1.0
0 days 00:07:28.345000,27.3,52.0,928.6,False,40.9,38,1.9
0 days 00:08:28.341000,27.3,52.0,928.6,False,41.1,45,2.4
0 days 00:09:28.339000,27.4,52.0,928.6,False,41.1,40,1.5
0 days 00:10:28.342000,27.3,52.0,928.5,False,41.3,26,2.6
0 days 00:11:28.331000,27.4,52.0,928.5,False,41.2,15,2.7
0 days 00:12:28.343000,27.5,52.0,928.4,False,41.4,57,1.9
0 days 00:13:28.344000,27.5,52.0,928.5,False,42.3,39,0.9
0 days 00:14:28.344000,27.6,51.0,928.6,False,42.3,41,1.9
0 days 00:15:28.343000,27.8,51.0,928.4,False,42.3,46,1.9
0 days 00:16:28.345000,27.7,51.0,928.4,False,42.6,45,0.6
0 days 00:17:28.345000,27.7,51.0,928.4,False,43.0,49,1.4
0 days 00:18:28.347000,27.8,51.0,928.5,False,43.3,55,1.6
0 days 00:19:28.346000,27.9,51.0,928.4,False,43.8,321,1.1
0 days 00:20:28.347000,27.9,51.0,928.4,False,44.2,42,1.0
0 days 00:21:28.350000,27.9,51.0,928.5,False,44.4,50,1.1
0 days 00:22:28.339000,27.9,50.0,928.4,False,45.0,29,1.7
0 days 00:23:28.351000,27.9,50.0,928.4,False,44.1,26,1.7
0 days 00:24:28.350000,28.0,50.0,928.4,False,44.1,34,1.8
0 days 00:25:28.356000,28.0,50.0,928.4,False,44.1,57,1.0
0 days 00:26:28.421000,27.9,51.0,928.3,False,44.8,12,0.9
0 days 00:27:28.388000,27.9,50.0,928.3,False,44.8,8,1.8
0 days 00:28:28.399000,28.0,50.0,928.4,False,45.3,16,2.2
0 days 00:29:28.401000,27.9,50.0,928.4,False,45.2,23,2.4
0 days 00:30:28.405000,27.9,51.0,928.4,False,45.0,12,1.8
0 days 00:31:28.406000,27.9,51.0,928.3,False,45.8,3,1.6
0 days 00:32:28.401000,28.0,51.0,928.4,False,45.9,29,1.7
0 days 00:33:28.405000,28.0,50.0,928.3,False,45.9,318,1.6
0 days 00:34:28.406000,28.0,51.0,928.3,False,45.7,55,1.6
0 days 00:35:28.406000,28.0,50.0,928.3,False,46.3,18,2.4
0 days 00:36:28.428000,28.0,50.0,928.3,False,46.4,45,1.9
0 days 00:37:28.438000,28.0,51.0,928.3,False,46.6,60,1.0
0 days 00:38:28.447000,28.0,50.0,928.3,False,48.0,27,0.8
0 days 00:39:28.456000,28.3,49.0,928.3,False,48.9,8,1.0
0 days 00:40:28.472000,28.2,49.0,928.2,False,47.8,21,2.0
0 days 00:41:28.488000,28.4,49.0,928.2,False,48.0,353,2.0
0 days 00:42:28.487000,28.4,50.0,928.2,False,49.3,4,2.6
0 days 00:43:28.489000,28.3,49.0,928.3,False,49.1,6,1.6
0 days 00:44:28.495000,28.5,48.0,928.2,False,49.5,26,1.3
0 days 00:45:28.507000,28.4,48.0,928.2,False,49.5,13,2.3
0 days 00:46:28.506000,28.4,48.0,928.1,False,50.2,30,1.2
0 days 00:47:28.529000,28.5,47.0,928.3,False,50.2,31,1.8
0 days 00:48:28.543000,28.6,46.0,928.1,True,49.3,4,2.2
0 days 00:49:28.532000,28.5,47.0,928.2,True,48.6,4,2.0
0 days 00:50:28.543000,28.5,48.0,928.2,True,48.1,21,2.1
0 days 00:51:28.542000,28.4,48.0,928.3,True,49.4,21,1.6
0 days 00:52:28.544000,28.5,47.0,928.2,True,50.4,27,2.1
0 days 00:53:28.565000,28.5,46.0,928.2,True,50.4,61,2.0
0 days 00:54:28.558000,28.5,47.0,928.2,True,48.3,354,1.2
0 days 00:55:28.560000,28.4,48.0,928.3,True,49.7,38,1.8
0 days 00:56:28.576000,28.3,48.0,928.1,True,49.5,29,2.0
0 days 00:57:28.596000,28.4,47.0,928.2,True,49.3,13,1.3
0 days 00:58:28.596000,28.5,47.0,928.2,True,49.3,9,0.9
0 days 00:59:28.608000,28.4,47.0,928.2,True,49.3,87,0.7
0 days 01:00:28.623000,28.6,46.0,928.1,True,49.7,27,1.1
0 days 01:01:28.632000,28.8,46.0,928.2,True,48.3,0,1.7
0 days 01:02:28.645000,28.8,48.0,928.2,True,48.3,42,1.0
0 days 01:03:28.644000,28.8,47.0,928.2,True,48.5,23,1.8
0 days 01:04:28.647000,28.7,48.0,928.3,False,48.5,50,2.6
0 days 01:05:28.658000,28.6,47.0,928.1,False,47.9,58,2.4
0 days 01:06:28.680000,28.6,49.0,928.1,False,47.9,34,1.3
0 days 01:07:28.680000,28.5,47.0,928.2,False,47.9,15,2.6
0 days 01:08:28.683000,28.6,48.0,928.2,False,48.0,35,2.4
0 days 01:09:28.681000,28.5,48.0,928.2,False,47.9,22,2.1
0 days 01:10:28.675000,28.5,48.0,928.2,False,48.2,27,2.5
0 days 01:11:28.679000,28.6,47.0,928.1,False,47.9,44,2.0
0 days 01:12:28.680000,28.6,47.0,928.1,False,47.7,40,1.5
0 days 01:13:28.681000,28.6,48.0,928.1,False,47.7,40,1.5
0 days 01:14:28.697000,28.5,49.0,928.1,False,47.0,106,0.5
0 days 01:15:28.717000,28.5,49.0,928.1,False,48.2,30,0.8
