Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:34.879000,17.3,88.0,999.5,False,27.5,241,0.7
0 days 00:01:34.883000,17.3,87.0,999.4,False,27.3,245,1.5
0 days 00:02:34.879000,17.3,88.0,999.4,False,27.0,256,0.6
0 days 00:03:34.881000,17.2,87.0,999.3,False,27.1,236,0.4
0 days 00:04:34.879000,17.3,87.0,999.4,False,27.2,264,1.0
0 days 00:05:34.884000,17.4,87.0,999.4,False,27.1,238,0.7
0 days 00:06:34.880000,17.4,88.0,999.3,False,26.8,225,0.8
0 days 00:07:34.881000,17.5,88.0,999.3,False,26.8,242,0.7
0 days 00:08:34.904000,17.4,88.0,999.3,False,26.7,256,0.6
0 days 00:09:34.885000,17.4,87.0,999.3,False,27.2,0,0.6
0 days 00:10:34.884000,17.5,88.0,999.2,False,27.6,309,0.4
0 days 00:11:34.884000,17.5,89.0,999.2,False,28.0,60,0.0
0 days 00:12:34.888000,17.6,88.0,999.3,False,28.6,171,0.0
0 days 00:13:34.887000,17.8,87.0,999.1,False,28.6,256,0.5
0 days 00:14:34.890000,17.7,87.0,999.2,False,28.2,0,0.6
0 days 00:15:34.887000,17.8,85.0,999.2,False,28.1,245,0.6
0 days 00:16:34.886000,17.8,85.0,999.2,False,27.9,238,0.8
0 days 00:17:34.888000,18.0,87.0,999.2,False,27.5,226,1.0
0 days 00:18:34.890000,17.8,86.0,999.2,False,27.4,224,1.2
0 days 00:19:34.889000,17.8,86.0,999.2,False,27.0,226,1.4
0 days 00:20:34.895000,17.8,88.0,999.2,False,26.9,211,0.9
0 days 00:21:34.908000,17.9,87.0,999.0,False,26.9,250,0.7
0 days 00:22:34.898000,17.9,85.0,998.9,False,26.9,272,0.8
0 days 00:23:34.898000,17.9,85.0,998.9,False,26.9,272,0.8
0 days 00:24:34.891000,17.9,85.0,998.9,True,26.0,227,1.0
0 days 00:25:34.908000,17.8,86.0,998.8,True,25.7,15,0.6
0 days 00:26:34.927000,17.8,85.0,998.6,True,25.5,348,1.1
0 days 00:27:34.940000,17.7,85.0,998.5,True,25.5,328,1.2
0 days 00:28:34.945000,17.8,86.0,998.5,True,25.7,342,1.5
0 days 00:29:34.960000,17.8,85.0,998.4,True,25.7,355,1.1
0 days 00:30:34.966000,17.9,86.0,998.4,True,25.8,336,1.0
0 days 00:31:34.976000,17.9,86.0,998.4,True,26.1,353,0.9
0 days 00:32:34.990000,18.0,87.0,998.4,True,26.5,337,0.8
0 days 00:33:34.990000,18.0,83.0,998.4,True,26.7,280,1.0
0 days 00:34:35.001000,17.9,82.0,998.4,True,26.7,299,1.2
0 days 00:35:34.986000,18.0,85.0,998.6,True,27.2,228,0.8
0 days 00:36:35.011000,18.1,86.0,998.5,True,27.5,234,0.8
0 days 00:37:35.026000,18.1,86.0,998.5,True,27.5,234,0.8
0 days 00:38:35.033000,18.3,84.0,998.7,False,28.1,215,1.3
0 days 00:39:35.028000,18.5,82.0,998.6,False,28.0,219,1.5
0 days 00:40:35.029000,18.5,85.0,998.7,False,28.1,219,0.9
0 days 00:41:35.028000,18.4,83.0,998.5,False,28.4,229,1.6
0 days 00:42:35.063000,18.4,82.0,998.6,False,28.4,221,1.7
0 days 00:43:35.030000,18.5,85.0,998.5,False,28.6,218,0.9
0 days 00:44:35.032000,18.5,82.0,998.6,False,28.7,222,2.1
0 days 00:45:35.034000,18.5,82.0,998.6,False,29.0,213,2.7
0 days 00:46:35.036000,18.6,81.0,998.6,False,29.2,242,2.4
0 days 00:47:35.053000,18.6,82.0,998.5,False,29.3,229,2.5
0 days 00:48:35.066000,18.6,80.0,998.5,False,29.8,221,2.5
0 days 00:49:35.081000,18.8,82.0,998.4,False,30.0,238,2.8
0 days 00:50:35.098000,18.9,82.0,998.4,False,30.0,218,2.1
0 days 00:51:35.121000,19.0,80.0,998.4,False,29.9,214,2.8
0 days 00:52:35.131000,18.9,78.0,998.3,False,29.7,219,2.8
0 days 00:53:35.132000,19.0,79.0,998.2,False,30.0,204,2.3
0 days 00:54:35.133000,18.9,79.0,998.3,False,30.1,223,2.2
