Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:57.874000,20.4,69.0,1000.6,False,33.7,215,1.7
0 days 00:01:57.901000,20.3,69.0,1000.7,False,33.6,181,1.4
0 days 00:02:57.894000,20.3,69.0,1000.5,False,33.5,109,2.0
0 days 00:03:57.904000,20.2,70.0,1000.7,False,33.4,183,2.3
0 days 00:04:57.908000,20.2,69.0,1000.6,False,33.2,173,2.7
0 days 00:05:57.901000,20.2,69.0,1000.6,False,32.9,175,2.2
0 days 00:06:57.903000,20.2,70.0,1000.7,False,32.9,216,1.3
0 days 00:07:57.904000,20.2,69.0,1000.6,False,32.9,219,1.6
0 days 00:08:57.909000,20.2,69.0,1000.7,False,32.9,222,1.3
0 days 00:09:57.929000,20.2,69.0,1000.7,False,32.6,170,1.7
0 days 00:10:57.946000,20.2,70.0,1000.7,False,32.5,200,1.9
0 days 00:11:57.961000,20.1,70.0,1000.8,False,32.4,203,1.5
0 days 00:12:57.951000,20.1,71.0,1000.7,False,32.4,193,1.8
0 days 00:13:57.954000,20.1,70.0,1000.6,False,32.2,341,2.1
0 days 00:14:57.942000,20.1,71.0,1000.8,False,32.1,222,1.5
0 days 00:15:57.952000,20.1,71.0,1000.7,False,31.6,108,1.2
0 days 00:16:57.955000,20.1,71.0,1000.8,False,31.6,261,1.6
0 days 00:17:57.958000,20.1,70.0,1000.7,False,31.4,24,1.3
0 days 00:18:57.961000,20.1,71.0,1000.8,False,31.4,197,2.4
0 days 00:19:57.955000,20.1,71.0,1000.8,False,31.3,193,1.8
0 days 00:20:57.965000,20.2,71.0,1000.7,False,31.3,200,1.4
0 days 00:21:57.970000,20.3,70.0,1000.8,False,31.1,183,2.4
0 days 00:22:57.973000,20.3,70.0,1000.8,False,31.0,215,2.5
0 days 00:23:57.990000,20.2,70.0,1000.7,False,30.8,194,2.4
0 days 00:24:58.007000,20.2,70.0,1000.7,False,30.5,114,2.9
0 days 00:25:58.001000,20.1,71.0,1000.8,False,30.6,167,2.4
0 days 00:26:58.004000,20.2,71.0,1000.7,False,30.7,160,2.2
0 days 00:27:58.013000,20.2,71.0,1000.8,False,30.9,217,2.1
0 days 00:28:58.016000,20.2,71.0,1000.9,False,30.9,187,0.9
0 days 00:29:58.044000,20.4,70.0,1000.7,False,31.1,118,1.7
0 days 00:30:58.044000,20.5,70.0,1000.8,False,31.3,178,1.4
0 days 00:31:58.040000,20.5,69.0,1000.7,False,31.3,208,2.0
0 days 00:32:58.086000,20.6,69.0,1000.8,False,31.3,263,1.6
0 days 00:33:58.049000,20.6,69.0,1000.7,False,31.0,0,1.5
0 days 00:34:58.038000,20.7,69.0,1000.7,False,30.7,108,1.3
0 days 00:35:58.051000,20.7,68.0,1000.8,False,30.6,234,1.3
0 days 00:36:58.052000,20.7,68.0,1000.7,False,30.5,194,1.9
0 days 00:37:58.061000,20.6,69.0,1000.8,False,30.6,157,0.9
0 days 00:38:58.058000,20.6,69.0,1000.8,False,30.7,128,0.9
0 days 00:39:58.073000,20.6,68.0,1000.8,False,30.7,108,0.8
0 days 00:40:58.063000,20.7,68.0,1000.9,False,30.7,115,1.4
0 days 00:41:58.085000,20.7,67.0,1000.8,False,30.5,116,1.4
0 days 00:42:58.082000,20.7,68.0,1000.8,False,30.7,83,1.5
0 days 00:43:58.085000,20.7,66.0,1000.7,True,30.8,115,0.9
0 days 00:44:58.079000,20.7,65.0,1000.7,True,30.7,169,1.4
0 days 00:45:58.104000,20.7,65.0,1000.8,True,30.6,320,1.1
0 days 00:46:58.096000,20.7,65.0,1000.9,False,30.9,112,0.9
0 days 00:47:58.108000,20.8,63.0,1000.9,False,30.9,103,1.9
0 days 00:48:58.099000,20.8,63.0,1000.8,False,30.2,193,2.1
0 days 00:49:58.101000,20.7,63.0,1001.0,False,30.2,169,2.8
0 days 00:50:58.143000,20.7,63.0,1000.9,False,30.3,140,1.8
0 days 00:51:58.106000,20.8,63.0,1000.8,False,30.7,152,2.8
0 days 00:52:58.117000,20.8,63.0,1001.0,False,30.7,273,1.3
0 days 00:53:58.117000,20.9,63.0,1000.8,False,30.5,92,2.0
0 days 00:54:58.122000,20.9,64.0,1000.8,False,30.4,99,2.3
0 days 00:55:58.126000,20.9,64.0,1000.8,False,30.4,183,1.5
