Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:53.411000,22.5,24.0,1010.1,False,38.9,123,1.5
0 days 00:01:53.413000,22.5,24.0,1010.0,False,38.9,101,2.6
0 days 00:02:53.413000,22.5,24.0,1010.0,False,38.9,151,2.9
0 days 00:03:53.413000,22.5,25.0,1010.0,False,38.7,126,2.3
0 days 00:04:53.416000,22.5,24.0,1010.1,False,38.5,94,1.1
0 days 00:05:53.430000,22.5,24.0,1010.0,False,38.3,214,0.7
0 days 00:06:53.410000,22.5,25.0,1010.0,False,38.2,267,0.9
0 days 00:07:53.418000,22.4,25.0,1010.0,False,38.2,254,0.0
0 days 00:08:53.416000,22.3,25.0,1010.0,False,38.5,270,1.4
0 days 00:09:53.419000,22.3,25.0,1010.0,False,38.6,272,1.4
0 days 00:10:53.419000,22.3,25.0,1009.9,False,38.8,285,1.2
0 days 00:11:53.421000,22.4,25.0,1009.9,False,38.8,259,1.0
0 days 00:12:53.420000,22.5,25.0,1009.8,False,38.5,266,0.9
0 days 00:13:53.420000,22.6,25.0,1009.9,False,38.5,266,1.2
0 days 00:14:53.428000,22.6,25.0,1009.8,False,38.6,250,1.2
0 days 00:15:53.421000,22.6,25.0,1009.9,False,38.8,326,1.0
0 days 00:16:53.421000,22.6,24.0,1009.8,False,39.3,273,1.2
0 days 00:17:53.423000,22.7,24.0,1009.7,False,39.4,267,1.4
0 days 00:18:53.424000,22.8,24.0,1009.8,False,39.6,54,1.0
0 days 00:19:53.424000,22.9,24.0,1009.7,False,39.4,232,0.4
0 days 00:20:53.426000,22.9,24.0,1009.7,False,39.0,95,0.7
0 days 00:21:53.425000,22.9,24.0,1009.7,False,38.6,117,1.6
0 days 00:22:53.442000,22.9,24.0,1009.6,False,38.6,117,0.9
0 days 00:23:53.457000,22.9,23.0,1009.7,False,38.4,134,1.4
0 days 00:24:53.461000,22.9,22.0,1009.7,False,38.4,239,0.8
0 days 00:25:53.460000,22.9,22.0,1009.8,False,38.4,0,1.1
0 days 00:26:53.476000,22.9,22.0,1009.7,False,39.1,97,1.2
0 days 00:27:53.496000,22.9,22.0,1009.7,False,39.1,126,0.6
0 days 00:28:53.492000,22.9,22.0,1009.7,False,38.5,131,1.1
0 days 00:29:53.495000,22.9,22.0,1009.7,False,38.7,356,1.1
0 days 00:30:53.493000,22.9,22.0,1009.6,False,38.7,36,1.1
0 days 00:31:53.494000,23.0,22.0,1009.5,False,38.8,243,0.9
0 days 00:32:53.495000,23.0,22.0,1009.5,False,39.3,155,1.1
0 days 00:33:53.512000,23.1,22.0,1009.4,False,39.0,225,0.6
0 days 00:34:53.510000,23.3,22.0,1009.4,False,39.0,146,0.9
0 days 00:35:53.529000,23.2,22.0,1009.2,False,39.3,133,1.3
0 days 00:36:53.528000,23.2,22.0,1009.4,False,39.9,100,1.3
0 days 00:37:53.530000,23.2,22.0,1009.3,False,40.3,118,1.8
0 days 00:38:53.530000,23.2,22.0,1009.3,False,40.0,111,2.0
0 days 00:39:53.547000,23.3,23.0,1009.2,False,39.8,110,2.8
0 days 00:40:53.549000,23.4,23.0,1009.3,False,39.7,125,1.8
0 days 00:41:53.569000,23.4,23.0,1009.2,False,39.5,116,1.8
0 days 00:42:53.565000,23.4,23.0,1009.2,False,39.2,100,2.6
0 days 00:43:53.565000,23.5,22.0,1009.3,False,39.3,119,2.1
0 days 00:44:53.565000,23.4,22.0,1009.2,False,39.8,5,1.4
0 days 00:45:53.565000,23.2,22.0,1009.2,False,39.8,104,0.5
0 days 00:46:53.568000,23.3,22.0,1009.3,False,39.4,79,1.8
0 days 00:47:53.567000,23.4,22.0,1009.2,False,39.4,116,1.9
0 days 00:48:53.568000,23.4,22.0,1009.2,False,39.4,123,1.7
0 days 00:49:53.568000,23.5,22.0,1009.2,False,39.3,110,1.6
0 days 00:50:53.574000,23.4,22.0,1009.2,False,39.3,126,1.8
0 days 00:51:53.570000,23.4,23.0,1009.2,False,39.3,108,3.2
0 days 00:52:53.571000,23.4,23.0,1009.1,False,39.4,0,2.7
0 days 00:53:53.573000,23.4,23.0,1009.1,False,40.3,117,1.2
