Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:14:44.477000,VER,1,,1.0,1.0,0 days 00:13:00.527000,,,0 days 00:00:42.848000,0 days 00:00:32.659000,,0 days 00:14:12.058000,0 days 00:14:44.730000,149.0,216.0,281.0,241.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:13:00.527000,2024-05-18 10:30:50.848,1,,False,,False,False
0 days 00:16:02.173000,VER,1,,2.0,1.0,,,0 days 00:00:24.599000,0 days 00:00:26.892000,0 days 00:00:26.205000,0 days 00:15:09.076000,0 days 00:15:35.968000,0 days 00:16:02.173000,224.0,257.0,281.0,292.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:14:44.477000,2024-05-18 10:32:34.798,1,,False,,False,True
0 days 00:18:24.872000,VER,1,,3.0,1.0,,,0 days 00:00:44.962000,0 days 00:00:51.115000,0 days 00:00:46.622000,0 days 00:16:47.135000,0 days 00:17:38.250000,0 days 00:18:24.872000,138.0,132.0,154.0,151.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:16:02.173000,2024-05-18 10:33:52.494,1,,False,,False,True
0 days 00:20:21.766000,VER,1,,4.0,1.0,,,0 days 00:00:45.380000,0 days 00:00:39.803000,0 days 00:00:31.711000,0 days 00:19:10.252000,0 days 00:19:50.055000,0 days 00:20:21.766000,97.0,221.0,284.0,214.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:18:24.872000,2024-05-18 10:36:15.193,1,,False,,False,True
0 days 00:21:38.237000,VER,1,,5.0,1.0,,,0 days 00:00:24.122000,0 days 00:00:26.625000,0 days 00:00:25.724000,0 days 00:20:45.888000,0 days 00:21:12.513000,0 days 00:21:38.237000,224.0,260.0,285.0,294.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:20:21.766000,2024-05-18 10:38:12.087,1,,False,,False,True
0 days 00:23:57.144000,VER,1,,6.0,1.0,,0 days 00:23:52.726000,0 days 00:00:46.439000,0 days 00:00:44.922000,0 days 00:00:47.546000,0 days 00:22:24.676000,0 days 00:23:09.598000,0 days 00:23:57.144000,134.0,153.0,,121.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:21:38.237000,2024-05-18 10:39:28.558,1,,False,,False,False
0 days 00:26:18.859000,VER,1,,7.0,2.0,0 days 00:24:26.740000,,0 days 00:01:06.428000,0 days 00:00:42.748000,0 days 00:00:32.539000,0 days 00:25:03.572000,0 days 00:25:46.320000,0 days 00:26:18.859000,139.0,183.0,285.0,202.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:23:57.144000,2024-05-18 10:41:47.465,1,,False,,False,False
0 days 00:27:35.225000,VER,1,,8.0,2.0,,,0 days 00:00:24.180000,0 days 00:00:26.448000,0 days 00:00:25.738000,0 days 00:26:43.039000,0 days 00:27:09.487000,0 days 00:27:35.225000,229.0,261.0,286.0,295.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:26:18.859000,2024-05-18 10:44:09.180,1,,False,,False,True
0 days 00:29:12.937000,VER,1,,9.0,2.0,,0 days 00:29:08.564000,0 days 00:00:31.255000,0 days 00:00:31.169000,0 days 00:00:35.288000,0 days 00:28:06.480000,0 days 00:28:37.649000,0 days 00:29:12.937000,203.0,233.0,,231.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:27:35.225000,2024-05-18 10:45:25.546,1,,False,,False,False
0 days 00:44:43.295000,VER,1,,10.0,3.0,0 days 00:35:45.148000,0 days 00:37:22.560000,,,,,,,209.0,,,,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:29:12.937000,2024-05-18 10:47:03.258,125,,False,,False,False
0 days 00:46:15.146000,VER,1,,11.0,4.0,0 days 00:44:43.295000,,,0 days 00:00:29.320000,0 days 00:00:27.355000,,0 days 00:45:47.874000,0 days 00:46:15.162000,207.0,243.0,275.0,275.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:44:43.295000,2024-05-18 11:02:33.616,1,,False,,False,False
0 days 00:47:36.171000,VER,1,,12.0,4.0,,,0 days 00:00:25.838000,0 days 00:00:28.169000,0 days 00:00:27.018000,0 days 00:46:40.984000,0 days 00:47:09.153000,0 days 00:47:36.171000,212.0,247.0,276.0,280.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:46:15.146000,2024-05-18 11:04:05.467,1,,False,,False,True
0 days 00:48:57.079000,VER,1,,13.0,4.0,,,0 days 00:00:25.686000,0 days 00:00:28.166000,0 days 00:00:27.056000,0 days 00:48:01.857000,0 days 00:48:30.023000,0 days 00:48:57.079000,208.0,247.0,274.0,279.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:47:36.171000,2024-05-18 11:05:26.492,1,,False,,False,True
0 days 00:50:17.960000,VER,1,,14.0,4.0,,,0 days 00:00:25.641000,0 days 00:00:28.079000,0 days 00:00:27.161000,0 days 00:49:22.720000,0 days 00:49:50.799000,0 days 00:50:17.960000,209.0,248.0,273.0,280.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 00:48:57.079000,2024-05-18 11:06:47.400,1,,False,,False,True
0 days 00:51:38.973000,VER,1,,15.0,4.0,,,0 days 00:00:25.636000,0 days 00:00:28.140000,0 days 00:00:27.237000,0 days 00:50:43.596000,0 days 00:51:11.736000,0 days 00:51:38.973000,210.0,248.0,275.0,278.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 00:50:17.960000,2024-05-18 11:08:08.281,1,,False,,False,True
0 days 00:53:10.655000,VER,1,,16.0,4.0,,0 days 00:53:06.200000,0 days 00:00:27.934000,0 days 00:00:29.916000,0 days 00:00:33.832000,0 days 00:52:06.907000,0 days 00:52:36.823000,0 days 00:53:10.655000,206.0,233.0,,246.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 00:51:38.973000,2024-05-18 11:09:29.294,1,,False,,False,False
0 days 01:05:44.143000,VER,1,,17.0,5.0,0 days 01:03:56.164000,,,0 days 00:00:36.800000,0 days 00:00:34.107000,,0 days 01:05:10.109000,0 days 01:05:44.143000,176.0,244.0,288.0,266.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:53:10.655000,2024-05-18 11:11:00.976,1,,False,,False,False
0 days 01:10:43.299000,VER,1,,18.0,5.0,,0 days 01:07:29.453000,0 days 00:00:23.967000,,,0 days 01:06:08.226000,,,227.0,,,,False,SOFT,2.0,True,Red Bull Racing,0 days 01:05:44.143000,2024-05-18 11:23:34.464,125,,False,,False,False
0 days 01:12:21.304000,VER,1,,19.0,6.0,0 days 01:10:43.299000,,,0 days 00:00:33.663000,0 days 00:00:37.131000,,0 days 01:11:44.285000,0 days 01:12:21.375000,199.0,247.0,286.0,123.0,False,SOFT,3.0,False,Red Bull Racing,0 days 01:10:43.299000,2024-05-18 11:28:33.620,1,,False,,False,False
0 days 01:13:45.645000,VER,1,,20.0,6.0,,,0 days 00:00:23.875000,0 days 00:00:26.386000,0 days 00:00:34.080000,0 days 01:12:45.179000,0 days 01:13:11.565000,0 days 01:13:45.645000,230.0,260.0,47.0,298.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:12:21.304000,2024-05-18 11:30:11.625,1,,False,,False,True
0 days 01:16:04.723000,VER,1,,21.0,6.0,,0 days 01:16:00.193000,0 days 00:01:04.862000,0 days 00:00:32.801000,0 days 00:00:41.415000,0 days 01:14:50.507000,0 days 01:15:23.308000,0 days 01:16:04.723000,167.0,219.0,,191.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:13:45.645000,2024-05-18 11:31:35.966,1,,False,,False,False
0 days 00:34:30.852000,SAR,2,,1.0,1.0,0 days 00:32:53.294000,,,0 days 00:00:34.317000,0 days 00:00:30.857000,,0 days 00:34:00.119000,0 days 00:34:31,110.0,231.0,282.0,274.0,False,SOFT,1.0,True,Williams,0 days 00:32:53.294000,2024-05-18 10:50:43.615,1,,False,,False,False
0 days 00:35:50.326000,SAR,2,,2.0,1.0,,,0 days 00:00:24.518000,0 days 00:00:27.242000,0 days 00:00:27.714000,0 days 00:34:55.370000,0 days 00:35:22.612000,0 days 00:35:50.326000,224.0,261.0,254.0,296.0,True,SOFT,2.0,True,Williams,0 days 00:34:30.852000,2024-05-18 10:52:21.173,1,,False,,False,True
0 days 00:45:10.070000,SAR,2,,3.0,1.0,,0 days 00:37:52.651000,0 days 00:00:36.998000,,,0 days 00:36:27.598000,,,147.0,,,,False,SOFT,3.0,True,Williams,0 days 00:35:50.326000,2024-05-18 10:53:40.647,125,,False,,False,False
0 days 00:46:56.344000,SAR,2,,4.0,2.0,0 days 00:45:10.070000,,,0 days 00:00:33.887000,0 days 00:00:42.094000,,0 days 00:46:14.350000,0 days 00:46:56.483000,172.0,237.0,284.0,90.0,False,SOFT,4.0,False,Williams,0 days 00:45:10.070000,2024-05-18 11:03:00.391,1,,False,,False,False
0 days 00:48:13.447000,SAR,2,,5.0,2.0,,,0 days 00:00:24.370000,0 days 00:00:26.952000,0 days 00:00:25.781000,0 days 00:47:20.714000,0 days 00:47:47.666000,0 days 00:48:13.447000,226.0,262.0,284.0,300.0,True,SOFT,5.0,False,Williams,0 days 00:46:56.344000,2024-05-18 11:04:46.665,1,,False,,False,True
0 days 00:50:04.670000,SAR,2,,6.0,2.0,,0 days 00:50:00.235000,0 days 00:00:27.492000,0 days 00:00:35.913000,0 days 00:00:47.818000,0 days 00:48:40.939000,0 days 00:49:16.852000,0 days 00:50:04.670000,207.0,122.0,,147.0,False,SOFT,6.0,False,Williams,0 days 00:48:13.447000,2024-05-18 11:06:03.768,1,,False,,False,False
0 days 00:52:01.325000,SAR,2,,7.0,3.0,0 days 00:50:33.744000,0 days 00:51:56.797000,0 days 00:00:54.044000,0 days 00:00:31.175000,0 days 00:00:31.436000,0 days 00:50:58.714000,0 days 00:51:29.889000,0 days 00:52:01.325000,205.0,247.0,,295.0,False,SOFT,7.0,False,Williams,0 days 00:50:04.670000,2024-05-18 11:07:54.991,1,,False,,False,False
0 days 00:57:19.464000,SAR,2,,8.0,4.0,0 days 00:55:50.815000,,,0 days 00:00:32.714000,0 days 00:00:28.931000,,0 days 00:56:50.721000,0 days 00:57:19.469000,194.0,237.0,284.0,278.0,False,SOFT,1.0,True,Williams,0 days 00:52:01.325000,2024-05-18 11:09:51.646,1,,False,,False,False
