Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:03.238000,31.5,36.0,988.5,False,49.2,201,0.7
0 days 00:01:03.252000,31.5,36.0,988.5,False,49.3,209,0.4
0 days 00:02:03.242000,31.5,35.0,988.5,False,48.9,181,1.5
0 days 00:03:03.252000,31.4,36.0,988.5,False,48.9,238,0.8
0 days 00:04:03.270000,31.4,36.0,988.5,False,47.7,262,0.0
0 days 00:05:03.276000,31.5,36.0,988.6,False,48.1,135,0.8
0 days 00:06:03.291000,31.5,35.0,988.5,False,48.2,138,1.6
0 days 00:07:03.290000,31.4,36.0,988.5,False,48.2,139,2.0
0 days 00:08:03.295000,31.4,37.0,988.5,False,48.3,125,1.5
0 days 00:09:03.293000,31.3,36.0,988.5,False,48.8,155,2.5
0 days 00:10:03.296000,31.3,36.0,988.4,False,48.6,136,2.0
0 days 00:11:03.304000,31.2,37.0,988.5,False,48.8,149,2.3
0 days 00:12:03.319000,31.2,36.0,988.4,False,48.8,186,1.7
0 days 00:13:03.307000,31.3,37.0,988.5,False,48.6,0,0.9
0 days 00:14:03.305000,31.3,37.0,988.5,False,48.3,151,0.4
0 days 00:15:03.318000,31.3,37.0,988.5,False,48.3,164,0.8
0 days 00:16:03.326000,31.5,37.0,988.4,False,49.7,0,0.4
0 days 00:17:03.344000,31.8,36.0,988.3,False,49.8,277,0.7
0 days 00:18:03.356000,31.9,35.0,988.4,False,49.1,265,1.4
0 days 00:19:03.380000,31.7,36.0,988.3,False,48.0,180,0.7
0 days 00:20:03.382000,31.8,36.0,988.3,False,47.8,167,1.1
0 days 00:21:03.376000,31.8,35.0,988.4,False,48.0,207,1.2
0 days 00:22:03.383000,31.8,36.0,988.2,False,47.6,113,1.8
0 days 00:23:03.368000,31.6,37.0,988.3,False,47.6,0,0.7
0 days 00:24:03.380000,31.6,37.0,988.3,False,48.0,119,0.0
0 days 00:25:03.383000,31.6,36.0,988.3,False,48.0,174,0.9
0 days 00:26:03.383000,31.6,37.0,988.3,False,48.0,180,1.5
0 days 00:27:03.380000,31.5,37.0,988.2,False,47.9,123,1.5
0 days 00:28:03.387000,31.4,36.0,988.3,False,47.6,160,0.6
0 days 00:29:03.389000,31.3,36.0,988.2,False,47.5,213,1.0
0 days 00:30:03.384000,31.2,36.0,988.2,False,47.3,135,1.3
0 days 00:31:03.384000,31.1,36.0,988.2,False,47.3,169,1.2
0 days 00:32:03.378000,31.2,37.0,988.1,False,47.3,145,1.3
0 days 00:33:03.388000,31.2,37.0,988.1,False,47.4,170,1.2
0 days 00:34:03.386000,31.1,37.0,988.1,False,46.4,135,0.8
0 days 00:35:03.387000,31.0,37.0,988.0,False,46.3,220,0.7
0 days 00:36:03.424000,30.9,37.0,988.0,False,46.8,203,1.1
0 days 00:37:03.398000,31.0,37.0,988.0,False,46.6,210,1.3
0 days 00:38:03.379000,30.9,37.0,988.0,False,45.8,146,0.9
0 days 00:39:03.379000,30.8,37.0,988.0,False,45.6,170,0.7
0 days 00:40:03.389000,30.8,37.0,988.1,False,45.3,171,0.7
0 days 00:41:03.392000,30.7,37.0,988.0,False,44.6,114,0.8
0 days 00:42:03.396000,30.7,37.0,988.0,False,44.1,134,0.6
0 days 00:43:03.389000,30.8,37.0,988.1,False,43.9,275,0.4
