Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:25.030000,24.5,61.0,984.4,True,29.8,274,1.1
0 days 00:01:25.021000,24.5,60.0,984.4,True,29.3,20,0.4
0 days 00:02:25.030000,24.4,62.0,984.4,True,29.2,0,0.5
0 days 00:03:25.040000,24.4,62.0,984.4,True,29.3,224,0.5
0 days 00:04:25.030000,24.4,62.0,984.3,True,29.3,307,0.6
0 days 00:05:25.033000,24.3,64.0,984.3,True,29.3,291,0.5
0 days 00:06:25.036000,24.3,64.0,984.3,True,29.2,233,0.6
0 days 00:07:25.032000,24.3,65.0,984.3,True,29.2,268,0.8
0 days 00:08:25.040000,24.3,63.0,984.3,True,29.2,226,0.5
0 days 00:09:25.034000,24.2,65.0,984.3,True,29.3,12,0.5
0 days 00:10:25.039000,24.2,63.0,984.2,True,29.5,338,1.1
0 days 00:11:25.035000,24.3,63.0,984.3,True,29.5,336,1.0
0 days 00:12:25.036000,24.3,62.0,984.2,True,29.4,293,0.6
0 days 00:13:25.042000,24.3,63.0,984.3,True,29.4,290,0.8
0 days 00:14:25.040000,24.3,63.0,984.3,True,29.5,307,1.0
0 days 00:15:25.037000,24.3,66.0,984.3,True,29.6,215,0.9
0 days 00:16:25.040000,24.3,64.0,984.3,True,29.7,176,1.1
0 days 00:17:25.042000,24.2,67.0,984.3,True,29.7,360,0.9
0 days 00:18:25.040000,24.3,67.0,984.3,True,29.7,41,0.4
0 days 00:19:25.029000,24.3,68.0,984.2,True,30.4,174,0.8
0 days 00:20:25.043000,24.3,68.0,984.2,True,30.5,162,1.8
0 days 00:21:25.040000,24.4,67.0,984.1,True,30.1,177,1.3
0 days 00:22:25.046000,24.5,67.0,984.2,True,29.8,160,1.2
0 days 00:23:25.044000,24.5,69.0,984.3,True,29.7,169,1.5
0 days 00:24:25.044000,24.6,69.0,984.2,True,29.8,156,1.1
0 days 00:25:25.044000,24.6,69.0,984.2,True,29.7,289,0.7
0 days 00:26:25.055000,24.6,69.0,984.2,True,29.8,314,0.7
0 days 00:27:25.047000,24.5,67.0,984.3,True,29.5,0,1.0
0 days 00:28:25.049000,24.4,66.0,984.1,True,29.5,356,0.7
0 days 00:29:25.047000,24.3,66.0,984.1,True,28.8,20,0.6
0 days 00:30:25.049000,24.2,67.0,984.2,True,29.0,350,0.9
0 days 00:31:25.039000,24.1,69.0,984.2,True,29.0,312,1.1
0 days 00:32:25.050000,24.1,66.0,984.2,True,29.1,159,1.0
0 days 00:33:25.050000,24.1,66.0,984.1,True,29.1,233,0.6
0 days 00:34:25.050000,24.0,65.0,984.1,True,29.1,323,0.8
