Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:56:31.948000,PIA,81,,1.0,1.0,,,,0 days 00:00:29.625000,0 days 00:00:23.513000,,0 days 00:56:08.587000,0 days 00:56:32.061000,270.0,240.0,243.0,244.0,False,MEDIUM,1.0,True,McLaren,0 days 00:55:04.938000,2024-07-21 13:02:58.551,1,1.0,False,,False,False
0 days 00:57:55.986000,PIA,81,,2.0,1.0,,,0 days 00:00:29.924000,0 days 00:00:30.425000,0 days 00:00:23.689000,0 days 00:57:01.888000,0 days 00:57:32.313000,0 days 00:57:56.002000,264.0,231.0,244.0,285.0,True,MEDIUM,2.0,True,McLaren,0 days 00:56:31.948000,2024-07-21 13:04:25.561,1,1.0,False,,False,True
0 days 00:59:20.387000,PIA,81,,3.0,1.0,,,0 days 00:00:30.303000,0 days 00:00:30.297000,0 days 00:00:23.801000,0 days 00:58:26.305000,0 days 00:58:56.602000,0 days 00:59:20.403000,259.0,233.0,244.0,283.0,False,MEDIUM,3.0,True,McLaren,0 days 00:57:55.986000,2024-07-21 13:05:49.599,1,1.0,False,,False,True
0 days 01:00:44.502000,PIA,81,,4.0,1.0,,,0 days 00:00:30.145000,0 days 00:00:30.338000,0 days 00:00:23.632000,0 days 00:59:50.548000,0 days 01:00:20.886000,0 days 01:00:44.518000,270.0,233.0,244.0,284.0,False,MEDIUM,4.0,True,McLaren,0 days 00:59:20.387000,2024-07-21 13:07:14.000,1,1.0,False,,False,True
0 days 01:02:08.298000,PIA,81,,5.0,1.0,,,0 days 00:00:30.091000,0 days 00:00:30.157000,0 days 00:00:23.548000,0 days 01:01:14.609000,0 days 01:01:44.766000,0 days 01:02:08.314000,267.0,235.0,244.0,,True,MEDIUM,5.0,True,McLaren,0 days 01:00:44.502000,2024-07-21 13:08:38.115,1,1.0,False,,False,True
0 days 01:03:32.144000,PIA,81,,6.0,1.0,,,0 days 00:00:30.008000,0 days 00:00:30.248000,0 days 00:00:23.590000,0 days 01:02:38.322000,0 days 01:03:08.570000,0 days 01:03:32.160000,266.0,235.0,244.0,,False,MEDIUM,6.0,True,McLaren,0 days 01:02:08.298000,2024-07-21 13:10:01.911,1,1.0,False,,False,True
0 days 01:04:56.254000,PIA,81,,7.0,1.0,,,0 days 00:00:30.163000,0 days 00:00:30.201000,0 days 00:00:23.746000,0 days 01:04:02.323000,0 days 01:04:32.524000,0 days 01:04:56.270000,268.0,235.0,243.0,,False,MEDIUM,7.0,True,McLaren,0 days 01:03:32.144000,2024-07-21 13:11:25.757,1,1.0,False,,False,True
0 days 01:06:20.146000,PIA,81,,8.0,1.0,,,0 days 00:00:30.068000,0 days 00:00:30.192000,0 days 00:00:23.632000,0 days 01:05:26.338000,0 days 01:05:56.530000,0 days 01:06:20.162000,269.0,236.0,245.0,285.0,False,MEDIUM,8.0,True,McLaren,0 days 01:04:56.254000,2024-07-21 13:12:49.867,1,1.0,False,,False,True
0 days 01:07:44.352000,PIA,81,,9.0,1.0,,,0 days 00:00:30.054000,0 days 00:00:30.348000,0 days 00:00:23.804000,0 days 01:06:50.216000,0 days 01:07:20.564000,0 days 01:07:44.368000,267.0,236.0,244.0,,False,MEDIUM,9.0,True,McLaren,0 days 01:06:20.146000,2024-07-21 13:14:13.759,1,1.0,False,,False,True
0 days 01:09:08.609000,PIA,81,,10.0,1.0,,,0 days 00:00:30.286000,0 days 00:00:30.286000,0 days 00:00:23.685000,0 days 01:08:14.654000,0 days 01:08:44.940000,0 days 01:09:08.625000,269.0,237.0,244.0,284.0,False,MEDIUM,10.0,True,McLaren,0 days 01:07:44.352000,2024-07-21 13:15:37.965,1,1.0,False,,False,True
0 days 01:10:32.671000,PIA,81,,11.0,1.0,,,0 days 00:00:30.206000,0 days 00:00:30.227000,0 days 00:00:23.629000,0 days 01:09:38.831000,0 days 01:10:09.058000,0 days 01:10:32.687000,270.0,235.0,244.0,285.0,False,MEDIUM,11.0,True,McLaren,0 days 01:09:08.609000,2024-07-21 13:17:02.222,1,1.0,False,,False,True
0 days 01:11:56.564000,PIA,81,,12.0,1.0,,,0 days 00:00:30.077000,0 days 00:00:30.128000,0 days 00:00:23.688000,0 days 01:11:02.764000,0 days 01:11:32.892000,0 days 01:11:56.580000,,235.0,244.0,,False,MEDIUM,12.0,True,McLaren,0 days 01:10:32.671000,2024-07-21 13:18:26.284,1,1.0,False,,False,True
0 days 01:13:20.451000,PIA,81,,13.0,1.0,,,0 days 00:00:30.139000,0 days 00:00:30.039000,0 days 00:00:23.709000,0 days 01:12:26.719000,0 days 01:12:56.758000,0 days 01:13:20.467000,272.0,239.0,244.0,,False,MEDIUM,13.0,True,McLaren,0 days 01:11:56.564000,2024-07-21 13:19:50.177,1,1.0,False,,False,True
0 days 01:14:45.134000,PIA,81,,14.0,1.0,,,0 days 00:00:30.389000,0 days 00:00:30.334000,0 days 00:00:23.960000,0 days 01:13:50.856000,0 days 01:14:21.190000,0 days 01:14:45.150000,270.0,236.0,243.0,,False,MEDIUM,14.0,True,McLaren,0 days 01:13:20.451000,2024-07-21 13:21:14.064,1,1.0,False,,False,True
0 days 01:16:09.433000,PIA,81,,15.0,1.0,,,0 days 00:00:30.285000,0 days 00:00:30.204000,0 days 00:00:23.810000,0 days 01:15:15.435000,0 days 01:15:45.639000,0 days 01:16:09.449000,271.0,237.0,244.0,,False,MEDIUM,15.0,True,McLaren,0 days 01:14:45.134000,2024-07-21 13:22:38.747,1,1.0,False,,False,True
