Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:24.256000,31.0,45.0,997.5,False,44.0,238,1.3
0 days 00:01:24.258000,31.0,46.0,997.5,False,43.6,241,1.2
0 days 00:02:24.265000,31.0,46.0,997.4,False,43.3,238,1.3
0 days 00:03:24.284000,31.0,46.0,997.5,False,43.4,141,0.7
0 days 00:04:24.294000,31.0,46.0,997.5,False,43.8,91,0.6
0 days 00:05:24.292000,31.0,46.0,997.5,False,44.1,303,0.7
0 days 00:06:24.281000,31.0,45.0,997.5,False,44.2,297,0.7
0 days 00:07:24.287000,31.1,45.0,997.5,False,44.1,300,1.3
0 days 00:08:24.283000,31.0,45.0,997.4,False,43.9,351,1.7
0 days 00:09:24.292000,30.9,45.0,997.5,False,43.6,22,1.5
0 days 00:10:24.287000,31.0,46.0,997.5,False,43.6,341,0.7
0 days 00:11:24.288000,31.0,46.0,997.5,False,43.6,9,0.7
0 days 00:12:24.294000,30.9,46.0,997.4,False,43.7,351,0.0
0 days 00:13:24.285000,30.9,46.0,997.4,False,43.9,304,0.8
0 days 00:14:24.301000,30.9,46.0,997.5,False,43.9,244,1.1
0 days 00:15:24.285000,31.0,46.0,997.5,False,44.3,315,0.7
0 days 00:16:24.295000,30.9,45.0,997.4,False,44.7,250,0.8
0 days 00:17:24.298000,31.0,45.0,997.5,False,44.9,186,0.7
0 days 00:18:24.295000,31.1,45.0,997.5,False,46.0,173,1.4
0 days 00:19:24.304000,31.1,44.0,997.4,False,46.2,95,2.3
0 days 00:20:24.292000,31.1,44.0,997.5,False,46.0,128,0.7
0 days 00:21:24.304000,31.1,44.0,997.4,False,46.0,179,1.0
0 days 00:22:24.296000,31.2,44.0,997.5,False,46.0,204,1.0
0 days 00:23:24.304000,31.3,44.0,997.4,False,46.0,204,0.5
0 days 00:24:24.295000,31.4,43.0,997.6,False,45.9,247,1.3
0 days 00:25:24.304000,31.5,44.0,997.5,False,45.5,0,0.7
0 days 00:26:24.296000,31.4,44.0,997.5,False,45.6,229,0.5
0 days 00:27:24.298000,31.4,43.0,997.5,False,46.0,184,1.2
0 days 00:28:24.306000,31.4,43.0,997.5,False,46.4,182,0.9
0 days 00:29:24.313000,31.4,43.0,997.4,False,46.4,167,0.5
0 days 00:30:24.306000,31.3,43.0,997.4,False,46.4,237,0.4
0 days 00:31:24.317000,31.4,43.0,997.5,False,46.8,188,1.6
0 days 00:32:24.303000,31.5,43.0,997.5,False,45.9,218,1.2
0 days 00:33:24.299000,31.6,42.0,997.5,False,45.9,227,1.6
0 days 00:34:24.310000,31.7,43.0,997.4,False,45.3,244,1.1
0 days 00:35:24.300000,31.7,43.0,997.4,False,45.3,265,1.1
0 days 00:36:24.300000,31.7,43.0,997.4,False,45.1,244,1.6
0 days 00:37:24.317000,31.7,43.0,997.4,False,45.5,228,1.8
0 days 00:38:24.312000,31.6,42.0,997.4,False,45.6,201,1.7
0 days 00:39:24.314000,31.7,42.0,997.4,False,45.9,224,1.8
0 days 00:40:24.312000,31.8,41.0,997.5,False,45.6,263,1.6
0 days 00:41:24.316000,31.8,41.0,997.4,False,45.6,270,1.2
0 days 00:42:24.319000,31.9,41.0,997.4,False,45.9,273,1.2
0 days 00:43:24.305000,32.0,41.0,997.3,False,46.3,315,1.6
0 days 00:44:24.311000,31.9,41.0,997.3,False,46.3,315,1.6
0 days 00:45:24.315000,31.9,41.0,997.3,False,46.3,315,1.6
0 days 00:46:24.316000,31.9,41.0,997.4,False,46.5,238,1.0
0 days 00:47:24.325000,31.9,40.0,997.4,False,47.1,274,1.5
