Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:06.225000,33.1,37.0,996.3,False,48.4,243,1.2
0 days 00:01:06.227000,33.1,37.0,996.2,False,48.4,186,0.7
0 days 00:02:06.222000,33.0,37.0,996.2,False,48.4,234,0.6
0 days 00:03:06.246000,33.1,37.0,996.2,False,49.9,178,0.6
0 days 00:04:06.217000,33.2,37.0,996.1,False,50.1,186,1.1
0 days 00:05:06.220000,33.3,37.0,996.1,False,50.2,200,2.3
0 days 00:06:06.228000,33.3,37.0,996.2,False,50.2,230,1.6
0 days 00:07:06.224000,33.3,37.0,996.1,False,50.1,247,1.4
0 days 00:08:06.221000,33.5,37.0,996.1,False,50.0,197,1.3
0 days 00:09:06.231000,33.4,37.0,996.1,False,50.1,201,1.1
0 days 00:10:06.223000,33.4,37.0,996.1,False,50.1,234,1.2
0 days 00:11:06.230000,33.4,37.0,996.1,False,50.2,221,0.9
0 days 00:12:06.233000,33.5,37.0,996.2,False,50.3,186,1.5
0 days 00:13:06.247000,33.5,37.0,996.1,False,50.2,184,1.3
0 days 00:14:06.257000,33.5,37.0,996.1,False,50.6,188,1.5
0 days 00:15:06.276000,33.4,37.0,996.0,False,50.7,213,2.0
0 days 00:16:06.276000,33.5,37.0,996.0,False,50.8,195,1.1
0 days 00:17:06.295000,33.5,37.0,996.1,False,50.8,0,0.9
0 days 00:18:06.316000,33.6,36.0,996.0,False,50.6,236,0.6
0 days 00:19:06.305000,33.7,36.0,996.0,False,50.6,234,1.1
0 days 00:20:06.304000,33.7,36.0,996.0,False,50.7,241,1.5
0 days 00:21:06.333000,33.7,36.0,996.0,False,51.0,232,2.6
0 days 00:22:06.336000,33.7,36.0,995.9,False,50.6,192,1.9
0 days 00:23:06.337000,33.8,36.0,996.0,False,51.0,237,1.9
0 days 00:24:06.330000,33.6,36.0,995.9,False,50.0,206,1.8
0 days 00:25:06.427000,33.6,36.0,995.9,False,49.7,200,1.6
0 days 00:26:06.443000,33.7,37.0,995.9,False,49.2,231,1.2
0 days 00:27:06.448000,33.7,37.0,995.9,False,49.1,240,1.6
0 days 00:28:06.447000,33.7,37.0,995.9,False,49.1,346,0.9
0 days 00:29:06.447000,33.7,37.0,995.9,False,49.8,244,1.5
0 days 00:30:06.445000,33.6,36.0,995.9,False,49.7,217,1.8
0 days 00:31:06.446000,33.7,36.0,995.9,False,49.3,156,1.3
0 days 00:32:06.436000,33.7,36.0,996.0,False,48.9,32,0.4
0 days 00:33:06.441000,33.7,37.0,995.9,False,48.3,4,0.9
0 days 00:34:06.441000,33.6,37.0,995.9,False,48.4,247,0.5
0 days 00:35:06.455000,33.5,37.0,995.9,False,49.1,182,0.9
0 days 00:36:06.452000,33.5,37.0,995.8,False,48.7,134,1.3
0 days 00:37:06.447000,33.3,38.0,995.9,False,48.5,194,0.8
0 days 00:38:06.447000,33.3,37.0,995.8,False,48.8,195,1.7
0 days 00:39:06.453000,33.3,37.0,995.9,False,49.2,0,1.5
0 days 00:40:06.468000,33.3,37.0,995.8,False,49.2,195,0.0
0 days 00:41:06.457000,33.3,37.0,995.8,False,49.5,191,1.7
0 days 00:42:06.444000,33.4,37.0,995.7,False,49.5,237,1.7
0 days 00:43:06.458000,33.5,37.0,995.8,False,49.3,193,1.1
0 days 00:44:06.457000,33.6,37.0,995.8,False,49.3,198,3.0
0 days 00:45:06.453000,33.6,38.0,995.9,False,49.2,216,1.4
0 days 00:46:06.458000,33.7,38.0,995.8,False,49.1,196,1.4
0 days 00:47:06.459000,33.8,37.0,995.8,False,49.1,217,1.8
0 days 00:48:06.453000,33.9,37.0,995.9,False,49.0,223,1.5
0 days 00:49:06.450000,33.9,36.0,995.8,False,48.8,206,3.0
0 days 00:50:06.465000,33.8,36.0,995.9,False,48.2,216,1.6
0 days 00:51:06.461000,33.7,36.0,995.7,False,48.1,231,1.2
0 days 00:52:06.463000,33.7,35.0,995.8,False,48.0,28,1.2
0 days 00:53:06.466000,33.7,36.0,995.8,False,47.9,307,0.9
0 days 00:54:06.487000,33.6,36.0,995.8,False,48.0,193,2.1
0 days 00:55:06.503000,33.5,36.0,995.7,False,48.0,184,2.4
0 days 00:56:06.505000,33.5,36.0,995.7,False,48.0,187,2.5
0 days 00:57:06.506000,33.5,36.0,995.8,False,47.7,184,2.5
0 days 00:58:06.508000,33.5,37.0,995.7,False,47.2,283,1.3
0 days 00:59:06.512000,33.3,37.0,995.7,False,46.9,200,0.7
0 days 01:00:06.519000,33.3,36.0,995.7,False,47.2,200,1.4
0 days 01:01:06.520000,33.4,36.0,995.6,False,46.5,346,0.7
0 days 01:02:06.515000,33.3,37.0,995.7,False,46.5,262,0.7
0 days 01:03:06.543000,33.2,37.0,995.6,False,46.5,0,0.7
0 days 01:04:06.549000,33.3,36.0,995.7,False,46.8,297,0.4
0 days 01:05:06.569000,33.3,36.0,995.7,False,46.9,196,1.0
0 days 01:06:06.576000,33.3,35.0,995.7,False,47.9,201,1.8
0 days 01:07:06.571000,33.2,35.0,995.7,False,47.6,242,1.4
0 days 01:08:06.582000,33.2,36.0,995.7,False,47.2,205,2.3
0 days 01:09:06.585000,33.2,37.0,995.7,False,46.9,213,1.7
0 days 01:10:06.584000,33.2,37.0,995.6,False,46.2,207,1.5
0 days 01:11:06.600000,33.3,38.0,995.6,False,46.2,184,1.6
0 days 01:12:06.592000,33.3,38.0,995.6,False,46.4,192,1.9
0 days 01:13:06.603000,33.3,39.0,995.6,False,47.2,206,1.3
0 days 01:14:06.603000,33.2,39.0,995.6,False,47.1,195,1.1
0 days 01:15:06.603000,33.0,39.0,995.6,False,46.9,175,0.9
0 days 01:16:06.613000,33.0,39.0,995.6,False,47.0,192,1.2
0 days 01:17:06.597000,33.0,39.0,995.6,False,46.5,211,1.1
