Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:40.658000,22.2,44.0,1012.5,False,39.4,179,2.1
0 days 00:01:40.661000,22.1,44.0,1012.5,False,39.3,181,1.8
0 days 00:02:40.659000,22.0,45.0,1012.4,False,39.2,170,1.8
0 days 00:03:40.660000,22.0,45.0,1012.4,False,39.3,182,2.1
0 days 00:04:40.660000,22.0,44.0,1012.4,False,39.1,196,2.2
0 days 00:05:40.668000,22.0,44.0,1012.4,False,38.9,172,2.5
0 days 00:06:40.662000,22.0,45.0,1012.4,False,38.9,171,2.7
0 days 00:07:40.663000,22.1,45.0,1012.5,False,39.4,172,1.7
0 days 00:08:40.668000,22.2,45.0,1012.4,False,39.4,172,2.0
0 days 00:09:40.665000,22.0,44.0,1012.4,False,39.5,177,1.7
0 days 00:10:40.670000,22.0,44.0,1012.4,False,39.5,167,1.7
0 days 00:11:40.667000,22.1,45.0,1012.4,False,39.8,154,1.8
0 days 00:12:40.667000,22.1,45.0,1012.4,False,39.7,169,1.4
0 days 00:13:40.667000,22.2,45.0,1012.3,False,39.4,186,2.2
0 days 00:14:40.668000,22.3,43.0,1012.5,False,39.4,193,2.4
0 days 00:15:40.668000,22.1,43.0,1012.5,False,39.0,180,2.2
0 days 00:16:40.670000,21.9,44.0,1012.4,False,39.1,192,2.2
0 days 00:17:40.669000,22.0,42.0,1012.4,False,39.4,147,1.5
0 days 00:18:40.670000,22.0,43.0,1012.3,False,39.4,185,1.7
0 days 00:19:40.672000,22.0,42.0,1012.3,False,39.3,200,2.4
0 days 00:20:40.673000,22.2,43.0,1012.3,False,39.5,191,2.1
0 days 00:21:40.715000,22.2,43.0,1012.3,False,39.5,174,1.6
0 days 00:22:40.676000,22.2,43.0,1012.3,False,39.8,191,2.3
0 days 00:23:40.667000,22.1,43.0,1012.3,False,39.9,186,2.2
0 days 00:24:40.679000,22.1,42.0,1012.4,False,39.7,194,2.1
0 days 00:25:40.674000,22.0,41.0,1012.3,False,39.5,193,1.4
0 days 00:26:40.675000,22.0,43.0,1012.3,False,39.3,201,1.5
0 days 00:27:40.677000,22.1,42.0,1012.2,False,39.8,176,1.2
0 days 00:28:40.677000,22.3,42.0,1012.1,False,40.0,167,1.3
0 days 00:29:40.725000,22.3,41.0,1012.2,False,40.2,164,1.5
0 days 00:30:40.680000,22.2,41.0,1012.2,False,40.2,146,1.5
0 days 00:31:40.722000,22.2,40.0,1012.2,False,40.2,165,0.9
0 days 00:32:40.682000,22.3,39.0,1012.1,False,39.7,168,1.8
0 days 00:33:40.682000,22.1,38.0,1012.2,False,39.6,178,1.6
0 days 00:34:40.681000,22.1,39.0,1012.1,False,39.6,212,1.5
0 days 00:35:40.681000,22.2,41.0,1012.1,False,40.0,194,2.3
0 days 00:36:40.683000,22.3,39.0,1012.1,False,39.9,203,2.9
0 days 00:37:40.682000,22.1,39.0,1012.1,False,39.5,149,1.7
0 days 00:38:40.686000,22.1,41.0,1012.1,False,39.5,205,1.2
0 days 00:39:40.685000,22.2,42.0,1012.1,False,39.9,226,1.8
0 days 00:40:40.684000,22.3,41.0,1012.1,False,39.9,183,1.0
0 days 00:41:40.684000,22.4,42.0,1012.1,False,39.9,200,2.3
0 days 00:42:40.686000,22.4,41.0,1012.1,False,40.4,201,3.4
0 days 00:43:40.687000,22.2,41.0,1012.1,False,39.9,185,2.4
0 days 00:44:40.688000,22.1,41.0,1012.1,False,40.4,183,2.2
0 days 00:45:40.687000,22.1,40.0,1012.1,False,40.0,195,1.4
0 days 00:46:40.688000,22.2,42.0,1012.0,False,40.2,179,1.8
