Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:35.063000,RUS,63,,1.0,1.0,0 days 00:13:32.787000,0 days 00:15:32.011000,,0 days 00:00:41.360000,0 days 00:00:47.547000,,0 days 00:14:47.516000,0 days 00:15:35.162000,140.0,186.0,,210.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:13:32.787000,2024-11-23 06:00:03.153,1,,False,,False,False
0 days 00:18:57.735000,RUS,63,,2.0,2.0,0 days 00:17:07.922000,,,0 days 00:00:37.296000,0 days 00:00:43.971000,,0 days 00:18:13.851000,0 days 00:18:57.735000,165.0,202.0,320.0,258.0,False,SOFT,1.0,True,Mercedes,0 days 00:15:35.063000,2024-11-23 06:02:05.429,1,,False,,False,False
0 days 00:20:32.080000,RUS,63,,3.0,2.0,,,0 days 00:00:26.817000,0 days 00:00:31.499000,0 days 00:00:36.029000,0 days 00:19:24.552000,0 days 00:19:56.051000,0 days 00:20:32.080000,184.0,214.0,320.0,341.0,True,SOFT,2.0,True,Mercedes,0 days 00:18:57.735000,2024-11-23 06:05:28.101,1,,False,,False,True
0 days 00:22:37.762000,RUS,63,,4.0,2.0,,,0 days 00:00:41.304000,0 days 00:00:43.891000,0 days 00:00:40.487000,0 days 00:21:13.384000,0 days 00:21:57.275000,0 days 00:22:37.762000,124.0,164.0,305.0,256.0,False,SOFT,3.0,True,Mercedes,0 days 00:20:32.080000,2024-11-23 06:07:02.446,1,,False,,False,True
0 days 00:24:32.246000,RUS,63,,5.0,2.0,,,0 days 00:00:32.893000,0 days 00:00:41.018000,0 days 00:00:40.573000,0 days 00:23:10.655000,0 days 00:23:51.673000,0 days 00:24:32.246000,150.0,101.0,319.0,283.0,False,SOFT,4.0,True,Mercedes,0 days 00:22:37.762000,2024-11-23 06:09:08.128,1,,False,,False,True
0 days 00:26:05.609000,RUS,63,,6.0,2.0,,,0 days 00:00:26.232000,0 days 00:00:31.273000,0 days 00:00:35.858000,0 days 00:24:58.478000,0 days 00:25:29.751000,0 days 00:26:05.609000,187.0,213.0,322.0,342.0,True,SOFT,5.0,True,Mercedes,0 days 00:24:32.246000,2024-11-23 06:11:02.612,1,,False,,False,True
0 days 00:28:13.544000,RUS,63,,7.0,2.0,,,0 days 00:00:42.002000,0 days 00:00:40.745000,0 days 00:00:45.188000,0 days 00:26:47.611000,0 days 00:27:28.356000,0 days 00:28:13.544000,118.0,162.0,248.0,248.0,False,SOFT,6.0,True,Mercedes,0 days 00:26:05.609000,2024-11-23 06:12:35.975,1,,False,,False,True
0 days 00:30:05.341000,RUS,63,,8.0,2.0,,,0 days 00:00:36.617000,0 days 00:00:36.830000,0 days 00:00:38.350000,0 days 00:28:50.161000,0 days 00:29:26.991000,0 days 00:30:05.341000,163.0,205.0,318.0,273.0,False,SOFT,7.0,True,Mercedes,0 days 00:28:13.544000,2024-11-23 06:14:43.910,1,,False,,False,True
0 days 00:31:38.527000,RUS,63,,9.0,2.0,,,0 days 00:00:26.192000,0 days 00:00:31.155000,0 days 00:00:35.839000,0 days 00:30:31.533000,0 days 00:31:02.688000,0 days 00:31:38.527000,188.0,213.0,321.0,342.0,True,SOFT,8.0,True,Mercedes,0 days 00:30:05.341000,2024-11-23 06:16:35.707,12,,False,,False,True
0 days 00:33:34.860000,RUS,63,,10.0,2.0,,0 days 00:33:31.797000,0 days 00:00:33.095000,0 days 00:00:37.282000,0 days 00:00:45.956000,0 days 00:32:11.622000,0 days 00:32:48.904000,0 days 00:33:34.860000,148.0,187.0,,234.0,False,SOFT,9.0,True,Mercedes,0 days 00:31:38.527000,2024-11-23 06:18:08.893,1,,False,,False,False
0 days 00:40:21.184000,RUS,63,,11.0,3.0,0 days 00:38:36.480000,,,0 days 00:00:35.427000,0 days 00:00:38.795000,,0 days 00:39:42.458000,0 days 00:40:21.267000,155.0,200.0,317.0,267.0,False,SOFT,10.0,False,Mercedes,0 days 00:33:34.860000,2024-11-23 06:20:05.226,1,,False,,False,False
0 days 00:41:54.769000,RUS,63,,12.0,3.0,,,0 days 00:00:26.454000,0 days 00:00:31.302000,0 days 00:00:35.829000,0 days 00:40:47.638000,0 days 00:41:18.940000,0 days 00:41:54.769000,188.0,213.0,322.0,342.0,True,SOFT,11.0,False,Mercedes,0 days 00:40:21.184000,2024-11-23 06:26:51.550,1,,False,,False,True
