Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:58:10.045000,RUS,63,,1.0,1.0,,,,0 days 00:00:33.383000,0 days 00:00:37.566000,,0 days 00:57:33.060000,0 days 00:58:10.705000,173.0,206.0,305.0,307.0,False,MEDIUM,2.0,False,Mercedes,0 days 00:56:26.961000,2024-11-24 06:03:40.011,1,1.0,False,,False,False
0 days 00:59:49.122000,RUS,63,,2.0,1.0,,,0 days 00:00:28.738000,0 days 00:00:33.235000,0 days 00:00:37.104000,0 days 00:58:38.841000,0 days 00:59:12.076000,0 days 00:59:49.180000,175.0,205.0,317.0,318.0,True,MEDIUM,3.0,False,Mercedes,0 days 00:58:10.045000,2024-11-24 06:05:23.095,1,1.0,False,,False,True
0 days 01:01:27.986000,RUS,63,,3.0,1.0,,,0 days 00:00:28.368000,0 days 00:00:33.152000,0 days 00:00:37.344000,0 days 01:00:17.548000,0 days 01:00:50.700000,0 days 01:01:28.044000,178.0,207.0,312.0,320.0,True,MEDIUM,4.0,False,Mercedes,0 days 00:59:49.122000,2024-11-24 06:07:02.172,1,1.0,False,,False,True
0 days 01:03:06.734000,RUS,63,,4.0,1.0,,,0 days 00:00:28.229000,0 days 00:00:32.970000,0 days 00:00:37.549000,0 days 01:01:56.273000,0 days 01:02:29.243000,0 days 01:03:06.792000,179.0,206.0,312.0,300.0,True,MEDIUM,5.0,False,Mercedes,0 days 01:01:27.986000,2024-11-24 06:08:41.036,1,1.0,False,,False,True
0 days 01:04:44.870000,RUS,63,,5.0,1.0,,,0 days 00:00:28.341000,0 days 00:00:32.594000,0 days 00:00:37.201000,0 days 01:03:35.133000,0 days 01:04:07.727000,0 days 01:04:44.928000,180.0,206.0,308.0,315.0,True,MEDIUM,6.0,False,Mercedes,0 days 01:03:06.734000,2024-11-24 06:10:19.784,1,1.0,False,,False,True
0 days 01:06:23.200000,RUS,63,,6.0,1.0,,,0 days 00:00:28.217000,0 days 00:00:33.033000,0 days 00:00:37.080000,0 days 01:05:13.145000,0 days 01:05:46.178000,0 days 01:06:23.258000,177.0,206.0,312.0,321.0,False,MEDIUM,7.0,False,Mercedes,0 days 01:04:44.870000,2024-11-24 06:11:57.920,1,1.0,False,,False,True
0 days 01:08:01.698000,RUS,63,,7.0,1.0,,,0 days 00:00:28.127000,0 days 00:00:33.232000,0 days 00:00:37.139000,0 days 01:06:51.385000,0 days 01:07:24.617000,0 days 01:08:01.756000,178.0,205.0,312.0,321.0,False,MEDIUM,8.0,False,Mercedes,0 days 01:06:23.200000,2024-11-24 06:13:36.250,1,1.0,False,,False,True
0 days 01:09:40.051000,RUS,63,,8.0,1.0,,,0 days 00:00:28.106000,0 days 00:00:33.174000,0 days 00:00:37.073000,0 days 01:08:29.862000,0 days 01:09:03.036000,0 days 01:09:40.109000,177.0,204.0,318.0,323.0,False,MEDIUM,9.0,False,Mercedes,0 days 01:08:01.698000,2024-11-24 06:15:14.748,1,1.0,False,,False,True
0 days 01:11:18.802000,RUS,63,,9.0,1.0,,,0 days 00:00:28.174000,0 days 00:00:33.293000,0 days 00:00:37.284000,0 days 01:10:08.283000,0 days 01:10:41.576000,0 days 01:11:18.860000,178.0,205.0,310.0,321.0,False,MEDIUM,10.0,False,Mercedes,0 days 01:09:40.051000,2024-11-24 06:16:53.101,1,1.0,False,,False,True
0 days 01:12:57.483000,RUS,63,,10.0,1.0,,,0 days 00:00:28.296000,0 days 00:00:33.247000,0 days 00:00:37.138000,0 days 01:11:47.156000,0 days 01:12:20.403000,0 days 01:12:57.541000,177.0,205.0,314.0,321.0,False,MEDIUM,11.0,False,Mercedes,0 days 01:11:18.802000,2024-11-24 06:18:31.852,1,1.0,False,,False,True
0 days 01:14:36.172000,RUS,63,,11.0,1.0,,,0 days 00:00:28.305000,0 days 00:00:33.335000,0 days 00:00:37.049000,0 days 01:13:25.846000,0 days 01:13:59.181000,0 days 01:14:36.230000,176.0,205.0,315.0,322.0,False,MEDIUM,12.0,False,Mercedes,0 days 01:12:57.483000,2024-11-24 06:20:10.533,1,1.0,False,,False,True
0 days 01:16:19.694000,RUS,63,,12.0,1.0,,0 days 01:16:17.226000,0 days 00:00:28.363000,0 days 00:00:33.385000,0 days 00:00:41.774000,0 days 01:15:04.593000,0 days 01:15:37.978000,0 days 01:16:19.752000,178.0,205.0,,320.0,False,MEDIUM,13.0,False,Mercedes,0 days 01:14:36.172000,2024-11-24 06:21:49.222,1,1.0,False,,False,False
0 days 01:18:14.448000,RUS,63,,13.0,2.0,0 days 01:16:38.205000,,0 days 00:00:44.155000,0 days 00:00:33.616000,0 days 00:00:36.983000,0 days 01:17:03.907000,0 days 01:17:37.523000,0 days 01:18:14.506000,171.0,207.0,311.0,320.0,False,HARD,2.0,False,Mercedes,0 days 01:16:19.694000,2024-11-24 06:23:32.744,1,2.0,False,,False,False
0 days 01:19:52.744000,RUS,63,,14.0,2.0,,,0 days 00:00:28.196000,0 days 00:00:33.058000,0 days 00:00:37.042000,0 days 01:18:42.702000,0 days 01:19:15.760000,0 days 01:19:52.802000,180.0,207.0,315.0,322.0,False,HARD,3.0,False,Mercedes,0 days 01:18:14.448000,2024-11-24 06:25:27.498,1,1.0,False,,False,True
0 days 01:21:31.075000,RUS,63,,15.0,2.0,,,0 days 00:00:28.212000,0 days 00:00:33.012000,0 days 00:00:37.107000,0 days 01:20:21.014000,0 days 01:20:54.026000,0 days 01:21:31.133000,177.0,206.0,314.0,320.0,False,HARD,4.0,False,Mercedes,0 days 01:19:52.744000,2024-11-24 06:27:05.794,1,1.0,False,,False,True
0 days 01:23:08.988000,RUS,63,,16.0,2.0,,,0 days 00:00:28.035000,0 days 00:00:32.943000,0 days 00:00:36.935000,0 days 01:21:59.168000,0 days 01:22:32.111000,0 days 01:23:09.046000,178.0,208.0,319.0,325.0,True,HARD,5.0,False,Mercedes,0 days 01:21:31.075000,2024-11-24 06:28:44.125,1,1.0,False,,False,True
0 days 01:24:46.857000,RUS,63,,17.0,2.0,,,0 days 00:00:28.025000,0 days 00:00:32.926000,0 days 00:00:36.918000,0 days 01:23:37.071000,0 days 01:24:09.997000,0 days 01:24:46.915000,180.0,207.0,317.0,323.0,True,HARD,6.0,False,Mercedes,0 days 01:23:08.988000,2024-11-24 06:30:22.038,1,1.0,False,,False,True
0 days 01:26:24.821000,RUS,63,,18.0,2.0,,,0 days 00:00:28.028000,0 days 00:00:32.974000,0 days 00:00:36.962000,0 days 01:25:14.943000,0 days 01:25:47.917000,0 days 01:26:24.879000,,207.0,315.0,323.0,False,HARD,7.0,False,Mercedes,0 days 01:24:46.857000,2024-11-24 06:31:59.907,1,1.0,False,,False,True
0 days 01:28:02.824000,RUS,63,,19.0,2.0,,,0 days 00:00:28.084000,0 days 00:00:32.989000,0 days 00:00:36.930000,0 days 01:26:52.963000,0 days 01:27:25.952000,0 days 01:28:02.882000,181.0,208.0,314.0,319.0,False,HARD,8.0,False,Mercedes,0 days 01:26:24.821000,2024-11-24 06:33:37.871,1,1.0,False,,False,True
0 days 01:29:40.557000,RUS,63,,20.0,2.0,,,0 days 00:00:27.982000,0 days 00:00:32.966000,0 days 00:00:36.785000,0 days 01:28:30.864000,0 days 01:29:03.830000,0 days 01:29:40.615000,179.0,207.0,315.0,322.0,True,HARD,9.0,False,Mercedes,0 days 01:28:02.824000,2024-11-24 06:35:15.874,1,1.0,False,,False,True
0 days 01:31:17.916000,RUS,63,,21.0,2.0,,,0 days 00:00:27.868000,0 days 00:00:32.675000,0 days 00:00:36.816000,0 days 01:30:08.483000,0 days 01:30:41.158000,0 days 01:31:17.974000,181.0,209.0,315.0,323.0,True,HARD,10.0,False,Mercedes,0 days 01:29:40.557000,2024-11-24 06:36:53.607,1,1.0,False,,False,True
0 days 01:32:55.472000,RUS,63,,22.0,2.0,,,0 days 00:00:27.940000,0 days 00:00:32.754000,0 days 00:00:36.862000,0 days 01:31:45.914000,0 days 01:32:18.668000,0 days 01:32:55.530000,,208.0,316.0,322.0,False,HARD,11.0,False,Mercedes,0 days 01:31:17.916000,2024-11-24 06:38:30.966,1,1.0,False,,False,True
0 days 01:34:33.202000,RUS,63,,23.0,2.0,,,0 days 00:00:27.956000,0 days 00:00:32.895000,0 days 00:00:36.879000,0 days 01:33:23.486000,0 days 01:33:56.381000,0 days 01:34:33.260000,,208.0,315.0,321.0,False,HARD,12.0,False,Mercedes,0 days 01:32:55.472000,2024-11-24 06:40:08.522,1,1.0,False,,False,True
0 days 01:36:10.778000,RUS,63,,24.0,2.0,,,0 days 00:00:27.961000,0 days 00:00:32.736000,0 days 00:00:36.879000,0 days 01:35:01.221000,0 days 01:35:33.957000,0 days 01:36:10.836000,179.0,208.0,316.0,324.0,False,HARD,13.0,False,Mercedes,0 days 01:34:33.202000,2024-11-24 06:41:46.252,1,1.0,False,,False,True
0 days 01:37:48.502000,RUS,63,,25.0,2.0,,,0 days 00:00:27.928000,0 days 00:00:32.843000,0 days 00:00:36.953000,0 days 01:36:38.764000,0 days 01:37:11.607000,0 days 01:37:48.560000,182.0,208.0,315.0,319.0,False,HARD,14.0,False,Mercedes,0 days 01:36:10.778000,2024-11-24 06:43:23.828,1,1.0,False,,False,True
0 days 01:39:25.969000,RUS,63,,26.0,2.0,,,0 days 00:00:27.795000,0 days 00:00:32.834000,0 days 00:00:36.838000,0 days 01:38:16.355000,0 days 01:38:49.189000,0 days 01:39:26.027000,183.0,208.0,318.0,325.0,False,HARD,15.0,False,Mercedes,0 days 01:37:48.502000,2024-11-24 06:45:01.552,1,1.0,False,,False,True
0 days 01:41:03.578000,RUS,63,,27.0,2.0,,,0 days 00:00:27.811000,0 days 00:00:32.964000,0 days 00:00:36.834000,0 days 01:39:53.838000,0 days 01:40:26.802000,0 days 01:41:03.636000,180.0,209.0,317.0,321.0,False,HARD,16.0,False,Mercedes,0 days 01:39:25.969000,2024-11-24 06:46:39.019,1,1.0,False,,False,True
0 days 01:42:41.474000,RUS,63,,28.0,2.0,,,0 days 00:00:27.884000,0 days 00:00:33.183000,0 days 00:00:36.829000,0 days 01:41:31.520000,0 days 01:42:04.703000,0 days 01:42:41.532000,181.0,207.0,316.0,323.0,False,HARD,17.0,False,Mercedes,0 days 01:41:03.578000,2024-11-24 06:48:16.628,1,1.0,False,,False,True
0 days 01:44:19.030000,RUS,63,,29.0,2.0,,,0 days 00:00:28.074000,0 days 00:00:32.784000,0 days 00:00:36.698000,0 days 01:43:09.606000,0 days 01:43:42.390000,0 days 01:44:19.088000,180.0,210.0,320.0,325.0,False,HARD,18.0,False,Mercedes,0 days 01:42:41.474000,2024-11-24 06:49:54.524,1,1.0,False,,False,True
0 days 01:45:56.574000,RUS,63,,30.0,2.0,,,0 days 00:00:27.920000,0 days 00:00:32.880000,0 days 00:00:36.744000,0 days 01:44:47.008000,0 days 01:45:19.888000,0 days 01:45:56.632000,179.0,209.0,319.0,324.0,False,HARD,19.0,False,Mercedes,0 days 01:44:19.030000,2024-11-24 06:51:32.080,1,1.0,False,,False,True
0 days 01:47:34.375000,RUS,63,,31.0,2.0,,,0 days 00:00:27.957000,0 days 00:00:33.099000,0 days 00:00:36.745000,0 days 01:46:24.589000,0 days 01:46:57.688000,0 days 01:47:34.433000,180.0,210.0,316.0,323.0,False,HARD,20.0,False,Mercedes,0 days 01:45:56.574000,2024-11-24 06:53:09.624,1,1.0,False,,False,True
0 days 01:49:16.604000,RUS,63,,32.0,2.0,,0 days 01:49:14.169000,0 days 00:00:27.884000,0 days 00:00:32.879000,0 days 00:00:41.466000,0 days 01:48:02.317000,0 days 01:48:35.196000,0 days 01:49:16.662000,182.0,209.0,,324.0,False,HARD,21.0,False,Mercedes,0 days 01:47:34.375000,2024-11-24 06:54:47.425,1,1.0,False,,False,False
0 days 01:51:10.307000,RUS,63,,33.0,3.0,0 days 01:49:35.176000,,0 days 00:00:43.646000,0 days 00:00:33.163000,0 days 00:00:36.894000,0 days 01:50:00.308000,0 days 01:50:33.471000,0 days 01:51:10.365000,178.0,210.0,313.0,320.0,False,HARD,2.0,False,Mercedes,0 days 01:49:16.604000,2024-11-24 06:56:29.654,1,1.0,False,,False,False
0 days 01:52:47.928000,RUS,63,,34.0,3.0,,,0 days 00:00:28.030000,0 days 00:00:32.853000,0 days 00:00:36.738000,0 days 01:51:38.395000,0 days 01:52:11.248000,0 days 01:52:47.986000,181.0,209.0,321.0,327.0,False,HARD,3.0,False,Mercedes,0 days 01:51:10.307000,2024-11-24 06:58:23.357,1,1.0,False,,False,True
0 days 01:54:25.174000,RUS,63,,35.0,3.0,,,0 days 00:00:27.863000,0 days 00:00:32.699000,0 days 00:00:36.684000,0 days 01:53:15.849000,0 days 01:53:48.548000,0 days 01:54:25.232000,,210.0,316.0,323.0,True,HARD,4.0,False,Mercedes,0 days 01:52:47.928000,2024-11-24 07:00:00.978,1,1.0,False,,False,True
0 days 01:56:02.195000,RUS,63,,36.0,3.0,,,0 days 00:00:27.877000,0 days 00:00:32.526000,0 days 00:00:36.618000,0 days 01:54:53.109000,0 days 01:55:25.635000,0 days 01:56:02.253000,,210.0,316.0,323.0,True,HARD,5.0,False,Mercedes,0 days 01:54:25.174000,2024-11-24 07:01:38.224,1,1.0,False,,False,True
0 days 01:57:39.039000,RUS,63,,37.0,3.0,,,0 days 00:00:27.701000,0 days 00:00:32.571000,0 days 00:00:36.572000,0 days 01:56:29.954000,0 days 01:57:02.525000,0 days 01:57:39.097000,182.0,210.0,319.0,325.0,True,HARD,6.0,False,Mercedes,0 days 01:56:02.195000,2024-11-24 07:03:15.245,1,1.0,False,,False,True
0 days 01:59:15.446000,RUS,63,,38.0,3.0,,,0 days 00:00:27.727000,0 days 00:00:32.318000,0 days 00:00:36.362000,0 days 01:58:06.824000,0 days 01:58:39.142000,0 days 01:59:15.504000,,210.0,320.0,326.0,True,HARD,7.0,False,Mercedes,0 days 01:57:39.039000,2024-11-24 07:04:52.089,1,1.0,False,,False,True
0 days 02:00:51.721000,RUS,63,,39.0,3.0,,,0 days 00:00:27.625000,0 days 00:00:32.313000,0 days 00:00:36.337000,0 days 01:59:43.129000,0 days 02:00:15.442000,0 days 02:00:51.779000,183.0,,318.0,325.0,True,HARD,8.0,False,Mercedes,0 days 01:59:15.446000,2024-11-24 07:06:28.496,1,1.0,False,,False,True
0 days 02:02:28.079000,RUS,63,,40.0,3.0,,,0 days 00:00:27.508000,0 days 00:00:32.436000,0 days 00:00:36.414000,0 days 02:01:19.287000,0 days 02:01:51.723000,0 days 02:02:28.137000,182.0,211.0,318.0,327.0,False,HARD,9.0,False,Mercedes,0 days 02:00:51.721000,2024-11-24 07:08:04.771,1,1.0,False,,False,True
0 days 02:04:04.638000,RUS,63,,41.0,3.0,,,0 days 00:00:27.864000,0 days 00:00:32.244000,0 days 00:00:36.451000,0 days 02:02:56.001000,0 days 02:03:28.245000,0 days 02:04:04.696000,184.0,,316.0,322.0,False,HARD,10.0,False,Mercedes,0 days 02:02:28.079000,2024-11-24 07:09:41.129,1,1.0,False,,False,True
0 days 02:05:40.982000,RUS,63,,42.0,3.0,,,0 days 00:00:27.640000,0 days 00:00:32.252000,0 days 00:00:36.452000,0 days 02:04:32.336000,0 days 02:05:04.588000,0 days 02:05:41.040000,185.0,211.0,316.0,323.0,False,HARD,11.0,False,Mercedes,0 days 02:04:04.638000,2024-11-24 07:11:17.688,1,1.0,False,,False,True
0 days 02:07:16.933000,RUS,63,,43.0,3.0,,,0 days 00:00:27.377000,0 days 00:00:32.164000,0 days 00:00:36.410000,0 days 02:06:08.417000,0 days 02:06:40.581000,0 days 02:07:16.991000,184.0,212.0,317.0,325.0,True,HARD,12.0,False,Mercedes,0 days 02:05:40.982000,2024-11-24 07:12:54.032,1,1.0,False,,False,True
0 days 02:08:52.879000,RUS,63,,44.0,3.0,,,0 days 00:00:27.286000,0 days 00:00:32.186000,0 days 00:00:36.474000,0 days 02:07:44.277000,0 days 02:08:16.463000,0 days 02:08:52.937000,,,316.0,324.0,True,HARD,13.0,False,Mercedes,0 days 02:07:16.933000,2024-11-24 07:14:29.983,1,1.0,False,,False,True
0 days 02:10:28.936000,RUS,63,,45.0,3.0,,,0 days 00:00:27.342000,0 days 00:00:32.301000,0 days 00:00:36.414000,0 days 02:09:20.279000,0 days 02:09:52.580000,0 days 02:10:28.994000,183.0,211.0,318.0,324.0,False,HARD,14.0,False,Mercedes,0 days 02:08:52.879000,2024-11-24 07:16:05.929,1,1.0,False,,False,True
