Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:24.185000,VER,1,,1.0,1.0,0 days 00:15:51.145000,,,0 days 00:00:39.104000,0 days 00:00:22.472000,,0 days 00:17:01.981000,0 days 00:17:24.400000,257.0,270.0,251.0,287.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:51.145000,2024-10-26 17:31:03.369,1,,False,,False,False
0 days 00:18:42.582000,VER,1,,2.0,1.0,,,0 days 00:00:27.842000,0 days 00:00:30.231000,0 days 00:00:20.324000,0 days 00:17:52.027000,0 days 00:18:22.258000,0 days 00:18:42.582000,311.0,291.0,250.0,342.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:24.185000,2024-10-26 17:32:36.409,1,,False,,False,True
0 days 00:20:48.732000,VER,1,,3.0,1.0,,,0 days 00:00:47.840000,0 days 00:00:53.659000,0 days 00:00:24.651000,0 days 00:19:30.422000,0 days 00:20:24.081000,0 days 00:20:48.732000,134.0,186.0,250.0,162.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:18:42.582000,2024-10-26 17:33:54.806,1,,False,,False,True
0 days 00:22:07.061000,VER,1,,4.0,1.0,,,0 days 00:00:27.819000,0 days 00:00:30.242000,0 days 00:00:20.268000,0 days 00:21:16.551000,0 days 00:21:46.793000,0 days 00:22:07.061000,313.0,292.0,249.0,343.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:20:48.732000,2024-10-26 17:36:00.956,1,,False,,False,True
0 days 00:23:35.588000,VER,1,,5.0,1.0,,0 days 00:23:32.918000,0 days 00:00:30.879000,0 days 00:00:32.786000,0 days 00:00:24.862000,0 days 00:22:37.940000,0 days 00:23:10.726000,0 days 00:23:35.588000,238.0,266.0,,295.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:22:07.061000,2024-10-26 17:37:19.285,1,,False,,False,False
0 days 00:30:20.415000,VER,1,,6.0,2.0,0 days 00:28:45.800000,,,0 days 00:00:31.939000,0 days 00:00:21.138000,,0 days 00:29:59.449000,0 days 00:30:20.489000,274.0,277.0,241.0,299.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:23:35.588000,2024-10-26 17:38:47.812,1,,False,,False,False
0 days 00:31:42.373000,VER,1,,7.0,2.0,,,0 days 00:00:29.191000,0 days 00:00:31.804000,0 days 00:00:20.963000,0 days 00:30:49.606000,0 days 00:31:21.410000,0 days 00:31:42.373000,280.0,275.0,242.0,317.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:30:20.415000,2024-10-26 17:45:32.639,1,,False,,False,True
0 days 00:33:04.379000,VER,1,,8.0,2.0,,,0 days 00:00:29.185000,0 days 00:00:31.813000,0 days 00:00:21.008000,0 days 00:32:11.558000,0 days 00:32:43.371000,0 days 00:33:04.379000,277.0,272.0,241.0,315.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:31:42.373000,2024-10-26 17:46:54.597,1,,False,,False,True
0 days 00:34:26.438000,VER,1,,9.0,2.0,,,0 days 00:00:29.230000,0 days 00:00:31.752000,0 days 00:00:21.077000,0 days 00:33:33.609000,0 days 00:34:05.361000,0 days 00:34:26.438000,281.0,270.0,242.0,,False,SOFT,9.0,False,Red Bull Racing,0 days 00:33:04.379000,2024-10-26 17:48:16.603,1,,False,,False,True
0 days 00:35:51.736000,VER,1,,10.0,2.0,,,0 days 00:00:29.051000,0 days 00:00:31.678000,0 days 00:00:24.569000,0 days 00:34:55.489000,0 days 00:35:27.167000,0 days 00:35:51.736000,282.0,273.0,242.0,317.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:34:26.438000,2024-10-26 17:49:38.662,1,,False,,False,True
0 days 00:37:13.567000,VER,1,,11.0,2.0,,,0 days 00:00:29.179000,0 days 00:00:31.650000,0 days 00:00:21.002000,0 days 00:36:20.915000,0 days 00:36:52.565000,0 days 00:37:13.567000,280.0,276.0,242.0,314.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:35:51.736000,2024-10-26 17:51:03.960,1,,False,,False,True
0 days 00:38:35.693000,VER,1,,12.0,2.0,,,0 days 00:00:29.087000,0 days 00:00:31.939000,0 days 00:00:21.100000,0 days 00:37:42.654000,0 days 00:38:14.593000,0 days 00:38:35.693000,283.0,273.0,242.0,321.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:37:13.567000,2024-10-26 17:52:25.791,1,,False,,False,True
0 days 00:39:58.023000,VER,1,,13.0,2.0,,,0 days 00:00:29.185000,0 days 00:00:32.031000,0 days 00:00:21.114000,0 days 00:39:04.878000,0 days 00:39:36.909000,0 days 00:39:58.023000,,272.0,242.0,313.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:38:35.693000,2024-10-26 17:53:47.917,1,,False,,False,True
0 days 00:41:20.392000,VER,1,,14.0,2.0,,,0 days 00:00:29.138000,0 days 00:00:32.022000,0 days 00:00:21.209000,0 days 00:40:27.161000,0 days 00:40:59.183000,0 days 00:41:20.392000,281.0,273.0,244.0,317.0,False,SOFT,14.0,False,Red Bull Racing,0 days 00:39:58.023000,2024-10-26 17:55:10.247,1,,False,,False,True
0 days 00:42:42.846000,VER,1,,15.0,2.0,,,0 days 00:00:29.150000,0 days 00:00:31.997000,0 days 00:00:21.307000,0 days 00:41:49.542000,0 days 00:42:21.539000,0 days 00:42:42.846000,,274.0,243.0,316.0,False,SOFT,15.0,False,Red Bull Racing,0 days 00:41:20.392000,2024-10-26 17:56:32.616,1,,False,,False,True
0 days 00:44:12.772000,VER,1,,16.0,2.0,,0 days 00:44:10.138000,0 days 00:00:30.556000,0 days 00:00:33.817000,0 days 00:00:25.553000,0 days 00:43:13.402000,0 days 00:43:47.219000,0 days 00:44:12.772000,254.0,252.0,,301.0,False,SOFT,16.0,False,Red Bull Racing,0 days 00:42:42.846000,2024-10-26 17:57:55.070,1,,False,,False,False
0 days 00:57:43.646000,VER,1,,17.0,3.0,0 days 00:56:08.085000,,,0 days 00:00:39.817000,0 days 00:00:23.344000,,0 days 00:57:20.476000,0 days 00:57:43.874000,234.0,273.0,253.0,258.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:44:12.772000,2024-10-26 17:59:24.996,1,,False,,False,False
0 days 00:59:00.649000,VER,1,,18.0,3.0,,,0 days 00:00:27.522000,0 days 00:00:29.555000,0 days 00:00:19.926000,0 days 00:58:11.168000,0 days 00:58:40.723000,0 days 00:59:00.649000,313.0,295.0,252.0,346.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:57:43.646000,2024-10-26 18:12:55.870,1,,False,,False,True
0 days 01:00:41.155000,VER,1,,19.0,3.0,,0 days 01:00:38.486000,0 days 00:00:33.482000,0 days 00:00:39.183000,0 days 00:00:27.841000,0 days 00:59:34.131000,0 days 01:00:13.314000,0 days 01:00:41.155000,239.0,229.0,,284.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:59:00.649000,2024-10-26 18:14:12.873,1,,False,,False,False
0 days 01:07:45.773000,VER,1,,20.0,4.0,0 days 01:06:05.355000,,,0 days 00:00:40.008000,0 days 00:00:22.249000,,0 days 01:07:23.628000,0 days 01:07:45.833000,196.0,265.0,253.0,223.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:00:41.155000,2024-10-26 18:15:53.379,1,,False,,False,False
