Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:04.469000,16.9,59.0,787.8,False,29.2,308,1.5
0 days 00:01:04.469000,16.9,58.0,787.9,False,29.0,308,1.4
0 days 00:02:04.487000,17.0,58.0,787.8,False,29.0,309,1.4
0 days 00:03:04.502000,17.1,58.0,787.8,False,29.1,336,1.2
0 days 00:04:04.504000,17.1,57.0,787.8,False,29.7,285,0.7
0 days 00:05:04.503000,17.3,56.0,787.8,False,30.7,341,0.9
0 days 00:06:04.504000,17.5,56.0,787.8,False,31.8,287,1.1
0 days 00:07:04.505000,17.7,56.0,787.8,False,32.8,0,1.6
0 days 00:08:04.508000,17.8,56.0,787.7,False,33.4,18,0.6
0 days 00:09:04.506000,17.7,55.0,787.9,False,33.5,312,2.0
0 days 00:10:04.507000,17.9,54.0,787.7,False,33.7,1,0.9
0 days 00:11:04.519000,18.0,54.0,787.8,False,34.4,292,2.3
0 days 00:12:04.527000,18.0,55.0,787.7,False,34.6,319,1.9
0 days 00:13:04.541000,18.1,55.0,787.7,False,35.0,309,1.7
0 days 00:14:04.557000,18.0,56.0,787.7,False,35.2,313,2.1
0 days 00:15:04.557000,17.9,57.0,787.7,False,35.3,294,2.3
0 days 00:16:04.559000,17.9,57.0,787.7,False,35.7,276,1.8
0 days 00:17:04.559000,18.0,57.0,787.7,False,34.7,272,1.4
0 days 00:18:04.567000,18.0,56.0,787.7,False,33.5,272,1.8
0 days 00:19:04.561000,17.9,56.0,787.6,False,33.1,242,1.5
0 days 00:20:04.561000,17.9,56.0,787.6,False,32.6,286,1.4
0 days 00:21:04.569000,18.0,55.0,787.6,False,32.6,242,1.0
0 days 00:22:04.562000,18.0,55.0,787.6,False,32.5,176,0.8
0 days 00:23:04.563000,17.9,55.0,787.5,False,32.2,160,2.0
0 days 00:24:04.565000,17.8,54.0,787.6,False,32.0,149,1.4
0 days 00:25:04.564000,17.6,55.0,787.5,False,31.5,23,1.9
0 days 00:26:04.565000,17.6,55.0,787.5,False,31.1,316,0.8
0 days 00:27:04.566000,17.5,55.0,787.5,False,31.1,206,1.5
0 days 00:28:04.571000,17.5,56.0,787.5,False,30.8,356,0.7
0 days 00:29:04.569000,17.6,55.0,787.5,False,30.6,0,0.0
0 days 00:30:04.568000,17.9,55.0,787.4,False,30.5,325,1.1
0 days 00:31:04.678000,17.9,54.0,787.5,False,30.4,293,1.3
0 days 00:32:04.600000,18.0,54.0,787.5,False,30.5,292,1.9
0 days 00:33:04.617000,18.1,55.0,787.5,False,30.6,350,1.5
0 days 00:34:04.617000,18.0,55.0,787.5,False,30.6,274,2.6
0 days 00:35:04.623000,18.0,55.0,787.4,False,29.9,342,1.2
0 days 00:36:04.620000,18.0,55.0,787.4,False,29.8,281,0.5
0 days 00:37:04.635000,18.0,55.0,787.4,False,30.0,329,1.0
0 days 00:38:04.658000,18.1,55.0,787.4,False,30.5,321,1.4
0 days 00:39:04.652000,18.2,55.0,787.4,False,30.6,295,2.5
0 days 00:40:04.655000,18.2,54.0,787.3,False,31.4,194,1.5
0 days 00:41:04.656000,18.3,55.0,787.3,False,32.5,320,2.0
0 days 00:42:04.655000,18.3,54.0,787.4,False,32.7,300,2.3
0 days 00:43:04.674000,18.4,54.0,787.3,False,32.7,280,2.2
0 days 00:44:04.690000,18.4,54.0,787.4,False,32.3,284,3.7
0 days 00:45:04.705000,18.4,55.0,787.3,False,32.4,274,3.8
0 days 00:46:04.723000,18.4,55.0,787.3,False,33.3,285,1.3
0 days 00:47:04.708000,18.5,55.0,787.2,False,33.8,278,1.1
0 days 00:48:04.721000,18.6,54.0,787.2,False,33.7,268,0.8
0 days 00:49:04.729000,18.6,54.0,787.2,False,33.2,293,0.6
0 days 00:50:04.779000,18.7,54.0,787.1,False,32.9,318,1.2
0 days 00:51:04.758000,18.8,53.0,787.1,False,32.6,156,0.7
0 days 00:52:04.755000,18.6,52.0,787.1,False,32.0,318,0.6
0 days 00:53:04.756000,18.5,52.0,787.2,False,32.0,304,1.2
0 days 00:54:04.780000,18.5,52.0,787.1,False,32.0,256,1.6
0 days 00:55:04.790000,18.5,52.0,787.1,False,32.1,292,2.0
0 days 00:56:04.789000,18.4,52.0,787.1,False,32.1,294,1.9
0 days 00:57:04.795000,18.3,53.0,787.0,False,32.1,243,1.5
0 days 00:58:04.790000,18.2,53.0,787.0,False,31.5,301,2.2
0 days 00:59:04.791000,18.3,53.0,787.0,False,31.4,13,1.3
0 days 01:00:04.795000,18.2,53.0,786.9,False,31.6,279,1.7
0 days 01:01:04.794000,18.3,53.0,786.9,False,31.6,357,1.2
0 days 01:02:04.793000,18.2,52.0,787.0,False,31.7,277,0.8
0 days 01:03:04.794000,18.2,52.0,786.9,False,31.6,307,1.5
0 days 01:04:04.797000,18.4,51.0,786.9,False,31.4,282,1.6
0 days 01:05:04.798000,18.4,52.0,786.9,False,31.4,257,1.3
0 days 01:06:04.796000,18.3,52.0,786.8,False,31.3,40,0.5
0 days 01:07:04.800000,18.4,52.0,786.8,False,31.5,315,0.8
0 days 01:08:04.804000,18.5,52.0,786.8,False,33.1,293,0.6
0 days 01:09:04.798000,18.6,51.0,786.8,False,34.8,314,0.9
0 days 01:10:04.802000,18.8,51.0,786.7,False,35.2,312,1.9
0 days 01:11:04.801000,18.9,51.0,786.8,False,35.5,302,0.8
0 days 01:12:04.801000,19.0,50.0,786.8,False,36.2,320,2.0
