Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:45:46.906000,VER,1,,1.0,1.0,,0 days 00:45:39.966000,,0 days 00:00:34.705000,0 days 00:00:50.505000,,0 days 00:44:56.483000,0 days 00:45:46.952000,216.0,188.0,,158.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:43:47.919000,2024-05-04 16:03:39.995,124,1.0,False,,False,False
0 days 00:48:19.287000,VER,1,,2.0,2.0,0 days 00:45:59.491000,0 days 00:48:13.160000,0 days 00:00:59.927000,0 days 00:00:49.321000,0 days 00:00:43.053000,0 days 00:46:46.959000,0 days 00:47:36.324000,0 days 00:48:19.591000,179.0,152.0,,142.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:45:46.906000,2024-05-04 16:05:38.982,4,1.0,False,,False,False
0 days 00:51:01.653000,VER,1,,3.0,3.0,0 days 00:48:30.775000,,0 days 00:00:56.413000,0 days 00:00:49.708000,0 days 00:00:56.310000,0 days 00:49:15.769000,0 days 00:50:05.444000,0 days 00:51:01.904000,180.0,157.0,276.0,62.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:48:19.287000,2024-05-04 16:08:11.363,41,1.0,False,,False,False
0 days 00:52:32.068000,VER,1,,4.0,3.0,,,0 days 00:00:30.295000,0 days 00:00:34.452000,0 days 00:00:25.668000,0 days 00:51:31.994000,0 days 00:52:06.446000,0 days 00:52:32.114000,218.0,188.0,275.0,310.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:51:01.653000,2024-05-04 16:10:53.729,1,1.0,False,,False,True
0 days 00:54:02.824000,VER,1,,5.0,3.0,,,0 days 00:00:30.402000,0 days 00:00:34.565000,0 days 00:00:25.789000,0 days 00:53:02.516000,0 days 00:53:37.081000,0 days 00:54:02.870000,,187.0,277.0,308.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:52:32.068000,2024-05-04 16:12:24.144,1,1.0,False,,False,True
0 days 00:55:33.966000,VER,1,,6.0,3.0,,,0 days 00:00:30.587000,0 days 00:00:34.856000,0 days 00:00:25.699000,0 days 00:54:33.457000,0 days 00:55:08.313000,0 days 00:55:34.012000,215.0,188.0,276.0,310.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:54:02.824000,2024-05-04 16:13:54.900,1,1.0,False,,False,True
0 days 00:57:05.001000,VER,1,,7.0,3.0,,,0 days 00:00:30.617000,0 days 00:00:34.681000,0 days 00:00:25.737000,0 days 00:56:04.629000,0 days 00:56:39.310000,0 days 00:57:05.047000,216.0,187.0,276.0,309.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:55:33.966000,2024-05-04 16:15:26.042,1,1.0,False,,False,True
0 days 00:58:36.059000,VER,1,,8.0,3.0,,,0 days 00:00:30.646000,0 days 00:00:34.675000,0 days 00:00:25.737000,0 days 00:57:35.693000,0 days 00:58:10.368000,0 days 00:58:36.105000,,187.0,276.0,310.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:57:05.001000,2024-05-04 16:16:57.077,1,1.0,False,,False,True
0 days 01:00:07.569000,VER,1,,9.0,3.0,,,0 days 00:00:30.761000,0 days 00:00:35.001000,0 days 00:00:25.748000,0 days 00:59:06.866000,0 days 00:59:41.867000,0 days 01:00:07.615000,,187.0,276.0,309.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:58:36.059000,2024-05-04 16:18:28.135,1,1.0,False,,False,True
0 days 01:01:39.390000,VER,1,,10.0,3.0,,,0 days 00:00:30.812000,0 days 00:00:35.045000,0 days 00:00:25.964000,0 days 01:00:38.427000,0 days 01:01:13.472000,0 days 01:01:39.436000,212.0,187.0,276.0,310.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:00:07.569000,2024-05-04 16:19:59.645,1,1.0,False,,False,True
0 days 01:03:10.745000,VER,1,,11.0,3.0,,,0 days 00:00:30.618000,0 days 00:00:34.958000,0 days 00:00:25.779000,0 days 01:02:10.054000,0 days 01:02:45.012000,0 days 01:03:10.791000,214.0,187.0,277.0,308.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:01:39.390000,2024-05-04 16:21:31.466,1,1.0,False,,False,True
0 days 01:04:42.319000,VER,1,,12.0,3.0,,,0 days 00:00:30.771000,0 days 00:00:34.997000,0 days 00:00:25.806000,0 days 01:03:41.562000,0 days 01:04:16.559000,0 days 01:04:42.365000,215.0,187.0,276.0,310.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:03:10.745000,2024-05-04 16:23:02.821,1,1.0,False,,False,True
0 days 01:06:13.759000,VER,1,,13.0,3.0,,,0 days 00:00:30.832000,0 days 00:00:34.856000,0 days 00:00:25.752000,0 days 01:05:13.197000,0 days 01:05:48.053000,0 days 01:06:13.805000,,188.0,277.0,308.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:04:42.319000,2024-05-04 16:24:34.395,1,1.0,False,,False,True
0 days 01:07:44.789000,VER,1,,14.0,3.0,,,0 days 00:00:30.567000,0 days 00:00:34.822000,0 days 00:00:25.641000,0 days 01:06:44.372000,0 days 01:07:19.194000,0 days 01:07:44.835000,216.0,188.0,278.0,310.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:06:13.759000,2024-05-04 16:26:05.835,1,1.0,False,,False,True
0 days 01:09:16.010000,VER,1,,15.0,3.0,,,0 days 00:00:30.551000,0 days 00:00:34.980000,0 days 00:00:25.690000,0 days 01:08:15.386000,0 days 01:08:50.366000,0 days 01:09:16.056000,,188.0,278.0,309.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:07:44.789000,2024-05-04 16:27:36.865,1,1.0,False,,False,True
0 days 01:10:46.972000,VER,1,,16.0,3.0,,,0 days 00:00:30.441000,0 days 00:00:34.758000,0 days 00:00:25.763000,0 days 01:09:46.497000,0 days 01:10:21.255000,0 days 01:10:47.018000,,188.0,279.0,307.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:09:16.010000,2024-05-04 16:29:08.086,1,1.0,False,,False,True
0 days 01:12:18.043000,VER,1,,17.0,3.0,,,0 days 00:00:30.515000,0 days 00:00:34.845000,0 days 00:00:25.711000,0 days 01:11:17.533000,0 days 01:11:52.378000,0 days 01:12:18.089000,213.0,188.0,278.0,309.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:10:46.972000,2024-05-04 16:30:39.048,1,1.0,False,,False,True
0 days 01:13:48.892000,VER,1,,18.0,3.0,,,0 days 00:00:30.390000,0 days 00:00:34.773000,0 days 00:00:25.686000,0 days 01:12:48.479000,0 days 01:13:23.252000,0 days 01:13:48.938000,217.0,188.0,277.0,309.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:12:18.043000,2024-05-04 16:32:10.119,1,1.0,False,,False,True
0 days 01:15:19.577000,VER,1,,19.0,3.0,,,0 days 00:00:30.318000,0 days 00:00:34.687000,0 days 00:00:25.680000,0 days 01:14:19.256000,0 days 01:14:53.943000,0 days 01:15:19.623000,216.0,189.0,279.0,309.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 01:13:48.892000,2024-05-04 16:33:40.968,1,1.0,False,,False,True
0 days 00:45:49.632000,LEC,16,,1.0,1.0,,0 days 00:45:42.436000,,0 days 00:00:35.149000,0 days 00:00:52.266000,,0 days 00:44:57.420000,0 days 00:45:49.898000,218.0,190.0,,152.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:43:47.919000,2024-05-04 16:03:39.995,124,3.0,False,,False,False
0 days 00:48:21.030000,LEC,16,,2.0,2.0,0 days 00:46:01.424000,0 days 00:48:14.899000,0 days 00:00:58.739000,0 days 00:00:49.193000,0 days 00:00:43.478000,0 days 00:46:48.438000,0 days 00:47:37.606000,0 days 00:48:21.098000,175.0,143.0,,167.0,False,MEDIUM,2.0,False,Ferrari,0 days 00:45:49.632000,2024-05-04 16:05:41.708,4,2.0,False,,False,False
0 days 00:51:02.358000,LEC,16,,3.0,3.0,0 days 00:48:32.999000,,0 days 00:00:56.498000,0 days 00:00:49.655000,0 days 00:00:55.227000,0 days 00:49:17.592000,0 days 00:50:07.207000,0 days 00:51:02.504000,159.0,155.0,276.0,62.0,False,MEDIUM,3.0,False,Ferrari,0 days 00:48:21.030000,2024-05-04 16:08:13.106,41,2.0,False,,False,False
0 days 00:52:33.165000,LEC,16,,4.0,3.0,,,0 days 00:00:30.426000,0 days 00:00:34.722000,0 days 00:00:25.659000,0 days 00:51:32.838000,0 days 00:52:07.560000,0 days 00:52:33.219000,218.0,188.0,275.0,317.0,True,MEDIUM,4.0,False,Ferrari,0 days 00:51:02.358000,2024-05-04 16:10:54.434,1,2.0,False,,False,True
0 days 00:54:04.169000,LEC,16,,5.0,3.0,,,0 days 00:00:30.395000,0 days 00:00:34.813000,0 days 00:00:25.796000,0 days 00:53:03.614000,0 days 00:53:38.427000,0 days 00:54:04.223000,214.0,185.0,276.0,313.0,False,MEDIUM,5.0,False,Ferrari,0 days 00:52:33.165000,2024-05-04 16:12:25.241,1,2.0,False,,False,True
0 days 00:55:35.366000,LEC,16,,6.0,3.0,,,0 days 00:00:30.563000,0 days 00:00:34.949000,0 days 00:00:25.685000,0 days 00:54:34.786000,0 days 00:55:09.735000,0 days 00:55:35.420000,216.0,185.0,276.0,312.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:54:04.169000,2024-05-04 16:13:56.245,1,2.0,False,,False,True
0 days 00:57:06.434000,LEC,16,,7.0,3.0,,,0 days 00:00:30.543000,0 days 00:00:34.780000,0 days 00:00:25.745000,0 days 00:56:05.963000,0 days 00:56:40.743000,0 days 00:57:06.488000,,187.0,275.0,313.0,False,MEDIUM,7.0,False,Ferrari,0 days 00:55:35.366000,2024-05-04 16:15:27.442,1,2.0,False,,False,True
0 days 00:58:37.810000,LEC,16,,8.0,3.0,,,0 days 00:00:30.626000,0 days 00:00:34.967000,0 days 00:00:25.783000,0 days 00:57:37.114000,0 days 00:58:12.081000,0 days 00:58:37.864000,215.0,185.0,275.0,314.0,False,MEDIUM,8.0,False,Ferrari,0 days 00:57:06.434000,2024-05-04 16:16:58.510,1,2.0,False,,False,True
0 days 01:00:09.847000,LEC,16,,9.0,3.0,,,0 days 00:00:30.751000,0 days 00:00:35.440000,0 days 00:00:25.846000,0 days 00:59:08.615000,0 days 00:59:44.055000,0 days 01:00:09.901000,216.0,183.0,275.0,312.0,False,MEDIUM,9.0,False,Ferrari,0 days 00:58:37.810000,2024-05-04 16:18:29.886,1,2.0,False,,False,True
0 days 01:01:41.336000,LEC,16,,10.0,3.0,,,0 days 00:00:30.725000,0 days 00:00:35.032000,0 days 00:00:25.732000,0 days 01:00:40.626000,0 days 01:01:15.658000,0 days 01:01:41.390000,215.0,185.0,275.0,313.0,False,MEDIUM,10.0,False,Ferrari,0 days 01:00:09.847000,2024-05-04 16:20:01.923,1,2.0,False,,False,True
0 days 01:03:12.929000,LEC,16,,11.0,3.0,,,0 days 00:00:30.784000,0 days 00:00:35.057000,0 days 00:00:25.752000,0 days 01:02:12.174000,0 days 01:02:47.231000,0 days 01:03:12.983000,,186.0,276.0,312.0,False,MEDIUM,11.0,False,Ferrari,0 days 01:01:41.336000,2024-05-04 16:21:33.412,1,2.0,False,,False,True
0 days 01:04:44.429000,LEC,16,,12.0,3.0,,,0 days 00:00:30.729000,0 days 00:00:35.034000,0 days 00:00:25.737000,0 days 01:03:43.712000,0 days 01:04:18.746000,0 days 01:04:44.483000,,185.0,276.0,314.0,False,MEDIUM,12.0,False,Ferrari,0 days 01:03:12.929000,2024-05-04 16:23:05.005,1,2.0,False,,False,True
0 days 01:06:15.600000,LEC,16,,13.0,3.0,,,0 days 00:00:30.498000,0 days 00:00:34.949000,0 days 00:00:25.724000,0 days 01:05:14.981000,0 days 01:05:49.930000,0 days 01:06:15.654000,,185.0,276.0,312.0,False,MEDIUM,13.0,False,Ferrari,0 days 01:04:44.429000,2024-05-04 16:24:36.505,1,2.0,False,,False,True
0 days 01:07:46.973000,LEC,16,,14.0,3.0,,,0 days 00:00:30.591000,0 days 00:00:35.089000,0 days 00:00:25.693000,0 days 01:06:46.245000,0 days 01:07:21.334000,0 days 01:07:47.027000,212.0,186.0,277.0,314.0,False,MEDIUM,14.0,False,Ferrari,0 days 01:06:15.600000,2024-05-04 16:26:07.676,1,2.0,False,,False,True
0 days 01:09:18.109000,LEC,16,,15.0,3.0,,,0 days 00:00:30.462000,0 days 00:00:34.987000,0 days 00:00:25.687000,0 days 01:08:17.489000,0 days 01:08:52.476000,0 days 01:09:18.163000,214.0,186.0,278.0,313.0,False,MEDIUM,15.0,False,Ferrari,0 days 01:07:46.973000,2024-05-04 16:27:39.049,1,2.0,False,,False,True
0 days 01:10:49.414000,LEC,16,,16.0,3.0,,,0 days 00:00:30.316000,0 days 00:00:35.252000,0 days 00:00:25.737000,0 days 01:09:48.479000,0 days 01:10:23.731000,0 days 01:10:49.468000,215.0,186.0,278.0,312.0,False,MEDIUM,16.0,False,Ferrari,0 days 01:09:18.109000,2024-05-04 16:29:10.185,1,2.0,False,,False,True
0 days 01:12:20.632000,LEC,16,,17.0,3.0,,,0 days 00:00:30.450000,0 days 00:00:35.061000,0 days 00:00:25.707000,0 days 01:11:19.918000,0 days 01:11:54.979000,0 days 01:12:20.686000,212.0,187.0,277.0,317.0,False,MEDIUM,17.0,False,Ferrari,0 days 01:10:49.414000,2024-05-04 16:30:41.490,1,2.0,False,,False,True
0 days 01:13:51.654000,LEC,16,,18.0,3.0,,,0 days 00:00:30.352000,0 days 00:00:34.983000,0 days 00:00:25.687000,0 days 01:12:51.038000,0 days 01:13:26.021000,0 days 01:13:51.708000,214.0,185.0,278.0,316.0,False,MEDIUM,18.0,False,Ferrari,0 days 01:12:20.632000,2024-05-04 16:32:12.708,1,2.0,False,,False,True
0 days 01:15:22.948000,LEC,16,,19.0,3.0,,,0 days 00:00:30.521000,0 days 00:00:35.129000,0 days 00:00:25.644000,0 days 01:14:22.229000,0 days 01:14:57.358000,0 days 01:15:23.002000,215.0,186.0,277.0,316.0,False,MEDIUM,19.0,False,Ferrari,0 days 01:13:51.654000,2024-05-04 16:33:43.730,1,2.0,False,,False,True
0 days 00:45:54.122000,PER,11,,1.0,1.0,,0 days 00:45:46.437000,,0 days 00:00:35.253000,0 days 00:00:55.332000,,0 days 00:44:59.002000,0 days 00:45:54.171000,215.0,189.0,,158.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:43:47.919000,2024-05-04 16:03:39.995,124,5.0,False,,False,False
0 days 00:48:25.084000,PER,11,,2.0,2.0,0 days 00:46:07.604000,0 days 00:48:18.629000,0 days 00:00:56.464000,0 days 00:00:49.804000,0 days 00:00:44.694000,0 days 00:46:50.636000,0 days 00:47:40.439000,0 days 00:48:25.195000,147.0,133.0,,170.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:45:54.122000,2024-05-04 16:05:46.198,4,4.0,False,,False,False
0 days 00:51:03.294000,PER,11,,3.0,3.0,0 days 00:48:38.354000,,0 days 00:00:54.689000,0 days 00:00:50.323000,0 days 00:00:53.240000,0 days 00:49:19.877000,0 days 00:50:10.229000,0 days 00:51:03.533000,138.0,125.0,280.0,61.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:48:25.084000,2024-05-04 16:08:17.160,41,4.0,False,,False,False
0 days 00:52:35.041000,PER,11,,4.0,3.0,,,0 days 00:00:31.105000,0 days 00:00:34.797000,0 days 00:00:25.845000,0 days 00:51:34.448000,0 days 00:52:09.245000,0 days 00:52:35.090000,216.0,188.0,278.0,297.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:51:03.294000,2024-05-04 16:10:55.370,1,4.0,False,,False,True
0 days 00:54:06.512000,PER,11,,5.0,3.0,,,0 days 00:00:30.858000,0 days 00:00:34.753000,0 days 00:00:25.860000,0 days 00:53:05.948000,0 days 00:53:40.701000,0 days 00:54:06.561000,,187.0,278.0,303.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:52:35.041000,2024-05-04 16:12:27.117,1,3.0,False,,False,True
0 days 00:55:38.246000,PER,11,,6.0,3.0,,,0 days 00:00:31.131000,0 days 00:00:35.012000,0 days 00:00:25.591000,0 days 00:54:37.692000,0 days 00:55:12.704000,0 days 00:55:38.295000,212.0,187.0,278.0,314.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:54:06.512000,2024-05-04 16:13:58.588,1,3.0,False,,False,True
