Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:32:02.082000,VER,1,,1.0,1.0,0 days 00:30:20.745000,,0 days 00:00:35.909000,0 days 00:00:37.686000,0 days 00:00:28.628000,0 days 00:30:56.110000,0 days 00:31:33.706000,0 days 00:32:02.321000,178.0,188.0,262.0,266.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:30:20.745000,2024-05-25 10:47:06.782,12,,False,,False,False
0 days 00:33:16.291000,VER,1,,2.0,1.0,,,0 days 00:00:19.278000,0 days 00:00:35.074000,0 days 00:00:19.857000,0 days 00:32:21.360000,0 days 00:32:56.434000,0 days 00:33:16.291000,213.0,198.0,264.0,276.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:32:02.082000,2024-05-25 10:48:48.119,1,,False,,False,True
0 days 00:34:56.631000,VER,1,,3.0,1.0,,,0 days 00:00:28.246000,0 days 00:00:44.474000,0 days 00:00:27.620000,0 days 00:33:44.537000,0 days 00:34:29.011000,0 days 00:34:56.631000,153.0,172.0,264.0,233.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:33:16.291000,2024-05-25 10:50:02.328,12,,False,,False,True
0 days 00:36:20.699000,VER,1,,4.0,1.0,,,0 days 00:00:19.112000,0 days 00:00:35.703000,0 days 00:00:29.253000,0 days 00:35:15.743000,0 days 00:35:51.446000,0 days 00:36:20.699000,215.0,110.0,221.0,278.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:34:56.631000,2024-05-25 10:51:42.668,1,,False,,False,True
0 days 00:38:05.176000,VER,1,,5.0,1.0,,,0 days 00:00:26.675000,0 days 00:00:43.540000,0 days 00:00:34.262000,0 days 00:36:47.374000,0 days 00:37:30.914000,0 days 00:38:05.176000,149.0,119.0,264.0,257.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:36:20.699000,2024-05-25 10:53:06.736,1,,False,,False,True
0 days 00:39:18.145000,VER,1,,6.0,1.0,,,0 days 00:00:18.988000,0 days 00:00:34.407000,0 days 00:00:19.574000,0 days 00:38:24.164000,0 days 00:38:58.571000,0 days 00:39:18.145000,217.0,201.0,263.0,276.0,True,SOFT,6.0,True,Red Bull Racing,0 days 00:38:05.176000,2024-05-25 10:54:51.213,1,,False,,False,True
0 days 00:41:07.644000,VER,1,,7.0,1.0,,,0 days 00:00:27.535000,0 days 00:00:51.179000,0 days 00:00:30.785000,0 days 00:39:45.680000,0 days 00:40:36.859000,0 days 00:41:07.644000,88.0,96.0,264.0,214.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:39:18.145000,2024-05-25 10:56:04.182,12,,False,,False,True
0 days 00:42:20.407000,VER,1,,8.0,1.0,,,0 days 00:00:18.903000,0 days 00:00:34.399000,0 days 00:00:19.461000,0 days 00:41:26.547000,0 days 00:42:00.946000,0 days 00:42:20.407000,218.0,202.0,265.0,275.0,True,SOFT,8.0,True,Red Bull Racing,0 days 00:41:07.644000,2024-05-25 10:57:53.681,1,,False,,False,True
0 days 00:44:07.342000,VER,1,,9.0,1.0,,,0 days 00:00:29.917000,0 days 00:00:52.707000,0 days 00:00:24.311000,0 days 00:42:50.324000,0 days 00:43:43.031000,0 days 00:44:07.342000,75.0,142.0,263.0,178.0,False,SOFT,9.0,True,Red Bull Racing,0 days 00:42:20.407000,2024-05-25 10:59:06.444,1,,False,,False,True
0 days 00:45:19.842000,VER,1,,10.0,1.0,,,0 days 00:00:18.805000,0 days 00:00:34.350000,0 days 00:00:19.345000,0 days 00:44:26.147000,0 days 00:45:00.497000,0 days 00:45:19.842000,218.0,205.0,264.0,275.0,True,SOFT,10.0,True,Red Bull Racing,0 days 00:44:07.342000,2024-05-25 11:00:53.379,1,,False,,False,True
