Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:44:18.714000,VER,1,,1.0,1.0,0 days 00:42:49.226000,,,0 days 00:00:31.145000,0 days 00:00:26.105000,,0 days 00:43:52.733000,0 days 00:44:18.758000,268.0,261.0,309.0,,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:42:49.226000,2024-08-23 10:58:31.625,1,,False,,False,False
0 days 00:45:50.388000,VER,1,,2.0,1.0,,,0 days 00:00:29.098000,0 days 00:00:28.490000,0 days 00:00:34.086000,0 days 00:44:47.812000,0 days 00:45:16.302000,0 days 00:45:50.388000,283.0,268.0,310.0,279.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:44:18.714000,2024-08-23 11:00:01.113,12,,False,,False,True
0 days 00:47:11.688000,VER,1,,3.0,1.0,,,0 days 00:00:28.224000,0 days 00:00:28.241000,0 days 00:00:24.835000,0 days 00:46:18.612000,0 days 00:46:46.853000,0 days 00:47:11.688000,284.0,268.0,311.0,275.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:45:50.388000,2024-08-23 11:01:32.787,1,,False,,False,True
0 days 00:49:00.931000,VER,1,,4.0,1.0,,0 days 00:48:59.396000,0 days 00:00:37.050000,0 days 00:00:36.631000,0 days 00:00:35.562000,0 days 00:47:48.738000,0 days 00:48:25.369000,0 days 00:49:00.931000,186.0,158.0,,213.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:47:11.688000,2024-08-23 11:02:54.087,1,,False,,False,False
0 days 01:06:06.674000,VER,1,,5.0,2.0,0 days 01:04:38.913000,,,0 days 00:00:29.846000,0 days 00:00:25.008000,,0 days 01:05:41.761000,0 days 01:06:06.742000,267.0,250.0,319.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:49:00.931000,2024-08-23 11:04:43.330,12,,False,,False,False
0 days 01:07:22.717000,VER,1,,6.0,2.0,,,0 days 00:00:26.018000,0 days 00:00:26.873000,0 days 00:00:23.152000,0 days 01:06:32.692000,0 days 01:06:59.565000,0 days 01:07:22.717000,294.0,272.0,320.0,311.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:06:06.674000,2024-08-23 11:21:49.073,1,,False,,False,True
0 days 01:09:14.773000,VER,1,,7.0,2.0,,,0 days 00:00:39.606000,0 days 00:00:40.824000,0 days 00:00:31.626000,0 days 01:08:02.323000,0 days 01:08:43.147000,0 days 01:09:14.773000,160.0,116.0,320.0,226.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:07:22.717000,2024-08-23 11:23:05.116,1,,False,,False,True
0 days 01:10:29.054000,VER,1,,8.0,2.0,,,0 days 00:00:25.522000,0 days 00:00:26.081000,0 days 00:00:22.678000,0 days 01:09:40.295000,0 days 01:10:06.376000,0 days 01:10:29.054000,293.0,275.0,322.0,324.0,True,SOFT,4.0,True,Red Bull Racing,0 days 01:09:14.773000,2024-08-23 11:24:57.172,1,,False,,False,True
0 days 01:12:25.162000,VER,1,,9.0,2.0,,,0 days 00:00:41.625000,0 days 00:00:40.189000,0 days 00:00:34.294000,0 days 01:11:10.679000,0 days 01:11:50.868000,0 days 01:12:25.162000,146.0,181.0,233.0,269.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:10:29.054000,2024-08-23 11:26:11.453,1,,False,,False,True
0 days 01:14:03.341000,VER,1,,10.0,2.0,,,0 days 00:00:34.697000,0 days 00:00:35.155000,0 days 00:00:28.327000,0 days 01:12:59.859000,0 days 01:13:35.014000,0 days 01:14:03.341000,201.0,244.0,320.0,214.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:12:25.162000,2024-08-23 11:28:07.561,1,,False,,False,True
0 days 01:15:15.864000,VER,1,,11.0,2.0,,,0 days 00:00:24.778000,0 days 00:00:25.967000,0 days 00:00:21.778000,0 days 01:14:28.119000,0 days 01:14:54.086000,0 days 01:15:15.864000,293.0,275.0,322.0,330.0,True,SOFT,7.0,True,Red Bull Racing,0 days 01:14:03.341000,2024-08-23 11:29:45.740,1,,False,,False,True
0 days 01:17:41.738000,VER,1,,12.0,2.0,,,0 days 00:00:37.029000,0 days 00:00:36.536000,0 days 00:01:12.309000,0 days 01:15:52.893000,0 days 01:16:29.429000,0 days 01:17:41.738000,174.0,193.0,191.0,248.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:15:15.864000,2024-08-23 11:30:58.263,1,,False,,False,True
0 days 01:19:15.309000,VER,1,,13.0,2.0,,0 days 01:19:13.744000,0 days 00:00:30.660000,0 days 00:00:30.264000,0 days 00:00:32.647000,0 days 01:18:12.398000,0 days 01:18:42.662000,0 days 01:19:15.309000,250.0,232.0,,242.0,False,SOFT,9.0,True,Red Bull Racing,0 days 01:17:41.738000,2024-08-23 11:33:24.137,1,,False,,False,False
0 days 00:27:41.808000,SAR,2,,1.0,1.0,0 days 00:25:47.487000,0 days 00:27:40.110000,,0 days 00:00:36.161000,0 days 00:00:38.757000,,0 days 00:27:03.138000,0 days 00:27:41.808000,224.0,215.0,,,False,WET,1.0,True,Williams,0 days 00:25:47.487000,2024-08-23 10:41:29.886,1,,False,,False,False
0 days 00:48:44.378000,SAR,2,,2.0,2.0,0 days 00:46:59.292000,0 days 00:48:42.752000,,0 days 00:00:33.396000,0 days 00:00:38.042000,,0 days 00:48:06.578000,0 days 00:48:44.404000,249.0,242.0,,,False,WET,2.0,False,Williams,0 days 00:27:41.808000,2024-08-23 10:43:24.207,12,,False,,False,False
0 days 00:50:45.563000,SAR,2,,3.0,3.0,0 days 00:49:12.042000,,0 days 00:01:01.639000,0 days 00:00:32.212000,0 days 00:00:27.334000,0 days 00:49:46.017000,0 days 00:50:18.229000,0 days 00:50:45.563000,253.0,256.0,300.0,,False,INTERMEDIATE,1.0,True,Williams,0 days 00:48:44.378000,2024-08-23 11:04:26.777,1,,False,,False,False
0 days 00:52:11.068000,SAR,2,,4.0,3.0,,,0 days 00:00:29.780000,0 days 00:00:30.150000,0 days 00:00:25.575000,0 days 00:51:15.343000,0 days 00:51:45.493000,0 days 00:52:11.068000,281.0,264.0,305.0,234.0,True,INTERMEDIATE,2.0,True,Williams,0 days 00:50:45.563000,2024-08-23 11:06:27.962,1,,False,,False,True
0 days 00:53:45.635000,SAR,2,,5.0,3.0,,0 days 00:53:44.115000,0 days 00:00:28.548000,0 days 00:00:29.423000,0 days 00:00:36.596000,0 days 00:52:39.616000,0 days 00:53:09.039000,0 days 00:53:45.635000,282.0,265.0,,243.0,False,INTERMEDIATE,3.0,True,Williams,0 days 00:52:11.068000,2024-08-23 11:07:53.467,1,,False,,False,False
0 days 01:08:25.771000,SAR,2,,6.0,4.0,0 days 01:06:51.793000,,,0 days 00:00:31.267000,0 days 00:00:25.689000,,0 days 01:08:00.289000,0 days 01:08:25.937000,267.0,252.0,308.0,,False,SOFT,1.0,True,Williams,0 days 00:53:45.635000,2024-08-23 11:09:28.034,12,,False,,False,False
0 days 01:09:43.884000,SAR,2,,7.0,4.0,,,0 days 00:00:26.702000,0 days 00:00:27.623000,0 days 00:00:23.788000,0 days 01:08:52.473000,0 days 01:09:20.096000,0 days 01:09:43.884000,284.0,270.0,313.0,300.0,True,SOFT,2.0,True,Williams,0 days 01:08:25.771000,2024-08-23 11:24:08.170,1,,False,,False,True
0 days 01:10:59.489000,SAR,2,,8.0,4.0,,,0 days 00:00:25.747000,0 days 00:00:26.990000,0 days 00:00:22.868000,0 days 01:10:09.631000,0 days 01:10:36.621000,0 days 01:10:59.489000,285.0,270.0,316.0,316.0,True,SOFT,3.0,True,Williams,0 days 01:09:43.884000,2024-08-23 11:25:26.283,1,,False,,False,True
0 days 01:12:51.183000,SAR,2,,9.0,4.0,,,0 days 00:00:37.209000,0 days 00:00:41.108000,0 days 00:00:33.377000,0 days 01:11:36.698000,0 days 01:12:17.806000,0 days 01:12:51.183000,189.0,188.0,314.0,233.0,False,SOFT,4.0,True,Williams,0 days 01:10:59.489000,2024-08-23 11:26:41.888,1,,False,,False,True
0 days 01:14:20.292000,SAR,2,,10.0,4.0,,,0 days 00:00:25.484000,0 days 00:00:26.894000,0 days 00:00:36.731000,0 days 01:13:16.667000,0 days 01:13:43.561000,0 days 01:14:20.292000,287.0,272.0,161.0,322.0,False,SOFT,5.0,True,Williams,0 days 01:12:51.183000,2024-08-23 11:28:33.582,1,,False,,False,True
0 days 01:16:28.241000,SAR,2,,11.0,4.0,,,0 days 00:00:38.872000,0 days 00:00:40.326000,0 days 00:00:48.751000,0 days 01:14:59.164000,0 days 01:15:39.490000,0 days 01:16:28.241000,192.0,144.0,48.0,186.0,False,SOFT,6.0,True,Williams,0 days 01:14:20.292000,2024-08-23 11:30:02.691,1,,False,,False,True
0 days 01:18:33.522000,SAR,2,,12.0,4.0,,0 days 01:18:32.089000,0 days 00:00:54.637000,0 days 00:00:36.098000,0 days 00:00:34.546000,0 days 01:17:22.878000,0 days 01:17:58.976000,0 days 01:18:33.522000,201.0,212.0,,219.0,False,SOFT,7.0,True,Williams,0 days 01:16:28.241000,2024-08-23 11:32:10.640,1,,False,,False,False
0 days 00:46:05.092000,RIC,3,,1.0,1.0,0 days 00:44:29.285000,,,0 days 00:00:34.109000,0 days 00:00:27.650000,,0 days 00:45:37.605000,0 days 00:46:05.122000,221.0,242.0,295.0,,False,WET,1.0,True,RB,0 days 00:44:29.285000,2024-08-23 11:00:11.684,12,,False,,False,False
