Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:17.254000,19.0,61.0,1017.8,False,22.1,4,2.2
0 days 00:01:17.255000,19.0,61.0,1017.7,False,22.1,352,1.7
0 days 00:02:17.257000,19.0,61.0,1017.7,False,22.1,355,1.9
0 days 00:03:17.255000,19.0,60.0,1017.7,False,22.0,355,2.1
0 days 00:04:17.259000,19.0,60.0,1017.7,False,22.0,11,2.4
0 days 00:05:17.258000,19.0,60.0,1017.7,False,22.0,340,2.6
0 days 00:06:17.259000,19.0,60.0,1017.7,False,22.1,357,2.5
0 days 00:07:17.260000,19.0,60.0,1017.7,False,22.0,353,2.3
0 days 00:08:17.261000,19.0,60.0,1017.8,False,22.0,351,2.4
0 days 00:09:17.261000,19.0,60.0,1017.6,False,22.0,334,2.2
0 days 00:10:17.264000,19.0,60.0,1017.7,False,22.0,6,2.5
0 days 00:11:17.262000,19.0,60.0,1017.7,False,22.0,351,2.6
0 days 00:12:17.262000,19.0,60.0,1017.7,False,21.9,346,2.2
0 days 00:13:17.290000,19.0,60.0,1017.7,False,21.9,346,2.2
0 days 00:14:17.278000,19.0,60.0,1017.7,False,21.9,348,2.3
0 days 00:15:17.268000,19.0,60.0,1017.8,False,22.0,2,2.1
0 days 00:16:17.266000,19.0,60.0,1017.7,False,22.0,356,2.0
0 days 00:17:17.265000,18.9,60.0,1017.7,False,22.0,343,2.3
0 days 00:18:17.270000,18.9,60.0,1017.7,False,21.9,345,2.2
0 days 00:19:17.272000,18.9,60.0,1017.8,False,21.9,340,1.7
0 days 00:20:17.269000,18.9,60.0,1017.7,False,21.9,353,2.1
0 days 00:21:17.269000,19.0,60.0,1017.7,False,21.9,5,2.1
0 days 00:22:17.272000,19.0,60.0,1017.8,False,22.0,19,2.5
0 days 00:23:17.271000,19.0,60.0,1017.8,False,22.1,332,1.4
0 days 00:24:17.271000,19.0,60.0,1017.7,False,22.0,356,2.2
0 days 00:25:17.271000,19.0,60.0,1017.7,False,22.0,347,2.2
0 days 00:26:17.273000,19.0,60.0,1017.6,False,21.9,332,2.7
0 days 00:27:17.273000,19.0,60.0,1017.8,False,21.9,338,2.0
0 days 00:28:17.291000,19.0,60.0,1017.7,False,21.9,339,2.9
0 days 00:29:17.274000,18.9,60.0,1017.6,False,21.9,354,2.2
0 days 00:30:17.274000,18.9,60.0,1017.7,False,21.8,353,2.8
0 days 00:31:17.275000,18.9,60.0,1017.6,False,21.7,13,3.1
0 days 00:32:17.279000,18.9,60.0,1017.7,False,21.8,339,2.3
0 days 00:33:17.277000,18.9,60.0,1017.7,False,21.8,340,1.9
0 days 00:34:17.280000,19.0,60.0,1017.8,False,21.9,308,2.1
0 days 00:35:17.282000,19.0,59.0,1017.7,False,21.9,322,1.3
0 days 00:36:17.278000,19.0,59.0,1017.7,False,21.8,333,2.2
0 days 00:37:17.280000,19.0,59.0,1017.7,False,21.6,345,2.7
0 days 00:38:17.281000,18.9,59.0,1017.7,False,21.6,337,2.3
0 days 00:39:17.280000,18.9,59.0,1017.7,False,21.5,349,2.4
0 days 00:40:17.281000,18.9,59.0,1017.7,False,21.5,358,2.3
0 days 00:41:17.280000,18.8,59.0,1017.7,False,21.5,346,2.6
0 days 00:42:17.282000,18.8,60.0,1017.6,False,21.5,356,2.6
0 days 00:43:17.287000,18.8,60.0,1017.6,False,21.5,343,2.5
0 days 00:44:17.284000,18.8,60.0,1017.7,False,21.6,333,2.2
0 days 00:45:17.294000,18.8,59.0,1017.7,False,21.6,359,2.1
0 days 00:46:17.286000,18.8,59.0,1017.8,False,21.6,344,2.2
0 days 00:47:17.287000,18.8,59.0,1017.7,False,21.6,3,2.4
0 days 00:48:17.286000,18.8,59.0,1017.7,False,21.5,11,2.4
0 days 00:49:17.294000,18.8,59.0,1017.7,False,21.5,3,2.5
0 days 00:50:17.319000,18.8,59.0,1017.8,False,21.4,8,2.2
0 days 00:51:17.336000,18.7,59.0,1017.7,False,21.5,352,2.1
0 days 00:52:17.338000,18.7,59.0,1017.6,False,21.5,358,2.1
0 days 00:53:17.342000,18.7,59.0,1017.7,False,21.5,7,2.0
0 days 00:54:17.338000,18.7,59.0,1017.7,False,21.5,10,1.9
0 days 00:55:17.342000,18.7,59.0,1017.8,False,21.4,353,2.2
