Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:14:54.587000,VER,1,,1.0,1.0,0 days 00:13:21.343000,,,0 days 00:00:30.364000,0 days 00:00:26.476000,,0 days 00:14:28.158000,0 days 00:14:54.595000,232.0,279.0,281.0,125.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:13:21.343000,2024-11-29 17:31:22.977,1,,False,,False,False
0 days 00:16:17.878000,VER,1,,2.0,1.0,,,0 days 00:00:30.898000,0 days 00:00:28.094000,0 days 00:00:24.299000,0 days 00:15:25.485000,0 days 00:15:53.579000,0 days 00:16:17.878000,245.0,289.0,280.0,321.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:14:54.587000,2024-11-29 17:32:56.221,1,,False,,False,True
0 days 00:18:15.191000,VER,1,,3.0,1.0,,,0 days 00:00:49.089000,0 days 00:00:34.563000,0 days 00:00:33.661000,0 days 00:17:06.967000,0 days 00:17:41.530000,0 days 00:18:15.191000,201.0,137.0,282.0,160.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:16:17.878000,2024-11-29 17:34:19.512,1,,False,,False,True
0 days 00:19:37.771000,VER,1,,4.0,1.0,,,0 days 00:00:30.592000,0 days 00:00:27.906000,0 days 00:00:24.082000,0 days 00:18:45.783000,0 days 00:19:13.689000,0 days 00:19:37.771000,248.0,290.0,281.0,325.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:18:15.191000,2024-11-29 17:36:16.825,1,,False,,False,True
0 days 00:21:34.070000,VER,1,,5.0,1.0,,,0 days 00:00:49.020000,0 days 00:00:37.253000,0 days 00:00:30.026000,0 days 00:20:26.791000,0 days 00:21:04.044000,0 days 00:21:34.070000,185.0,260.0,253.0,189.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:19:37.771000,2024-11-29 17:37:39.405,1,,False,,False,True
0 days 00:23:45.947000,VER,1,,6.0,1.0,,,0 days 00:00:44.627000,0 days 00:00:33.760000,0 days 00:00:53.490000,0 days 00:22:18.697000,0 days 00:22:52.457000,0 days 00:23:45.947000,206.0,270.0,281.0,181.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:21:34.070000,2024-11-29 17:39:35.704,1,,False,,False,True
0 days 00:25:07.980000,VER,1,,7.0,1.0,,,0 days 00:00:30.348000,0 days 00:00:27.757000,0 days 00:00:23.928000,0 days 00:24:16.295000,0 days 00:24:44.052000,0 days 00:25:07.980000,250.0,290.0,278.0,325.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 00:23:45.947000,2024-11-29 17:41:47.581,1,,False,,False,True
0 days 00:26:53.455000,VER,1,,8.0,1.0,,0 days 00:26:49.256000,0 days 00:00:37.370000,0 days 00:00:32.822000,0 days 00:00:35.283000,0 days 00:25:45.350000,0 days 00:26:18.172000,0 days 00:26:53.455000,204.0,262.0,,207.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:25:07.980000,2024-11-29 17:43:09.614,1,,False,,False,False
0 days 00:32:46.311000,VER,1,,9.0,2.0,0 days 00:31:11.732000,,,0 days 00:00:30.304000,0 days 00:00:26.312000,,0 days 00:32:20.191000,0 days 00:32:46.311000,232.0,270.0,282.0,88.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:26:53.455000,2024-11-29 17:44:55.089,1,,False,,False,False
0 days 00:34:08.499000,VER,1,,10.0,2.0,,,0 days 00:00:30.492000,0 days 00:00:27.683000,0 days 00:00:24.013000,0 days 00:33:16.803000,0 days 00:33:44.486000,0 days 00:34:08.499000,250.0,290.0,282.0,321.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:32:46.311000,2024-11-29 17:50:47.945,1,,False,,False,True
0 days 00:36:01.711000,VER,1,,11.0,2.0,,,0 days 00:00:46.756000,0 days 00:00:37.792000,0 days 00:00:28.664000,0 days 00:34:55.255000,0 days 00:35:33.047000,0 days 00:36:01.711000,186.0,171.0,282.0,170.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:34:08.499000,2024-11-29 17:52:10.133,1,,False,,False,True
0 days 00:37:23.761000,VER,1,,12.0,2.0,,,0 days 00:00:30.302000,0 days 00:00:27.785000,0 days 00:00:23.963000,0 days 00:36:32.013000,0 days 00:36:59.798000,0 days 00:37:23.761000,249.0,291.0,279.0,322.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:36:01.711000,2024-11-29 17:54:03.345,1,,False,,False,True
0 days 00:39:16.929000,VER,1,,13.0,2.0,,,0 days 00:00:47.534000,0 days 00:00:36.767000,0 days 00:00:28.867000,0 days 00:38:11.295000,0 days 00:38:48.062000,0 days 00:39:16.929000,178.0,237.0,283.0,178.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:37:23.761000,2024-11-29 17:55:25.395,1,,False,,False,True
0 days 00:40:38.713000,VER,1,,14.0,2.0,,,0 days 00:00:30.356000,0 days 00:00:27.633000,0 days 00:00:23.795000,0 days 00:39:47.285000,0 days 00:40:14.918000,0 days 00:40:38.713000,251.0,291.0,281.0,321.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:39:16.929000,2024-11-29 17:57:18.563,1,,False,,False,True
0 days 00:42:30.643000,VER,1,,15.0,2.0,,0 days 00:42:26.577000,0 days 00:00:40.309000,0 days 00:00:34.487000,0 days 00:00:37.134000,0 days 00:41:19.022000,0 days 00:41:53.509000,0 days 00:42:30.643000,187.0,232.0,,192.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:40:38.713000,2024-11-29 17:58:40.347,1,,False,,False,False
0 days 00:50:04.270000,VER,1,,16.0,3.0,0 days 00:48:29.277000,,,0 days 00:00:31.026000,0 days 00:00:29.741000,,0 days 00:49:34.546000,0 days 00:50:04.430000,220.0,272.0,254.0,152.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:42:30.643000,2024-11-29 18:00:32.277,1,,False,,False,False
0 days 00:51:40.754000,VER,1,,17.0,3.0,,,0 days 00:00:35.099000,0 days 00:00:33.744000,0 days 00:00:27.641000,0 days 00:50:39.369000,0 days 00:51:13.113000,0 days 00:51:40.754000,129.0,271.0,283.0,293.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:50:04.270000,2024-11-29 18:08:05.904,1,,False,,False,True
0 days 00:53:02.069000,VER,1,,18.0,3.0,,,0 days 00:00:30.068000,0 days 00:00:27.518000,0 days 00:00:23.729000,0 days 00:52:10.822000,0 days 00:52:38.340000,0 days 00:53:02.069000,252.0,290.0,276.0,321.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:51:40.754000,2024-11-29 18:09:42.388,1,,False,,False,True
