Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:17.723000,26.2,57.0,1012.9,False,43.4,11,4.4
0 days 00:01:17.722000,26.2,57.0,1012.9,False,43.5,21,5.6
0 days 00:02:17.728000,26.3,57.0,1012.8,False,43.3,31,4.0
0 days 00:03:17.731000,26.3,57.0,1012.8,False,43.3,20,4.2
0 days 00:04:17.729000,26.3,58.0,1012.8,False,43.4,21,5.2
0 days 00:05:17.720000,26.3,59.0,1012.8,False,42.7,39,4.3
0 days 00:06:17.749000,26.2,59.0,1012.8,False,43.1,25,4.1
0 days 00:07:17.757000,26.2,58.0,1012.8,False,42.9,29,4.1
0 days 00:08:17.773000,26.3,58.0,1012.8,False,42.9,22,4.2
0 days 00:09:17.783000,26.2,58.0,1012.8,False,42.3,17,4.9
0 days 00:10:17.763000,26.2,58.0,1012.8,False,42.3,16,5.1
0 days 00:11:17.781000,26.1,58.0,1012.7,False,42.3,19,5.4
0 days 00:12:17.777000,26.1,59.0,1012.8,False,42.3,26,4.2
0 days 00:13:17.795000,26.2,60.0,1012.8,False,42.3,24,4.1
0 days 00:14:17.815000,26.1,61.0,1012.8,False,41.9,9,4.1
0 days 00:15:17.816000,26.2,59.0,1012.8,False,41.9,26,4.7
0 days 00:16:17.813000,26.2,59.0,1012.8,False,41.9,26,4.7
0 days 00:17:17.802000,26.2,59.0,1012.8,False,41.9,26,4.7
0 days 00:18:17.810000,26.2,59.0,1012.8,False,41.6,32,3.9
0 days 00:19:17.820000,26.2,59.0,1012.8,False,41.5,36,3.8
0 days 00:20:17.812000,26.1,60.0,1012.8,False,40.9,35,3.9
0 days 00:21:17.819000,26.2,59.0,1012.8,False,40.9,25,5.0
0 days 00:22:17.819000,26.2,57.0,1012.8,False,40.6,22,5.8
0 days 00:23:17.829000,26.2,58.0,1012.8,False,40.0,19,5.2
0 days 00:24:17.818000,26.2,58.0,1012.8,False,39.9,20,4.9
0 days 00:25:17.821000,26.1,60.0,1012.7,False,40.0,26,3.1
0 days 00:26:17.819000,26.1,61.0,1012.8,False,39.9,26,3.7
0 days 00:27:17.815000,26.1,60.0,1012.8,False,39.7,21,3.9
0 days 00:28:17.825000,26.1,60.0,1012.8,False,40.2,28,3.3
0 days 00:29:17.818000,26.1,60.0,1012.8,False,40.2,29,3.9
0 days 00:30:17.819000,26.1,60.0,1012.7,False,40.2,20,3.7
0 days 00:31:17.825000,26.2,60.0,1013.0,False,39.8,30,4.2
0 days 00:32:17.842000,26.1,59.0,1012.8,False,39.8,18,3.9
0 days 00:33:17.858000,26.1,60.0,1012.7,False,39.8,21,4.2
0 days 00:34:17.862000,26.1,61.0,1012.8,False,39.8,22,4.2
0 days 00:35:17.937000,26.1,62.0,1012.8,False,39.8,17,3.6
0 days 00:36:17.879000,26.1,62.0,1012.8,False,39.8,0,3.6
0 days 00:37:17.875000,26.0,62.0,1012.8,False,39.3,25,3.2
0 days 00:38:17.877000,26.0,62.0,1012.9,False,39.3,35,2.8
0 days 00:39:17.893000,26.0,62.0,1012.8,False,39.3,7,3.1
0 days 00:40:17.916000,26.0,62.0,1012.9,False,39.3,5,4.2
0 days 00:41:17.917000,26.0,62.0,1012.8,False,39.3,11,3.6
0 days 00:42:17.930000,26.0,61.0,1012.9,False,38.7,28,5.0
0 days 00:43:17.929000,26.0,61.0,1012.9,False,38.7,25,4.9
0 days 00:44:17.939000,26.0,62.0,1012.9,False,38.7,34,2.1
0 days 00:45:17.934000,26.0,60.0,1013.0,False,38.7,40,3.4
0 days 00:46:17.964000,26.0,61.0,1013.0,False,38.7,25,3.6
0 days 00:47:17.963000,26.0,60.0,1013.0,False,38.7,36,3.6
0 days 00:48:17.970000,26.0,60.0,1013.0,False,38.7,28,4.6
0 days 00:49:17.962000,25.9,61.0,1013.0,False,38.7,13,4.0
0 days 00:50:17.961000,25.9,62.0,1013.0,False,38.7,12,3.6
0 days 00:51:17.967000,25.9,62.0,1013.1,False,38.1,27,3.5
0 days 00:52:17.964000,25.8,63.0,1013.0,False,38.1,21,3.5
0 days 00:53:17.955000,25.8,62.0,1013.1,False,38.1,19,4.1
0 days 00:54:17.957000,25.9,62.0,1013.0,False,38.1,16,4.1
0 days 00:55:17.962000,25.8,62.0,1012.9,False,38.1,20,4.3
0 days 00:56:17.961000,25.8,63.0,1013.1,False,38.1,20,4.2
0 days 00:57:17.964000,25.8,63.0,1013.0,False,38.1,5,3.3
0 days 00:58:17.964000,25.9,63.0,1013.1,False,38.1,25,3.0
0 days 00:59:17.956000,25.9,63.0,1013.1,False,38.1,28,3.4
0 days 01:00:17.965000,25.9,61.0,1013.0,False,37.8,25,4.7
0 days 01:01:17.969000,25.8,61.0,1013.1,False,37.8,31,5.1
0 days 01:02:17.964000,25.8,62.0,1013.2,False,37.8,20,4.0
0 days 01:03:17.964000,25.8,60.0,1013.1,False,37.8,33,5.1
0 days 01:04:17.975000,25.8,60.0,1013.1,False,37.8,25,4.8
0 days 01:05:17.967000,25.7,60.0,1013.1,False,37.8,28,4.8
0 days 01:06:17.975000,25.8,61.0,1013.1,False,37.8,30,4.1
0 days 01:07:17.965000,25.8,61.0,1013.1,False,37.3,20,4.1
0 days 01:08:17.970000,25.7,62.0,1013.1,False,37.3,17,4.7
0 days 01:09:17.978000,25.7,62.0,1013.1,False,37.3,23,4.1
0 days 01:10:17.977000,25.6,62.0,1013.1,False,37.3,19,4.2
0 days 01:11:17.963000,25.7,61.0,1013.1,False,37.3,23,4.6
0 days 01:12:17.965000,25.6,62.0,1013.0,False,37.3,33,4.0
0 days 01:13:17.973000,25.6,62.0,1013.1,False,37.3,14,3.0
0 days 01:14:17.976000,25.7,62.0,1013.1,False,37.3,35,3.7
0 days 01:15:17.990000,25.8,62.0,1013.1,False,37.3,20,5.0
0 days 01:16:17.995000,25.7,62.0,1013.3,False,37.3,29,4.4
0 days 01:17:17.993000,25.7,61.0,1013.2,False,37.3,54,4.2
0 days 01:18:18,25.7,60.0,1013.2,False,37.3,23,3.9
0 days 01:19:18.014000,25.7,59.0,1013.3,False,37.3,16,4.7
0 days 01:20:18.013000,25.7,59.0,1013.4,False,37.3,25,5.1
0 days 01:21:18.034000,25.6,59.0,1013.3,False,37.3,20,4.1
