Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:31:56.597000,VER,1,,1.0,1.0,0 days 00:30:07.712000,,,0 days 00:00:46.083000,0 days 00:00:28.755000,,0 days 00:31:28.060000,0 days 00:31:56.764000,278.0,264.0,258.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:30:07.712000,2024-09-21 09:45:59.896,1,,False,,False,False
0 days 00:33:28.641000,VER,1,,2.0,1.0,,,0 days 00:00:27.250000,0 days 00:00:38.843000,0 days 00:00:25.951000,0 days 00:32:23.847000,0 days 00:33:02.690000,0 days 00:33:28.641000,308.0,276.0,258.0,299.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:31:56.597000,2024-09-21 09:47:48.781,1,,False,,False,True
0 days 00:35:58.688000,VER,1,,3.0,1.0,,,0 days 00:00:51.627000,0 days 00:01:04.939000,0 days 00:00:33.437000,0 days 00:34:20.585000,0 days 00:35:25.486000,0 days 00:35:58.774000,134.0,213.0,259.0,196.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:33:28.641000,2024-09-21 09:49:20.825,1,,False,,False,False
0 days 00:37:30.318000,VER,1,,4.0,1.0,,,0 days 00:00:27.272000,0 days 00:00:38.571000,0 days 00:00:25.787000,0 days 00:36:25.960000,0 days 00:37:04.531000,0 days 00:37:30.318000,309.0,276.0,261.0,300.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:35:58.688000,2024-09-21 09:51:50.872,1,,False,,False,True
0 days 00:40:16.363000,VER,1,,5.0,1.0,,0 days 00:40:08.625000,0 days 00:00:48.265000,0 days 00:01:04.818000,0 days 00:00:52.891000,0 days 00:38:18.869000,0 days 00:39:23.472000,0 days 00:40:16.485000,132.0,113.0,,214.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:37:30.318000,2024-09-21 09:53:22.502,1,,False,,False,False
0 days 00:42:29.390000,VER,1,,6.0,2.0,0 days 00:40:32.939000,,0 days 00:00:52.955000,0 days 00:00:51.085000,0 days 00:00:28.987000,0 days 00:41:09.318000,0 days 00:42:00.403000,0 days 00:42:29.390000,240.0,261.0,260.0,,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:40:16.363000,2024-09-21 09:56:08.547,1,,False,,False,False
0 days 00:44:01.115000,VER,1,,7.0,2.0,,,0 days 00:00:27.153000,0 days 00:00:38.798000,0 days 00:00:25.774000,0 days 00:42:56.543000,0 days 00:43:35.341000,0 days 00:44:01.115000,312.0,277.0,260.0,301.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:42:29.390000,2024-09-21 09:58:21.574,1,,False,,False,True
0 days 00:45:55.153000,VER,1,,8.0,2.0,,0 days 00:45:47.367000,0 days 00:00:31.191000,0 days 00:00:45.271000,0 days 00:00:37.576000,0 days 00:44:32.306000,0 days 00:45:17.577000,0 days 00:45:55.153000,252.0,211.0,,228.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:44:01.115000,2024-09-21 09:59:53.299,1,,False,,False,False
0 days 00:56:48.586000,VER,1,,9.0,3.0,0 days 00:54:52.207000,,,0 days 00:00:49.354000,0 days 00:00:29.973000,,0 days 00:56:18.820000,0 days 00:56:48.602000,226.0,245.0,261.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:45:55.153000,2024-09-21 10:01:47.337,1,,False,,False,False
0 days 00:58:19.126000,VER,1,,10.0,3.0,,,0 days 00:00:26.917000,0 days 00:00:38.066000,0 days 00:00:25.557000,0 days 00:57:15.503000,0 days 00:57:53.569000,0 days 00:58:19.126000,309.0,276.0,255.0,301.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:56:48.586000,2024-09-21 10:12:40.770,1,,False,,False,True
0 days 01:00:22.614000,VER,1,,11.0,3.0,,0 days 01:00:14.817000,0 days 00:00:35.075000,0 days 00:00:50.086000,0 days 00:00:38.327000,0 days 00:58:54.201000,0 days 00:59:44.287000,0 days 01:00:22.614000,218.0,208.0,,212.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:58:19.126000,2024-09-21 10:14:11.310,1,,False,,False,False
