Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:32.588000,28.5,40.0,1005.5,False,39.2,176,2.0
0 days 00:01:32.587000,28.5,41.0,1005.6,False,39.2,180,2.4
0 days 00:02:32.588000,28.5,41.0,1005.6,False,39.2,169,1.8
0 days 00:03:32.594000,28.5,41.0,1005.5,False,39.1,170,2.1
0 days 00:04:32.589000,28.4,41.0,1005.6,False,39.0,186,1.3
0 days 00:05:32.607000,28.4,40.0,1005.5,False,39.1,158,1.8
0 days 00:06:32.606000,28.5,40.0,1005.6,False,39.0,141,1.9
0 days 00:07:32.628000,28.4,40.0,1005.6,False,38.9,176,2.8
0 days 00:08:32.637000,28.5,40.0,1005.6,False,38.8,181,2.8
0 days 00:09:32.640000,28.5,40.0,1005.5,False,38.7,174,2.0
0 days 00:10:32.640000,28.5,40.0,1005.5,False,38.6,158,2.6
0 days 00:11:32.643000,28.5,40.0,1005.5,False,38.5,159,2.6
0 days 00:12:32.659000,28.4,40.0,1005.5,False,38.5,181,2.4
0 days 00:13:32.651000,28.5,40.0,1005.4,False,38.6,187,2.5
0 days 00:14:32.679000,28.5,40.0,1005.5,False,38.6,179,2.9
0 days 00:15:32.680000,28.5,40.0,1005.5,False,38.8,183,2.0
0 days 00:16:32.676000,28.5,40.0,1005.5,False,38.8,184,1.8
0 days 00:17:32.677000,28.5,40.0,1005.4,False,38.8,176,1.7
0 days 00:18:32.680000,28.5,39.0,1005.5,False,39.2,240,1.4
0 days 00:19:32.681000,28.6,39.0,1005.5,False,39.2,185,0.9
0 days 00:20:32.678000,28.8,39.0,1005.4,False,39.2,186,1.5
0 days 00:21:32.682000,28.8,38.0,1005.4,False,39.5,177,1.0
0 days 00:22:32.683000,28.7,38.0,1005.4,False,39.5,200,1.6
0 days 00:23:32.683000,28.6,38.0,1005.4,False,39.5,196,2.2
0 days 00:24:32.684000,28.6,38.0,1005.3,False,39.6,176,1.5
0 days 00:25:32.684000,28.7,38.0,1005.4,False,39.6,161,1.2
0 days 00:26:32.685000,28.8,38.0,1005.5,False,39.6,0,0.9
0 days 00:27:32.693000,28.8,38.0,1005.4,False,39.6,218,1.3
0 days 00:28:32.702000,28.9,37.0,1005.4,False,39.7,152,0.9
0 days 00:29:32.703000,29.0,37.0,1005.4,False,39.8,169,1.0
0 days 00:30:32.707000,29.0,37.0,1005.4,False,39.8,141,1.8
0 days 00:31:32.704000,29.0,37.0,1005.4,False,39.7,197,2.6
0 days 00:32:32.706000,29.0,38.0,1005.3,False,39.4,213,2.0
