Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:14.614000,SAI,55,,1.0,1.0,0 days 00:15:05.819000,,,0 days 00:00:48.802000,0 days 00:00:41.115000,,0 days 00:16:33.598000,0 days 00:17:14.642000,192.0,101.0,214.0,298.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:15:05.819000,2024-10-18 21:32:11.781,1,,False,,False,False
0 days 00:18:48.757000,SAI,55,,2.0,1.0,,,0 days 00:00:25.482000,0 days 00:00:37.754000,0 days 00:00:30.907000,0 days 00:17:40.096000,0 days 00:18:17.850000,0 days 00:18:48.757000,235.0,188.0,210.0,326.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:14.614000,2024-10-18 21:34:20.576,1,,False,,False,True
0 days 00:21:00.367000,SAI,55,,3.0,1.0,,,0 days 00:00:40.942000,0 days 00:00:48.363000,0 days 00:00:42.305000,0 days 00:19:29.699000,0 days 00:20:18.062000,0 days 00:21:00.367000,157.0,134.0,136.0,223.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:18:48.757000,2024-10-18 21:35:54.719,1,,False,,False,True
0 days 00:23:10.137000,SAI,55,,4.0,1.0,,,0 days 00:00:41.929000,0 days 00:00:47.572000,0 days 00:00:40.269000,0 days 00:21:42.296000,0 days 00:22:29.868000,0 days 00:23:10.137000,175.0,139.0,214.0,230.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:21:00.367000,2024-10-18 21:38:06.329,1,,False,,False,True
0 days 00:24:44.246000,SAI,55,,5.0,1.0,,,0 days 00:00:25.389000,0 days 00:00:37.814000,0 days 00:00:30.906000,0 days 00:23:35.526000,0 days 00:24:13.340000,0 days 00:24:44.246000,234.0,191.0,211.0,326.0,True,MEDIUM,5.0,True,Ferrari,0 days 00:23:10.137000,2024-10-18 21:40:16.099,1,,False,,False,True
0 days 00:26:51.786000,SAI,55,,6.0,1.0,,0 days 00:26:50.814000,0 days 00:00:38.718000,0 days 00:00:48.938000,0 days 00:00:39.884000,0 days 00:25:22.964000,0 days 00:26:11.902000,0 days 00:26:51.786000,152.0,135.0,,227.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:24:44.246000,2024-10-18 21:41:50.208,1,,False,,False,False
0 days 00:34:49.813000,SAI,55,,7.0,2.0,0 days 00:32:41.969000,,,0 days 00:00:51.682000,0 days 00:00:39.503000,,0 days 00:34:10.418000,0 days 00:34:50.001000,173.0,136.0,216.0,295.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:26:51.786000,2024-10-18 21:43:57.748,1,,False,,False,False
0 days 00:36:23.087000,SAI,55,,8.0,2.0,,,0 days 00:00:25.280000,0 days 00:00:37.400000,0 days 00:00:30.594000,0 days 00:35:15.093000,0 days 00:35:52.493000,0 days 00:36:23.087000,236.0,192.0,211.0,325.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:49.813000,2024-10-18 21:51:55.775,1,,False,,False,True
0 days 00:38:24.260000,SAI,55,,9.0,2.0,,0 days 00:38:23.403000,0 days 00:00:33.713000,0 days 00:00:46.860000,0 days 00:00:40.600000,0 days 00:36:56.800000,0 days 00:37:43.660000,0 days 00:38:24.260000,171.0,145.0,,233.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:36:23.087000,2024-10-18 21:53:29.049,1,,False,,False,False
0 days 00:55:27.789000,SAI,55,,10.0,3.0,0 days 00:53:17.926000,,,0 days 00:00:51.230000,0 days 00:00:40.191000,,0 days 00:54:47.773000,0 days 00:55:27.837000,158.0,139.0,216.0,288.0,False,SOFT,1.0,True,Ferrari,0 days 00:38:24.260000,2024-10-18 21:55:30.222,12,,False,,False,False
0 days 00:57:00.878000,SAI,55,,11.0,3.0,,,0 days 00:00:25.189000,0 days 00:00:37.340000,0 days 00:00:30.560000,0 days 00:55:52.978000,0 days 00:56:30.318000,0 days 00:57:00.878000,239.0,192.0,212.0,325.0,True,SOFT,2.0,True,Ferrari,0 days 00:55:27.789000,2024-10-18 22:12:33.751,1,,False,,False,True
0 days 00:59:14.946000,SAI,55,,12.0,3.0,,0 days 00:59:11.865000,0 days 00:00:38.524000,0 days 00:00:51.188000,0 days 00:00:44.356000,0 days 00:57:39.402000,0 days 00:58:30.590000,0 days 00:59:14.946000,168.0,143.0,,209.0,False,SOFT,3.0,True,Ferrari,0 days 00:57:00.878000,2024-10-18 22:14:06.840,1,,False,,False,False
0 days 00:17:24.265000,LEC,16,,1.0,1.0,0 days 00:15:14.421000,,,0 days 00:00:45.135000,0 days 00:00:42.128000,,0 days 00:16:42.237000,0 days 00:17:24.339000,198.0,166.0,211.0,299.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:15:14.421000,2024-10-18 21:32:20.383,1,,False,,False,False
0 days 00:18:58.161000,LEC,16,,2.0,1.0,,,0 days 00:00:25.396000,0 days 00:00:37.639000,0 days 00:00:30.861000,0 days 00:17:49.661000,0 days 00:18:27.300000,0 days 00:18:58.161000,237.0,190.0,213.0,327.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:24.265000,2024-10-18 21:34:30.227,1,,False,,False,True
0 days 00:21:06.839000,LEC,16,,3.0,1.0,,0 days 00:21:05.784000,0 days 00:00:37.605000,0 days 00:00:49.500000,0 days 00:00:41.573000,0 days 00:19:35.766000,0 days 00:20:25.266000,0 days 00:21:06.839000,142.0,135.0,,226.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:18:58.161000,2024-10-18 21:36:04.123,1,,False,,False,False
0 days 00:24:18.057000,LEC,16,,4.0,2.0,0 days 00:21:56.317000,,0 days 00:01:26.524000,0 days 00:00:53.101000,0 days 00:00:51.553000,0 days 00:22:33.550000,0 days 00:23:26.657000,0 days 00:24:18.237000,168.0,161.0,211.0,222.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:21:06.839000,2024-10-18 21:38:12.801,1,,False,,False,False
0 days 00:25:51.704000,LEC,16,,5.0,2.0,,,0 days 00:00:25.431000,0 days 00:00:37.374000,0 days 00:00:30.842000,0 days 00:24:43.488000,0 days 00:25:20.862000,0 days 00:25:51.704000,232.0,191.0,211.0,326.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:24:18.057000,2024-10-18 21:41:24.019,1,,False,,False,True
0 days 00:28:01.038000,LEC,16,,6.0,2.0,,0 days 00:27:59.011000,0 days 00:00:34.471000,0 days 00:00:47.356000,0 days 00:00:47.507000,0 days 00:26:26.175000,0 days 00:27:13.531000,0 days 00:28:01.038000,170.0,142.0,,198.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:25:51.704000,2024-10-18 21:42:57.666,1,,False,,False,False
0 days 00:34:58.940000,LEC,16,,7.0,3.0,0 days 00:32:54.560000,,,0 days 00:00:44.883000,0 days 00:00:41.554000,,0 days 00:34:17.410000,0 days 00:34:59.024000,171.0,167.0,213.0,273.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:28:01.038000,2024-10-18 21:45:07.000,1,,False,,False,False
0 days 00:36:32.332000,LEC,16,,8.0,3.0,,,0 days 00:00:25.225000,0 days 00:00:37.409000,0 days 00:00:30.758000,0 days 00:35:24.165000,0 days 00:36:01.574000,0 days 00:36:32.332000,237.0,191.0,211.0,326.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:58.940000,2024-10-18 21:52:04.902,1,,False,,False,True
0 days 00:38:37.980000,LEC,16,,9.0,3.0,,0 days 00:38:36.857000,0 days 00:00:37.231000,0 days 00:00:48.805000,0 days 00:00:39.612000,0 days 00:37:09.563000,0 days 00:37:58.368000,0 days 00:38:37.980000,157.0,133.0,,229.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:36:32.332000,2024-10-18 21:53:38.294,1,,False,,False,False
0 days 00:55:45.945000,LEC,16,,10.0,4.0,0 days 00:53:35.949000,,,0 days 00:00:46.485000,0 days 00:00:38.870000,,0 days 00:55:07.510000,0 days 00:55:46.026000,173.0,142.0,215.0,270.0,False,SOFT,1.0,True,Ferrari,0 days 00:38:37.980000,2024-10-18 21:55:43.942,12,,False,,False,False
0 days 00:57:19.004000,LEC,16,,11.0,4.0,,,0 days 00:00:25.288000,0 days 00:00:37.287000,0 days 00:00:30.484000,0 days 00:56:11.233000,0 days 00:56:48.520000,0 days 00:57:19.004000,234.0,191.0,212.0,327.0,True,SOFT,2.0,True,Ferrari,0 days 00:55:45.945000,2024-10-18 22:12:51.907,1,,False,,False,True
0 days 00:59:30.801000,LEC,16,,12.0,4.0,,0 days 00:59:28.211000,0 days 00:00:32.457000,0 days 00:00:53.052000,0 days 00:00:46.288000,0 days 00:57:51.461000,0 days 00:58:44.513000,0 days 00:59:30.801000,179.0,128.0,,171.0,False,SOFT,3.0,True,Ferrari,0 days 00:57:19.004000,2024-10-18 22:14:24.966,1,,False,,False,False
0 days 00:14:56.245000,VER,1,,1.0,1.0,0 days 00:12:57.945000,,,0 days 00:00:48.093000,0 days 00:00:39.020000,,0 days 00:14:17.297000,0 days 00:14:56.445000,173.0,147.0,214.0,240.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:12:57.945000,2024-10-18 21:30:03.907,1,,False,,False,False
0 days 00:16:30.943000,VER,1,,2.0,1.0,,,0 days 00:00:25.512000,0 days 00:00:37.903000,0 days 00:00:31.283000,0 days 00:15:21.757000,0 days 00:15:59.660000,0 days 00:16:30.943000,236.0,186.0,209.0,325.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:14:56.245000,2024-10-18 21:32:02.207,1,,False,,False,True
0 days 00:18:44.683000,VER,1,,3.0,1.0,,,0 days 00:00:41.912000,0 days 00:00:52.448000,0 days 00:00:39.380000,0 days 00:17:12.855000,0 days 00:18:05.303000,0 days 00:18:44.683000,151.0,137.0,160.0,227.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:16:30.943000,2024-10-18 21:33:36.905,1,,False,,False,True
0 days 00:20:49.924000,VER,1,,4.0,1.0,,,0 days 00:00:37.724000,0 days 00:00:50.268000,0 days 00:00:37.249000,0 days 00:19:22.407000,0 days 00:20:12.675000,0 days 00:20:49.924000,156.0,147.0,214.0,267.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:18:44.683000,2024-10-18 21:35:50.645,1,,False,,False,True
0 days 00:22:23.832000,VER,1,,5.0,1.0,,,0 days 00:00:25.238000,0 days 00:00:37.737000,0 days 00:00:30.933000,0 days 00:21:15.162000,0 days 00:21:52.899000,0 days 00:22:23.832000,236.0,189.0,210.0,325.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:20:49.924000,2024-10-18 21:37:55.886,1,,False,,False,True
0 days 00:24:31.292000,VER,1,,6.0,1.0,,0 days 00:24:29.558000,0 days 00:00:34.778000,0 days 00:00:52.269000,0 days 00:00:40.413000,0 days 00:22:58.610000,0 days 00:23:50.879000,0 days 00:24:31.292000,160.0,148.0,,185.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:22:23.832000,2024-10-18 21:39:29.794,1,,False,,False,False
0 days 00:37:20.111000,VER,1,,7.0,2.0,0 days 00:35:31.070000,,,0 days 00:00:45.806000,0 days 00:00:32.794000,,0 days 00:36:47.462000,0 days 00:37:20.304000,180.0,158.0,215.0,267.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:24:31.292000,2024-10-18 21:41:37.254,1,,False,,False,False
0 days 00:38:53.401000,VER,1,,8.0,2.0,,,0 days 00:00:25.144000,0 days 00:00:37.369000,0 days 00:00:30.777000,0 days 00:37:45.255000,0 days 00:38:22.624000,0 days 00:38:53.401000,240.0,190.0,209.0,325.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:37:20.111000,2024-10-18 21:54:26.073,1,,False,,False,True
0 days 00:41:03.902000,VER,1,,9.0,2.0,,0 days 00:41:02.955000,0 days 00:00:33.945000,0 days 00:00:54.769000,0 days 00:00:41.787000,0 days 00:39:27.346000,0 days 00:40:22.115000,0 days 00:41:03.902000,161.0,139.0,,201.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:38:53.401000,2024-10-18 21:55:59.363,1,,False,,False,False
0 days 00:56:26.842000,VER,1,,10.0,3.0,0 days 00:54:32.409000,,,0 days 00:00:45.440000,0 days 00:00:38.907000,,0 days 00:55:47.973000,0 days 00:56:26.850000,189.0,142.0,215.0,286.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:41:03.902000,2024-10-18 21:58:09.864,12,,False,,False,False
0 days 00:57:59.675000,VER,1,,11.0,3.0,,,0 days 00:00:25.001000,0 days 00:00:37.309000,0 days 00:00:30.523000,0 days 00:56:51.843000,0 days 00:57:29.152000,0 days 00:57:59.675000,244.0,191.0,210.0,325.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:56:26.842000,2024-10-18 22:13:32.804,1,,False,,False,True
0 days 01:00:12.594000,VER,1,,12.0,3.0,,0 days 01:00:10.565000,0 days 00:00:33.253000,0 days 00:00:53.451000,0 days 00:00:46.215000,0 days 00:58:32.928000,0 days 00:59:26.379000,0 days 01:00:12.594000,175.0,134.0,,179.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:57:59.675000,2024-10-18 22:15:05.637,1,,False,,False,False
0 days 00:16:54.148000,NOR,4,,1.0,1.0,0 days 00:14:44.488000,,,0 days 00:00:46.637000,0 days 00:00:38.341000,,0 days 00:16:15.912000,0 days 00:16:54.148000,143.0,172.0,214.0,303.0,False,MEDIUM,1.0,True,McLaren,0 days 00:14:44.488000,2024-10-18 21:31:50.450,1,,False,,False,False
0 days 00:18:28.067000,NOR,4,,2.0,1.0,,,0 days 00:00:25.688000,0 days 00:00:37.606000,0 days 00:00:30.625000,0 days 00:17:19.836000,0 days 00:17:57.442000,0 days 00:18:28.067000,235.0,191.0,209.0,324.0,True,MEDIUM,2.0,True,McLaren,0 days 00:16:54.148000,2024-10-18 21:34:00.110,1,,False,,False,True
0 days 00:20:35.616000,NOR,4,,3.0,1.0,,,0 days 00:00:36.709000,0 days 00:00:48.471000,0 days 00:00:42.369000,0 days 00:19:04.776000,0 days 00:19:53.247000,0 days 00:20:35.616000,155.0,136.0,123.0,222.0,False,MEDIUM,3.0,True,McLaren,0 days 00:18:28.067000,2024-10-18 21:35:34.029,1,,False,,False,True
0 days 00:22:54.185000,NOR,4,,4.0,1.0,,,0 days 00:00:47.344000,0 days 00:00:49.089000,0 days 00:00:42.136000,0 days 00:21:22.960000,0 days 00:22:12.049000,0 days 00:22:54.185000,149.0,124.0,213.0,246.0,False,MEDIUM,4.0,True,McLaren,0 days 00:20:35.616000,2024-10-18 21:37:41.578,1,,False,,False,True
0 days 00:24:28.495000,NOR,4,,5.0,1.0,,,0 days 00:00:25.416000,0 days 00:00:37.860000,0 days 00:00:31.034000,0 days 00:23:19.601000,0 days 00:23:57.461000,0 days 00:24:28.495000,236.0,191.0,213.0,325.0,False,MEDIUM,5.0,True,McLaren,0 days 00:22:54.185000,2024-10-18 21:40:00.147,1,,False,,False,True
0 days 00:26:27.225000,NOR,4,,6.0,1.0,,0 days 00:26:26.306000,0 days 00:00:33.345000,0 days 00:00:46.876000,0 days 00:00:38.509000,0 days 00:25:01.840000,0 days 00:25:48.716000,0 days 00:26:27.225000,199.0,144.0,,221.0,False,MEDIUM,6.0,True,McLaren,0 days 00:24:28.495000,2024-10-18 21:41:34.457,1,,False,,False,False
0 days 00:34:34.412000,NOR,4,,7.0,2.0,0 days 00:32:34.874000,,,0 days 00:00:47.004000,0 days 00:00:34.404000,,0 days 00:34:00.143000,0 days 00:34:34.412000,143.0,143.0,216.0,299.0,False,MEDIUM,1.0,True,McLaren,0 days 00:26:27.225000,2024-10-18 21:43:33.187,1,,False,,False,False
0 days 00:36:07.978000,NOR,4,,8.0,2.0,,,0 days 00:00:25.416000,0 days 00:00:37.507000,0 days 00:00:30.643000,0 days 00:34:59.828000,0 days 00:35:37.335000,0 days 00:36:07.978000,235.0,191.0,211.0,324.0,True,MEDIUM,2.0,True,McLaren,0 days 00:34:34.412000,2024-10-18 21:51:40.374,1,,False,,False,True
0 days 00:38:15.104000,NOR,4,,9.0,2.0,,,0 days 00:00:37.020000,0 days 00:00:52.169000,0 days 00:00:37.937000,0 days 00:36:44.998000,0 days 00:37:37.167000,0 days 00:38:15.104000,142.0,154.0,162.0,191.0,False,MEDIUM,3.0,True,McLaren,0 days 00:36:07.978000,2024-10-18 21:53:13.940,1,,False,,False,True
