Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:07.881000,28.3,41.0,1002.4,False,37.6,167,4.0
0 days 00:01:07.883000,28.3,40.0,1002.4,False,37.6,154,4.2
0 days 00:02:07.877000,28.3,40.0,1002.4,False,37.1,179,4.9
0 days 00:03:07.888000,28.3,40.0,1002.5,False,37.0,154,3.6
0 days 00:04:07.883000,28.1,40.0,1002.5,False,36.8,154,4.1
0 days 00:05:07.898000,28.0,41.0,1002.4,False,36.6,163,3.8
0 days 00:06:07.891000,27.9,41.0,1002.4,False,36.3,172,4.3
0 days 00:07:07.892000,27.9,40.0,1002.5,False,35.9,153,3.2
0 days 00:08:07.893000,27.8,40.0,1002.4,False,35.6,183,3.4
0 days 00:09:07.915000,27.7,41.0,1002.4,False,35.0,158,3.5
0 days 00:10:07.904000,27.6,41.0,1002.4,False,34.9,159,3.1
0 days 00:11:07.926000,27.6,41.0,1002.5,False,34.7,157,3.2
0 days 00:12:07.926000,27.6,42.0,1002.5,False,34.7,165,2.2
0 days 00:13:07.940000,27.6,41.0,1002.5,False,35.1,166,3.2
0 days 00:14:07.930000,27.6,41.0,1002.5,False,35.2,141,2.7
0 days 00:15:07.947000,27.7,41.0,1002.4,False,35.3,162,2.8
0 days 00:16:07.940000,27.7,41.0,1002.4,False,35.3,149,3.3
0 days 00:17:07.957000,27.8,41.0,1002.3,False,35.1,144,3.0
0 days 00:18:07.969000,27.8,41.0,1002.3,False,35.1,132,3.1
0 days 00:19:07.990000,27.8,41.0,1002.5,False,34.9,149,3.7
0 days 00:20:07.996000,27.8,41.0,1002.4,False,34.9,149,2.7
0 days 00:21:08.032000,27.8,41.0,1002.4,False,35.0,142,2.3
0 days 00:22:07.989000,27.9,40.0,1002.5,False,35.0,165,2.7
0 days 00:23:07.999000,27.9,40.0,1002.4,False,35.2,156,3.8
0 days 00:24:07.984000,27.9,40.0,1002.4,False,35.6,148,3.0
0 days 00:25:07.999000,28.0,40.0,1002.4,False,35.6,166,3.1
0 days 00:26:07.995000,28.0,40.0,1002.5,False,35.7,167,2.4
0 days 00:27:08.010000,28.0,40.0,1002.4,False,36.1,181,2.6
0 days 00:28:08.030000,28.1,39.0,1002.4,False,36.1,157,3.3
0 days 00:29:08.022000,28.3,40.0,1002.4,False,36.1,173,4.9
0 days 00:30:08.032000,28.3,41.0,1002.4,False,36.1,160,3.5
0 days 00:31:08.036000,28.3,41.0,1002.3,False,36.2,166,3.3
0 days 00:32:08.031000,28.1,41.0,1002.3,False,36.1,162,4.2
0 days 00:33:08.035000,28.0,41.0,1002.3,False,35.9,153,4.1
0 days 00:34:08.023000,27.9,42.0,1002.4,False,35.1,146,4.6
0 days 00:35:08.041000,27.9,42.0,1002.4,False,35.0,158,3.7
0 days 00:36:08.093000,27.8,42.0,1002.4,False,34.8,142,2.8
0 days 00:37:08.040000,27.8,42.0,1002.4,False,34.7,153,3.5
0 days 00:38:08.035000,27.7,43.0,1002.4,False,34.6,154,2.9
0 days 00:39:08.043000,27.7,43.0,1002.3,False,34.5,170,4.0
0 days 00:40:08.025000,27.6,43.0,1002.4,False,34.4,148,4.7
0 days 00:41:08.037000,27.7,43.0,1002.3,False,34.4,146,4.0
0 days 00:42:08.036000,27.7,43.0,1002.4,False,34.6,160,3.8
0 days 00:43:08.042000,27.7,43.0,1002.4,False,35.2,169,3.3
0 days 00:44:08.041000,27.7,42.0,1002.4,False,35.5,149,3.7
0 days 00:45:08.035000,27.8,42.0,1002.3,False,35.6,159,4.1
0 days 00:46:08.031000,27.9,42.0,1002.3,False,35.6,150,3.7
0 days 00:47:08.038000,28.0,42.0,1002.3,False,35.6,146,4.1
0 days 00:48:08.044000,28.0,42.0,1002.4,False,35.4,147,4.6
0 days 00:49:08.041000,28.0,43.0,1002.3,False,35.2,143,4.3
0 days 00:50:08.034000,28.0,43.0,1002.3,False,35.1,143,3.7
0 days 00:51:08.036000,28.0,42.0,1002.3,False,35.1,151,3.2
0 days 00:52:08.042000,27.9,42.0,1002.3,False,35.1,151,3.2
0 days 00:53:08.052000,27.9,42.0,1002.3,False,35.1,151,3.2
0 days 00:54:08.041000,27.9,43.0,1002.3,False,34.6,161,3.7
0 days 00:55:08.053000,27.8,43.0,1002.3,False,34.5,146,4.1
0 days 00:56:08.053000,27.8,43.0,1002.3,False,34.2,166,3.8
0 days 00:57:08.048000,27.8,43.0,1002.3,False,34.3,155,4.7
0 days 00:58:08.046000,27.8,43.0,1002.4,False,34.2,152,4.9
0 days 00:59:08.069000,27.8,43.0,1002.3,False,34.2,149,3.7
0 days 01:00:08.086000,27.8,44.0,1002.4,False,34.2,150,4.4
0 days 01:01:08.102000,27.9,44.0,1002.4,False,34.2,167,3.2
0 days 01:02:08.098000,27.9,44.0,1002.4,False,34.3,154,3.2
