Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:15.097000,31.5,45.0,1014.0,False,36.5,265,0.8
0 days 00:01:15.096000,31.6,45.0,1014.0,False,37.3,264,1.0
0 days 00:02:15.122000,31.6,45.0,1014.0,False,38.0,245,1.2
0 days 00:03:15.128000,31.6,46.0,1013.9,False,38.3,301,1.4
0 days 00:04:15.128000,31.5,46.0,1013.8,False,38.8,132,0.4
0 days 00:05:15.143000,31.4,45.0,1013.9,False,38.8,0,1.0
0 days 00:06:15.128000,31.5,46.0,1013.9,False,39.0,0,0.9
0 days 00:07:15.133000,31.5,46.0,1013.9,False,39.3,0,0.6
0 days 00:08:15.149000,31.5,46.0,1013.9,False,39.2,251,0.4
0 days 00:09:15.148000,31.5,46.0,1013.8,False,39.3,101,1.0
0 days 00:10:15.147000,31.5,46.0,1013.8,False,39.5,0,0.3
0 days 00:11:15.148000,31.4,46.0,1013.8,False,39.6,244,1.4
0 days 00:12:15.148000,31.4,48.0,1013.8,False,39.5,219,1.4
0 days 00:13:15.235000,31.3,46.0,1013.7,False,39.5,0,0.7
0 days 00:14:15.191000,31.3,45.0,1013.6,False,41.1,223,0.8
0 days 00:15:15.192000,31.2,45.0,1013.8,False,41.5,226,0.0
0 days 00:16:15.208000,31.1,44.0,1013.8,False,41.3,315,0.9
0 days 00:17:15.187000,31.1,45.0,1013.7,False,41.3,128,0.6
0 days 00:18:15.203000,31.0,45.0,1013.7,False,42.3,105,1.4
0 days 00:19:15.207000,30.8,47.0,1013.7,False,42.4,90,0.6
0 days 00:20:15.210000,30.7,47.0,1013.6,False,42.5,72,0.6
0 days 00:21:15.197000,30.6,48.0,1013.5,False,42.5,0,0.8
0 days 00:22:15.217000,30.5,46.0,1013.5,False,42.4,122,0.4
0 days 00:23:15.243000,30.4,49.0,1013.6,False,41.8,64,1.0
0 days 00:24:15.238000,30.3,50.0,1013.6,False,41.5,268,0.9
0 days 00:25:15.248000,30.1,50.0,1013.6,False,41.0,247,0.6
0 days 00:26:15.238000,29.9,52.0,1013.6,False,41.0,104,1.4
0 days 00:27:15.258000,29.7,52.0,1013.5,False,40.1,191,1.0
0 days 00:28:15.255000,29.5,52.0,1013.6,False,40.1,240,0.8
0 days 00:29:15.260000,29.4,53.0,1013.5,False,40.1,228,1.1
0 days 00:30:15.257000,29.1,53.0,1013.5,False,39.9,333,0.7
0 days 00:31:15.261000,28.8,53.0,1013.5,False,39.9,191,0.7
0 days 00:32:15.272000,28.6,54.0,1013.4,False,40.7,105,0.6
