Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:35.279000,VER,1,,1.0,1.0,0 days 00:15:24.518000,,,0 days 00:00:39.685000,0 days 00:00:54.887000,,0 days 00:16:40.547000,0 days 00:17:35.279000,268.0,252.0,261.0,162.0,False,C2,1.0,True,Red Bull Racing,0 days 00:15:24.518000,2025-03-21 03:30:56.866,1,,False,,False,False
0 days 00:19:10.662000,VER,1,,2.0,1.0,,,0 days 00:00:25.654000,0 days 00:00:28.710000,0 days 00:00:41.019000,0 days 00:18:00.933000,0 days 00:18:29.643000,0 days 00:19:10.662000,276.0,266.0,262.0,334.0,True,C2,2.0,True,Red Bull Racing,0 days 00:17:35.279000,2025-03-21 03:33:07.627,1,,False,,False,True
0 days 00:21:48.930000,VER,1,,3.0,1.0,,,0 days 00:00:45.485000,0 days 00:00:52.177000,0 days 00:01:00.698000,0 days 00:19:56.290000,0 days 00:20:48.474000,0 days 00:21:48.973000,130.0,177.0,264.0,223.0,False,C2,3.0,True,Red Bull Racing,0 days 00:19:10.662000,2025-03-21 03:34:43.010,1,,False,,False,False
0 days 00:23:22.879000,VER,1,,4.0,1.0,,,0 days 00:00:25.098000,0 days 00:00:28.246000,0 days 00:00:40.605000,0 days 00:22:14.028000,0 days 00:22:42.274000,0 days 00:23:22.879000,274.0,270.0,258.0,331.0,True,C2,4.0,True,Red Bull Racing,0 days 00:21:48.930000,2025-03-21 03:37:21.278,1,,False,,False,True
0 days 00:25:43.094000,VER,1,,5.0,1.0,,,0 days 00:00:35.952000,0 days 00:00:43.337000,0 days 00:01:00.926000,0 days 00:23:58.831000,0 days 00:24:42.168000,0 days 00:25:43.094000,152.0,179.0,176.0,214.0,False,C2,5.0,True,Red Bull Racing,0 days 00:23:22.879000,2025-03-21 03:38:55.227,1,,False,,False,True
0 days 00:27:58.440000,VER,1,,6.0,1.0,,,0 days 00:00:39.218000,0 days 00:00:41.417000,0 days 00:00:54.711000,0 days 00:26:22.312000,0 days 00:27:03.729000,0 days 00:27:58.440000,172.0,145.0,266.0,234.0,False,C2,6.0,True,Red Bull Racing,0 days 00:25:43.094000,2025-03-21 03:41:15.442,1,,False,,False,True
0 days 00:29:31.724000,VER,1,,7.0,1.0,,,0 days 00:00:24.844000,0 days 00:00:28.164000,0 days 00:00:40.276000,0 days 00:28:23.284000,0 days 00:28:51.448000,0 days 00:29:31.724000,275.0,269.0,266.0,334.0,True,C2,7.0,True,Red Bull Racing,0 days 00:27:58.440000,2025-03-21 03:43:30.788,1,,False,,False,True
0 days 00:31:28.081000,VER,1,,8.0,1.0,,0 days 00:31:26.343000,0 days 00:00:29.769000,0 days 00:00:34.733000,0 days 00:00:51.855000,0 days 00:30:01.493000,0 days 00:30:36.226000,0 days 00:31:28.081000,221.0,226.0,,293.0,False,C2,8.0,True,Red Bull Racing,0 days 00:29:31.724000,2025-03-21 03:45:04.072,1,,False,,False,False
0 days 00:42:45.177000,VER,1,,9.0,2.0,0 days 00:40:54.778000,,,0 days 00:00:30.254000,0 days 00:00:42.754000,,0 days 00:42:02.455000,0 days 00:42:45.928000,266.0,264.0,251.0,312.0,False,C2,9.0,False,Red Bull Racing,0 days 00:31:28.081000,2025-03-21 03:47:00.429,1,,False,,False,False
0 days 00:44:23.030000,VER,1,,10.0,2.0,,,0 days 00:00:26.288000,0 days 00:00:29.417000,0 days 00:00:42.148000,0 days 00:43:11.465000,0 days 00:43:40.882000,0 days 00:44:23.030000,273.0,264.0,254.0,312.0,False,C2,10.0,False,Red Bull Racing,0 days 00:42:45.177000,2025-03-21 03:58:17.525,1,,False,,False,True
0 days 00:46:00.786000,VER,1,,11.0,2.0,,,0 days 00:00:26.474000,0 days 00:00:29.380000,0 days 00:00:41.902000,0 days 00:44:49.504000,0 days 00:45:18.884000,0 days 00:46:00.786000,271.0,267.0,255.0,316.0,False,C2,11.0,False,Red Bull Racing,0 days 00:44:23.030000,2025-03-21 03:59:55.378,1,,False,,False,True
0 days 00:47:38.111000,VER,1,,12.0,2.0,,,0 days 00:00:26.288000,0 days 00:00:29.335000,0 days 00:00:41.702000,0 days 00:46:27.074000,0 days 00:46:56.409000,0 days 00:47:38.111000,268.0,264.0,255.0,321.0,False,C2,12.0,False,Red Bull Racing,0 days 00:46:00.786000,2025-03-21 04:01:33.134,1,,False,,False,True
0 days 00:49:16.481000,VER,1,,13.0,2.0,,,0 days 00:00:26.326000,0 days 00:00:29.636000,0 days 00:00:42.408000,0 days 00:48:04.437000,0 days 00:48:34.073000,0 days 00:49:16.481000,267.0,261.0,255.0,318.0,False,C2,13.0,False,Red Bull Racing,0 days 00:47:38.111000,2025-03-21 04:03:10.459,1,,False,,False,True
0 days 00:50:54.423000,VER,1,,14.0,2.0,,,0 days 00:00:26.163000,0 days 00:00:29.592000,0 days 00:00:42.187000,0 days 00:49:42.644000,0 days 00:50:12.236000,0 days 00:50:54.423000,268.0,261.0,257.0,312.0,False,C2,14.0,False,Red Bull Racing,0 days 00:49:16.481000,2025-03-21 04:04:48.829,1,,False,,False,True
0 days 00:52:32.689000,VER,1,,15.0,2.0,,,0 days 00:00:26.371000,0 days 00:00:29.838000,0 days 00:00:42.057000,0 days 00:51:20.794000,0 days 00:51:50.632000,0 days 00:52:32.689000,271.0,262.0,254.0,316.0,False,C2,15.0,False,Red Bull Racing,0 days 00:50:54.423000,2025-03-21 04:06:26.771,1,,False,,False,True
0 days 00:54:11.778000,VER,1,,16.0,2.0,,,0 days 00:00:26.497000,0 days 00:00:30.195000,0 days 00:00:42.397000,0 days 00:52:59.186000,0 days 00:53:29.381000,0 days 00:54:11.778000,272.0,262.0,254.0,311.0,False,C2,16.0,False,Red Bull Racing,0 days 00:52:32.689000,2025-03-21 04:08:05.037,1,,False,,False,True
