Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:44.889000,27.5,16.0,1011.2,False,42.2,230,2.7
0 days 00:01:44.889000,27.5,16.0,1011.3,False,42.2,258,2.6
0 days 00:02:44.910000,27.6,16.0,1011.3,False,42.5,244,2.1
0 days 00:03:44.920000,27.6,16.0,1011.3,False,42.6,254,2.1
0 days 00:04:44.942000,27.7,16.0,1011.3,False,42.7,248,3.3
0 days 00:05:44.940000,27.7,15.0,1011.4,False,42.9,247,3.2
0 days 00:06:44.941000,27.8,15.0,1011.2,False,43.0,256,2.4
0 days 00:07:44.960000,27.8,15.0,1011.2,False,43.0,242,1.9
0 days 00:08:44.960000,27.8,15.0,1011.2,False,43.0,229,1.5
0 days 00:09:44.942000,27.8,15.0,1011.1,False,43.0,250,0.9
0 days 00:10:44.944000,27.9,15.0,1011.1,False,42.5,232,0.7
0 days 00:11:44.951000,28.0,15.0,1011.3,False,42.4,233,1.5
0 days 00:12:44.966000,28.1,15.0,1011.2,False,42.5,261,2.1
0 days 00:13:44.963000,28.1,15.0,1011.2,False,42.7,240,2.2
0 days 00:14:44.956000,28.1,15.0,1011.1,False,42.7,239,1.4
0 days 00:15:44.965000,28.0,14.0,1011.1,False,42.7,237,2.7
0 days 00:16:44.965000,27.9,15.0,1011.0,False,42.4,237,2.3
0 days 00:17:44.949000,27.7,15.0,1011.0,False,42.4,253,2.2
0 days 00:18:44.963000,27.8,15.0,1011.0,False,41.9,265,1.9
0 days 00:19:44.968000,27.7,15.0,1011.0,False,41.8,239,2.2
0 days 00:20:44.968000,27.7,15.0,1011.0,False,41.2,220,2.1
0 days 00:21:44.971000,27.8,15.0,1010.9,False,40.5,222,2.0
0 days 00:22:44.969000,27.8,15.0,1010.9,False,40.2,240,2.8
0 days 00:23:44.968000,27.7,16.0,1010.8,False,39.9,237,2.4
0 days 00:24:44.968000,27.6,16.0,1010.9,False,39.9,235,2.3
0 days 00:25:44.988000,27.6,16.0,1010.8,False,40.2,247,2.2
0 days 00:26:45.013000,27.6,16.0,1010.8,False,40.2,252,2.1
0 days 00:27:45.008000,27.5,16.0,1010.9,False,39.4,235,2.9
0 days 00:28:45.009000,27.6,16.0,1010.8,False,38.9,249,2.3
0 days 00:29:45.025000,27.6,16.0,1010.7,False,38.6,248,1.6
0 days 00:30:45.025000,27.5,16.0,1010.8,False,38.6,239,2.7
0 days 00:31:45.042000,27.4,16.0,1010.8,False,38.5,244,2.7
0 days 00:32:45.040000,27.2,17.0,1010.7,False,38.5,266,2.3
0 days 00:33:45.057000,27.2,17.0,1010.8,False,38.5,249,2.4
0 days 00:34:45.065000,27.3,17.0,1010.8,False,38.3,244,2.3
0 days 00:35:45.069000,27.3,17.0,1010.8,False,38.2,258,2.5
0 days 00:36:45.068000,27.3,17.0,1010.7,False,38.0,245,2.1
0 days 00:37:45.074000,27.3,17.0,1010.7,False,37.9,280,2.2
0 days 00:38:45.074000,27.3,17.0,1010.6,False,37.8,244,2.8
0 days 00:39:45.078000,27.2,18.0,1010.6,False,37.8,234,1.3
0 days 00:40:45.078000,27.1,18.0,1010.6,False,37.7,257,1.0
0 days 00:41:45.082000,27.3,17.0,1010.6,False,37.2,231,1.6
