Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:42.066000,21.8,26.0,1019.1,False,33.0,239,3.1
0 days 00:01:42.057000,21.9,26.0,1019.1,False,33.5,225,2.0
0 days 00:02:42.058000,21.9,26.0,1019.0,False,33.5,228,1.5
0 days 00:03:42.059000,22.0,26.0,1019.0,False,33.5,243,2.1
0 days 00:04:42.065000,21.9,26.0,1019.0,False,33.5,239,2.4
0 days 00:05:42.061000,21.9,26.0,1019.0,False,33.5,240,1.9
0 days 00:06:42.059000,22.0,27.0,1018.8,False,33.5,223,1.9
0 days 00:07:42.060000,22.0,26.0,1018.9,False,33.5,234,2.9
0 days 00:08:42.060000,22.0,26.0,1018.8,False,33.5,234,2.1
0 days 00:09:42.061000,22.0,26.0,1018.9,False,33.5,238,1.8
0 days 00:10:42.067000,22.0,26.0,1018.9,False,33.5,235,2.1
0 days 00:11:42.067000,22.0,26.0,1018.8,False,33.5,238,1.7
0 days 00:12:42.062000,22.1,26.0,1018.9,False,33.5,216,2.4
0 days 00:13:42.066000,22.2,25.0,1018.9,False,33.5,233,1.8
0 days 00:14:42.065000,22.1,26.0,1018.9,False,33.5,230,1.9
0 days 00:15:42.075000,22.1,26.0,1018.9,False,35.2,229,2.3
0 days 00:16:42.070000,22.1,26.0,1018.8,False,35.2,236,2.3
0 days 00:17:42.071000,22.2,26.0,1018.8,False,35.2,247,1.9
0 days 00:18:42.074000,22.2,26.0,1018.8,False,35.2,261,2.1
0 days 00:19:42.072000,22.3,26.0,1018.8,False,35.2,264,2.2
0 days 00:20:42.069000,22.4,26.0,1018.8,False,35.2,230,1.3
0 days 00:21:42.080000,22.4,26.0,1018.8,False,35.2,240,1.5
0 days 00:22:42.073000,22.4,26.0,1018.8,False,35.2,212,1.7
0 days 00:23:42.074000,22.4,26.0,1018.8,False,35.2,234,1.6
0 days 00:24:42.074000,22.3,26.0,1018.8,False,35.2,243,2.0
0 days 00:25:42.075000,22.3,26.0,1018.8,False,35.2,230,2.3
0 days 00:26:42.076000,22.4,26.0,1018.8,False,35.2,232,2.1
0 days 00:27:42.076000,22.4,26.0,1018.7,False,35.2,228,1.9
0 days 00:28:42.079000,22.5,26.0,1018.8,False,35.2,237,2.0
0 days 00:29:42.079000,22.6,26.0,1018.8,False,35.2,241,2.6
0 days 00:30:42.082000,22.7,25.0,1018.8,False,35.2,236,2.5
0 days 00:31:42.078000,22.6,25.0,1018.7,False,35.2,237,2.7
0 days 00:32:42.078000,22.6,26.0,1018.7,False,35.2,239,2.5
0 days 00:33:42.081000,22.6,26.0,1018.7,False,35.5,241,2.2
0 days 00:34:42.073000,22.5,26.0,1018.7,False,35.5,239,2.1
0 days 00:35:42.079000,22.6,25.0,1018.8,False,35.5,226,2.1
0 days 00:36:42.084000,22.7,26.0,1018.7,False,35.5,226,2.0
0 days 00:37:42.080000,22.6,26.0,1018.7,False,35.5,214,1.5
0 days 00:38:42.084000,22.6,27.0,1018.7,False,35.5,234,0.9
0 days 00:39:42.097000,22.5,27.0,1018.7,False,35.5,238,1.7
0 days 00:40:42.108000,22.6,26.0,1018.6,False,35.5,246,1.8
0 days 00:41:42.132000,22.7,27.0,1018.7,False,35.5,247,2.3
0 days 00:42:42.135000,22.7,26.0,1018.8,False,35.5,247,2.0
0 days 00:43:42.136000,22.8,26.0,1018.8,False,35.5,247,2.6
0 days 00:44:42.132000,22.9,25.0,1018.7,False,36.5,238,2.9
0 days 00:45:42.132000,23.0,25.0,1018.7,False,36.5,232,2.5
0 days 00:46:42.156000,23.1,25.0,1018.6,False,36.5,201,2.4
0 days 00:47:42.158000,23.1,26.0,1018.7,False,36.5,205,1.5
0 days 00:48:42.178000,23.0,26.0,1018.7,False,36.5,0,1.7
0 days 00:49:42.159000,23.0,26.0,1018.7,False,36.5,219,0.9
0 days 00:50:42.189000,23.1,26.0,1018.7,False,36.5,163,1.9
0 days 00:51:42.186000,23.3,26.0,1018.5,False,36.5,0,0.9
0 days 00:52:42.178000,23.4,26.0,1018.7,False,36.5,260,1.2
0 days 00:53:42.205000,23.5,25.0,1018.7,False,36.5,205,1.4
0 days 00:54:42.210000,23.6,25.0,1018.6,False,36.5,236,1.7
0 days 00:55:42.226000,23.4,25.0,1018.6,False,36.5,232,1.1
0 days 00:56:42.224000,23.4,25.0,1018.6,False,36.5,141,0.9
0 days 00:57:42.236000,23.4,25.0,1018.6,False,36.5,269,1.4
0 days 00:58:42.262000,23.4,25.0,1018.6,False,36.5,200,2.6
0 days 00:59:42.259000,23.4,25.0,1018.6,False,36.5,257,1.0
0 days 01:00:42.282000,23.4,25.0,1018.5,False,36.5,279,1.1
0 days 01:01:42.265000,23.5,25.0,1018.5,False,36.5,201,1.2
0 days 01:02:42.276000,23.4,25.0,1018.5,False,36.8,294,0.8
0 days 01:03:42.273000,23.3,25.0,1018.5,False,36.8,216,0.8
0 days 01:04:42.266000,23.3,25.0,1018.4,False,36.8,248,0.5
0 days 01:05:42.281000,23.4,26.0,1018.4,False,36.8,208,1.1
0 days 01:06:42.269000,23.5,25.0,1018.5,False,36.8,292,1.2
0 days 01:07:42.267000,23.6,25.0,1018.3,False,36.8,245,1.6
0 days 01:08:42.268000,23.6,25.0,1018.4,False,36.8,252,1.5
0 days 01:09:42.268000,23.7,25.0,1018.4,False,36.8,210,2.2
0 days 01:10:42.286000,23.7,25.0,1018.5,False,36.8,269,1.8
0 days 01:11:42.276000,23.8,25.0,1018.2,False,36.8,83,1.5
0 days 01:12:42.286000,23.9,25.0,1018.3,False,36.8,258,1.3
0 days 01:13:42.277000,23.9,24.0,1018.3,False,36.8,213,1.0
0 days 01:14:42.313000,23.9,24.0,1018.2,False,36.8,90,1.1
0 days 01:15:42.337000,24.0,25.0,1018.2,False,37.1,212,0.7
0 days 01:16:42.333000,24.0,25.0,1018.2,False,37.1,73,1.0
0 days 01:17:42.333000,23.9,24.0,1018.3,False,37.5,84,0.8
0 days 01:18:42.322000,24.0,23.0,1018.2,False,37.5,253,0.8
0 days 01:19:42.331000,24.0,22.0,1018.1,False,36.8,230,0.6
0 days 01:20:42.327000,24.0,23.0,1018.1,False,36.8,253,1.3
0 days 01:21:42.324000,24.0,23.0,1018.1,False,37.0,226,2.3
0 days 01:22:42.349000,24.0,23.0,1018.1,False,37.1,228,2.3
0 days 01:23:42.367000,23.9,24.0,1018.2,False,37.1,260,3.3
