Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:27.953000,19.0,32.0,1007.9,False,40.9,116,3.0
0 days 00:01:27.951000,19.1,33.0,1008.0,False,40.2,105,2.6
0 days 00:02:27.952000,19.0,34.0,1008.0,False,38.2,173,2.2
0 days 00:03:27.964000,19.0,35.0,1008.0,False,38.0,93,2.2
0 days 00:04:27.964000,18.8,36.0,1008.0,False,38.7,141,2.5
0 days 00:05:27.981000,18.8,36.0,1007.9,False,38.7,139,4.5
0 days 00:06:27.991000,18.6,37.0,1007.9,False,37.5,124,3.4
0 days 00:07:27.997000,18.6,36.0,1008.0,False,37.5,130,4.3
0 days 00:08:28.009000,18.7,35.0,1007.9,False,37.6,130,3.5
0 days 00:09:28.012000,18.8,34.0,1008.0,False,38.6,138,2.6
0 days 00:10:28.021000,18.8,34.0,1008.0,False,39.0,114,3.5
0 days 00:11:28.033000,18.8,34.0,1008.0,False,39.3,127,2.5
0 days 00:12:28.019000,18.8,32.0,1007.9,False,39.5,131,3.2
0 days 00:13:28.032000,19.0,31.0,1008.0,False,39.8,137,3.2
0 days 00:14:28.047000,19.0,33.0,1008.0,False,40.1,107,2.4
0 days 00:15:28.033000,18.9,33.0,1008.0,False,40.4,111,2.7
0 days 00:16:28.033000,18.8,33.0,1007.9,False,40.5,140,2.0
0 days 00:17:28.030000,18.9,34.0,1007.9,False,40.6,150,2.9
0 days 00:18:28.043000,19.0,32.0,1007.9,False,40.5,122,2.4
0 days 00:19:28.041000,19.2,32.0,1008.0,False,40.3,126,3.3
0 days 00:20:28.028000,19.2,32.0,1007.9,False,39.8,127,3.7
0 days 00:21:28.030000,19.3,32.0,1007.9,False,39.8,127,3.7
0 days 00:22:28.038000,19.2,32.0,1008.0,False,40.0,148,2.8
0 days 00:23:28.029000,19.2,32.0,1007.9,False,40.0,163,1.9
0 days 00:24:28.027000,19.3,34.0,1007.9,False,40.1,114,2.4
0 days 00:25:28.037000,19.4,32.0,1007.9,False,40.1,122,3.3
0 days 00:26:28.038000,19.6,32.0,1007.8,False,40.0,120,2.6
0 days 00:27:28.067000,19.6,33.0,1007.9,False,40.1,128,3.1
0 days 00:28:28.041000,19.6,33.0,1008.0,False,40.2,136,3.3
0 days 00:29:28.045000,19.6,31.0,1007.9,False,40.0,118,3.2
0 days 00:30:28.052000,19.5,30.0,1008.0,False,39.9,138,3.7
0 days 00:31:28.055000,19.5,30.0,1008.0,False,39.5,109,4.1
0 days 00:32:28.084000,19.4,30.0,1008.0,False,39.5,109,4.1
0 days 00:33:28.085000,19.3,32.0,1008.0,False,39.3,121,4.3
0 days 00:34:28.094000,19.3,32.0,1008.0,False,39.3,120,4.0
0 days 00:35:28.083000,19.3,32.0,1008.0,False,39.3,120,4.0
0 days 00:36:28.093000,19.3,33.0,1007.9,False,39.2,134,4.5
0 days 00:37:28.090000,19.2,33.0,1007.9,False,39.3,141,4.3
0 days 00:38:28.104000,19.2,33.0,1007.9,False,39.3,141,4.3
0 days 00:39:28.143000,19.2,34.0,1008.0,False,39.4,133,4.6
0 days 00:40:28.145000,19.3,33.0,1007.9,False,39.4,118,3.5
0 days 00:41:28.142000,19.2,33.0,1007.9,False,39.4,118,3.5
0 days 00:42:28.146000,19.2,34.0,1008.0,False,39.5,134,2.6
0 days 00:43:28.147000,19.2,33.0,1007.9,False,39.4,138,2.3
0 days 00:44:28.164000,19.2,34.0,1008.0,False,39.5,104,3.6
0 days 00:45:28.170000,19.3,33.0,1008.0,False,40.0,153,2.8
0 days 00:46:28.180000,19.4,32.0,1008.0,False,40.0,149,3.6
0 days 00:47:28.177000,19.4,32.0,1008.0,False,40.0,149,3.6
0 days 00:48:28.169000,19.4,33.0,1007.9,False,39.5,128,3.2
0 days 00:49:28.168000,19.5,34.0,1007.9,False,39.5,125,2.5
0 days 00:50:28.178000,19.4,34.0,1007.9,False,39.5,125,2.5
0 days 00:51:28.178000,19.4,32.0,1007.8,False,39.3,108,3.8
0 days 00:52:28.182000,19.5,32.0,1007.9,False,39.1,126,3.0
0 days 00:53:28.186000,19.6,32.0,1007.9,False,39.1,126,3.0
0 days 00:54:28.202000,19.6,33.0,1008.0,False,38.8,101,2.6
0 days 00:55:28.186000,19.6,32.0,1008.0,False,39.6,128,2.7
0 days 00:56:28.181000,19.5,32.0,1008.0,False,39.6,128,2.7
0 days 00:57:28.190000,19.5,30.0,1008.0,False,39.5,124,3.4
0 days 00:58:28.187000,19.4,31.0,1008.1,False,39.4,138,4.0
0 days 00:59:28.210000,19.4,31.0,1008.1,False,39.4,138,4.0
0 days 01:00:28.195000,19.5,31.0,1007.9,False,39.1,144,3.8
0 days 01:01:28.245000,19.6,31.0,1008.0,False,39.1,128,2.3
0 days 01:02:28.253000,19.7,31.0,1008.0,False,39.1,128,2.3
0 days 01:03:28.265000,19.6,32.0,1008.0,False,40.3,125,2.2
0 days 01:04:28.260000,19.8,31.0,1008.0,False,40.3,124,2.3
0 days 01:05:28.266000,19.7,31.0,1008.0,False,40.3,124,2.3
0 days 01:06:28.276000,19.6,32.0,1008.0,False,39.8,120,4.0
0 days 01:07:28.280000,19.8,31.0,1008.0,False,40.0,130,3.5
0 days 01:08:28.280000,19.8,31.0,1008.0,False,40.0,130,3.5
0 days 01:09:28.284000,19.8,30.0,1008.0,False,39.7,118,3.1
0 days 01:10:28.296000,19.6,31.0,1007.9,False,39.5,112,3.0
0 days 01:11:28.323000,19.6,31.0,1008.0,False,39.5,147,3.4
0 days 01:12:28.332000,19.5,32.0,1007.9,False,39.5,124,3.1
0 days 01:13:28.321000,19.5,30.0,1008.1,False,39.6,126,4.2
0 days 01:14:28.329000,19.6,30.0,1007.9,False,39.5,125,3.6
0 days 01:15:28.327000,19.5,31.0,1007.9,False,39.6,130,3.4
