Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:45.252000,22.5,32.0,1008.7,False,40.6,293,3.0
0 days 00:01:45.252000,22.5,31.0,1008.8,False,40.7,298,2.1
0 days 00:02:45.252000,22.5,31.0,1008.6,False,40.6,268,1.9
0 days 00:03:45.258000,22.5,31.0,1008.7,False,41.0,272,2.0
0 days 00:04:45.241000,22.5,32.0,1008.6,False,41.1,253,1.8
0 days 00:05:45.247000,22.5,31.0,1008.6,False,41.6,285,2.2
0 days 00:06:45.247000,22.5,30.0,1008.5,False,41.6,295,2.7
0 days 00:07:45.253000,22.6,29.0,1008.7,False,41.4,175,1.9
0 days 00:08:45.259000,22.5,30.0,1008.6,False,41.3,288,1.8
0 days 00:09:45.244000,22.4,31.0,1008.6,False,41.1,252,2.5
0 days 00:10:45.244000,22.1,31.0,1008.6,False,40.2,286,1.9
0 days 00:11:45.260000,22.1,31.0,1008.6,False,40.2,286,1.9
0 days 00:12:45.261000,22.1,30.0,1008.7,False,39.4,274,2.3
0 days 00:13:45.245000,22.2,31.0,1008.6,False,39.4,301,1.2
0 days 00:14:45.261000,22.3,32.0,1008.6,False,39.6,302,0.8
0 days 00:15:45.293000,22.4,32.0,1008.6,False,40.5,314,2.1
0 days 00:16:45.294000,22.6,30.0,1008.7,False,40.7,303,3.6
0 days 00:17:45.294000,22.7,31.0,1008.7,False,40.7,320,2.7
0 days 00:18:45.294000,22.7,30.0,1008.6,False,40.6,281,1.7
0 days 00:19:45.311000,22.7,30.0,1008.6,False,40.7,317,2.0
0 days 00:20:45.299000,22.9,30.0,1008.6,False,40.7,312,0.9
0 days 00:21:45.308000,22.8,30.0,1008.6,False,41.1,283,2.6
0 days 00:22:45.315000,22.9,30.0,1008.7,False,41.2,292,3.4
0 days 00:23:45.331000,22.9,30.0,1008.6,False,41.2,320,3.0
0 days 00:24:45.331000,22.9,30.0,1008.7,False,41.0,297,2.7
0 days 00:25:45.363000,22.7,32.0,1008.6,False,40.0,273,2.3
0 days 00:26:45.363000,22.6,31.0,1008.6,False,39.5,283,2.8
0 days 00:27:45.379000,22.3,30.0,1008.7,False,38.7,297,2.2
0 days 00:28:45.380000,22.1,31.0,1008.6,False,38.1,287,1.1
0 days 00:29:45.380000,22.1,30.0,1008.5,False,37.6,45,0.7
0 days 00:30:45.380000,22.1,31.0,1008.6,False,37.4,268,0.4
0 days 00:31:45.396000,22.0,31.0,1008.7,False,37.3,320,1.3
0 days 00:32:45.397000,22.0,32.0,1008.6,False,37.4,302,2.0
0 days 00:33:45.382000,22.1,33.0,1008.6,False,38.1,332,2.7
0 days 00:34:45.398000,22.3,31.0,1008.7,False,39.0,298,2.3
0 days 00:35:45.398000,22.5,31.0,1008.6,False,39.2,312,2.5
0 days 00:36:45.399000,22.5,31.0,1008.6,False,39.5,330,3.0
0 days 00:37:45.399000,22.6,32.0,1008.7,False,39.8,261,0.8
0 days 00:38:45.399000,22.8,31.0,1008.6,False,39.8,82,1.2
0 days 00:39:45.400000,22.9,31.0,1008.5,False,39.0,124,1.7
