Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:57:22.345000,VER,1,,1.0,1.0,,,,0 days 00:00:27.908000,0 days 00:00:27.148000,,0 days 00:56:55.319000,0 days 00:57:22.553000,223.0,253.0,271.0,284.0,False,C2,1.0,True,Red Bull Racing,0 days 00:55:59.147000,2025-05-18 13:03:33.062,1,1.0,False,,False,False
0 days 00:58:43.476000,VER,1,,2.0,1.0,,,0 days 00:00:26.069000,0 days 00:00:28.244000,0 days 00:00:26.818000,0 days 00:57:48.432000,0 days 00:58:16.676000,0 days 00:58:43.494000,218.0,254.0,271.0,282.0,True,C2,2.0,True,Red Bull Racing,0 days 00:57:22.345000,2025-05-18 13:04:56.260,1,1.0,False,,False,True
0 days 01:00:04.734000,VER,1,,3.0,1.0,,,0 days 00:00:26.064000,0 days 00:00:28.332000,0 days 00:00:26.862000,0 days 00:59:09.558000,0 days 00:59:37.890000,0 days 01:00:04.752000,,256.0,270.0,285.0,False,C2,3.0,True,Red Bull Racing,0 days 00:58:43.476000,2025-05-18 13:06:17.391,1,1.0,False,,False,True
0 days 01:01:25.952000,VER,1,,4.0,1.0,,,0 days 00:00:26.005000,0 days 00:00:28.236000,0 days 00:00:26.977000,0 days 01:00:30.757000,0 days 01:00:58.993000,0 days 01:01:25.970000,219.0,256.0,271.0,286.0,False,C2,4.0,True,Red Bull Racing,0 days 01:00:04.734000,2025-05-18 13:07:38.649,1,1.0,False,,False,True
0 days 01:02:47.180000,VER,1,,5.0,1.0,,,0 days 00:00:26.032000,0 days 00:00:28.192000,0 days 00:00:27.004000,0 days 01:01:52.002000,0 days 01:02:20.194000,0 days 01:02:47.198000,218.0,255.0,272.0,284.0,False,C2,5.0,True,Red Bull Racing,0 days 01:01:25.952000,2025-05-18 13:08:59.867,1,1.0,False,,False,True
0 days 01:04:08.157000,VER,1,,6.0,1.0,,,0 days 00:00:25.832000,0 days 00:00:28.253000,0 days 00:00:26.892000,0 days 01:03:13.030000,0 days 01:03:41.283000,0 days 01:04:08.175000,219.0,256.0,270.0,285.0,True,C2,6.0,True,Red Bull Racing,0 days 01:02:47.180000,2025-05-18 13:10:21.095,1,1.0,False,,False,True
0 days 01:05:29.653000,VER,1,,7.0,1.0,,,0 days 00:00:26.129000,0 days 00:00:28.213000,0 days 00:00:27.154000,0 days 01:04:34.304000,0 days 01:05:02.517000,0 days 01:05:29.671000,,256.0,270.0,282.0,False,C2,7.0,True,Red Bull Racing,0 days 01:04:08.157000,2025-05-18 13:11:42.072,1,1.0,False,,False,True
0 days 01:06:50.859000,VER,1,,8.0,1.0,,,0 days 00:00:25.941000,0 days 00:00:28.294000,0 days 00:00:26.971000,0 days 01:05:55.612000,0 days 01:06:23.906000,0 days 01:06:50.877000,,256.0,272.0,283.0,False,C2,8.0,True,Red Bull Racing,0 days 01:05:29.653000,2025-05-18 13:13:03.568,1,1.0,False,,False,True
0 days 01:08:12.053000,VER,1,,9.0,1.0,,,0 days 00:00:25.920000,0 days 00:00:28.216000,0 days 00:00:27.058000,0 days 01:07:16.797000,0 days 01:07:45.013000,0 days 01:08:12.071000,,255.0,271.0,283.0,False,C2,9.0,True,Red Bull Racing,0 days 01:06:50.859000,2025-05-18 13:14:24.774,1,1.0,False,,False,True
0 days 01:09:33.310000,VER,1,,10.0,1.0,,,0 days 00:00:25.969000,0 days 00:00:28.270000,0 days 00:00:27.018000,0 days 01:08:38.040000,0 days 01:09:06.310000,0 days 01:09:33.328000,,257.0,272.0,286.0,False,C2,10.0,True,Red Bull Racing,0 days 01:08:12.053000,2025-05-18 13:15:45.968,1,1.0,False,,False,True
0 days 01:10:54.599000,VER,1,,11.0,1.0,,,0 days 00:00:25.949000,0 days 00:00:28.178000,0 days 00:00:27.162000,0 days 01:09:59.277000,0 days 01:10:27.455000,0 days 01:10:54.617000,,257.0,269.0,285.0,False,C2,11.0,True,Red Bull Racing,0 days 01:09:33.310000,2025-05-18 13:17:07.225,1,1.0,False,,False,True
0 days 01:12:16.109000,VER,1,,12.0,1.0,,,0 days 00:00:26.025000,0 days 00:00:28.331000,0 days 00:00:27.154000,0 days 01:11:20.642000,0 days 01:11:48.973000,0 days 01:12:16.127000,217.0,257.0,270.0,284.0,False,C2,12.0,True,Red Bull Racing,0 days 01:10:54.599000,2025-05-18 13:18:28.514,1,1.0,False,,False,True
