Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:47.055000,13.0,44.0,1012.2,False,34.1,281,4.3
0 days 00:01:47.074000,13.1,43.0,1012.0,False,34.3,297,4.0
0 days 00:02:47.087000,13.2,43.0,1012.1,False,34.4,284,4.5
0 days 00:03:47.087000,13.3,42.0,1012.1,False,34.3,267,4.8
0 days 00:04:47.124000,13.3,43.0,1012.2,False,34.3,292,3.7
0 days 00:05:47.124000,13.1,43.0,1011.9,False,34.3,336,4.5
0 days 00:06:47.137000,13.2,43.0,1011.9,False,34.3,316,4.0
0 days 00:07:47.160000,13.2,43.0,1011.9,False,34.9,275,3.1
0 days 00:08:47.153000,13.3,42.0,1012.0,False,34.9,291,4.3
0 days 00:09:47.168000,13.3,42.0,1012.0,False,34.7,291,5.3
0 days 00:10:47.189000,13.3,42.0,1011.9,False,34.7,295,4.5
0 days 00:11:47.203000,13.2,42.0,1011.8,False,34.8,326,4.9
0 days 00:12:47.235000,13.3,42.0,1012.0,False,34.9,287,4.4
0 days 00:13:47.220000,13.5,41.0,1011.8,False,35.1,293,4.8
0 days 00:14:47.265000,13.5,42.0,1011.9,False,35.0,301,4.0
0 days 00:15:47.284000,13.6,41.0,1012.0,False,35.0,273,3.3
0 days 00:16:47.283000,13.5,41.0,1011.8,False,35.1,292,4.0
0 days 00:17:47.282000,13.6,42.0,1011.9,False,35.3,309,3.4
0 days 00:18:47.269000,13.5,41.0,1011.8,False,35.3,290,5.4
0 days 00:19:47.269000,13.5,41.0,1011.9,False,35.5,302,4.1
0 days 00:20:47.285000,13.5,41.0,1011.9,False,35.6,289,4.8
0 days 00:21:47.302000,13.6,41.0,1012.0,False,35.6,287,3.9
0 days 00:22:47.271000,13.6,41.0,1011.9,False,35.5,294,5.5
0 days 00:23:47.271000,13.8,41.0,1011.9,False,35.4,284,3.8
0 days 00:24:47.273000,13.8,41.0,1012.0,False,35.4,319,4.7
0 days 00:25:47.286000,13.7,41.0,1011.7,False,35.3,284,4.9
0 days 00:26:47.296000,13.7,41.0,1011.9,False,35.3,267,4.2
0 days 00:27:47.323000,13.6,42.0,1011.8,False,35.9,277,3.4
0 days 00:28:47.336000,13.6,42.0,1011.9,False,35.9,290,3.7
0 days 00:29:47.337000,13.6,41.0,1011.8,False,35.9,268,3.0
0 days 00:30:47.319000,13.7,41.0,1011.9,False,36.0,299,4.4
0 days 00:31:47.355000,13.6,42.0,1011.7,False,36.2,292,3.4
0 days 00:32:47.341000,13.7,41.0,1011.9,False,36.2,276,6.1
0 days 00:33:47.352000,13.8,42.0,1011.8,False,36.1,274,4.1
0 days 00:34:47.355000,13.6,43.0,1011.9,False,36.2,287,5.6
0 days 00:35:47.357000,13.4,44.0,1011.8,False,36.3,271,4.5
0 days 00:36:47.356000,13.3,44.0,1011.8,False,36.2,285,4.3
0 days 00:37:47.376000,13.4,45.0,1011.6,False,36.2,282,6.2
0 days 00:38:47.377000,13.4,45.0,1011.8,False,36.2,288,6.2
0 days 00:39:47.375000,13.6,44.0,1011.8,False,36.2,281,6.3
0 days 00:40:47.375000,13.8,42.0,1011.7,False,35.8,295,5.8
0 days 00:41:47.391000,13.7,43.0,1011.8,False,35.8,290,4.2
0 days 00:42:47.390000,13.6,41.0,1011.7,False,35.8,294,5.4
0 days 00:43:47.396000,13.6,41.0,1011.8,False,35.9,305,4.2
0 days 00:44:47.384000,13.6,42.0,1011.7,False,36.1,288,3.8
0 days 00:45:47.384000,13.7,42.0,1011.8,False,36.3,312,3.6
0 days 00:46:47.414000,13.8,42.0,1011.7,False,36.2,280,4.8
0 days 00:47:47.412000,13.8,42.0,1011.8,False,36.2,289,5.2
0 days 00:48:47.402000,13.6,42.0,1011.8,False,36.4,334,3.7
0 days 00:49:47.418000,13.6,42.0,1011.6,False,36.5,295,4.1
0 days 00:50:47.423000,13.5,42.0,1011.7,False,36.9,285,5.6
0 days 00:51:47.433000,13.6,42.0,1011.7,False,36.8,286,6.4
0 days 00:52:47.434000,13.7,42.0,1011.8,False,36.6,286,5.2
0 days 00:53:47.434000,13.5,43.0,1011.5,False,36.5,292,4.6
0 days 00:54:47.438000,13.5,42.0,1011.8,False,36.6,284,5.5
0 days 00:55:47.436000,13.6,41.0,1011.7,False,36.5,289,4.5
0 days 00:56:47.435000,13.7,41.0,1011.7,False,36.3,272,4.1
0 days 00:57:47.441000,13.7,41.0,1011.8,False,36.3,292,5.1
0 days 00:58:47.441000,13.8,40.0,1011.6,False,36.3,294,4.7
0 days 00:59:47.441000,13.8,40.0,1011.7,False,36.4,283,4.3
