Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:37.391000,14.7,57.0,1013.3,False,35.4,151,4.5
0 days 00:01:37.470000,14.7,58.0,1013.3,False,35.3,150,3.5
0 days 00:02:37.420000,14.7,58.0,1013.4,False,35.3,141,4.1
0 days 00:03:37.400000,14.7,58.0,1013.3,False,35.5,149,3.0
0 days 00:04:37.409000,14.8,57.0,1013.3,False,35.5,121,3.3
0 days 00:05:37.419000,14.7,57.0,1013.3,False,35.5,146,2.0
0 days 00:06:37.421000,14.8,55.0,1013.3,False,35.5,135,3.2
0 days 00:07:37.450000,14.9,55.0,1013.3,False,34.9,134,3.0
0 days 00:08:37.473000,14.9,56.0,1013.3,False,34.9,126,3.5
0 days 00:09:37.458000,14.9,57.0,1013.3,False,34.7,147,3.6
0 days 00:10:37.524000,14.9,57.0,1013.2,False,34.5,138,3.4
0 days 00:11:37.478000,14.9,57.0,1013.2,False,34.5,130,4.8
0 days 00:12:37.485000,14.9,56.0,1013.3,False,33.9,132,4.0
0 days 00:13:37.516000,14.9,57.0,1013.2,False,33.8,148,3.8
0 days 00:14:37.517000,14.8,58.0,1013.3,False,33.9,149,3.3
0 days 00:15:37.533000,14.8,57.0,1013.3,False,33.9,132,3.8
0 days 00:16:37.533000,14.8,58.0,1013.3,False,33.7,138,4.1
0 days 00:17:37.550000,14.8,58.0,1013.3,False,33.9,124,2.4
0 days 00:18:37.550000,14.8,58.0,1013.3,False,33.9,124,2.4
0 days 00:19:37.566000,14.7,58.0,1013.4,False,34.0,154,3.1
0 days 00:20:37.551000,14.7,57.0,1013.4,False,33.7,125,3.3
0 days 00:21:37.551000,14.8,57.0,1013.4,False,33.7,125,3.3
0 days 00:22:37.567000,14.7,58.0,1013.4,False,33.9,120,2.7
0 days 00:23:37.568000,14.7,58.0,1013.3,False,33.9,152,2.4
0 days 00:24:37.569000,14.8,58.0,1013.3,False,33.9,152,2.4
0 days 00:25:37.569000,14.8,57.0,1013.4,False,33.9,94,0.9
0 days 00:26:37.569000,14.9,56.0,1013.3,False,33.6,131,2.7
0 days 00:27:37.564000,14.8,56.0,1013.3,False,33.6,131,2.7
0 days 00:28:37.555000,14.8,58.0,1013.3,False,33.6,148,2.8
0 days 00:29:37.603000,14.8,57.0,1013.2,False,33.7,149,3.8
0 days 00:30:37.572000,14.9,57.0,1013.2,False,33.7,149,3.8
0 days 00:31:37.572000,14.8,59.0,1013.4,False,33.9,129,2.1
0 days 00:32:37.562000,14.9,58.0,1013.3,False,33.7,155,2.7
0 days 00:33:37.586000,14.8,58.0,1013.3,False,33.4,148,1.9
0 days 00:34:37.602000,14.9,58.0,1013.4,False,33.0,130,1.8
0 days 00:35:37.624000,14.9,58.0,1013.3,False,33.0,136,2.7
0 days 00:36:37.624000,14.8,58.0,1013.3,False,33.0,150,2.5
0 days 00:37:37.625000,14.9,57.0,1013.4,False,32.8,147,2.4
0 days 00:38:37.641000,14.9,58.0,1013.3,False,32.8,141,3.2
0 days 00:39:37.673000,14.8,58.0,1013.3,False,32.8,122,2.9
0 days 00:40:37.682000,14.8,59.0,1013.3,False,32.7,143,3.1
0 days 00:41:37.682000,14.8,59.0,1013.4,False,32.5,124,3.9
0 days 00:42:37.683000,14.9,59.0,1013.4,False,32.3,139,3.1
0 days 00:43:37.715000,14.7,59.0,1013.3,False,32.1,121,2.5
0 days 00:44:37.700000,14.8,59.0,1013.3,False,32.1,146,2.6
0 days 00:45:37.684000,14.7,58.0,1013.3,False,31.8,132,1.8
0 days 00:46:37.701000,14.7,59.0,1013.3,False,31.8,105,2.0
0 days 00:47:37.701000,14.6,59.0,1013.3,False,31.8,136,2.9
0 days 00:48:37.702000,14.7,59.0,1013.2,False,31.7,120,2.7
0 days 00:49:37.702000,14.6,60.0,1013.3,False,31.7,161,1.9
0 days 00:50:37.703000,14.6,59.0,1013.4,False,31.8,143,2.8
0 days 00:51:37.703000,14.6,59.0,1013.3,False,31.7,150,3.0
0 days 00:52:37.704000,14.8,59.0,1013.2,False,31.3,108,3.2
0 days 00:53:37.704000,14.8,59.0,1013.3,False,31.1,130,3.1
0 days 00:54:37.711000,14.7,59.0,1013.2,False,31.0,148,3.5
0 days 00:55:37.712000,14.6,60.0,1013.3,False,31.0,126,2.9
0 days 00:56:37.712000,14.6,60.0,1013.4,False,31.0,158,3.7
0 days 00:57:37.713000,14.6,60.0,1013.3,False,31.0,149,3.8
0 days 00:58:37.716000,14.6,60.0,1013.3,False,30.8,144,3.5
0 days 00:59:37.717000,14.6,60.0,1013.3,False,30.7,126,3.4
0 days 01:00:37.717000,14.6,60.0,1013.3,False,30.6,151,3.7
0 days 01:01:37.718000,14.6,59.0,1013.3,False,30.4,147,3.0
0 days 01:02:37.703000,14.7,60.0,1013.4,False,30.1,137,2.4
0 days 01:03:37.719000,14.7,61.0,1013.3,False,30.1,147,1.9
0 days 01:04:37.719000,14.7,60.0,1013.3,False,30.3,143,2.7
0 days 01:05:37.720000,14.7,59.0,1013.3,False,30.2,148,3.1
0 days 01:06:37.720000,14.7,60.0,1013.3,False,30.1,123,3.5
0 days 01:07:37.730000,14.7,60.0,1013.3,False,30.0,149,3.0
0 days 01:08:37.759000,14.7,59.0,1013.3,False,30.0,126,3.4
0 days 01:09:37.752000,14.7,60.0,1013.2,False,29.9,128,2.5
0 days 01:10:37.753000,14.7,60.0,1013.3,False,29.8,146,1.8
0 days 01:11:37.775000,14.6,60.0,1013.2,False,29.5,151,2.8
0 days 01:12:37.766000,14.5,60.0,1013.3,False,29.5,156,3.2
0 days 01:13:37.767000,14.4,60.0,1013.2,False,29.4,150,4.4
0 days 01:14:37.767000,14.4,61.0,1013.2,False,29.3,152,3.2
0 days 01:15:37.768000,14.3,61.0,1013.2,False,29.1,151,2.4
0 days 01:16:37.784000,14.3,61.0,1013.2,False,29.1,144,1.4
0 days 01:17:37.800000,14.3,60.0,1013.2,False,29.1,148,2.7
0 days 01:18:37.816000,14.3,60.0,1013.3,False,29.0,144,3.0
0 days 01:19:37.817000,14.3,60.0,1013.3,False,28.8,155,3.4
0 days 01:20:37.820000,14.4,60.0,1013.2,False,28.7,149,3.6
0 days 01:21:37.836000,14.4,61.0,1013.2,False,28.8,121,3.2
0 days 01:22:37.837000,14.4,61.0,1013.2,False,28.8,150,2.8
0 days 01:23:37.828000,14.4,61.0,1013.2,False,28.8,149,2.5
0 days 01:24:37.844000,14.3,61.0,1013.1,False,28.6,143,2.9
