Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:27.977000,PIA,81,,1.0,1.0,0 days 00:16:35.857000,,,0 days 00:00:41.561000,0 days 00:00:31.211000,,0 days 00:17:56.862000,0 days 00:18:28.025000,109.0,121.0,287.0,155.0,False,C2,1.0,True,McLaren,0 days 00:16:35.857000,2025-05-02 20:32:57.758,1,,False,,False,False
0 days 00:19:56.133000,PIA,81,,2.0,1.0,,,0 days 00:00:29.435000,0 days 00:00:33.687000,0 days 00:00:25.034000,0 days 00:18:57.412000,0 days 00:19:31.099000,0 days 00:19:56.133000,219.0,190.0,284.0,337.0,True,C2,2.0,True,McLaren,0 days 00:18:27.977000,2025-05-02 20:34:49.878,1,,False,,False,True
0 days 00:21:55.279000,PIA,81,,3.0,1.0,,,0 days 00:00:44.315000,0 days 00:00:42.088000,0 days 00:00:32.743000,0 days 00:20:40.448000,0 days 00:21:22.536000,0 days 00:21:55.279000,142.0,138.0,148.0,259.0,False,C2,3.0,True,McLaren,0 days 00:19:56.133000,2025-05-02 20:36:18.034,1,,False,,False,True
0 days 00:23:57.205000,PIA,81,,4.0,1.0,,,0 days 00:00:48.279000,0 days 00:00:42.997000,0 days 00:00:30.650000,0 days 00:22:43.558000,0 days 00:23:26.555000,0 days 00:23:57.205000,164.0,129.0,283.0,230.0,False,C2,4.0,True,McLaren,0 days 00:21:55.279000,2025-05-02 20:38:17.180,1,,False,,False,True
0 days 00:25:25.156000,PIA,81,,5.0,1.0,,,0 days 00:00:29.400000,0 days 00:00:33.610000,0 days 00:00:24.941000,0 days 00:24:26.605000,0 days 00:25:00.215000,0 days 00:25:25.156000,223.0,191.0,288.0,338.0,True,C2,5.0,True,McLaren,0 days 00:23:57.205000,2025-05-02 20:40:19.106,1,,False,,False,True
0 days 00:27:34.486000,PIA,81,,6.0,1.0,,0 days 00:27:28.844000,0 days 00:00:51.295000,0 days 00:00:42.045000,0 days 00:00:35.990000,0 days 00:26:16.451000,0 days 00:26:58.496000,0 days 00:27:34.486000,179.0,148.0,,233.0,False,C2,6.0,True,McLaren,0 days 00:25:25.156000,2025-05-02 20:41:47.057,1,,False,,False,False
0 days 00:35:53.217000,PIA,81,,7.0,2.0,0 days 00:33:51.972000,,,0 days 00:00:38.675000,0 days 00:00:28.164000,,0 days 00:35:25.080000,0 days 00:35:53.239000,176.0,119.0,287.0,313.0,False,C2,1.0,True,McLaren,0 days 00:27:34.486000,2025-05-02 20:43:56.387,1,,False,,False,False
0 days 00:37:20.571000,PIA,81,,8.0,2.0,,,0 days 00:00:28.995000,0 days 00:00:33.405000,0 days 00:00:24.954000,0 days 00:36:22.212000,0 days 00:36:55.617000,0 days 00:37:20.571000,224.0,191.0,286.0,336.0,True,C2,2.0,True,McLaren,0 days 00:35:53.217000,2025-05-02 20:52:15.118,1,,False,,False,True
0 days 00:39:23.358000,PIA,81,,9.0,2.0,,0 days 00:39:17.541000,0 days 00:00:42.561000,0 days 00:00:42.149000,0 days 00:00:38.077000,0 days 00:38:03.132000,0 days 00:38:45.281000,0 days 00:39:23.358000,169.0,145.0,,247.0,False,C2,3.0,True,McLaren,0 days 00:37:20.571000,2025-05-02 20:53:42.472,1,,False,,False,False
0 days 00:57:28.250000,PIA,81,,10.0,3.0,0 days 00:55:11.930000,,,0 days 00:00:38.680000,0 days 00:00:35.816000,,0 days 00:56:52.525000,0 days 00:57:28.250000,194.0,126.0,287.0,74.0,False,C3,1.0,True,McLaren,0 days 00:39:23.358000,2025-05-02 20:55:45.259,1,,False,,False,False
