Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:04.874000,28.5,47.0,1015.8,False,49.8,109,2.2
0 days 00:01:04.892000,28.7,47.0,1015.9,False,48.5,124,3.2
0 days 00:02:04.914000,28.7,47.0,1016.0,False,49.4,103,2.7
0 days 00:03:04.937000,28.7,48.0,1015.9,False,49.0,137,2.6
0 days 00:04:04.942000,28.8,48.0,1015.8,False,49.2,111,3.9
0 days 00:05:04.927000,28.6,48.0,1015.9,False,49.5,126,2.6
0 days 00:06:04.951000,28.5,48.0,1015.8,False,50.0,117,3.9
0 days 00:07:04.949000,28.5,48.0,1015.8,False,50.0,131,3.5
0 days 00:08:04.978000,28.5,48.0,1015.8,False,48.9,134,3.9
0 days 00:09:04.979000,28.4,48.0,1015.8,False,48.6,135,2.7
0 days 00:10:04.988000,28.4,48.0,1015.8,False,48.3,112,1.7
0 days 00:11:05.021000,28.3,48.0,1015.9,False,48.7,112,3.4
0 days 00:12:05.018000,28.4,47.0,1015.8,False,48.8,146,4.0
0 days 00:13:05.062000,28.3,48.0,1015.8,False,49.3,123,2.8
0 days 00:14:05.038000,28.3,46.0,1015.9,False,49.1,121,3.1
0 days 00:15:05.059000,28.2,46.0,1016.0,False,48.9,79,2.3
0 days 00:16:05.108000,28.3,47.0,1015.9,False,49.0,136,3.0
0 days 00:17:05.230000,28.3,47.0,1015.8,False,49.0,117,3.8
0 days 00:18:05.065000,28.4,47.0,1015.8,False,48.8,135,3.7
0 days 00:19:05.088000,28.5,47.0,1015.9,False,48.7,131,3.2
0 days 00:20:05.079000,28.5,47.0,1015.9,False,48.7,122,1.7
0 days 00:21:05.129000,28.5,47.0,1015.8,False,49.5,85,1.5
0 days 00:22:05.125000,28.5,46.0,1015.8,False,49.6,126,1.0
0 days 00:23:05.102000,28.6,43.0,1015.8,False,48.2,138,3.6
0 days 00:24:05.115000,28.3,45.0,1015.8,False,45.3,151,2.7
0 days 00:25:05.125000,28.2,47.0,1015.9,False,44.9,58,2.1
0 days 00:26:05.115000,28.2,48.0,1015.9,False,45.0,120,2.3
0 days 00:27:05.121000,28.3,46.0,1015.9,False,46.5,100,1.6
0 days 00:28:05.148000,28.4,47.0,1015.8,False,46.8,124,0.9
0 days 00:29:05.133000,28.5,46.0,1015.8,False,47.3,149,2.1
0 days 00:30:05.133000,28.4,47.0,1015.7,False,47.3,116,1.0
0 days 00:31:05.162000,28.4,47.0,1015.8,False,47.5,110,0.5
0 days 00:32:05.149000,28.4,47.0,1015.8,False,47.8,133,1.6
0 days 00:33:05.179000,28.4,47.0,1015.7,False,47.8,154,3.0
0 days 00:34:05.206000,28.5,47.0,1015.8,False,47.9,130,2.9
0 days 00:35:05.239000,28.4,47.0,1015.7,False,47.5,121,2.1
0 days 00:36:05.206000,28.3,48.0,1015.7,False,47.4,155,2.0
0 days 00:37:05.211000,28.3,48.0,1015.8,False,47.1,129,1.0
0 days 00:38:05.210000,28.5,47.0,1015.7,False,45.3,80,2.0
0 days 00:39:05.244000,28.5,47.0,1015.7,False,45.2,93,1.5
0 days 00:40:05.229000,28.4,46.0,1015.7,False,45.9,116,2.2
0 days 00:41:05.256000,28.2,47.0,1015.7,False,45.9,106,2.8
0 days 00:42:05.256000,28.1,47.0,1015.8,False,46.0,112,2.5
0 days 00:43:05.295000,28.0,48.0,1015.7,False,46.0,120,3.1
0 days 00:44:05.285000,28.0,48.0,1015.7,False,45.8,109,3.6
0 days 00:45:05.296000,28.0,48.0,1015.8,False,45.1,109,2.7
0 days 00:46:05.309000,28.1,49.0,1015.7,False,44.5,125,0.9
0 days 00:47:05.307000,28.2,49.0,1015.8,False,45.2,161,2.4
0 days 00:48:05.333000,28.3,48.0,1015.8,False,45.8,136,2.6
0 days 00:49:05.346000,28.2,48.0,1015.8,False,44.7,186,2.0
0 days 00:50:05.361000,28.0,49.0,1015.7,False,44.5,142,2.1
0 days 00:51:05.357000,27.9,50.0,1015.8,False,44.1,36,1.7
0 days 00:52:05.373000,27.9,49.0,1015.7,False,43.8,116,3.0
0 days 00:53:05.363000,28.0,48.0,1015.8,False,43.8,137,2.8
0 days 00:54:05.376000,27.9,48.0,1015.6,False,43.8,117,3.3
0 days 00:55:05.381000,28.0,48.0,1015.7,False,44.1,121,4.2
0 days 00:56:05.377000,28.0,48.0,1015.7,False,44.1,128,2.9
0 days 00:57:05.391000,27.9,48.0,1015.8,False,44.5,117,2.5
0 days 00:58:05.375000,27.9,47.0,1015.8,False,44.4,112,2.3
0 days 00:59:05.405000,27.9,48.0,1015.8,False,44.5,105,2.0
0 days 01:00:05.387000,27.9,49.0,1015.8,False,44.7,123,2.2
0 days 01:01:05.408000,28.0,50.0,1015.8,False,44.7,104,2.2
0 days 01:02:05.424000,28.1,50.0,1015.8,False,44.6,106,1.8
0 days 01:03:05.431000,28.1,50.0,1015.8,False,44.8,141,2.3
0 days 01:04:05.427000,28.1,51.0,1015.8,False,45.7,136,3.5
0 days 01:05:05.428000,28.1,51.0,1015.8,False,46.1,114,2.5
0 days 01:06:05.445000,28.0,50.0,1015.7,False,45.8,123,3.3
