Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:14.479000,23.6,81.0,1016.1,True,29.2,325,1.3
0 days 00:01:14.447000,23.4,82.0,1016.1,True,29.3,340,1.1
0 days 00:02:14.457000,23.4,81.0,1016.1,True,29.5,292,1.0
0 days 00:03:14.474000,23.5,82.0,1016.1,True,29.8,335,1.0
0 days 00:04:14.462000,23.5,83.0,1016.2,False,30.1,323,0.8
0 days 00:05:14.463000,23.5,83.0,1016.1,False,30.2,322,0.6
0 days 00:06:14.476000,23.5,82.0,1016.1,False,30.2,355,0.7
0 days 00:07:14.492000,23.7,83.0,1016.2,False,30.2,95,0.6
0 days 00:08:14.483000,23.7,81.0,1016.2,False,30.0,120,1.0
0 days 00:09:14.477000,23.7,82.0,1016.2,True,30.0,68,0.8
0 days 00:10:14.490000,23.8,82.0,1016.2,True,30.0,46,0.5
0 days 00:11:14.493000,23.8,82.0,1016.2,True,30.0,70,0.5
0 days 00:12:14.514000,23.8,82.0,1016.2,True,30.0,0,0.3
0 days 00:13:14.510000,23.8,83.0,1016.2,True,30.1,103,0.5
0 days 00:14:14.527000,23.8,84.0,1016.3,True,30.2,113,1.4
0 days 00:15:14.513000,23.7,85.0,1016.2,True,30.4,100,1.1
0 days 00:16:14.528000,23.6,85.0,1016.2,True,28.6,97,1.9
0 days 00:17:14.532000,23.4,85.0,1016.3,True,28.2,98,2.0
0 days 00:18:14.542000,23.3,86.0,1016.3,True,26.9,109,2.5
0 days 00:19:14.556000,23.3,86.0,1016.3,True,26.9,101,2.3
0 days 00:20:14.577000,23.1,86.0,1016.3,True,28.4,106,2.1
0 days 00:21:14.561000,23.0,85.0,1016.4,True,28.4,99,2.4
0 days 00:22:14.572000,22.8,86.0,1016.3,True,28.4,88,1.5
0 days 00:23:14.599000,22.9,86.0,1016.2,True,28.6,105,1.9
0 days 00:24:14.645000,22.8,85.0,1016.3,True,28.7,104,2.4
0 days 00:25:14.837000,22.8,86.0,1016.3,True,29.0,116,2.0
0 days 00:26:14.634000,22.8,86.0,1016.2,False,29.1,105,1.9
0 days 00:27:14.619000,22.9,86.0,1016.2,False,29.1,105,1.9
0 days 00:28:14.638000,22.8,86.0,1016.2,False,29.1,105,1.9
0 days 00:29:14.661000,22.9,85.0,1016.2,False,29.3,100,2.0
0 days 00:30:14.639000,22.9,86.0,1016.3,False,29.5,116,1.5
0 days 00:31:14.649000,23.0,86.0,1016.3,False,29.8,113,1.7
0 days 00:32:14.655000,23.0,86.0,1016.3,False,30.4,88,1.4
