Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:33.783000,VER,1,,1.0,1.0,0 days 00:16:44.780000,,,0 days 00:00:33.289000,0 days 00:00:34.175000,,0 days 00:17:59.652000,0 days 00:18:33.783000,265.0,290.0,311.0,292.0,False,C3,1.0,True,Red Bull Racing,0 days 00:16:44.780000,2025-04-19 17:03:28.419,1,,False,,False,False
0 days 00:20:01.931000,VER,1,,2.0,1.0,,,0 days 00:00:31.970000,0 days 00:00:27.841000,0 days 00:00:28.337000,0 days 00:19:05.753000,0 days 00:19:33.594000,0 days 00:20:01.931000,296.0,329.0,300.0,333.0,True,C3,2.0,True,Red Bull Racing,0 days 00:18:33.783000,2025-04-19 17:05:17.422,1,,False,,False,True
0 days 00:22:06.413000,VER,1,,3.0,1.0,,0 days 00:22:04.701000,0 days 00:00:48.533000,0 days 00:00:36.018000,0 days 00:00:39.931000,0 days 00:20:50.464000,0 days 00:21:26.482000,0 days 00:22:06.413000,245.0,243.0,,218.0,False,C3,3.0,True,Red Bull Racing,0 days 00:20:01.931000,2025-04-19 17:06:45.570,1,,False,,False,False
0 days 00:28:53.329000,VER,1,,4.0,2.0,0 days 00:26:49.564000,,,0 days 00:00:34.241000,0 days 00:00:32.161000,,0 days 00:28:21.168000,0 days 00:28:53.613000,237.0,282.0,309.0,306.0,False,C3,4.0,False,Red Bull Racing,0 days 00:22:06.413000,2025-04-19 17:08:50.052,1,,False,,False,False
0 days 00:30:21.107000,VER,1,,5.0,2.0,,,0 days 00:00:31.874000,0 days 00:00:27.813000,0 days 00:00:28.091000,0 days 00:29:25.203000,0 days 00:29:53.016000,0 days 00:30:21.107000,295.0,330.0,310.0,335.0,True,C3,5.0,False,Red Bull Racing,0 days 00:28:53.329000,2025-04-19 17:15:36.968,1,,False,,False,True
0 days 00:32:26.653000,VER,1,,6.0,2.0,,0 days 00:32:25.557000,0 days 00:00:47.654000,0 days 00:00:36.141000,0 days 00:00:41.751000,0 days 00:31:08.761000,0 days 00:31:44.902000,0 days 00:32:26.653000,184.0,214.0,,220.0,False,C3,6.0,False,Red Bull Racing,0 days 00:30:21.107000,2025-04-19 17:17:04.746,12,,False,,False,False
0 days 00:42:22.838000,VER,1,,7.0,3.0,0 days 00:40:18.129000,,,0 days 00:00:35.899000,0 days 00:00:31.912000,,0 days 00:41:51.013000,0 days 00:42:22.838000,269.0,301.0,312.0,309.0,False,C3,1.0,True,Red Bull Racing,0 days 00:32:26.653000,2025-04-19 17:19:10.292,12,,False,,False,False
0 days 00:43:50.367000,VER,1,,8.0,3.0,,,0 days 00:00:31.710000,0 days 00:00:27.726000,0 days 00:00:28.093000,0 days 00:42:54.548000,0 days 00:43:22.274000,0 days 00:43:50.367000,296.0,330.0,311.0,336.0,True,C3,2.0,True,Red Bull Racing,0 days 00:42:22.838000,2025-04-19 17:29:06.477,1,,False,,False,True
0 days 00:45:54.201000,VER,1,,9.0,3.0,,0 days 00:45:53.092000,0 days 00:00:44.202000,0 days 00:00:38.830000,0 days 00:00:40.802000,0 days 00:44:34.569000,0 days 00:45:13.399000,0 days 00:45:54.201000,221.0,201.0,,247.0,False,C3,3.0,True,Red Bull Racing,0 days 00:43:50.367000,2025-04-19 17:30:34.006,1,,False,,False,False
0 days 00:52:37.446000,VER,1,,10.0,4.0,0 days 00:50:39.147000,,,0 days 00:00:36.041000,0 days 00:00:33.181000,,0 days 00:52:04.288000,0 days 00:52:37.644000,244.0,280.0,311.0,178.0,False,C3,4.0,False,Red Bull Racing,0 days 00:45:54.201000,2025-04-19 17:32:37.840,1,,False,,False,False
